"""Thompson and Wallace, 1994, D1"""	
840	
-6.24586	-52.06064412
-5.95122	-46.87490808
-5.46862	-39.89742862
-4.826	-30.69316972
-4.11226	-22.81981855
-3.3782	-17.47127762
-2.59588	-11.09074942
-1.83134	-4.629263595
-1.10236	2.674270465
-0.29718	11.95948698
0.61722	22.65701366
1.6383	31.94223018
2.67462	39.00111208
3.56108	45.68011592
4.43484	50.83871781
5.334	54.04232657
5.98932	55.10144799
6.3246	55.72597822
6.25602	52.19631486
6.04266	48.63951735
5.77596	44.81137835
5.29844	37.56211259
4.79806	30.88355358
4.08178	22.05961758
3.06578	14.97315671
1.81102	5.036275816
0.72136	-5.44373286
0.10922	-11.36253572
0.0762	-11.6881455
-0.90424	-23.03689174
-2.13868	-33.48976626
-3.36296	-40.60291647
-4.29514	-45.59871347
-5.1054	-49.83430951
-5.78104	-53.22785731
-6.20522	-55.07431385
-6.49478	-55.58986266
-6.33222	-51.59891878
-6.06552	-47.6079749
-5.68198	-42.04191596
-5.1054	-34.03289405
-4.43992	-24.99188487
-3.71602	-19.26302104
-2.91846	-13.80594352
-2.15646	-8.131347988
-1.35636	-0.447935855
-0.3048	10.87367623
0.85344	23.63428782
2.1336	33.62543701
3.36296	41.1189101
4.7371	47.79791393
5.70738	52.03350997
6.1722	53.74385094
6.35254	52.79371094
6.14172	49.15551098
5.93852	45.32737199
5.51434	39.30003254
4.84124	30.50323069
3.94208	21.24514832
2.78384	12.58401721
1.59004	2.89134365
0.44704	-8.321731847
0.07874	-11.36253572
0.05842	-11.19928601
-1.06426	-23.76995856
-2.77622	-36.3948994
-4.02082	-43.64416516
-5.17906	-49.58965735
-6.34746	-54.58545436
-7.53364	-57.02886215
-8.91794	-52.73944264
-8.56488	-45.35450614
-8.5344	-44.43150028
-8.41756	-42.69358034
-8.06958	-38.05097208
-7.19328	-27.02783562
-6.20014	-19.61620979
-5.16128	-14.45760789
-4.11988	-9.081932816
-2.99466	-2.484331429
-1.9304	2.972746094
-0.94742	10.3576826
-0.00508	18.39428348
1.2446	29.17276778
2.60096	37.80676475
4.0386	44.8385125
5.51434	50.83871781
6.7056	54.36838117
7.38124	55.53559436
7.68096	55.39992362
7.90194	55.83451481
8.16102	56.21439289
8.39724	56.02445385
8.64362	56.07872215
8.88746	56.16012459
8.70712	52.41338804
8.58774	49.8885778
8.509	48.91130365
8.42264	47.93358467
8.34136	46.54885348
8.23468	45.46304273
7.73938	38.8383072
7.09676	30.50323069
6.13156	22.14102003
4.82092	14.94602256
3.42392	7.425415315
2.032	0.719277336
0.71882	-8.484536735
0.08128	-13.0728767
0.0635	-13.15427914
-0.889	-21.86967855
-2.39268	-31.39910239
-3.94208	-38.05097208
-5.13842	-42.04191596
-6.17474	-45.65298177
-7.1374	-48.80232224
-7.87146	-49.67150462
-8.26516	-50.13278514
-8.45058	-50.24132173
-8.64362	-50.62164462
-8.8265	-50.75731536
-8.99668	-50.78444951
-9.18972	-50.86585196
-9.05764	-48.34104172
-8.9027	-45.87005495
-8.75538	-43.91550664
-8.60806	-42.04191596
-8.46582	-40.08736765
-8.21182	-36.55770429
-7.57936	-28.73862141
-6.91896	-21.67929469
-5.92582	-16.05941228
-4.82854	-10.76513964
-3.32232	-3.325934842
-1.92532	4.303208995
-0.57658	14.077285
0.72898	24.34022049
2.10312	33.6797053
3.50774	39.97883106
5.02666	45.32737199
6.3754	49.6167915
7.66826	53.22785731
8.85698	54.55832021
7.90194	40.60291647
7.0739	29.98723705
6.20776	22.87408685
5.31622	17.98682644
4.02082	10.95507868
2.56032	3.624410471
1.05664	-5.308062119
0.0889	-12.0684684
0.0635	-11.93235283
-0.23368	-15.24494301
-2.05232	-28.14122533
-4.01066	-36.74764333
-5.95884	-43.5080496
-7.6073	-47.66224319
-8.81888	-49.67150462
-9.7409	-50.43170559
-10.3886	-50.10565099
-10.90422	-50.05138269
-11.43762	-50.37699247
-11.54176	-47.01057882
-11.20648	-42.82925108
-10.90676	-39.35430083
-10.62482	-36.23209451
-10.34288	-32.78383359
-9.80948	-26.64795754
-9.02462	-19.53436252
-8.04672	-14.81035182
-6.2865	-6.991268946
-4.4323	-0.82825875
-2.30632	6.882732353
-0.27178	19.29015519
1.83642	33.35409552
4.06654	42.77498278
5.77596	47.33618859
7.16788	50.81158366
8.19404	53.11932072
9.12622	54.80252754
9.99998	55.42705777
10.81278	53.44537532
11.29284	51.40897974
11.23442	47.79791393
10.93216	43.5623179
10.59688	39.35430083
10.06094	32.91950433
9.29132	24.55729367
8.22452	17.71548495
7.19582	13.15427914
6.1214	9.271871852
5.03682	5.498001156
3.72618	1.26240512
1.87706	-6.149665533
0.2032	-14.89175426
0.09144	-15.3534796
-1.11506	-23.93276345
-3.28422	-34.27710138
-5.5499	-40.0602335
-7.88162	-44.81137835
-9.81202	-47.17338371
-10.72642	-48.09638956
-11.52144	-48.20537098
-11.51636	-44.21398227
-11.06678	-38.59409986
-10.53846	-32.97377263
-9.72312	-24.04130004
-8.9281	-17.95969229
-8.07466	-13.75167522
-7.18312	-10.52048749
-6.1849	-6.04112894
-4.8006	-1.208136824
-3.44424	2.972746094
-2.10058	8.10421384
-0.86868	15.00029086
0.37338	23.03689174
2.11074	32.675297
3.91414	38.45842912
5.79628	42.66644619
7.69366	46.33178029
9.59358	49.10124269
11.2649	49.83430951
10.84072	41.22744669
10.18286	33.29982723
9.51484	26.21336635
8.85698	20.32214246
8.18642	17.03668643
7.38124	13.56173618
6.48716	9.869267933
5.24764	5.362330416
3.43154	-0.339399262
1.6256	-6.964134798
0.16764	-15.13640642
0.07366	-14.75608352
0.11938	-14.53901034
0.11938	-14.32193715
-1.41986	-25.48029953
-3.21056	-33.29982723
-6.09854	-40.38584328
-8.37438	-43.96977494
-10.31494	-46.57598762
-11.91768	-47.77077979
-13.4112	-47.6079749
-14.16304	-45.97903637
-13.70838	-39.30003254
-13.208	-33.51690041
-12.67968	-28.11409119
-11.33348	-16.90101569
-9.75106	-10.92794453
-8.12038	-4.98200752
-6.50494	-0.393667559
-4.89966	3.515873878
-2.80162	8.837280661
-0.27178	20.4035449
2.286	33.70683945
5.01142	40.73903203
7.78764	45.27310369
10.42924	48.47671246
12.35964	49.69863877
13.66012	45.89763392
12.73556	34.03289405
12.39774	30.55749898
11.52144	21.70642884
9.94156	13.42562062
8.0391	6.882732353
6.1087	1.588459719
4.10718	-2.918477798
2.14122	-8.10421384
0.34036	-16.30361961
0.12446	-16.76534495
0.10922	-16.27648546
-1.08966	-24.39448879
-3.5687	-33.89722331
-6.0833	-39.24576424
-8.26262	-42.17803152
-10.0838	-44.21398227
-11.83894	-45.32737199
-12.9921	-45.76151836
-13.51026	-45.49017688
-13.87602	-45.8429208
-14.15796	-45.57157932
-14.11478	-43.26384227
-13.84046	-39.40856913
-13.36294	-33.78824189
-12.6492	-26.37661606
-11.7729	-17.60694836
-10.4394	-11.79668209
-8.28294	-4.466013884
-6.0706	1.507057275
-3.87096	6.47527531
-1.69164	13.47988892
0.65786	25.01901901
3.31216	35.52616184
5.71246	40.35870913
8.001	43.4537813
9.43356	44.94704909
10.56894	45.49017688
11.684	46.30464614
12.82954	46.95631052
13.82014	46.2232437
13.21054	38.18664282
12.69746	32.2949741
11.79068	22.76555026
10.38352	13.77880937
8.83412	8.158482136
7.24408	3.271666546
5.29844	-1.425210008
2.63652	-7.208342131
0.29972	-16.52069279
0.10414	-16.87388154
0.10922	-16.6839425
-2.2098	-28.84715801
-5.79628	-37.7253623
-8.76808	-41.71630618
-11.49858	-44.26825057
-13.58138	-45.08271984
-14.25194	-44.59430517
-14.44244	-44.81137835
-14.8971	-44.94704909
-15.55496	-45.05558569
-16.45158	-44.70284176
-17.17548	-43.94264079
-17.78762	-43.5080496
-18.40484	-43.26384227
-18.88998	-41.63490374
-18.39214	-34.90163161
-17.88668	-28.63008482
-17.37868	-23.14542833
-16.85036	-17.41700933
-16.27378	-12.91007181
-15.71244	-10.6837372
-15.15872	-8.484536735
-14.58214	-6.556677754
-13.35024	-2.647136317
-11.56462	1.588459719
-8.84428	6.502409458
-5.85978	10.43908504
-2.87528	15.32634546
-0.37084	24.09601316
2.46634	34.57557701
5.40258	40.08736765
8.41248	43.23670812
10.96772	44.8927808
13.10894	46.03330466
14.66088	45.89763392
16.2052	45.27310369
17.7673	44.05117739
18.18386	43.4537813
18.44802	43.26384227
18.69694	42.69358034
18.80616	41.36311743
18.5674	38.02383793
18.34134	35.33577798
18.08734	32.70243115
17.83334	30.44896239
17.62252	28.00555459
17.40408	25.56170198
17.1704	23.19969663
16.92402	20.32214246
16.68018	18.42141763
16.43126	16.4664245
16.17472	14.78321767
15.83944	12.50261476
14.9098	8.945817253
13.97	5.498001156
12.29614	1.072466083
9.35482	-4.466013884
5.9817	-8.837280661
2.8067	-13.53415721
0.39116	-20.97336202
0.19558	-20.94622787
-1.80594	-28.98282875
-4.71678	-35.25437554
-7.68858	-38.70263645
-10.6934	-40.63049544
-13.39596	-41.4449647
-15.6464	-42.01478181
-17.86128	-41.20031255
-18.96872	-39.32716668
-18.33372	-31.01922432
-17.75206	-24.72009856
-16.40078	-12.17700499
-14.33322	-4.194672403
-12.14628	1.343807564
-9.8806	5.715074341
-7.67334	8.755878216
-5.02412	11.57960891
-1.69672	18.50282007
1.22428	28.84715801
4.17068	35.90603991
7.26186	38.81117305
10.53846	41.09177595
12.74064	41.74344033
14.7066	42.01478181
16.74114	42.31370226
18.09242	41.28171499
18.79854	41.09177595
18.5674	36.61197258
18.18132	32.02363262
17.40916	23.44434878
15.65656	10.46621919
13.59662	3.624410471
11.49604	-1.479478305
9.30402	-5.280927971
6.60908	-8.430268439
3.50012	-12.42121232
0.62738	-19.80614882
0.2413	-20.72915468
0.24892	-20.24029519
0.2413	-20.26742934
-1.15824	-26.75649414
-5.49402	-35.68896673
-8.89508	-38.45842912
-12.29614	-39.81558135
-15.52956	-40.90183692
-18.81632	-39.89742862
-22.1488	-38.02383793
-25.15616	-35.36335695
-27.2923	-33.57116871
-28.10002	-33.10988819
-28.68676	-31.48050484
-28.08478	-23.95989759
-27.0637	-13.37135233
-25.80132	-4.113269959
-24.59482	0.556472447
-22.91334	5.959281674
-19.01444	13.47988892
-14.58976	17.06382058
-9.93394	18.31288103
-5.44068	21.21801417
-1.09728	28.79288971
3.22326	37.07369792
7.53364	40.1687701
11.53922	41.06464181
15.34414	41.33598329
19.17954	39.81558135
22.7203	37.50784429
26.32456	34.33136968
28.7528	32.24070581
28.32862	25.31749464
27.54376	17.11808887
26.1239	5.335196267
24.72182	-0.447935855
23.28672	-4.357477292
20.94992	-9.407542593
18.33626	-13.15427914
15.08506	-15.43488205
11.69416	-16.92814984
8.27786	-18.122942
4.8768	-20.32214246
1.61798	-24.99188487
0.38354	-27.13681703
0.36068	-26.05056146
0.3683	-25.83348828
-2.08788	-32.48535796
-5.38226	-35.63469843
-8.73506	-37.07369792
-12.20978	-37.23650281
-16.3322	-36.85617992
-20.72894	-35.30864383
