"Soesianawati et al. 86, Specimen 4"	
613	
0	0
-0.14493	28.382
-0.14493	43.924
0.21739	59.465
0.86957	82.444
1.9565	108.46
2.7536	125.35
3.1885	141.91
3.9855	156.77
4.855	171.3
5.8697	186.51
6.6667	196.65
6.3769	180.76
5.5072	167.59
4.7826	153.39
4.2753	143.6
3.9131	130.42
3.9131	118.59
3.4783	103.73
3.0434	88.862
2.6812	74.335
2.1739	60.141
1.8116	47.643
1.2319	29.395
0.86957	13.515
0.43477	-1.0136
0.36233	-19.597
-0.072464	-53.047
-1.3043	-72.307
-1.8116	-84.129
-2.4638	-95.619
-3.0434	-106.09
-4.3477	-129.41
-5	-139.54
-5.6523	-147.65
-6.1595	-156.44
-7.5362	-173.67
-7.6086	-161.84
-7.1013	-153.39
-6.4493	-144.61
-6.0145	-132.11
-5.5072	-120.96
-5.145	-109.14
-4.4928	-96.633
-4.2753	-79.401
-4.1305	-66.898
-3.4783	-53.385
-2.826	-37.504
-2.3913	-25.341
-1.9565	-8.4468
-1.7391	2.0273
-1.4493	13.515
-0.94204	27.706
-0.43477	40.883
0	53.047
0.36233	64.536
1.2319	83.12
1.4493	94.266
2.1014	107.45
2.6812	120.96
3.1158	134.48
3.4783	144.61
3.6957	153.06
4.7826	172.32
5.7247	187.19
7.0289	200.7
7.971	209.14
8.4783	215.56
8.6957	200.02
8.4783	191.24
7.971	181.44
7.7536	170.63
7.3914	159.82
6.9566	149.68
6.5941	139.54
6.0145	128.73
5.5796	118.25
5.0724	108.8
4.7826	96.633
4.0579	85.82
3.6957	74.669
3.1158	63.522
2.7536	53.723
2.3188	44.938
2.029	35.815
1.5217	18.921
1.5217	10.474
1.2319	0.67574
0.5797	-11.825
0.14493	-21.286
0	-27.368
-0.50724	-36.491
-1.1594	-48.652
-1.6667	-59.803
-2.1014	-67.574
-2.3188	-75.007
-2.7536	-83.791
-3.1158	-92.576
-3.4783	-104.07
-3.9131	-113.19
-4.3477	-122.31
-4.7826	-132.79
-5.2174	-140.89
-5.797	-149
-7.5362	-172.99
-8.9855	-185.83
-8.7681	-169.28
-8.6957	-155.08
-8.2608	-139.2
-7.3914	-117.92
-6.5217	-103.39
-5.8697	-87.172
-5.2898	-73.321
-4.3477	-55.413
-3.5507	-38.856
-2.7536	-22.638
-2.1014	-9.4605
-1.5942	14.867
-0.86957	34.801
-0.36233	49.328
0.21739	64.198
0.43477	82.444
1.1594	98.999
1.8841	114.54
2.7536	130.42
3.5507	147.99
4.4928	164.21
5.5072	178.4
6.3769	189.55
7.3188	201.37
8.2608	211.85
8.6233	216.24
8.2608	197.66
7.8986	179.08
7.4638	167.93
7.174	156.77
6.9566	147.65
6.5941	136.5
5.8697	125.35
5.4348	113.86
4.9276	99.675
4.4204	90.214
3.6957	79.063
3.1885	68.588
2.029	40.545
1.5942	21.962
1.3768	9.1228
1.1594	-1.0136
0.50724	-14.529
0.072464	-28.044
-0.36233	-38.518
-0.94204	-52.033
-1.5217	-63.522
-2.3913	-76.697
-2.971	-88.862
-3.2609	-99.337
-3.7681	-113.19
-4.6378	-129.74
-5.6523	-143.6
-6.0145	-149.34
-6.8115	-162.18
-7.826	-174.01
-8.4059	-182.79
-8.7681	-166.91
-8.4783	-152.38
-7.826	-131.1
-7.3188	-114.88
-6.5941	-102.04
-5.797	-85.144
-4.9276	-69.94
-4.2753	-57.099
-3.7681	-44.938
-3.2609	-33.787
-2.8986	-23.651
-2.4638	-14.529
-1.5217	15.542
-1.087	32.774
-0.43477	50.342
0.36233	67.574
1.2319	84.468
2.029	102.71
2.2464	115.89
3.4059	135.49
3.5507	151.37
4.5651	169.95
5.6523	184.48
6.9566	200.36
8.2608	214.22
9.4927	225.36
11.232	238.2
12.102	243.95
13.768	252.05
14.928	257.8
15.725	261.52
16.884	264.56
17.319	264.56
17.464	259.49
17.464	254.76
17.464	250.36
17.536	245.97
17.319	239.89
16.449	209.48
15.87	199.68
15.072	184.48
14.203	167.93
13.188	153.73
11.304	125.69
10.58	113.53
9.3477	98.661
8.0434	83.453
6.8115	66.222
5.7247	51.019
4.7826	36.153
3.6957	18.583
2.826	4.7304
1.9565	-11.15
1.3768	-23.989
0.72464	-37.842
0	-50.342
-0.50724	-62.17
