"Xiao 1998,Specimen nr.HC4-8L16-T6-0.2P"	
-2.484247	-140.75696
-1.742821	-103.92752
-1.26746	-72.10208
-0.827024	-38.16384
-0.418338	-6.04928
0	25.77616
0.5227955	60.75968
0.9886315	89.98304
1.5462885	121.03008
2.145157	148.91904
2.8105735	178.3648
3.4095055	205.23072
4.10972	234.14272
4.7910115	260.74176
5.5419625	287.83008
6.67639	312.0272
7.8170405	319.67776
8.048371	318.87712
8.7803355	324.12576
8.184642	274.13024
7.183374	223.64544
6.1693425	177.07488
5.326507	143.6704
4.2270045	101.54784
3.121152	60.4928
1.945513	21.5728
1.070991	-10.27488
0.190119	-51.57456
-0.564007	-89.98304
-1.400556	-128.90304
-2.22758	-163.10816
-3.285871	-201.80576
-4.309364	-237.56768
-5.225161	-269.14848
-6.169406	-296.50368
-7.595235	-311.00416
-8.732774	-313.3616
-9.122537	-312.82784
-9.401429	-307.04544
-8.678926	-274.15248
-8.460359	-265.9904
-7.595362	-232.8528
-6.758813	-202.33952
-5.906389	-173.38304
-4.886071	-142.06912
-3.887978	-110.48832
-2.931033	-80.5088
-1.955038	-48.928
-0.95377	-9.74112
-0.126746	32.3592
0.909447	86.82496
1.8695035	130.7712
3.3143825	185.21472
4.4804965	222.8448
5.70992	256.78304
6.926707	285.73952
8.5300185	310.4704
8.935593	314.67376
8.292338	276.79904
7.5762485	241.25952
6.7682745	203.09568
5.7511315	161.55136
4.7371635	123.38752
3.6787455	83.13312
2.420874	39.18688
1.2484735	0
0.4087495	-37.3632
-0.478536	-78.66288
-1.311783	-115.51456
-2.398649	-156.54736
-3.498215	-189.7072
-4.559681	-219.68672
-5.820918	-251.26752
-7.227697	-281.24704
-9.220835	-305.44416
-9.582023	-307.31232
-9.122537	-278.08896
-8.362188	-249.39936
-7.573137	-219.68672
-6.65099	-187.06064
-5.706745	-158.39328
-4.75615	-130.50432
-3.681984	-99.45728
-2.658491	-69.21088
-1.758569	-41.83344
-1.045718	-14.21136
-0.430911	13.94448
0.2820035	49.46176
0.9189085	80.5088
1.625473	111.28896
2.52222	146.82848
3.418967	178.63168
4.3442255	206.52064
5.4025165	235.21024
6.65734	264.41136
7.9375	289.16448
8.935593	304.688
8.305038	267.81408
7.7504925	240.45888
7.221347	214.9496
6.2517655	173.9168
5.279009	136.5536
4.2745025	101.01408
3.311271	64.98528
2.256028	29.97952
1.2959715	0
