"Pujol 2002, No. 10-2-3N"	
12495	
0.151737828	-0.75578806
0.151737828	-0.75578806
0.14918009	-0.733501491
0.151737828	-0.75578806
0.146622342	-0.711214878
0.023850708	0.358541141
-0.027902403	0.33625455
0.063244405	0.358541141
0.0409054	0.380827732
0.03277392	0.358541141
0.050739208	0.736298733
0.000506276	0.714012164
0.074598393	0.714012164
0.106588103	0.669438982
0.073544292	0.736298733
0.084116625	0.669438982
0.136463942	0.714012164
0.069114007	0.714012164
0.04406329	0.714012164
0.115314146	0.714012164
0.111150205	0.714012164
0.046774646	0.736298733
0.116966795	0.736298733
0.083127711	0.736298733
0.048758511	0.780871915
0.085409536	0.755799514
0.071459482	0.733512901
0.014884143	0.755799514
0.046345094	0.733512901
0.108012875	0.778086083
0.03993077	2.405006614
0.0384788	2.427293316
0.053880199	2.427293316
0.081636369	2.3827202
0.037485398	2.36043352
0.105396936	4.745098216
0.084839784	4.722811514
0.047694979	4.745098216
0.135733568	4.745098216
0.144524309	4.722811514
0.191137628	6.77317692
0.139980879	6.750890774
0.135750892	6.77317692
0.189022849	6.750890774
0.18684384	6.795463623
0.282052567	9.224701168
0.169493926	9.246988381
0.139351799	9.180127785
0.199366891	9.202414999
0.233207367	9.180127785
0.265635016	11.83223171
0.284869178	11.80994554
0.240583745	11.78765833
0.226506715	11.80994554
0.296700476	11.85451785
0.347717778	13.23628628
0.311101248	13.23628628
0.233440393	13.2585735
0.309976316	13.2585735
0.333640289	13.2585735
0.258887958	13.2585735
0.384931374	13.28085967
0.312030418	13.30314581
0.287440768	13.2585735
0.325444637	13.23628628
0.368377441	15.79924344
0.323498295	15.79924344
0.356348984	15.79924344
0.427729771	15.77695727
0.340023347	15.79924344
0.407668611	18.1616209
0.416591464	18.1616209
0.472176696	18.1616209
0.348315243	18.18390918
0.388831641	18.18390918
0.469945394	20.16741346
0.454613056	20.23427408
0.459304834	20.21198791
0.462214157	20.23427408
0.445489172	20.18970174
0.456024945	22.41836014
0.484246588	22.39607186
0.542148828	22.44064631
0.570171276	22.41836014
0.502093891	22.44064631
0.563982942	24.64701855
0.611771391	24.66930471
0.600407422	24.75845146
0.570199898	24.75845146
0.514616063	24.80302379
0.665672448	27.12082894
0.655033844	27.14311511
0.644060522	27.12082894
0.613061287	27.14311511
0.604867232	27.16540125
0.674998002	27.18768742
0.716107514	27.16540125
0.634743431	27.14311511
0.666204007	27.12082894
0.681409043	27.16540125
0.662110692	27.18768742
0.738513066	27.12082894
0.660720998	27.16540125
0.656819413	27.12082894
0.684050231	27.12082894
0.723803382	29.48320642
0.702655113	29.52777874
0.791022992	29.50549257
0.727373801	29.50549257
0.703577876	29.48320642
0.798511522	31.55585957
0.817612595	31.57814574
0.803403653	31.57814574
0.800624425	31.53357129
0.751385207	31.57814574
0.923780033	33.5839383
0.863635793	33.62851062
0.882666928	33.5839383
0.89238692	33.62851062
0.879760519	33.5839383
0.915928561	35.47829793
0.929740471	35.47829793
0.955055626	35.45601178
1.002312795	35.41143733
0.964440858	35.45601178
1.109177695	38.35326556
1.10561063	38.35326556
1.108252137	38.30869324
1.084063332	38.35326556
1.13059326	38.33098152
1.217200001	40.40363045
1.164788115	40.42591873
1.17674899	40.44820702
1.14291053	40.44820702
1.230354368	40.42591873
1.358283788	42.81058236
1.305013568	42.87744296
1.308582868	42.85515468
1.358614635	42.83287064
1.261125706	42.85515468
1.403962567	42.87744296
1.364767242	42.87744296
1.290144767	42.85515468
1.361197063	42.85515468
1.399600079	42.87744296
1.431194224	44.48207616
1.443157732	44.48207616
1.442959575	44.48207616
1.421216277	44.50436445
1.464108882	44.48207616
1.546346749	44.59350908
1.534514333	44.57122504
1.519841455	44.59350908
1.519708764	44.57122504
1.549980478	44.57122504
1.586447113	47.35704805
1.588826115	47.35704805
1.599466714	47.37933208
1.580895364	47.37933208
1.616188546	47.33475976
1.743629519	47.35704805
1.736687158	47.31247148
1.689495296	47.29018743
1.757177166	47.31247148
1.655722223	47.33475976
1.800622727	49.34055232
1.721639521	49.3628406
1.845831103	49.31826404
1.802671201	49.31826404
1.818270036	49.34055232
1.871025463	51.12347903
1.947762517	51.16805135
1.833944557	51.14576732
1.879882809	51.14576732
1.92475922	51.10119075
2.146830775	53.90930204
2.059783969	53.93159032
2.084039439	53.93159032
2.117288458	53.97616263
2.11695777	53.95387435
2.194363225	55.64765644
2.223050002	55.64765644
2.251602333	55.64765644
2.190136461	55.69222875
2.269911017	55.64765644
2.448323685	55.64598502
2.358633934	55.66826905
2.440457123	55.6014127
2.434644625	55.66826905
2.433385585	55.62369673
2.44733258	55.66826905
2.423409395	55.69055733
2.39392967	55.66826905
2.363128473	55.69055733
2.464518268	55.66826905
2.454145604	55.66826905
2.461944942	55.66826905
2.503122955	55.66826905
2.453813959	55.64598502
2.409994278	55.64598502
2.557707302	58.54324093
2.572380021	58.52095265
2.58255852	58.54324093
2.520230881	58.54324093
2.56894349	58.56552496
2.684938142	59.99186889
2.682095923	59.99186889
2.589298413	59.99186889
2.659291582	59.99186889
2.66715958	60.01415292
2.79821113	62.57711008
2.848046416	62.59939836
2.841901473	62.59939836
2.79431218	62.62168664
2.80250831	62.6439707
2.980471173	64.87262908
2.945110129	64.89491736
2.939359265	64.91720142
2.971348606	64.87262908
2.967978181	64.89491736
3.122858388	66.74470469
3.052797038	66.72241641
3.142818115	66.72241641
3.102897065	66.72241641
3.063173055	66.70012813
3.203170252	66.74470469
3.167348066	66.76698872
3.171644288	66.72241641
3.239257817	66.72241641
3.11083548	66.74470469
3.186983652	66.76698872
3.212033506	66.76698872
3.2262462	66.78927701
3.287183707	66.76698872
3.231598834	66.76698872
3.593853767	72.45007189
3.599208317	72.47235168
3.597886525	72.47235168
3.572373932	72.47235168
3.563514191	72.42778361
3.72354648	72.47235168
3.752957704	72.47235168
3.681245311	72.47235168
3.748396101	72.47235168
3.740069995	72.47235168
4.038682203	78.33372835
4.111852111	78.37829644
4.085080319	78.33372835
4.081379047	78.33372835
4.082505715	78.35601663
4.434164917	83.43735438
4.517907244	83.4150661
4.486513492	83.4150661
4.483074087	83.4150661
4.486644106	83.39277782
4.876337635	89.16500986
4.879244682	89.14272158
4.944482243	89.16500986
4.869201428	89.18728965
4.938533063	89.14272158
5.055470597	89.16500986
5.114493597	89.16500986
5.065255178	89.20957793
5.039343077	89.16500986
5.118988456	89.18728965
5.148406386	89.18728965
5.137766266	89.16500986
5.190910023	89.20957793
5.160238323	89.16500986
5.135586699	89.20957793
5.273558574	88.09524873
5.290678316	88.09524873
5.281031057	88.11753701
5.273295429	88.09524873
5.305747189	88.09524873
5.283586499	89.16500986
5.302490453	89.1204333
5.3980628	89.09814502
5.345648439	89.07585674
5.342807178	89.07585674
5.540972792	92.30741141
5.606473498	92.32969969
5.553200723	92.35198797
5.578319557	92.37427625
5.604422629	92.30741141
5.932442867	99.70656069
5.85444917	99.70656069
5.873417312	99.66198413
5.920944333	99.68427241
5.967008089	99.63970432
5.945998658	98.07964345
5.925708404	98.07964345
5.94778255	98.07964345
5.947583914	98.05735517
5.968733221	98.05735517
5.980368437	96.3412848
6.020093086	96.36357309
5.996495638	96.3412848
5.937473277	96.3412848
5.927295576	96.36357309
6.491395679	106.3479593
6.605275433	106.3256795
6.535410483	106.2588147
6.556231498	106.281103
6.598069608	106.2365264
6.865846927	108.086318
6.830618734	108.0194531
6.860556567	108.0194531
6.852959218	108.0417414
6.850046742	107.974885
6.939194075	105.7907947
6.856245974	105.7685149
6.909648405	105.7685149
6.88545952	105.7685149
6.839321035	105.7239384
6.970983503	102.962355
6.911497444	102.962355
6.884860418	102.9846348
6.929674237	102.9400667
7.008592135	102.9846348
7.002793368	101.6920164
6.931677203	101.7143046
6.998364615	101.7143046
6.966046982	101.7588727
6.936437442	101.7143046
7.379737466	107.6202494
7.404191412	107.5979611
7.429108417	107.5979611
7.376434105	107.6202494
7.46850158	107.5979611
7.851105207	109.514609
7.822222508	109.4923207
7.884085812	109.4923207
7.799022333	109.4700325
7.832001021	109.4700325
7.921319527	106.5282085
7.897260937	106.5504883
7.915635726	106.5282085
7.886552475	106.5059202
7.878817167	106.5059202
8.105667164	107.9768364
8.1144608	107.9991162
8.06402769	107.9768364
8.146514649	107.9545482
8.097141783	107.9768364
8.209862294	108.5562808
8.161349119	108.4894245
8.137222827	108.534001
8.161020188	108.5117128
8.224800872	108.534001
8.240996414	105.0572922
8.252963755	105.1018603
8.295791852	105.0795805
8.225330355	105.0572922
8.238485041	105.035004
8.23240333	104.9904274
8.262742906	105.0127157
8.267168466	105.0127157
8.240005789	105.035004
8.253818337	105.0127157
8.39377753	109.0465891
8.414269614	109.0688773
8.410832125	109.0243008
8.410037581	109.0465891
8.484132009	109.0465891
8.62955529	110.4283607
8.662470108	110.4283607
8.695782199	110.3837841
8.680579837	110.4283607
8.604106248	110.4283607
8.724601028	108.7122903
8.73557455	108.7345786
8.683689034	108.7345786
8.768288178	108.690002
8.711581107	108.690002
8.877347016	110.0717736
8.889314996	110.0940619
8.900809698	110.0271971
8.845690438	110.0717736
8.922687763	110.0049088
9.067738681	110.5843617
9.098338847	110.5175053
9.058745132	110.5175053
9.096617547	110.4729288
9.066083168	110.4283607
9.096214527	108.5562808
9.120470476	108.4894245
9.085373216	108.4448479
9.113989577	108.4448479
9.129589849	108.4002798
9.363243289	111.4535367
9.37361771	111.431257
9.262711748	111.431257
9.338056114	111.3643921
9.358547559	111.3421038
9.423917331	107.8431152
9.434357538	107.8208269
9.346186139	107.7985387
9.4588134	107.7985387
9.40779013	107.8431152
9.451577556	106.9739401
9.417143907	106.9739401
9.444040246	106.9739401
9.411194407	106.99622
9.489384186	106.9516519
9.597739176	110.5620734
9.707324942	110.5620734
9.632570736	110.5620734
9.567729808	110.5620734
9.600115143	110.5175053
9.836409612	111.8101238
9.822462936	111.7655557
9.910237063	111.7209791
9.891400493	111.7432674
9.857294497	111.7209791
10.10156251	112.4118649
10.08986214	112.4118649
10.13837724	112.3672884
10.1923117	112.3450001
10.08576552	112.3450001
10.46444752	112.3227203
10.4373468	112.300432
10.4212196	112.300432
10.47402931	112.2781437
10.42161623	112.300432
10.47789026	109.514609
10.46037644	109.514609
10.54385211	109.4700325
10.47934522	109.514609
10.51476886	109.4477442
10.86531991	111.6541228
10.77054179	111.6541228
10.77695179	111.6318345
10.87490171	111.6095462
10.82334959	111.5872579
10.95132356	111.7432674
10.89917873	111.7878355
11.00995631	111.8101238
10.97922074	111.7655557
10.97188079	111.7655557
11.00643068	109.4254644
10.97126381	109.4031761
11.03266852	109.4031761
11.01766799	109.4254644
11.05077825	109.4477442
11.21937105	111.8769886
11.18698124	111.8769886
11.24508132	111.8769886
11.27363509	111.8769886
11.2421714	111.8101238
11.47949609	112.4787213
11.37566119	112.5010096
11.44221895	112.4341532
11.51564913	112.4787213
11.47771029	112.4787213
11.50315358	110.5620734
11.50645822	110.5620734
11.51148096	110.5620734
11.56415975	110.5620734
11.52780616	110.5620734
11.66920435	112.4787213
11.66735722	112.5010096
11.72551862	112.456433
11.68440926	112.4341532
11.64389007	112.456433
11.83280634	112.456433
11.85025054	112.4118649
11.84298084	112.4341532
11.82203145	112.4341532
11.87814261	112.3672884
11.94094481	110.9186604
11.8772957	110.9186604
11.85905184	110.8740924
11.79705569	110.8963721
11.91675337	110.8740924
11.95577161	107.7985387
11.96415903	107.7985387
11.92867153	107.8208269
12.00547405	107.7985387
11.95021747	107.7762504
12.26837872	111.8547003
12.26983496	111.8769886
12.12931818	111.8769886
12.23546773	111.8769886
12.23817838	111.8769886
12.40141886	112.8798849
12.41113989	112.8798849
12.44650605	112.9467413
12.46758318	112.924453
12.42290221	112.924453
12.41919775	111.0078051
12.4622232	110.9855253
12.49950673	111.0078051
12.53076476	111.0078051
12.45086071	111.0300934
12.55084552	108.7568669
12.50477602	108.7791467
12.54099548	108.7791467
12.52632451	108.7791467
12.53160913	108.7791467
12.61359023	107.6202494
12.56434894	107.6202494
12.57789451	107.5756728
12.59581135	107.5979611
12.6254854	107.5979611
12.57894326	107.3082389
12.55462152	107.2636623
12.60260585	107.2859506
12.60187773	107.2636623
12.54556602	107.2413741
12.62324995	106.3914244
12.58848545	106.3691362
12.58789018	106.3468479
12.65312327	106.3914244
12.53587182	106.3468479
12.40923273	98.27910108
12.42093373	98.25682128
12.43434773	98.27910108
12.47242198	98.27910108
12.44076029	98.30138937
12.20031874	92.35087654
12.17686053	92.3954446
12.14711494	92.37315632
12.22027942	92.37315632
