"Mugaruma et al. 1989, Spec. BL1"	
461	
6.26	-64.846
3.61	-95.331
1.2	-125.4
-1.78	-156.9
-6.1	-192.42
-9.43	-210.96
-11.65	-218.71
-13.64	-221.48
-14.67	-221.33
-15.06	-211.34
-14.72	-192.81
-13.75	-166.08
-12.6	-138.8
-11.24	-111.19
-9.49	-82.222
-7.42	-53.257
-4.25	-21.514
-3.71	-25.129
-3.15	-15.849
-1.22	14.847
1.02	45.63
3.11	75.829
5.99	105.99
9.22	137.92
14.79	168.07
16.74	176.64
20.26	189.13
23.31	196.81
26.49	199.34
26.62	196.94
25.93	168.7
24.89	141.61
23.69	114.23
22.32	86.218
20.52	58.354
17.96	28.726
14.17	-1.9767
9.89	-34.051
6.16	-66.716
3.14	-97.84
0.18	-129.54
-4.04	-164.28
-9.47	-194.05
-12.74	-208.35
-15.66	-212.4
-15.68	-193.57
-14.68	-167.01
-13.52	-139.81
-12.07	-111.66
-10.56	-83.563
-8.33	-53.664
-5.43	-21.25
-1.91	12.523
1.38	46.038
4.16	77.451
7.46	108.55
11.8	141.78
18.88	176.25
20.89	182.88
25.22	193.02
26.6	195.46
29.61	197.36
31.41	197.93
31.82	195.63
31.98	176.96
30.99	150.06
29.81	122.71
28.52	95.459
26.91	67.578
24.58	38.516
21.25	8.1679
15.7	-26.447
9.82	-61.73
5.44	-94.805
1.6	-127.87
-4.39	-166.53
-11.32	-194.14
-17.91	-203.86
-25.88	-206.78
-36.74	-192.92
-37.07	-177.21
-35.93	-150.05
-34.62	-122.49
-33.07	-94.178
-31.03	-64.77
-23.36	-7.0161
-21.1	5.6629
-20.25	9.525
-14.31	35.595
-8.42	62.016
-3.33	87.649
-2.17	93.058
4.53	124.54
5.83	132.19
10.99	148.35
16.39	165.32
20.53	174.22
23.17	178.51
30.22	184.59
34.97	184.65
36.85	183.8
37.22	157.84
36.09	130.79
34.81	103.16
33.28	75.663
31.35	47.267
