"Atalay and Penzien, 1975, Spec. 2"	
1954	
0	0
0	1.0666
0.40843	3.1998
0.66368	5.3332
1.4295	8.1327
2.2974	11.2
3.1143	13.866
3.7269	17.599
4.1354	20.133
4.4928	22.132
4.7991	24.266
5.2073	25.999
5.9731	29.065
6.4836	31.732
7.0963	33.731
7.8621	35.865
8.4237	37.731
8.8831	39.198
9.2405	41.465
9.2405	40.131
8.8831	37.065
8.6279	34.931
8.2194	32.398
7.76	29.732
7.0963	26.532
6.5347	23.865
5.871	21.066
5.3604	18.533
4.6459	15.866
3.778	12.666
3.1653	9.9995
2.6548	7.9997
1.9911	5.0663
1.7868	4.2664
1.3274	1.9999
0.61262	-0.66662
0.15316	-2.3999
-1.0721	-8.1327
-1.8889	-11.866
-2.5527	-14.533
-3.3696	-17.599
-4.1354	-20.665
-4.5949	-22.532
-5.6667	-26.799
-6.5857	-30.265
-7.4536	-32.398
-7.9642	-33.865
-8.5768	-35.732
-9.2405	-37.465
-9.0874	-33.598
-9.0874	-31.865
-8.781	-29.598
-8.4747	-27.732
-7.9642	-25.199
-7.3515	-22.666
-6.6878	-19.732
-5.9731	-16.933
-5.0541	-14.533
-4.2885	-12.266
-3.6248	-10.133
-2.808	-7.4664
-2.0932	-4.9333
-1.0211	-0.13333
-0.051051	3.1998
0.61262	5.8665
1.3274	8.9329
2.0932	12.533
3.2164	16.799
4.4417	21.332
5.1562	23.999
5.6667	25.999
6.2794	28.265
6.841	30.399
7.4026	32.265
7.9642	34.132
8.6279	36.265
9.3426	38.665
9.8532	40.265
8.2194	33.465
7.6068	29.465
6.7389	24.799
6.2283	22.265
5.7178	19.999
5.0541	17.866
4.5438	15.733
3.8801	13.066
3.1653	9.9995
2.3995	7.1995
1.6337	4.2664
1.0721	1.1999
0.051051	-3.5998
-0.30632	-5.1997
-0.91895	-7.9997
-1.3274	-10.133
-1.6847	-11.999
-2.859	-16.399
-3.6759	-19.866
-3.829	-20.532
-4.4417	-22.799
-5.7688	-25.599
-6.3815	-27.199
-6.9941	-28.799
-7.4536	-30.399
-7.9642	-32.132
-8.3215	-33.731
-8.6789	-35.598
-8.781	-36.531
-7.5557	-29.465
-7.3005	-27.732
-7.0963	-26.265
-6.9431	-24.799
-6.7389	-23.332
-6.4325	-21.199
-6.0752	-19.466
-5.7178	-17.466
-5.1562	-14.932
-4.697	-13.466
-4.4417	-12.933
-3.9312	-10.533
-3.3185	-8.2662
-2.859	-6.6662
-2.2463	-4.1331
-1.2253	-0.53332
-0.45949	1.8666
0.51051	5.733
1.5826	10.399
2.7059	14.799
3.2675	17.333
3.9312	20.532
4.3906	23.199
5.4625	27.599
5.9731	29.865
6.3815	31.465
6.9431	34.132
8.1173	37.332
8.5768	38.932
9.1895	41.064
9.0363	39.331
8.9342	37.598
8.1684	32.132
7.8621	29.865
6.9941	25.199
6.2794	21.599
5.7688	18.666
4.748	15.999
4.1354	13.333
3.1143	10.399
2.1442	6.3998
1.6337	3.1998
0.97	0.79997
0.051051	-1.8666
-0.61262	-4.6664
-1.4805	-7.5994
-2.1442	-9.8661
-4.0843	-16.933
-5.2073	-21.599
-6.2794	-25.599
-6.9941	-27.599
-7.9642	-29.732
-8.6789	-30.932
-9.5468	-32.665
-8.8321	-29.598
-8.2705	-27.065
-7.5047	-23.865
-6.6368	-20.399
-5.7178	-17.066
-4.8501	-13.999
-3.9822	-11.2
-3.2164	-8.666
-2.4505	-6.1329
-1.6847	-3.5998
-1.0211	-0.93328
-0.35738	1.1999
0.25527	3.7332
0.76578	5.733
1.2253	7.8663
1.9911	11.333
3.1653	16.266
3.829	19.199
4.5949	22.799
5.2073	25.732
6.0752	29.065
6.9431	33.332
7.5557	35.465
8.6279	39.198
9.3426	40.532
9.1895	38.531
8.8321	35.198
8.2194	31.332
7.811	29.332
7.4536	27.332
5.7178	19.199
4.697	15.599
3.1653	9.9995
1.7868	4.7998
0.91895	1.0666
0	-2.5332
-1.2763	-7.7328
-2.1442	-11.333
-2.859	-14.533
-4.0333	-19.332
-5.003	-23.599
-6.0241	-27.332
-7.1473	-31.065
-8.4237	-34.532
-9.0874	-36.132
-9.4447	-37.198
-9.0363	-33.731
-8.73	-30.798
-8.2705	-27.332
-7.76	-24.665
-6.892	-20.799
-6.2283	-17.466
-5.4625	-14.533
-3.1653	-7.5994
-2.2463	-4.3998
-0.86789	0
0.40843	4.533
1.6337	9.1994
2.859	13.733
3.9822	19.199
5.2583	23.865
6.2794	27.199
7.1473	30.132
8.6279	35.198
9.1895	37.065
9.8532	39.198
10.67	41.198
11.997	45.33
13.325	49.333
14.295	52.397
15.009	54.266
15.571	55.729
15.928	56.797
16.286	57.597
16.643	58.665
16.847	59.332
17.256	60.528
17.562	60.929
17.817	61.196
17.97	61.196
18.175	61.196
18.481	60.662
18.838	60.262
19.298	60.133
19.553	60.133
19.757	60.262
20.013	60.662
20.523	60.795
20.625	59.465
20.625	58.531
20.676	57.063
20.676	55.596
20.574	54.266
19.655	50.262
19.043	47.731
18.226	45.33
17.358	41.731
16.745	39.731
16.184	37.998
