"""Matamoros et. al 1999 Specimen c10-05 North"""	
1817	
0.198882	-0.443487694
0.15113	-0.75174945
0.158496	-0.765094115
0.209042	-0.578268808
0.209042	-0.622751024
0.203962	-1.00084986
0.3175	5.604759216
0.38862	11.3874473
2.8956	32.5164999
3.4544	36.74231042
3.9878	40.43433434
4.0386	38.87745678
4.5974	42.70292736
5.1816	46.26150464
5.2324	46.26150464
5.7658	49.82008192
5.7658	48.9304376
5.7658	48.48561544
6.3754	51.1545484
6.9596	54.26830352
7.5692	55.60277
7.5946	55.15794784
7.5946	55.15794784
8.1534	58.71652512
8.763	61.38545808
9.3726	63.16474672
10.6426	68.05779048
10.6426	67.16814616
10.6426	67.16814616
11.303	69.39225696
11.9888	68.9474348
12.6238	70.28190128
13.2842	68.9474348
12.8524	62.2751024
12.2936	57.8268808
11.7094	54.26830352
11.1252	50.26490408
11.1252	50.26490408
10.541	46.7063268
9.9822	42.83637401
9.398	39.23331451
7.4676	30.33687131
6.858	26.6893296
6.2992	23.21971675
5.7404	19.7501039
5.1308	15.52429338
4.6736	11.74330502
4.3688	8.985407632
3.9624	5.871652512
2.53238	-0.800679888
2.21996	-3.772091917
1.71196	-7.7843878
1.14046	-11.03158957
-0.13081	-18.23770856
-0.70866	-21.21801703
-1.24968	-24.10936107
-1.82372	-27.26759841
-2.794	-34.29578854
-3.3274	-37.63195474
-3.9116	-39.63365446
-4.445	-42.70292736
-5.0292	-46.26150464
-5.588	-48.48561544
-6.1468	-51.59937056
-6.731	-53.3786592
-8.0264	-58.71652512
-8.0264	-57.38205864
-8.1026	-55.60277
-8.6868	-59.60616944
-9.2202	-62.71992456
-9.8298	-64.94403536
-10.4394	-65.38885752
-11.049	-65.83367968
-11.7094	-65.83367968
-12.3444	-66.27850184
-12.9286	-66.27850184
-12.4206	-60.94063592
-11.8364	-56.93723648
-11.2776	-52.93383704
-10.16	-46.26150464
-9.5758	-41.94672969
-9.017	-38.47711684
-8.4836	-35.05198621
-7.6962	-29.84756694
-7.1374	-25.88864971
-6.5786	-22.33007243
-5.9944	-19.21631731
-5.0546	-15.79118668
-4.4958	-10.98710735
-3.9116	-7.7843878
-3.3274	-4.89304376
-2.33172	0.52933837
-1.77546	2.637795409
-1.28016	4.439325157
-0.8509	6.00509916
0.057912	9.608158656
0.61722	11.43192951
0.7493	12.36605605
1.25984	14.50120242
2.6924	19.12735288
3.302	21.66283919
3.8862	24.24280772
4.445	26.55588295
5.0292	29.89204915
5.6388	32.56098211
6.2484	35.05198621
6.8072	37.85436582
7.4168	40.70122764
7.4168	40.21192326
