"Pujol 2002, No. 20-3-3S"	
12980	
0.38	33.752
0.38	33.730
0.43	33.796
0.41	33.752
0.45	33.707
0.46	35.824
0.44	35.802
0.44	35.802
0.48	35.824
0.44	35.802
0.40	35.891
0.38	35.869
0.43	35.936
0.41	35.869
0.41	35.891
0.48	38.477
0.47	38.499
0.50	38.543
0.47	38.543
0.49	38.521
0.51	38.499
0.53	38.521
0.53	38.543
0.55	38.566
0.53	38.499
0.52	40.326
0.54	40.349
0.58	40.326
0.54	40.349
0.53	40.393
0.55	40.326
0.58	40.304
0.58	40.326
0.55	40.349
0.55	40.326
0.54	42.421
0.55	42.444
0.56	42.421
0.58	42.354
0.58	42.399
0.63	44.672
0.63	44.650
0.64	44.650
0.64	44.650
0.64	44.695
0.67	44.672
0.66	44.650
0.66	44.695
0.69	44.650
0.69	44.628
0.68	44.672
0.68	44.672
0.66	44.672
0.69	44.650
0.68	44.695
0.68	46.968
0.72	47.012
0.72	47.035
0.73	46.968
0.69	47.012
0.70	47.057
0.72	47.035
0.68	47.035
0.71	47.035
0.71	47.012
0.79	47.012
0.74	46.990
0.74	47.012
0.76	46.990
0.78	46.968
0.79	43.647
0.78	43.625
0.81	43.625
0.80	43.625
0.83	43.669
0.77	47.926
0.80	47.971
0.78	47.948
0.82	47.971
0.78	47.948
0.84	50.444
0.86	50.422
0.85	50.378
0.84	50.400
0.87	50.378
0.79	49.776
0.80	49.709
0.81	49.709
0.84	49.731
0.79	49.754
0.88	52.495
0.89	52.450
0.86	52.473
0.83	52.428
0.85	52.473
0.90	51.915
0.91	51.893
0.89	51.893
0.86	51.893
0.91	51.915
0.98	54.924
0.95	54.969
0.99	54.946
0.96	54.946
1.01	54.880
0.97	54.010
1.01	54.010
0.98	53.988
1.00	53.988
1.02	54.033
1.08	58.490
1.10	58.490
1.09	58.490
1.12	58.423
1.08	58.445
1.10	57.175
1.15	57.175
1.11	57.220
1.08	57.197
1.12	57.175
1.17	61.788
1.13	61.811
1.15	61.811
1.15	61.788
1.18	61.788
1.20	60.496
1.20	60.473
1.19	60.496
1.19	60.496
1.19	60.540
1.32	64.886
1.32	64.908
1.36	64.864
1.36	64.864
1.39	64.998
1.39	67.249
1.34	67.182
1.40	67.226
1.38	67.226
1.40	67.182
1.51	65.220
1.52	65.220
1.54	65.220
1.51	65.265
1.50	65.220
1.52	64.708
1.47	64.708
1.46	64.775
1.49	64.708
1.50	64.708
1.46	63.928
1.48	63.883
1.49	63.906
1.47	63.950
1.52	63.950
1.54	67.494
1.55	67.516
1.57	67.494
1.57	67.516
1.62	67.516
1.70	71.149
1.71	71.149
1.70	71.193
1.72	71.149
1.71	71.104
1.76	69.165
1.78	69.098
1.80	69.076
1.80	69.098
1.75	69.031
1.81	72.174
1.82	72.152
1.82	72.085
1.85	72.062
1.85	72.085
1.89	74.180
1.89	74.157
1.89	74.157
1.90	74.157
1.95	74.113
1.98	75.472
1.96	75.428
1.95	75.428
1.95	75.383
1.93	75.361
2.08	77.946
2.11	77.946
2.10	77.991
2.12	77.924
2.14	77.902
2.13	76.654
2.19	76.631
2.17	76.676
2.21	76.676
2.18	76.654
2.24	74.045
2.25	74.000
2.24	74.022
2.23	74.000
2.25	74.045
2.34	76.786
2.29	76.786
2.28	76.786
2.29	76.786
2.27	76.808
2.32	78.457
2.35	78.457
2.31	78.502
2.33	78.413
2.30	78.413
2.39	79.928
2.39	79.906
2.40	79.884
2.41	79.928
2.40	79.884
2.47	82.313
2.45	82.335
2.48	82.268
2.51	82.291
2.51	82.291
2.59	84.586
2.55	84.519
2.55	84.542
2.60	84.542
2.61	84.497
2.77	86.793
2.77	86.837
2.81	86.748
2.79	86.726
2.76	86.748
2.84	83.851
2.85	83.895
2.87	83.851
2.90	83.851
2.87	83.828
2.92	87.149
2.96	87.149
2.94	87.127
2.98	87.149
2.95	87.105
3.09	89.088
3.06	89.177
3.09	89.110
3.09	89.088
3.11	89.088
3.21	85.901
3.21	85.856
3.18	85.901
3.17	85.923
3.20	85.901
3.22	85.856
3.17	85.879
3.17	85.834
3.20	85.834
3.19	85.834
3.26	85.812
3.24	85.767
3.27	85.812
3.22	85.790
3.25	85.812
3.27	89.779
3.26	89.779
3.25	89.779
3.26	89.801
3.26	89.779
3.39	91.740
3.42	91.740
3.42	91.718
3.44	91.696
3.43	91.718
3.52	93.077
3.52	93.033
3.57	93.033
3.54	92.966
3.58	92.944
3.85	95.952
3.78	95.952
3.81	95.930
3.77	95.930
3.78	95.930
3.79	93.166
3.80	93.189
3.81	93.189
3.85	93.166
3.84	93.144
3.93	96.264
3.91	96.220
3.93	96.220
3.95	96.197
3.97	96.242
4.12	98.248
4.13	98.203
4.13	98.226
4.14	98.248
4.12	98.203
4.31	100.944
4.34	100.922
4.36	100.922
4.34	100.922
4.31	100.878
4.48	102.772
4.48	102.727
4.51	102.750
4.50	102.750
