Bayrak_&_Sheikh_02_RS-16HT	
28	
0	0
12.03715019	111.1100798
13.63803006	131.9379989
17.5241354	148.078708
20.72589515	154.3252274
25.75257648	153.2856878
27.81376023	150.1670689
27.12534115	140.792649
26.89722596	138.7042881
29.18245142	140.2728792
33.75697584	138.1845183
35.58597092	134.0263598
38.55554198	131.4182291
41.07295613	129.3391498
40.84484093	119.4449601
38.09931158	111.6298496
38.09931158	110.0705402
39.92830665	106.4228699
40.84484093	97.05773158
38.78773066	86.11472062
36.72654691	75.70076109
39.24396106	72.06237238
47.24428694	60.0891034
54.56026722	50.19491368
57.53391177	43.41934286
56.16114709	34.57397438
48.84516681	8.539075552
47.01617174	0.204195285
