"""Mo and Wang, 2000 Test C2-3"""	
779	
-0.0889	0.24
0.4004	5.37
0.875	27.59
2.0482	31.49
2.4171	31.49
1.9047	40.28
1.407	35.16
0.6034	10.99
-0.3325	-3.42
-1.4427	-25.15
-2.5186	-37.35
-2.3142	-30.76
-2.6831	-41.75
-3.3873	-51.27
-3.2599	-66.41
-4.1531	-84.96
-4.2301	-84.47
-3.7478	-60.3
-2.6656	-36.38
-1.4364	-13.92
-0.3542	0.24
0.2604	16.36
1.1683	34.67
1.4812	34.18
1.3188	32.71
1.5337	39.55
1.4483	33.45
-0.0189	10.25
-1.2831	-3.42
-2.219	-24.66
-2.6593	-33.2
-3.0072	-34.42
-3.4944	-41.02
-3.0023	-49.07
-3.4342	-60.55
-4.1531	-81.54
-4.6767	-81.79
-3.2382	-58.11
-2.4843	-34.67
-1.5694	-12.45
-1.5694	-12.45
-0.4452	10.5
-0.2527	30.76
0.0021	31.98
1.0199	46.39
2.3667	78.86
4.3995	112.79
3.6519	84.96
1.8018	42.48
-0.056	1.71
-1.0878	-31.49
-1.7129	-30.27
-1.8767	-34.18
-3.5245	-65.43
-5.2983	-103.27
-7.2744	-132.57
-8.6786	-157.23
-7.6447	-132.08
-5.9619	-95.21
-3.9781	-58.35
-2.6866	-19.78
-1.0948	7.57
-0.3227	30.52
0.0091	33.69
0.9989	46.39
2.702	78.61
4.2385	113.28
3.3236	86.67
1.4665	45.41
-0.07	4.88
-1.2978	-26.37
-1.2236	-23.93
-1.8074	-37.84
-3.3992	-57.62
-5.3123	-91.06
-7.1071	-122.31
-8.6576	-153.56
-7.6237	-130.62
-5.9409	-94.24
-3.9501	-58.84
-2.3443	-20.75
-2.3443	-20.75
-0.4382	13.18
-2.1994	25.39
0.6629	40.04
3.3586	89.11
6.1033	138.18
9.016	176.51
7.3115	141.36
4.3855	87.16
1.7178	36.87
0.7861	-9.77
0.3997	-28.56
-1.848	-43.21
-4.683	-88.87
-7.4137	-135.01
-10.1864	-176.76
-13.4694	-208.5
-12.1429	-177
-8.8879	-129.39
-6.1712	-85.21
-3.6785	-37.84
-2.0895	3.66
-2.2764	28.32
0.2023	35.89
3.3866	82.03
6.1243	127.69
8.7157	173.83
7.3325	141.36
4.8671	88.87
2.1854	40.04
1.1354	-5.13
0.4907	-31.25
-1.876	-33.69
-4.711	-80.81
-7.777	-122.56
-10.3614	-162.84
-13.0018	-203.61
-11.6606	-174.07
-8.8809	-127.93
-6.1502	-84.72
-4.0068	-37.84
-2.3443	-20.75
-0.4382	13.18
-2.1994	25.39
0.6629	40.04
3.3586	89.11
6.1033	138.18
9.016	176.51
7.3115	141.36
4.3855	87.16
1.7178	36.87
0.7861	-9.77
0.3997	-28.56
-1.848	-43.21
-4.683	-88.87
-7.4137	-135.01
-10.1864	-176.76
-13.4694	-208.5
-12.1429	-177
-8.8879	-129.39
-6.1712	-85.21
-3.6785	-37.84
-2.0895	3.66
-2.2764	28.32
0.2023	35.89
3.3866	82.03
6.1243	127.69
8.7157	173.83
7.3325	141.36
4.8671	88.87
2.1854	40.04
1.1354	-5.13
0.4907	-31.25
-1.876	-33.69
-4.711	-80.81
-7.777	-122.56
-10.3614	-162.84
-13.0018	-203.61
-11.6606	-174.07
-8.8809	-127.93
-6.1502	-84.72
-4.0068	-37.84
-4.0068	-37.84
-0.4102	10.74
-1.6415	28.32
1.9334	63.72
5.733	126.22
9.3086	186.28
13.0452	232.91
11.5164	186.04
7.6258	120.61
4.0782	61.52
2.1	1.46
0.5684	-31.25
-2.9932	-52.25
-6.3105	-107.42
