"Zhou et al. 1985, specimen 806"	
0.061475	-3.2589
0.0061475	-3.9661
-0.0061475	-4.3965
-0.0245895	-4.7345
0	-5.411
-0.061475	-6.1489
-0.12295	-6.7022
-0.209015	-7.7782
-0.31967	-8.5775
-0.42418	-9.408
-0.49794	-10.053
-0.5533	-10.853
-0.61475	-11.499
-0.82375	-14.02
-1.11885	-17.248
-1.3524	-19.615
-1.46925	-20.661
-1.5061	-21.06
-1.56145	-21.46
-1.5861	-21.644
-1.6045	-21.829
-1.6106	-21.829
-1.62295	-20.875
-1.62295	-20.199
-1.62295	-19.83
-1.61685	-19.369
-1.5799	-18.447
-1.54305	-17.77
-1.5123	-17.278
-1.37085	-15.004
-1.2972	-13.558
-1.168	-11.591
-1.1004	-10.453
-1.01435	-9.2234
-0.9221	-7.8707
-0.83605	-6.6409
-0.75	-5.5342
-0.61475	-3.8431
-0.4795	-2.1214
-0.387285	-0.92234
-0.27663	0.39968
-0.209015	1.568
-0.129095	3.6279
-0.012295	5.411
0.0491795	6.9789
0.15983	8.8546
0.22131	10.33
0.32582	12.236
0.473355	13.927
0.56555	15.126
0.66395	16.51
0.90985	18.908
0.9713	19.984
1.0328	20.937
1.18645	22.167
1.40155	23.981
1.5922	25.395
1.73975	26.287
1.8504	26.871
1.9242	27.27
1.99795	27.67
2.06555	28.039
2.17625	29.085
2.26845	29.669
2.33605	29.976
2.40375	30.222
2.42825	30.13
2.4836	29.853
2.52045	29.638
2.5451	29.207
2.5574	28.839
2.5512	26.871
2.42825	24.596
2.26845	21.921
2.00405	18.754
1.89345	17.371
1.73975	15.311
1.62295	13.558
1.55535	12.359
1.4816	11.345
1.37085	9.5307
1.3156	8.5161
1.1803	6.5488
1.0881	5.2575
1.0082	3.6586
0.8791	1.9984
0.78075	0.52264
0.66395	-1.0146
0.56555	-2.4903
0.48565	-3.8431
0.313525	-5.5342
0.172135	-6.9482
0.104505	-7.7782
-0.030738	-9.0695
-0.190575	-10.699
-0.30738	-11.929
-0.454915	-13.558
-0.5717	-15.034
-0.7746	-16.91
-0.959	-18.662
-1.17415	-20.661
-1.34635	-21.982
-1.45085	-22.874
-1.65365	-24.258
-1.82575	-25.518
-1.97955	-26.502
-2.1209	-27.209
-2.37285	-28.316
-2.4713	-28.869
-2.53275	-29.269
-2.60655	-29.669
-2.6434	-29.669
-2.71105	-29.669
-3.0368	-28.9
-3.20905	-28.561
-3.33805	-28.347
-3.41795	-28.285
-3.48565	-28.223
-3.51015	-28.193
-3.5532	-27.27
-3.55945	-27.147
-3.57175	-26.594
-3.57175	-25.948
-3.5532	-25.18
-3.461	-24.165
-3.31965	-22.874
-3.12905	-21.214
-2.99375	-20.107
-2.87085	-18.785
-2.668	-16.541
-2.53275	-15.034
-2.42215	-13.681
-2.26225	-11.96
-2.07785	-10.299
-1.89955	-8.5468
-1.7705	-7.2249
-1.63525	-5.8109
-1.5061	-4.6731
-1.34635	-3.4742
-1.17415	-2.1521
-1.0389	-1.1683
-0.8422	0.36893
-0.79305	0.64563
-0.7131	1.1683
-0.6762	1.445
-0.59015	3.0437
-0.5287	4.5196
-0.4795	6.1796
-0.374995	7.8089
-0.270485	9.162
-0.14139	10.761
-0.030738	12.083
0.104505	13.343
0.196725	14.266
0.368845	16.202
0.57785	17.863
0.75	19.246
0.8914	20.353
1.05735	21.398
1.2541	22.812
1.3894	24.012
1.52465	25.088
1.65975	26.01
1.90575	27.24
2.17625	28.685
2.3053	29.269
2.43445	29.822
2.52045	30.191
2.6312	30.56
2.7602	30.929
2.834	31.175
2.9078	31.39
2.98765	31.605
3.12295	31.544
3.21515	31.083
3.23975	30.529
3.24585	30.068
3.25195	29.392
3.23355	28.162
3.1783	27.24
3.0861	26.225
2.99375	25.395
2.8278	23.52
2.71105	21.921
2.52665	20.076
2.32995	17.924
2.16395	16.264
1.99175	14.112
1.8627	12.359
1.795	11.529
1.6967	10.177
1.5983	8.9467
1.46305	7.4402
1.334	5.5956
1.2418	4.4272
1.168	3.5049
1.05735	2.767
0.9037	2.0291
0.6885	0.98381
0.48565	-0.030745
0.40574	-0.70714
0.32582	-1.8139
0.233605	-2.8593
0.12295	-3.9968
0.018443	-5.2264
-0.09836	-6.3028
-0.245895	-7.5322
-0.418035	-9.3773
-0.46721	-9.8999
-0.6086	-10.33
-0.6885	-11.406
-0.79305	-12.421
-0.88525	-13.282
-0.9836	-13.989
-1.0512	-14.512
-1.1496	-15.157
-1.2541	-15.803
-1.3524	-16.356
-1.4139	-16.633
-1.53685	-17.248
-1.62295	-17.863
-1.72745	-18.601
-1.8504	-19.307
-1.93025	-19.799
-2.041	-20.537
-2.18235	-21.152
-2.3114	-21.798
-2.4774	-22.382
-2.5451	-22.659
-2.68035	-23.243
-2.7663	-23.581
-2.96925	-24.35
-3.04915	-24.718
-3.0861	-24.842
-3.166	-24.842
-3.20905	-24.78
-3.2827	-24.596
-3.32575	-24.504
-3.40575	-24.473
-3.4426	-24.504
-3.49795	-24.811
-3.55945	-25.334
-3.59015	-25.641
-3.6086	-25.887
-3.7315	-26.072
-3.8237	-26.194
-3.92215	-26.256
-3.9836	-26.164
-4.03275	-26.072
-4.1741	-25.918
-4.19265	-25.856
-4.2602	-25.795
-4.2602	-25.795
-4.2602	-25.795
-4.2602	-25.795
