"Ohno and Nishioka 1984, Specimen L3"	
1548	
0	0
0.17389	10.162
0.4637	16.882
0.8115	23.111
1.6809	35.568
2.2026	41.141
2.9561	47.696
3.7097	54.088
4.811	62.285
5.4486	67.365
5.9703	71.626
6.6078	76.216
7.3035	80.971
7.9411	85.397
8.7526	90.312
9.3901	93.755
9.7379	95.721
9.9118	92.772
9.5641	87.528
9.0424	80.971
8.5207	74.415
8.173	68.677
7.7092	63.433
7.1295	57.695
5.9703	44.419
5.2748	38.682
4.637	32.945
3.9416	25.406
3.304	18.849
2.7823	13.768
2.2606	9.0148
1.7969	3.4421
1.5071	-0.49173
1.0434	-4.9173
0.69555	-9.6704
0.52167	-15.407
0.11593	-19.669
-0.17389	-24.914
-0.4637	-29.339
-0.86947	-33.765
-1.623	-43.6
-2.3186	-49.502
-3.0721	-57.041
-3.8837	-62.779
-4.5212	-67.365
-5.5646	-75.398
-6.0861	-77.199
-6.8397	-79.659
-7.2454	-82.937
-7.8831	-88.511
-8.4049	-94.413
-7.1295	-77.364
-6.6657	-71.301
-5.8544	-63.922
-4.9268	-53.928
-4.0574	-43.763
-3.2459	-35.24
-2.6662	-29.176
-1.1013	-11.637
-0.34778	-1.4752
1.2752	12.949
2.3765	23.767
3.4778	33.765
5.6225	50.974
6.6078	60.644
7.3035	65.893
7.999	71.466
8.4049	76.052
8.9845	81.301
9.3901	85.562
9.9118	90.148
10.434	94.084
10.781	97.691
11.245	96.869
12.23	96.379
12.694	96.544
13.622	97.362
14.839	98.016
15.94	98.999
16.983	99.164
17.969	99.328
18.896	99.657
19.882	99.822
19.534	94.249
19.302	90.312
18.954	86.545
18.49	80.478
17.969	75.069
17.621	69.989
17.099	64.745
16.346	56.223
15.708	49.826
15.128	44.419
14.491	38.846
13.911	34.257
13.1	27.373
12.462	22.292
11.651	16.555
10.955	11.146
10.202	5.2451
9.5059	0
8.8105	-5.5729
8.173	-10.818
7.5352	-15.571
6.1443	-23.275
5.2748	-28.848
3.0142	-39.83
2.1446	-43.763
0.69555	-50.485
-1.2172	-57.86
-2.0867	-61.631
-2.9561	-65.564
-4.1153	-70.972
-5.5065	-80.313
-6.4341	-86.216
-7.0716	-91.295
-7.7671	-95.721
-8.4049	-99.164
-8.9845	-102.44
-10.202	-102.44
-11.419	-102.77
-12.636	-103.42
-13.911	-104.74
-15.708	-106.38
-17.795	-106.7
-18.954	-107.36
-19.997	-108.67
-19.766	-102.12
-19.186	-92.772
-18.548	-86.38
-17.911	-80.153
-17.389	-74.58
-16.752	-68.348
-16.172	-63.268
-15.418	-56.547
-14.723	-50.81
-14.027	-42.78
-12.984	-34.421
-12.056	-26.881
-11.071	-20.653
-10.202	-14.588
-9.3322	-9.0148
-8.4049	-3.7699
-7.4773	1.1474
-6.3759	6.72
-5.0429	13.441
-3.9416	18.521
-2.8981	23.111
-1.2752	28.52
8.3467	60.809
9.5641	65.399
10.955	70.154
14.027	81.625
15.824	87.363
17.853	93.426
19.534	97.527
19.534	93.92
19.012	88.182
18.606	82.448
18.027	75.727
17.447	69.825
16.809	60.319
15.708	49.008
14.781	41.469
14.201	36.879
13.564	31.306
12.346	22.127
11.419	15.08
10.086	7.212
8.7526	0.98345
6.492	-11.309
5.2167	-17.374
3.6518	-24.422
2.3186	-29.995
1.1013	-35.568
-0.17389	-40.485
-1.2752	-44.747
-4.3472	-55.075
-11.361	-83.267
-12.636	-89.165
-13.969	-94.903
-15.186	-99.328
-16.346	-103.1
-17.041	-104.57
-18.548	-106.38
-20.171	-108.67
-19.186	-95.067
-18.606	-86.709
-17.911	-78.841
-17.157	-71.791
-16.462	-66.217
-15.882	-61.138
-15.245	-55.075
-14.375	-48.519
-13.564	-42.288
-12.868	-37.535
-11.825	-31.47
-10.955	-26.061
-10.086	-21.636
-8.7526	-14.915
-6.492	-2.7864
-4.4051	6.0644
-2.3765	14.096
-0.28981	22.783
1.9708	32.945
3.9416	39.994
10.607	64.581
12.694	72.614
14.317	79.33
16.809	88.346
18.375	93.92
20.056	97.362
19.997	93.755
19.824	89.165
19.476	84.903
19.07	79.17
17.737	64.91
16.926	58.513
15.302	45.73
14.143	36.551
13.216	30.487
12.52	26.061
11.361	19.177
10.434	14.424
9.5059	9.3426
7.999	1.4752
4.6952	-15.407
2.2026	-25.898
0.63759	-31.47
-0.86947	-37.699
-2.6083	-44.582
-4.3472	-51.139
-5.3327	-55.235
-12.752	-82.284
-15.418	-93.101
-16.752	-97.033
-17.969	-101.29
-19.476	-104.41
-20.635	-105.39
-18.954	-89.987
-17.389	-74.744
-16.114	-62.45
-15.071	-53.269
-12.694	-37.207
-11.187	-27.7
-9.8539	-19.997
-8.4049	-12.949
-7.0716	-6.2285
-5.5065	0.98345
-3.5938	8.6869
-1.9128	16.063
-0.28981	23.111
1.1013	29.667
3.0721	36.879
4.8689	42.944
10.897	64.91
13.332	75.563
15.882	85.068
17.389	91.789
19.708	97.033
19.244	90.97
18.664	84.579
18.201	76.546
17.505	69.496
16.867	64.087
16.23	58.189
15.36	51.139
14.723	46.224
14.143	41.305
13.216	34.749
12.346	29.176
11.187	22.292
10.144	16.391
8.9263	9.3426
8.0569	4.0977
6.8397	-1.3113
5.3906	-7.0479
4.3472	-12.457
2.7244	-19.341
1.5071	-24.914
0.28981	-30.159
-0.98539	-35.076
-2.5504	-41.141
-3.5357	-45.241
-4.6952	-49.337
-5.6805	-53.269
-6.8397	-57.86
-13.216	-81.625
-15.071	-88.675
-16.288	-92.937
-17.447	-96.544
-18.49	-99.164
-20.229	-102.94
-19.36	-93.92
-18.316	-84.25
-17.447	-75.727
-16.462	-67.2
-15.476	-59.172
-14.433	-51.957
-13.274	-43.928
-12.115	-34.912
-10.375	-26.225
-9.0424	-19.669
-7.8831	-13.932
-6.7818	-8.5233
-5.4486	-1.6391
-2.8402	9.3426
-0.75352	19.013
1.6809	29.504
3.7097	36.879
10.549	64.581
14.839	81.954
16.404	88.675
18.201	94.249
19.592	97.527
19.36	91.295
18.78	85.562
18.259	78.676
17.795	72.614
17.273	66.876
16.635	60.809
15.766	54.088
15.013	48.19
14.143	41.961
13.332	36.388
12.52	31.143
11.709	26.553
10.839	21.144
8.4049	6.72
7.3614	0.49173
6.2601	-4.2616
3.5938	-15.08
1.7389	-23.275
0.057963	-29.831
-2.2606	-37.699
-3.9416	-44.419
-5.0429	-49.008
-6.3759	-53.434
-7.4193	-57.695
-8.2888	-60.809
-9.1582	-64.581
-11.361	-76.875
-13.1	-84.25
-14.491	-89.987
-15.94	-95.067
-17.447	-99.657
-18.606	-102.94
-20.056	-105.07
-19.128	-92.607
-18.375	-84.414
-17.447	-73.921
-16.52	-65.234
-15.245	-54.581
-13.911	-45.076
-12.984	-38.682
-11.941	-32.29
-9.7958	-23.111
-8.115	-14.588
-6.6078	-7.212
-4.811	1.1474
-1.8548	13.276
-0.23186	20.653
1.9128	29.995
3.304	35.568
11.825	68.513
13.796	77.529
15.476	83.92
16.404	88.017
18.722	90.641
21.215	92.772
23.012	94.249
23.881	95.396
25.735	96.704
26.607	96.869
28.461	96.869
30.315	96.215
30.142	91.954
29.736	85.726
29.098	79.659
28.461	73.432
27.823	67.04
27.069	61.467
26.431	56.223
25.156	46.224
24.287	39.666
23.533	34.585
22.316	28.028
21.041	21.964
19.94	15.735
17.853	4.5894
15.128	-5.7366
13.679	-11.146
12.288	-16.391
10.317	-23.603
8.6947	-28.848
6.6078	-34.585
1.9128	-47.207
-8.3467	-73.921
-10.434	-79.659
-12.636	-85.233
-14.839	-90.806
-16.346	-95.721
-18.027	-100.48
-19.534	-104.41
-20.056	-104.74
-23.244	-105.07
-25.735	-105.56
-28.519	-105.72
-30.78	-105.56
-30.025	-98.345
-28.923	-88.346
-27.996	-79.33
-27.127	-70.643
-26.083	-61.792
-24.287	-49.173
-21.099	-30.815
-16.926	-12.949
-14.955	-4.9173
-11.883	3.7699
-9.1582	12.293
-6.9555	19.177
-5.4486	23.603
-4.5212	26.553
13.158	71.301
16.288	79.495
17.389	82.608
19.997	89.658
22.49	92.443
24.982	94.413
26.896	96.215
28.867	97.691
29.619	98.674
29.619	91.954
28.981	84.579
28.285	76.71
27.534	68.677
26.838	62.614
26.259	57.53
25.563	52.451
24.461	44.911
23.127	36.388
21.852	29.176
20.577	23.111
19.244	15.571
17.795	7.8676
16.056	0.98345
15.128	-2.6225
13.564	-8.0313
12.346	-11.637
11.071	-15.735
10.086	-19.177
8.2888	-23.931
5.7384	-30.979
3.0142	-38.355
0.86947	-44.419
-1.7389	-51.139
-4.1735	-56.547
-6.318	-61.467
-8.7526	-67.365
-17.795	-85.562
-21.62	-92.772
-23.186	-95.561
-28.867	-103.59
-30.836	-106.21
-30.198	-99.493
-29.213	-91.135
-28.171	-81.625
-27.3	-72.774
-26.431	-65.399
-25.621	-58.678
-24.461	-50.81
-20.287	-28.028
-18.896	-21.8
-17.505	-15.407
-15.94	-9.0148
-14.665	-3.606
-9.9698	10.162
-7.5352	15.899
-5.6225	21.636
-4.3472	25.078
-3.188	29.012
-1.2172	33.437
3.5938	44.582
11.941	64.745
15.186	72.284
19.766	82.608
22.2	88.182
23.475	89.494
25.911	91.624
28.575	94.084
30.49	96.05
30.432	93.266
29.619	86.709
28.692	78.841
27.648	70.154
26.896	62.939
26.025	56.058
25.098	49.173
24.229	42.452
23.07	35.076
21.62	27.373
20.519	22.127
19.302	15.735
18.085	9.9982
17.389	5.5729
14.259	-5.5729
12.578	-10.654
11.245	-15.08
9.7379	-19.997
7.5352	-26.553
4.6952	-33.929
1.4491	-42.124
-0.69555	-48.19
-2.8981	-53.598
-5.4486	-59.826
-8.2309	-66.057
-16.578	-82.608
-19.36	-88.017
-22.432	-94.249
-24.808	-98.016
-26.779	-101.29
-29.157	-104.08
-30.78	-105.56
-29.967	-96.544
-28.923	-86.051
-27.937	-77.035
-27.3	-70.808
-26.2	-62.121
-25.214	-55.729
-24.171	-48.679
-23.012	-39.994
-21.505	-31.634
-19.012	-21.8
-17.621	-15.407
-16.114	-9.5067
-14.955	-3.9338
-13.1	0.16391
-10.781	6.0644
-8.9263	11.309
-6.6657	17.21
-5.1008	21.144
-3.7097	24.914
-2.1446	28.848
-0.52167	33.765
2.8981	41.961
6.2601	49.666
11.593	61.467
14.897	69.171
17.157	74.25
18.896	78.512
21.505	84.903
23.359	87.034
25.621	90.641
28.461	94.573
30.49	96.544
29.446	89.165
28.633	79.17
27.592	70.318
26.548	59.661
25.563	51.468
24.635	44.419
23.417	36.388
21.678	27.373
19.824	18.358
17.389	5.5729
15.65	0.32782
13.564	-5.081
11.767	-10.49
9.7379	-16.063
8.0569	-20.816
5.6805	-27.864
