"Ohno and Nishioka 1984, Specimen L2"	
0.28928	-67.058
-2.7963	-70.665
-7.6177	-76.408
-11.475	-80.504
-17.935	-88.537
-21.406	-91.985
-26.711	-96.41
-30.759	-99.524
-33.942	-101.49
-37.701	-102.48
-41.656	-102.97
-44.163	-103.46
-49.466	-104.28
-48.598	-94.769
-47.539	-82.964
-46.67	-73.783
-45.032	-62.468
-42.812	-48.861
-40.401	-36.891
-37.991	-24.922
-34.232	-9.6735
-32.4	-3.1153
-27.287	7.7062
-23.624	15.576
-21.214	21.151
-16.682	29.021
-12.053	37.711
-8.3891	44.925
-2.7963	52.139
1.6392	58.207
6.364	64.763
11.089	71.159
15.524	77.062
24.01	88.213
30.759	95.917
36.739	101.17
42.235	104.61
46.573	105.92
50.046	107.56
53.226	108.7
57.567	108.7
61.422	108.38
60.363	97.064
59.687	88.213
59.108	82.31
58.529	75.585
57.663	69.358
56.891	62.961
56.022	55.582
55.156	48.368
54.48	43.614
53.419	37.055
52.842	33.284
49.853	18.364
47.249	8.1981
44.935	-0.4919
40.114	-9.6735
35.58	-18.528
30.373	-28.038
26.035	-35.907
23.624	-40.662
20.731	-45.743
14.56	-54.27
9.9319	-61.32
2.6035	-69.358
-0.96426	-73.29
-4.5321	-76.897
-9.064	-80.669
-13.885	-85.095
-17.742	-87.884
-21.406	-91.326
-27.097	-95.263
-30.856	-97.887
-34.039	-99.689
-38.28	-101.65
-42.235	-102.8
-46.477	-103.95
-50.815	-104.28
-55.829	-104.61
-59.398	-103.79
-60.653	-103.46
-62.774	-103.46
-61.905	-94.28
-60.846	-80.175
-59.012	-68.21
-57.47	-59.025
-56.215	-51.156
-55.156	-46.402
-52.939	-34.76
-51.587	-27.546
-49.37	-19.183
-45.225	-3.9351
-39.825	5.5747
-35.966	12.625
-32.591	19.183
-27.48	27.054
-23.238	33.94
-20.249	38.859
-17.164	42.794
-13.5	47.549
-10.414	52.139
-4.1463	60.173
3.857	68.37
9.1605	73.29
14.174	78.538
19.381	83.622
23.817	88.048
28.928	92.803
34.328	97.558
40.787	102.48
47.249	104.44
49.949	105.26
54.094	106.41
59.108	106.74
63.543	107.23
67.788	107.72
71.933	107.72
71.643	100.18
70.777	89.196
69.812	79.686
69.04	70.995
67.305	57.224
65.667	47.549
64.219	37.875
62.774	29.021
62.001	25.086
60.267	18.528
58.722	12.953
57.18	7.0505
56.119	1.9675
55.735	0.4919
51.587	-6.2308
47.732	-12.133
44.163	-18.2
39.728	-24.267
37.221	-28.693
33.073	-35.252
29.411	-40.826
26.421	-45.908
24.106	-49.515
21.117	-54.928
17.646	-58.536
13.307	-62.797
9.8354	-66.733
5.207	-71.324
1.0607	-75.42
-1.8321	-77.72
-5.3035	-80.015
-10.414	-83.947
-14.657	-86.901
-20.057	-90.179
-27.097	-94.115
-31.918	-96.735
-36.835	-99.195
-41.366	-100.51
-45.512	-101.98
-50.912	-102.48
-54.48	-102.8
-59.012	-103.3
-67.498	-103.3
-71.547	-102.97
-70.294	-90.997
-69.522	-82.635
-69.04	-77.062
-66.919	-64.763
-65.088	-54.764
-62.967	-42.794
-61.229	-33.94
-59.108	-25.086
-56.891	-16.888
-55.156	-10.002
-53.419	-3.9351
-48.501	2.4594
-46.96	5.4105
-41.946	12.297
-36.256	19.839
-29.7	29.513
-24.974	36.072
-21.021	41.974
-16.778	48.532
-12.439	53.287
-8.0998	57.713
-4.0498	62.308
0.096426	66.898
4.8212	71.978
9.9319	77.391
14.078	81.981
17.357	85.095
21.021	87.39
23.335	89.196
27.673	92.309
32.014	95.263
40.208	99.035
46.573	101.65
52.36	103.95
57.18	104.61
62.87	105.1
69.136	105.26
74.633	105.26
80.902	104.61
85.915	104.44
84.661	95.098
83.698	86.407
82.443	76.568
81.191	66.24
80.322	58.7
79.647	50.992
78.491	42.302
77.333	35.252
76.177	28.201
75.308	24.43
72.801	13.281
71.354	6.8864
70.391	2.9513
70.005	0.4919
66.822	-3.4432
62.677	-9.0179
57.663	-15.412
52.553	-22.627
42.908	-35.416
39.535	-40.499
35.484	-46.402
29.507	-55.582
25.071	-59.519
20.057	-64.109
16.489	-67.552
5.207	-76.897
-0.86784	-81.163
-6.0749	-84.276
-11.764	-87.719
-16.971	-90.179
-22.178	-92.803
-30.759	-96.246
-38.956	-96.735
-46.477	-97.229
-53.805	-97.723
-64.315	-99.359
-73.574	-99.195
-75.405	-98.541
-73.767	-84.441
-71.836	-67.881
-68.943	-52.958
-65.377	-34.104
-61.326	-19.02
-59.398	-11.477
-57.47	-3.9351
-52.939	0.4919
-47.539	6.0666
-40.114	13.609
-32.304	21.643
-28.156	26.398
-24.203	30.989
-20.828	36.236
-16.778	42.794
-12.728	48.861
-11.185	51.321
-5.207	56.565
-1.8321	59.354
2.3142	63.126
8.6784	68.864
18.514	75.914
23.817	79.686
31.339	84.77
35.387	87.39
41.077	90.343
49.37	94.44
53.901	97.064
58.915	98.376
65.57	100.18
68.27	100.84
74.343	101
78.781	100.51
82.443	100.51
88.229	100.34
92.182	99.689
98.064	98.212
