"Paultre, Legeron,  July-August 2000 test 1006015"	
875	
0.67	0.54
2.77	22.81
3.52	30.68
5.24	45.32
7.52	60.15
11.81	74.91
14.67	80.66
17.34	89.49
14.57	74.43
11.81	61.66
8.76	46.47
6.19	30.5
4.19	15.43
0.28	-18.43
-0.58	-26.47
-2.95	-46.33
-5.24	-60.32
-6.1	-63.2
-8.66	-74.9
-13.34	-89.61
-7.43	-58.52
-5.43	-46.27
-2.19	-22.45
1.81	15.43
3.72	30.56
5.81	44.47
9.52	60.81
12.95	74.61
17.53	90.34
21.53	99.72
24.38	104.8
26.77	109.28
30.29	114.18
25.72	94.21
23.81	87.8
20.09	75.7
15.62	59.18
12	45.44
8.48	30.74
5.43	14.94
3.05	-0.97
3.05	-0.18
0.09	-21.37
-1.24	-31.09
-3.43	-44.77
-6.47	-59.84
-9.99	-74.84
-14.18	-90.33
-17.9	-100.11
-19.72	-104.67
-22	-110.08
-22.86	-111.4
-20.95	-101.31
-17.33	-87.45
-13.43	-72.56
-9.9	-58.82
-6.95	-44.23
-4.38	-30.13
-2	-15.06
4.47	18.03
4	30.01
7.05	45.02
10.95	59.84
15.62	74.91
20.76	89.43
24.77	99.78
26.77	104.98
29.24	110.49
30.38	112.49
27.33	100.57
23.05	87.37
18.39	72.01
14.86	59.48
10.66	44.65
7.05	28.74
4.28	14.28
-0.28	-15.18
-2.66	-31.87
-4.96	-45.25
-8.29	-60.32
-12.38	-74.6
-17.14	-90.03
-20.19	-99.99
-22.28	-106.47
-23.33	-109.18
-22.19	-104.07
-20.38	-97.35
-18.57	-90.57
-13.52	-72.32
-10.48	-60.26
-6.19	-40.75
-4.1	-28.93
-2.1	-14.1
1.53	14.94
4	30.74
7.14	45.93
10.86	58.94
15.62	74.67
21.25	90.4
24.86	99.72
26.77	104.56
29.24	110.25
32.29	114.85
37.82	109.34
42.48	109.64
45.25	110.01
45.25	107.52
39.81	90.76
35.43	79.27
32.38	71.28
28.39	60.81
23.72	48.77
18.57	36.06
13.43	23.9
9.43	14.04
4.19	-15.06
1.05	-30.85
-2.38	-48.74
-4.94	-60.74
-9.14	-75.62
-13.9	-89.85
-17.61	-99.45
-20.28	-106.47
-21.8	-109.9
-23.9	-114.88
-26.66	-119.86
-29.13	-122.98
-30.95	-111.58
-31.04	-110.2
-34	-113.2
-38.37	-114.22
-42.09	-113.92
-44	-113.86
-35.62	-89.19
-29.62	-73.34
-20.75	-49.76
-14.47	-34.51
-10.28	-25.45
-0.28	16.28
2.86	30.74
6.66	44.17
12.1	59.24
20	74.61
29.8	89.37
38.48	99.05
42.95	102.5
45.42	103.95
41.23	90.22
37.62	80.23
32.95	68.31
28.86	57.48
24.38	46.65
19.72	36.36
15.53	24.14
9.71	12.83
5.81	1.69
0	-17.95
1.14	-30.07
-2.47	-45.13
-7.14	-59.96
-13.81	-74.66
-22	-89.01
-28.86	-98.73
-33.52	-104.61
-37.9	-109.36
-40.95	-111.1
-42.76	-112.78
-38.95	-100.59
-32.29	-82.71
-27.33	-69.62
-19.9	-50.42
-12.57	-32.59
-8.38	-22.51
-0.67	-0.66
-0.28	15.49
3.24	30.68
7.33	45.56
12.85	59.72
21.05	75.45
30.1	89.19
33.62	92.76
38.48	98.45
42.76	102.5
47.24	106.25
53.05	108.43
57.04	107.89
60.57	107.83
57.24	97.6
52.1	83.74
47.43	71.46
42.58	59.3
38.09	49.25
33.05	38.85
28.66	29.47
23.14	22.21
18.86	16.03
8.96	-0.67
8.96	-0.67
3.81	-14.9
-0.47	-30.39
-4.66	-45.69
-9.32	-59.32
-16.56	-74.38
-26.47	-89.39
-30.95	-95.03
-35.9	-100.61
-40.66	-105.71
-45.71	-110.22
-51.13	-112.26
-54.76	-113.16
-59.71	-114.18
-60.47	-113.94
-54.48	-94.43
-48.85	-79.79
-44.57	-69.22
-37.81	-54.28
-31.43	-41.13
-21.8	-24.15
-11.52	-8.9
-0.58	14.63
3.71	29.99
8.46	44.64
15.23	60.37
26.09	75.98
35.81	86.63
39.8	90.57
44.94	94.38
49.43	98.55
54.47	101.64
58.95	104.54
62.28	105.15
57.51	91.05
53.51	80.52
49.62	70.05
44.47	57.59
39.7	47.18
34.76	36.71
30.95	29.75
24.76	20.43
16.28	6.52
11.42	-1.05
11.42	-1.05
6.09	-15.99
1.04	-32.68
-3.34	-46.84
-8.86	-60.71
-17.53	-74.81
-28.86	-88.74
-34.58	-94.74
-38.48	-97.98
-48.2	-106.14
-53.15	-109.69
-58.29	-112.27
-53.24	-96.66
-48.77	-84.54
-42.39	-68.81
-35.15	-52.67
-28.96	-40.12
-16.29	-19.12
-5.63	-1.89
-5.34	-1.41
-4.39	-0.21
-4.39	-0.21
0.66	16.19
5.04	30.53
9.43	44.02
17.81	61.45
27.43	74.64
36.18	83.59
41.05	87.59
46.1	92.13
49.8	94.67
55.32	99.69
59.81	101.51
64.47	103.44
70.28	105.92
73.9	106.53
78.67	107.13
84.09	108.1
88.09	107.19
93.33	107.13
87.52	88.92
83.14	77.97
79.42	68.65
73.04	53.58
69.71	46.2
63.9	35.31
59.52	28.23
55.52	22.66
50.85	16.49
42.38	7.9
