"Arakawa et al. 1989, Specimen AO2"	
-1.6119	-48.986
-1.6984	-51.632
-1.7917	-54.159
-1.9315	-58.856
-2.0448	-63.188
-2.1779	-67.521
-2.2512	-70.167
-2.3445	-73.299
-2.4776	-77.871
-2.5776	-80.998
-2.7508	-86.416
-2.844	-88.942
-3.0171	-92.194
-3.1105	-94
-3.1238	-94
-3.0771	-88.582
-3.0171	-81.963
-2.9239	-76.786
-2.844	-70.648
-2.7574	-64.629
-2.5843	-55.364
-2.511	-52.233
-2.4045	-48.141
-2.2313	-40.56
-2.0114	-34.903
-1.6718	-26.358
-1.492	-21.544
-1.2388	-15.044
-1.1323	-13.239
-0.89916	-9.0268
-0.66605	-5.4159
-0.40629	-0.48141
-0.17318	4.2125
0.11989	10.23
0.40629	15.285
0.49954	16.85
0.55282	17.211
0.81924	20.34
0.99907	23.71
1.1989	29.848
1.392	36.468
1.5653	41.402
1.7784	48.626
1.9315	53.799
2.118	59.456
2.3645	66.916
2.5043	70.527
2.7375	76.426
3.0305	84.129
3.177	87.981
3.3236	92.674
3.51	96.766
3.6966	98.932
3.7432	98.692
3.7898	96.526
3.7432	90.748
3.6366	85.935
3.5301	81.238
3.4501	77.751
3.3503	72.453
3.1571	65.354
2.9839	59.336
2.8973	55.604
2.7508	50.672
2.6242	46.579
2.5244	41.643
2.4444	38.755
2.2912	34.302
2.1446	30.931
1.9849	27.321
1.6585	22.627
1.4787	20.22
1.1856	14.323
0.94579	10.471
0.78594	7.1008
0.27308	-1.8054
0.033302	-4.9346
-0.23312	-9.3879
-0.49287	-13.841
-0.65273	-16.85
-0.87253	-21.183
-1.0723	-25.877
-1.4454	-34.662
-1.5985	-38.153
-1.8782	-45.254
-2.0114	-48.381
-2.2179	-53.558
-2.4577	-60.417
-2.6575	-65.114
-2.8906	-70.287
-3.0039	-73.299
-3.1171	-76.546
-3.2304	-79.557
-3.3569	-82.684
-3.4102	-84.009
-3.4568	-84.61
-3.5234	-84.61
-3.57	-84.129
-3.6167	-81.963
-3.6299	-79.317
-3.6167	-76.786
-3.55	-71.493
-3.5034	-67.521
-3.3969	-62.463
-3.2569	-55.965
-3.1704	-52.473
-3.0372	-47.42
-2.7974	-39.838
-2.5776	-33.339
-2.3912	-28.163
-2.2512	-24.673
-2.0648	-19.859
-1.8915	-15.887
-1.6918	-11.554
-1.4187	-6.4994
-1.2322	-3.37
-1.0457	-0.8425
-0.81924	1.9257
-0.68603	3.37
-0.4729	5.5364
-0.19315	6.3789
0.21313	12.517
0.59279	18.294
0.82589	21.785
1.099	25.877
1.3987	29.848
1.6585	34.181
1.9315	38.634
2.1647	43.569
2.3512	47.3
2.5643	52.958
2.7375	57.651
2.864	59.456
2.9506	59.937
3.0838	59.336
3.1571	58.131
3.2903	55.965
3.3435	54.884
3.4035	54.159
3.51	53.919
3.6966	54.644
3.8231	55.124
3.9296	55.364
4.0563	55.124
4.0629	55.004
4.0363	52.113
4.0296	48.261
3.9896	44.653
3.9296	41.041
3.8364	37.551
3.7233	33.94
3.6299	30.811
3.4701	26.719
3.3169	22.627
3.177	18.896
2.9839	15.887
2.7974	13.721
2.5176	11.073
2.2313	7.7026
2.1313	6.3789
1.9849	4.5734
1.9049	2.046
1.7184	0.12035
1.6119	-0.36107
