"Watson and Park 89, Specimen 7"	
392	
0	0
0.18229	13.395
0.12152	22.421
0.12152	34.36
0.24305	48.336
0.36457	58.82
0.66838	72.507
0.91143	82.404
1.2152	92.305
1.5798	103.66
1.8836	113.27
2.1267	121.72
2.5519	130.74
2.795	137.44
2.8557	139.48
2.8557	118.51
2.7343	109.49
2.6736	102.79
2.5519	93.764
2.5519	85.9
2.3697	78.036
2.309	69.593
2.309	56.49
2.2482	45.134
1.9444	34.942
1.5798	23.004
1.2152	12.23
0.85067	-0.29118
0.54686	-8.1532
0.18229	-20.674
0	-29.41
-0.18229	-39.019
-0.36457	-48.047
-0.54686	-55.035
-0.66838	-62.023
-0.78991	-69.883
-1.3975	-94.053
-1.6406	-102.79
-1.8836	-112.4
-2.0659	-118.8
-2.3697	-125.5
-2.7343	-132.49
-3.0988	-126.38
-3.1598	-120.26
-3.1598	-91.722
-3.1598	-75.709
-3.2205	-65.808
-2.8557	-43.969
-2.7343	-34.069
-2.5519	-24.46
-2.309	-13.103
-2.1267	-2.0383
-1.8836	9.0268
-1.7013	19.801
-1.276	32.03
-0.91143	43.095
-0.60762	51.833
-0.24305	61.729
0	72.796
0.12152	82.986
0.24305	89.974
0.36457	98.71
0.48611	106.28
0.66838	115.6
1.276	139.48
1.6406	151.13
2.0052	161.61
2.1267	167.43
2.6129	183.16
3.0381	196.84
3.5243	207.33
3.9494	216.93
4.2532	225.38
4.6787	234.11
5.2862	245.47
6.0155	255.37
6.4407	261.48
7.0485	269.06
7.7775	275.46
8.1422	277.79
8.6891	261.48
8.8712	250.42
8.9929	238.48
8.5067	205.58
8.2029	175
7.6561	151.71
7.413	141.22
7.0485	129.58
5.9548	98.421
5.4079	80.66
5.0432	64.936
4.618	50.667
4.2532	36.107
3.7064	21.257
3.4026	7.8618
2.9774	-4.0766
2.1874	-32.904
1.8836	-48.047
1.519	-64.354
0.78991	-90.85
0.54686	-102.79
-0.54686	-129.87
-1.1545	-144.43
-1.8836	-158.7
-3.5243	-184.9
-4.3749	-196.26
-5.2255	-205.28
-5.8331	-212.57
-6.7447	-218.97
-7.5954	-224.79
-8.2636	-225.96
-8.5067	-216.64
-8.8712	-204.12
-9.1143	-194.51
-9.5397	-181.41
-9.8435	-170.63
-10.087	-154.91
-10.208	-143.26
-9.9649	-130.74
-9.0536	-89.974
-8.5674	-74.544
-8.0813	-62.023
-7.6561	-50.667
-7.1699	-40.184
-6.8054	-31.157
-6.1979	-16.306
-6.0155	-7.5709
-5.5293	4.0766
-4.9218	18.636
-4.5573	31.448
-3.2812	61.151
-3.1598	75.416
-2.9167	88.52
-2.2482	108.61
-1.519	123.17
-0.97219	134.53
-0.42532	145.59
-0.060762	155.78
0.36457	168.01
0.66838	177.62
1.8836	201.21
2.2482	213.15
2.795	224.21
3.5243	237.9
4.1925	248.96
4.8001	260.61
5.59	274.01
6.5016	285.65
7.2916	294.1
7.8991	295.55
8.2029	287.4
8.7498	254.2
8.8712	241.68
8.8712	229.45
8.2029	207.33
7.1699	172.96
6.8661	160.44
6.5623	149.67
5.1041	119.1
4.5573	101.33
4.0104	85.028
3.5243	73.09
2.9774	55.907
2.3697	42.513
2.0052	33.778
1.2152	8.4445
0.97219	-6.406
0.42532	-24.168
0	-39.31
-0.66838	-55.907
-1.6406	-71.341
-2.1267	-85.9
-3.2812	-106.86
-4.3142	-129.58
-5.1041	-144.72
-5.8938	-163.06
-6.5016	-175.58
-7.1092	-184.61
-7.9599	-195.39
-8.5674	-182.28
-8.6281	-158.99
