"Watson and Park 89, Specimen 7"	
-8.5674	-146.47
-8.6281	-134.53
-7.4737	-87.354
-6.9875	-68.722
-6.8661	-56.783
-6.5623	-47.465
-5.9548	-34.942
-5.59	-25.042
-4.9218	-11.938
-4.4356	0.58238
-3.9494	13.103
-3.585	23.295
-2.5519	52.415
-2.2482	68.722
-1.9444	78.036
-1.519	89.396
-1.033	101.33
-0.66838	110.36
-0.18229	121.72
0.30381	132.2
0.66838	139.19
1.1545	146.47
2.0659	170.63
2.4305	184.32
2.9774	198.59
3.7064	213.15
4.5573	225.96
5.5293	240.81
6.4407	252.75
7.1699	260.61
8.0813	267.31
8.7498	273.42
9.6611	280.99
10.633	287.11
11.302	291.18
11.97	293.23
12.517	290.89
13.125	277.21
13.428	267.31
13.55	250.71
13.611	237.9
13.55	214.02
13.368	200.33
12.942	183.74
12.456	168.01
11.909	149.38
11.119	129.87
10.573	117.06
9.8435	102.21
9.0536	85.9
7.413	50.084
6.4407	29.701
5.7724	14.559
5.1041	0.87354
4.3749	-14.851
3.7673	-28.245
2.9774	-42.513
1.9444	-66.974
1.0937	-80.949
0.42532	-95.801
0	-108.9
-0.42532	-125.21
-1.1545	-142.97
-1.8229	-156.36
-2.5519	-169.47
-3.2205	-180.24
-4.2532	-193.06
-5.59	-203.54
-6.6838	-213.44
-7.8991	-220.43
-9.175	-226.54
-10.451	-232.07
-11.362	-235.28
-12.031	-234.99
-12.76	-232.37
-13.428	-225.09
-13.854	-214.31
-14.097	-204.99
-14.401	-191.02
-14.522	-178.5
-14.583	-166.56
-13.732	-134.24
-12.274	-94.636
-11.666	-74.544
-10.816	-59.403
-9.9042	-44.26
-8.8712	-25.624
-8.2029	-13.977
-7.4737	-3.203
-6.8054	9.609
-6.1369	22.712
-5.59	35.233
-4.3749	64.06
-2.8557	92.598
-2.0659	112.4
-1.3368	127.83
-0.66838	139.77
0	150.84
0.72916	163.65
1.4583	173.84
2.1874	184.03
2.9167	193.35
4.0104	205.87
4.8001	214.6
5.8331	225.38
6.6838	233.53
7.9599	243.72
10.026	257.12
10.512	262.94
11.545	266.44
12.213	267.02
12.942	264.1
13.368	258.86
13.489	251.58
13.368	244.01
13.428	207.91
13.064	188.11
12.639	166.56
11.788	145.3
10.877	123.75
9.9042	102.79
8.9322	82.986
7.9599	64.06
7.1699	46.882
6.1369	24.168
4.8001	0.87354
2.7343	-43.095
1.8229	-62.895
1.0937	-75.127
0.42532	-85.9
-0.48611	-97.838
-1.5798	-111.52
-2.6129	-124.05
-3.7064	-138.89
-4.6787	-148.79
-6.8054	-172.67
-7.413	-181.12
-8.5674	-192.47
-10.087	-202.66
-11.788	-212.57
-13.003	-218.1
-13.55	-210.23
-14.522	-193.35
-14.705	-177.04
-14.644	-162.48
-12.092	-89.974
-11.606	-74.25
-10.147	-45.717
-9.6004	-26.789
-8.6891	-13.103
-7.9599	-2.0383
-7.2306	12.812
-6.5016	29.701
-5.347	48.047
-4.6787	59.403
-4.0711	70.759
-3.4635	80.949
-2.5519	94.925
-0.30381	140.06
0.24305	154.91
0.85067	167.14
2.2482	185.19
3.585	200.92
4.5573	212.85
5.8938	226.25
7.3523	239.36
8.6891	248.67
9.8435	255.95
11.362	258.86
12.517	256.83
13.307	253.33
14.765	245.76
15.98	239.36
17.135	230.04
17.864	219.26
18.715	197.42
18.593	179.37
18.229	158.99
17.803	142.68
17.317	124.33
16.649	107.16
15.008	72.213
10.755	-1.4559
8.6281	-38.145
6.2586	-71.924
3.4635	-108.32
0.85067	-140.64
-2.0659	-170.05
-3.828	-188.11
-4.7394	-200.92
-5.5293	-209.65
-6.3193	-216.06
-7.413	-223.34
-8.0813	-225.67
-9.5397	-221.88
-10.877	-216.64
-12.578	-207.91
-14.34	-197.71
-15.616	-185.49
-16.345	-173.84
-17.135	-161.32
-17.682	-150.84
-18.168	-139.19
-18.654	-124.92
-18.958	-116.48
-19.505	-106.28
-20.538	-83.28
-21.267	-69.883
-22.725	-44.26
-24.669	-17.471
-25.824	-1.4559
