Bayrak_&_Sheikh_02_RS-11HT	
38	
0	0
9.254959469	137.395582
15.02708868	180.2116206
17.07605198	186.5788008
23.03148804	189.5396324
27.3127215	189.5396324
28.42885657	183.6086876
28.42885657	177.6684611
28.42885657	171.7375162
28.42885657	169.612029
31.41064809	175.1253017
34.20098578	177.6684611
36.99539696	178.5223687
40.16049534	176.3968814
42.58014583	176.3968814
43.13821337	170.8836087
42.95083303	166.6511973
45.74524421	166.2242435
47.23206648	163.2541303
52.63350849	160.2840171
55.79860687	159.4393911
57.47280948	156.0516057
54.12033077	136.5416744
54.86577865	134.4254687
56.53998126	131.4553555
56.7273616	129.3391498
61.56666259	124.2528309
66.03527639	123.3989233
71.43264491	123.3989233
73.11092102	122.1273436
72.55285348	111.527752
71.24933806	102.1997401
72.17809279	99.23890848
72.36547314	94.99721552
77.01739378	88.63931687
80.92794004	84.39762391
86.51268891	80.58288472
71.24933806	-2.942268424
