Tanaka 90 Specimen 2	
585	
0	0
0.44867	7.5643
0.3365	14.588
0.67297	26.204
0.89731	36.2
1.5703	45.383
2.0189	57.811
2.1311	66.724
2.6919	72.938
3.2527	81.852
3.365	87.528
3.9258	94.008
4.5987	99.955
5.0475	105.9
5.7203	112.11
7.0663	120.48
7.2906	113.19
7.5151	109.41
7.5151	104.82
7.5151	101.3
7.2906	96.17
7.1785	91.037
6.9543	86.176
6.0569	74.29
5.0475	59.701
3.9258	40.252
3.2527	32.147
2.5799	23.773
2.1311	14.588
1.5703	6.2134
1.346	1.891
1.2338	-3.5119
0.78514	-14.588
0.56083	-21.342
0.44867	-25.394
0.3365	-32.147
-0.22433	-40.792
-0.78514	-47.006
-1.2338	-55.378
-2.3554	-68.615
-2.9162	-78.071
-4.1501	-89.147
-5.1595	-98.875
-6.842	-112.11
-7.5151	-115.08
-8.1879	-119.94
-8.3002	-112.65
-8.5245	-107.25
-8.4122	-102.11
-8.0759	-90.499
-7.0663	-75.371
-5.7203	-63.215
-4.7109	-49.435
-3.477	-33.498
-2.4676	-20.531
-1.346	-8.6447
-0.67297	0.5403
0.56083	27.555
1.4581	43.223
1.7946	50.249
2.9162	74.829
4.1501	86.985
5.0475	96.713
5.8326	103.74
6.3934	111.03
7.7394	123.73
9.6462	135.88
11.216	146.96
13.46	156.14
15.815	164.25
18.171	167.76
20.077	167.22
20.526	163.71
20.975	157.22
20.638	141.56
19.741	131.83
18.956	122.64
17.834	109.41
16.825	99.141
15.815	91.037
14.581	81.585
11.665	59.701
9.9827	45.383
8.5245	34.308
6.7297	21.611
5.0475	8.6447
1.6825	-11.346
0.78514	-21.611
0.44867	-29.986
0	-37.28
-0.22433	-46.197
-0.67297	-53.759
-1.1216	-61.053
-1.5703	-66.996
-1.9068	-71.857
-2.8042	-81.314
-4.4867	-96.442
-5.8326	-104.55
-6.9543	-112.65
-8.4122	-124
-9.3096	-130.21
-10.544	-137.51
-12.114	-146.96
-13.572	-152.09
-15.142	-155.33
-16.376	-158.03
-18.283	-160.19
-19.18	-160.19
-20.189	-157.22
-20.526	-153.98
-20.75	-144.26
-20.414	-132.91
-19.741	-125.08
-19.18	-116.16
-18.395	-104.82
-17.049	-89.956
-15.703	-78.071
-14.133	-65.915
-13.011	-56.458
-9.6462	-32.687
-6.7297	-16.209
-4.5987	-5.403
-2.8042	4.5926
-0.56083	18.37
2.5799	43.223
4.5987	62.134
6.3934	78.614
8.7488	94.28
10.768	108.06
12.226	118.86
14.357	131.83
16.6	145.34
18.283	153.44
20.975	161.01
21.199	155.06
20.863	145.34
20.414	135.34
19.517	124.81
18.619	114.81
17.386	105.09
16.488	96.442
12.787	69.158
10.656	57.272
8.861	47.006
7.2906	35.929
5.3838	23.232
4.0378	11.616
1.1216	-15.128
-1.5703	-36.2
-3.7015	-48.897
-6.6177	-69.696
-9.1973	-83.476
-11.441	-96.984
-15.254	-119.4
-20.75	-143.45
-20.526	-131.02
-20.077	-125.08
-19.404	-117.24
-18.843	-109.68
-18.171	-100.76
-17.273	-91.851
-15.591	-77.262
-14.021	-64.834
-11.889	-46.735
-9.5339	-32.958
-6.7297	-16.479
-4.823	-6.4834
-2.2433	8.9147
2.6919	44.845
5.2718	67.805
7.2906	84.828
10.431	106.71
13.347	124.54
16.937	141.82
18.507	149.93
20.414	156.69
22.657	163.17
24.788	166.68
26.584	167.22
28.715	167.22
31.631	164.52
34.996	161.55
37.574	158.58
39.931	155.33
41.836	153.17
42.398	145.07
42.286	135.88
42.062	128.86
41.613	122.38
40.94	115.08
40.378	107.79
37.239	85.366
34.211	67.267
30.734	51.597
28.603	40.792
24.452	23.232
20.975	9.1851
18.956	1.0806
15.815	-10.266
11.441	-24.853
5.9446	-41.062
2.3554	-52.406
0.3365	-59.701
-4.9352	-79.962
-8.5245	-92.389
-11.441	-104.01
-14.469	-116.97
-19.629	-139.4
-22.321	-148.31
-24.564	-152.9
-26.695	-155.06
-29.611	-153.71
-31.519	-152.63
-34.435	-150.2
-37.574	-147.77
-39.817	-146.42
-41.613	-145.07
-42.509	-142.64
-42.509	-140.21
-42.847	-132.64
-42.621	-126.7
-42.062	-113.46
-41.725	-104.27
-40.828	-96.713
-39.931	-89.956
-39.146	-83.747
-37.462	-73.21
-36.005	-64.834
-33.312	-49.978
-29.276	-31.607
-23.779	-8.9147
-19.965	3.5119
-15.479	16.479
-13.011	24.043
-10.095	31.877
-6.842	40.252
-3.1407	48.897
1.0095	59.972
12.002	90.499
14.021	95.361
16.937	102.93
20.077	109.95
23.554	117.51
26.246	122.64
27.592	125.08
30.734	130.75
34.77	137.23
36.789	139.93
38.024	141.82
39.594	143.45
42.286	145.34
42.398	139.12
42.062	128.59
41.725	119.14
40.378	107.52
38.92	95.632
34.323	70.238
31.407	54.568
29.05	42.143
26.358	29.446
22.545	13.507
17.834	-4.3223
12.899	-19.721
5.8326	-38.901
2.4676	-48.626
-0.22433	-55.92
-3.5893	-63.753
-9.4219	-77.262
-16.376	-94.008
-23.779	-110.22
-29.947	-121.84
-34.996	-129.94
-38.136	-134.26
-40.716	-136.69
-42.509	-139.12
-42.286	-133.72
-42.062	-121.84
-41.163	-105.63
-40.378	-95.903
-38.473	-81.585
-36.566	-69.696
-33.873	-54.03
-31.742	-43.493
-28.938	-30.256
-25.461	-15.939
-20.975	0.5403
-17.161	11.346
-9.8704	32.687
-3.365	48.626
1.5703	61.053
7.5151	74.829
13.123	87.799
18.507	99.684
24.115	111.57
29.835	121.56
34.435	129.13
38.359	136.42
42.509	141.01
46.998	143.72
50.137	145.34
53.726	144.53
59.334	143.72
64.381	139.67
64.831	131.83
64.493	122.11
64.046	113.73
63.149	104.01
61.13	90.499
59.111	78.881
56.418	65.644
52.829	48.626
48.791	31.607
44.641	16.209
39.931	-0.27014
34.882	-15.669
31.069	-25.394
27.704	-32.147
23.33	-40.252
19.853	-45.926
11.216	-56.73
3.9258	-65.915
-3.2527	-76.99
-12.002	-90.228
-21.648	-106.16
-29.611	-118.59
-36.789	-129.13
-40.043	-132.91
-42.362	-134.56
-44.714	-135.91
-49.085	-136.18
-52.111	-136.18
-54.689	-135.37
-58.052	-134.56
-60.853	-134.02
-63.431	-132.67
-63.99	-130.78
-64.328	-127.28
-64.552	-116.76
-64.328	-111.64
-63.655	-102.74
-62.423	-91.415
-60.404	-76.314
-60.068	-71.728
-59.06	-66.066
-58.163	-59.327
-57.267	-54.203
-56.258	-48.808
-55.25	-43.955
-54.242	-38.561
-52.896	-32.629
-51.775	-27.236
-50.543	-22.382
-49.421	-17.258
-46.845	-8.8987
-43.035	4.8541
-38.44	17.258
-38.44	17.258
-32.276	28.045
-26.449	37.483
-21.181	46.384
-17.146	52.046
-12.103	58.518
-6.9482	64.99
-1.9052	70.381
1.681	74.157
10.086	83.324
14.905	90.606
19.724	97.078
25.215	103.82
30.483	110.02
35.974	115.15
44.491	122.69
50.767	128.09
55.362	131.59
60.63	134.83
64.663	135.64
64.44	124.58
63.655	112.45
62.197	97.887
60.404	86.563
57.49	71.462
55.809	62.561
52.56	47.46
48.974	32.629
44.714	16.449
41.128	4.0449
37.206	-8.09
33.061	-19.955
29.362	-28.584
24.319	-38.292
19.388	-45.574
8.9654	-56.627
0	-67.414
-7.8448	-75.505
-17.146	-83.863
-25.664	-93.034
-32.499	-99.773
-39.111	-106.24
-44.826	-112.18
-52.111	-118.92
-57.714	-122.69
-62.423	-125.39
-64.102	-125.66
-64.214	-118.11
-63.767	-106.79
-63.094	-95.73
-61.973	-84.405
-59.395	-66.604
-57.828	-53.394
-55.809	-38.561
-53.119	-27.506
-49.421	-14.292
-44.94	-0.26966
-40.457	11.595
-35.524	22.382
-30.371	31.281
-25.888	39.101
-22.638	43.685
-18.603	48.541
-10.086	60.133
-5.3792	65.799
0.56035	73.076
12.103	84.672
23.086	96.268
29.921	102.74
35.639	107.86
41.128	112.45
45.499	115.95
51.44	120.54
56.147	124.31
61.526	127.82
67.688	130.52
73.741	132.4
78.224	132.67
81.923	131.59
85.509	130.25
86.18	121.08
85.956	112.45
85.06	96.806
84.163	89.796
83.155	81.705
81.585	71.728
79.903	62.29
77.998	52.046
75.87	42.067
73.403	31.281
69.931	18.876
66.792	9.1687
63.543	-2.9663
57.714	-18.067
53.233	-27.775
48.638	-36.674
43.818	-43.415
36.421	-52.046
