Sezen et al. 2000 Specimen 4	
790	
0	-3.96717
-0.1016	-3.546429162
0.0254	0.712019132
0.1778	6.064544288
0.4191	12.47993362
0.6985	19.04955691
1.016	25.06095802
1.2192	31.48950171
1.5113	38.98000701
1.8161	45.72744713
2.0955	53.22319692
2.3368	60.91977357
2.667	69.03085722
2.9464	76.8060968
3.175	84.7896306
3.4925	92.37754148
3.5052	91.52754863
3.4798	91.08335456
3.2893	82.97588228
3.0099	73.18732172
2.7178	64.13441323
2.4892	55.33266396
2.2352	47.54486909
1.9431	39.40866462
1.6891	32.27408875
1.4478	25.29951436
1.3716	24.69120532
0.762	12.03328186
0.4064	6.868441921
0.3556	0.731145829
0.1016	-4.201147905
-0.0889	-8.707335959
-0.2413	-12.49478604
-0.4445	-15.24739538
-0.5334	-21.45926044
-0.8128	-27.20262762
-1.0922	-34.15155684
-1.3335	-40.09524743
-1.651	-46.56690831
-1.9685	-52.93847687
-2.2352	-60.07324532
-2.5527	-67.44835222
-2.8321	-74.57314048
-3.1369	-82.06791182
-3.4036	-89.66246282
-3.4671	-90.83401882
-3.5052	-91.63965676
-3.4417	-90.65914312
-3.302	-81.06701084
-3.0226	-71.73401214
-2.7305	-63.50507419
-2.4765	-56.18804719
-2.1463	-48.06549788
-1.9304	-41.18312595
-1.6129	-34.25536283
-1.3081	-28.06288264
-1.0287	-21.94317512
-0.7747	-15.71967496
-0.5207	-9.777684651
-0.3429	-5.082482918
-0.0762	-0.06361704
0.0762	5.013423027
0.3302	10.58988176
0.635	16.32976389
0.8128	23.22835408
1.0795	29.90319277
1.4732	36.51377042
1.7272	44.75499681
1.9558	50.617887
2.2225	54.99974635
2.4892	61.47977164
2.6289	66.74911627
2.8067	74.47856439
3.2131	82.74710733
3.3909	88.99896253
3.4163	88.8185319
3.3655	88.54641606
3.1877	78.61950266
2.9337	68.92532249
2.6416	60.21998168
2.3749	51.3300207
2.0828	43.28950197
1.7907	36.08102822
1.4986	28.86468995
1.2573	22.08298006
0.9652	14.68470257
0.635	9.51518653
0.6604	8.212503995
0.254	-1.886475127
-0.0127	-6.353555291
-0.1397	-11.0740931
-0.4191	-16.82055797
-0.6223	-22.8851961
-0.9144	-29.26816582
-1.1811	-33.36500446
-1.4478	-41.78938691
-1.778	-50.36227139
-2.0447	-55.01722058
-2.3368	-62.04057026
-2.6543	-69.33253559
-2.9083	-76.19831035
-3.4671	-84.5427143
-3.4163	-88.9232305
-3.4671	-88.62048028
-3.4417	-89.18819031
-3.3401	-83.62688954
-3.0861	-74.55225947
-2.6543	-65.49596198
-2.4892	-58.11308085
-2.2733	-49.75297723
-1.9558	-41.62341911
-1.6383	-35.90191628
-1.4224	-29.28980335
-1.1176	-23.37059803
-0.8382	-16.79399216
-0.6096	-11.11177854
-0.3556	-6.547696671
-0.1524	0.43816979
-0.0508	3.699576645
0.2667	9.519245318
0.4445	15.68644769
0.8509	21.73731947
1.0795	31.46223053
1.4224	34.69708764
1.651	41.85032922
1.9177	50.17578326
2.2479	56.09839448
2.54	64.03801367
2.794	72.1892449
3.1369	80.10963309
3.2893	86.38971212
3.302	86.75342423
3.3655	85.63902305
3.175	80.38071711
2.9464	70.09682513
2.6543	61.03827276
2.3368	52.45764875
2.0828	44.21729984
1.8034	36.53553559
1.5113	29.41847175
1.27	22.53945056
0.9779	16.06081111
0.6985	10.1247551
0.4826	4.347671015
0.2413	-1.14614788
0.0381	-5.365386614
-0.254	-10.64674216
-0.3556	-16.39435093
-0.4445	-17.5457731
-0.9017	-28.45139712
-1.143	-34.95217934
-1.4351	-40.85899926
-1.778	-47.87997042
-1.9939	-54.67212126
-2.2987	-60.77318397
-2.6543	-68.13866204
-2.9337	-75.53947994
-3.2258	-83.66383048
-3.4036	-88.37059749
-3.4036	-89.57120456
-3.4163	-90.21173796
-3.3147	-83.63673186
-3.0861	-73.45024457
-2.8321	-64.18903298
-2.5527	-56.78713878
-2.2479	-49.01634225
-1.9304	-41.91456402
-1.7272	-35.30269615
-1.3716	-28.94789156
-1.0922	-22.6458819
-0.8255	-16.2383224
-0.5715	-10.67177358
-0.3429	-6.00279164
-0.1778	-1.013529256
-0.1778	1.002487537
-0.2413	1.216717163
0.1778	12.78487734
0.4953	19.06730154
0.7366	25.0141254
1.0541	31.57360527
1.3462	37.95893084
1.6129	45.36651027
1.9558	52.55677463
2.159	59.9122725
2.4384	67.9585961
2.7178	76.00659641
2.9591	83.71199246
3.2385	91.56920391
3.5052	98.97596367
3.7846	105.8370018
4.0513	112.228046
4.3561	118.0594256
4.699	123.9641446
5.0038	129.511836
5.2451	135.2772503
5.6007	140.5210485
5.8674	146.1824936
6.1595	151.0943616
6.3754	153.9262049
6.6802	158.4815256
6.8199	160.2535475
6.9977	165.1157724
7.112	164.528062
7.1628	164.3132122
7.3025	165.3405313
7.1374	157.1501932
6.858	147.9818232
6.5532	139.7729479
6.3373	131.4266582
6.3119	129.2218279
6.2357	126.6692697
6.0579	118.2183215
5.7023	110.8462255
5.4737	103.1308449
5.1689	95.93602181
4.8768	89.08077429
4.6228	82.12679227
4.3307	75.36890497
4.1021	68.49081953
3.7465	62.2367984
3.5052	55.17677019
3.2131	48.79097408
2.9083	42.31650995
2.5908	36.31652646
2.3114	30.29144084
2.0574	24.4341327
1.7526	18.70010883
1.4605	12.49970053
1.1938	7.661196788
0.9144	2.375253954
0.635	-2.175054189
0.3175	-5.877479324
0.4572	-6.869017872
-0.0254	-15.91793339
-0.3429	-21.00355447
-0.5969	-26.30398579
-0.8636	-31.68606876
-1.1557	-37.15353795
-1.4986	-43.23542571
-1.7526	-49.08875645
-2.0193	-55.30207406
-2.3241	-61.77416056
-2.667	-68.68609147
-2.8829	-75.66064318
-3.175	-82.87558226
-3.5052	-90.16086746
-3.7973	-97.19458871
-4.1275	-103.6427788
-4.3815	-109.4962803
-4.6609	-115.4281735
-4.9403	-121.3604758
-5.2578	-126.813898
-5.5626	-131.8957138
-5.842	-136.8172194
-6.1341	-142.1701726
-6.4643	-146.9838086
-6.7691	-152.1814996
-7.112	-157.1474624
-7.366	-158.3344646
-7.4168	-157.6405657
-7.4041	-157.0206909
-7.4168	-157.1215958
-7.2136	-148.6609875
-7.0358	-140.2921312
-6.985	-139.3907609
-6.9596	-139.0367087
-6.731	-130.8674251
-6.4516	-122.9002581
-6.1849	-116.6934027
-6.1087	-113.8768588
-5.8801	-105.8980838
-5.6261	-98.75733791
-5.2959	-91.84185345
-5.2578	-90.38747648
-4.7117	-78.97253632
-4.445	-72.38543302
-4.1783	-65.43724609
-3.81	-59.736067
-3.5941	-52.93881932
-3.2766	-47.21832919
-2.9972	-40.81772646
-2.6289	-35.12016008
-2.2606	-29.68963138
-1.9812	-23.29625851
-1.7018	-18.4696843
-1.3716	-13.38963238
-1.1303	-8.821743449
-0.9271	-4.784356763
-0.6985	-0.479413103
-0.4064	3.235913785
-0.2413	8.120060039
0.1524	12.70442829
0.3556	17.47952981
0.6731	22.29042792
1.0033	27.73369382
1.2954	33.28945344
1.6256	38.64431505
1.9304	44.46725112
2.2098	50.40053323
2.5273	56.58202008
2.8575	62.58115943
3.0734	68.73750902
3.4417	74.61732639
3.7338	81.18892571
4.0132	87.39490939
4.2799	93.61085992
4.572	100.0768445
4.7879	104.4861671
5.08	111.421265
5.3467	117.0829681
5.6134	124.3132733
5.8801	130.6176624
6.223	136.9811943
6.5405	143.8976216
6.7183	150.4354022
7.0104	156.8907972
7.2771	161.9308287
7.3152	161.3756829
7.3406	161.1782228
7.3533	160.9804069
7.2771	156.0583542
7.0358	146.8816006
6.731	138.3907227
6.5024	130.0390827
6.223	122.5449384
5.9055	115.2395861
5.6134	108.0326792
5.3213	100.5435873
5.08	93.95122709
4.7879	86.82382815
4.5466	79.40229824
4.2037	73.411409
4.0132	68.80313188
3.9878	69.64280654
3.7592	62.87319563
3.4036	56.32738736
3.1496	50.01274681
2.8448	43.91351914
2.5527	38.3579294
2.2352	32.07316626
1.9812	26.03917541
1.6764	20.48690885
1.3716	15.02734598
1.0795	9.655730198
0.8382	5.174739189
0.4953	0.658328512
0.2921	-3.653530788
0.0889	-7.419327506
-0.1524	-12.44604322
-0.4572	-16.79644896
-0.7366	-21.8123955
-1.0414	-27.17728266
-1.2573	-32.03773392
-1.5748	-37.39681709
-1.8542	-42.50167227
-2.1844	-48.13091171
-2.5654	-53.6351555
-2.8321	-59.39724311
-3.1115	-65.23618796
-3.3782	-71.44442207
-3.7846	-77.67928782
-4.1021	-83.22525806
-4.3307	-88.99573809
-4.6609	-95.27642643
-4.9657	-101.8284834
-5.3213	-107.3453403
-5.588	-113.6611951
-5.8166	-119.6972309
-6.1341	-126.2654367
-6.3627	-132.4891704
-6.6294	-138.7897746
-6.9469	-145.5504683
-7.2136	-151.853959
-7.5565	-157.7629386
-7.5819	-157.5798173
-7.5819	-157.0140597
-7.4422	-149.7458351
-7.1501	-140.687892
-6.9596	-132.4969046
-6.6548	-124.9178042
-6.4262	-117.4913153
-6.1595	-110.6388119
-5.8293	-104.0899349
-5.5626	-97.13685571
-5.2705	-90.65184477
-4.9911	-84.0770566
-4.6609	-77.80644185
-4.445	-71.65548263
-4.1275	-65.46180518
-3.7719	-59.29850416
-3.5052	-53.26318884
-3.1496	-47.09407938
-2.8575	-41.53380332
-2.794	-40.28160569
-2.2098	-29.78806078
-1.9431	-24.51143248
-1.6129	-20.08207294
-1.3589	-15.23611474
-1.1176	-9.5624003
-0.7747	-5.782188079
-0.5715	-1.652053317
-0.3429	2.375773378
-0.0635	6.832716043
0.2032	11.66907653
0.5207	16.84476927
0.8128	21.29684441
1.0541	26.60444866
1.3589	31.69102061
1.7145	37.30959228
2.0066	43.87977729
2.4003	48.91819482
2.5781	54.62489771
2.8956	60.81369625
3.1623	66.11211863
3.5433	73.27878455
3.81	79.4898117
4.064	85.62236271
4.3688	91.91091868
4.6609	98.10388008
4.9911	104.3853467
5.2451	111.0576775
5.5753	117.3351458
5.842	124.0067116
6.1595	130.4628761
6.3881	137.3548955
6.6548	144.1001297
6.9723	151.1261034
7.2136	157.3375619
7.3533	160.3989763
7.3787	159.6753814
7.4168	159.2958273
7.2263	151.9346366
6.9977	142.9536976
6.7183	134.3311648
6.4516	126.1030318
6.1595	118.9901006
5.8166	111.5164415
5.5626	104.4730114
5.2832	97.33694873
4.9784	90.87036824
4.699	83.92197227
4.445	77.52101464
4.1402	70.96277117
3.8608	64.46604107
3.5306	58.28937975
3.302	52.14324163
2.9464	45.98328957
2.6543	40.14499406
2.3622	34.21872566
2.0828	28.65256466
1.7526	22.75281581
1.397	17.13656618
1.1176	12.12417142
0.9525	6.958091068
0.8255	6.564163985
0.3683	-1.856014689
0.1397	-6.061995425
-0.0635	-9.734360219
-0.3556	-14.5528551
-0.6477	-19.09549914
-0.9144	-24.57803112
-1.2319	-29.10414691
-1.4732	-34.41310364
-1.7526	-40.43837562
-2.0701	-45.42667605
-2.3749	-50.60643024
-2.7305	-56.41072907
-3.0353	-61.95515157
-3.3655	-67.86916133
-3.6957	-73.58883757
-4.0005	-79.50828662
-4.2545	-85.4457258
-4.5847	-91.56126068
-4.9149	-98.54119831
-5.1054	-103.3302441
-5.4483	-109.495502
-5.7277	-115.6131939
-6.0325	-121.4386673
-6.2992	-128.029889
-6.5786	-134.7790369
-6.9088	-141.1493379
-7.1628	-147.4501779
-7.4168	-153.8576289
-7.5946	-156.6384816
-7.5946	-156.27376
-7.5184	-150.7189659
-7.3025	-141.8934047
-7.0739	-133.7262025
-6.7564	-125.8716417
-6.5024	-118.5370871
-6.1976	-111.5322835
-5.9182	-104.6675006
-5.6261	-98.29930323
-5.3213	-92.28547379
-5.08	-85.40427955
-4.8006	-79.29201803
-4.4704	-73.0173605
-4.191	-66.98844069
-3.9116	-60.78251038
-3.5687	-55.16778624
-3.1496	-49.02385408
-2.9591	-43.69338612
-2.6289	-37.32233614
-2.3368	-31.40009985
-1.9939	-26.22784503
-1.6637	-21.24998733
-1.4478	-15.92714461
-1.1176	-11.40401043
-0.8636	-6.839256092
-0.635	-3.204715906
-0.635	-2.261296551
-0.5334	3.576559373
-0.1905	8.832177728
0.1397	14.55199318
0.3683	19.77628152
0.6858	25.03947481
0.9779	30.23098819
1.2954	35.96119567
1.651	41.6669161
1.9558	47.67788047
2.2733	53.49601547
2.5781	59.78681742
2.8702	65.71464556
3.175	71.8997082
3.4798	78.09248281
3.81	84.09774637
4.0513	90.59988018
4.3307	96.88884532
4.6355	103.4611874
4.9022	109.661923
5.2324	115.9484287
5.4864	122.6218846
5.8166	129.1699255
6.0198	135.8868469
6.3881	142.0514333
6.6421	149.2822277
6.7183	150.7090924
7.2136	162.6059948
7.4803	168.8275314
7.8105	174.5324597
8.128	179.9817102
8.382	185.4691424
8.7376	190.0831035
9.017	194.4583939
9.3218	198.7832096
9.6266	203.226649
9.9822	206.7343611
10.2235	210.5879864
10.5029	212.104068
10.795	216.1718939
11.176	219.196434
11.5062	222.3585487
11.8491	225.3811097
12.1666	228.5505139
12.4587	232.1496933
12.8143	235.0007898
13.0429	236.2742781
13.4747	235.7432644
13.5128	232.9190796
13.5255	232.0046247
13.5382	231.1919553
13.5509	230.7063639
13.5128	230.2675602
13.5255	230.0702291
13.5382	229.5080651
13.3604	222.7256587
13.0556	214.2178625
12.7635	206.4587896
12.6365	202.6349492
12.5857	194.4449179
12.4587	189.5651432
12.1285	181.903088
11.8872	175.0204305
11.6713	168.4659674
11.3665	161.790181
11.2649	155.3836373
10.8331	149.5562648
10.5029	143.4437765
10.2743	137.3898795
9.9949	131.0013126
9.9695	130.4597628
9.4107	119.7111871
9.0932	113.9632959
8.8138	108.1274421
8.5598	102.0292881
8.2677	96.07677629
7.9502	90.26483222
7.5565	84.7763726
7.3279	78.89928599
7.0739	73.31616134
6.6929	67.99129412
6.3881	63.07375119
6.096	57.79299428
5.7658	52.99261184
5.4864	47.99145146
5.1689	43.47131711
4.8895	38.45272609
4.5466	33.65398566
4.2672	28.8261577
3.8481	24.26211808
3.6068	19.78640003
3.2893	15.15091977
3.048	10.56424015
2.6924	6.617448148
2.3368	2.290549226
2.1463	-1.93357095
1.8034	-5.80989467
1.5621	-9.376431201
1.2319	-13.61811958
0.9398	-17.24076889
0.6223	-21.95664393
0.2794	-25.92118146
0	-30.01173
-0.3175	-33.62721082
-0.635	-38.15488457
-0.9398	-42.32459861
-1.2573	-46.30296698
-1.5875	-51.09701173
-1.8796	-55.73985927
-2.2352	-60.3447474
-2.5908	-65.77267654
-2.8829	-70.77546915
-3.0607	-76.20431892
-3.5306	-81.39311043
-3.8608	-86.74234106
-4.191	-92.38346555
-4.4831	-97.83528666
-4.8006	-103.3838676
-5.1181	-109.1105442
-5.3594	-114.6975604
-5.6769	-120.3207926
-5.9563	-126.0828357
-6.3373	-131.2941405
-6.5786	-136.9830089
-6.9088	-142.5956783
-7.1374	-148.4773325
-7.4676	-154.2849536
-7.7597	-159.200802
-8.1026	-164.9150657
-8.3947	-170.1071483
-8.763	-175.0617167
-8.7884	-176.040736
-9.4615	-184.0211209
-9.7155	-187.8281498
-10.0457	-191.6134082
-10.3759	-195.6904448
-10.7442	-199.0669111
-10.9474	-202.206219
-11.3411	-205.9587394
-11.6586	-209.2694717
-12.0269	-211.8415543
-12.446	-214.5929113
-12.6873	-217.5026748
-13.0556	-220.3470067
-13.3858	-223.5630518
-13.6144	-224.3871113
-13.9192	-228.3577281
-14.2748	-231.2166522
-14.6304	-234.0620871
-14.7701	-232.9853652
-14.8209	-232.1644323
-14.9352	-233.6527837
-14.9479	-232.4031296
-14.9352	-231.6431319
-14.6558	-222.967496
-14.4018	-215.1853983
-14.0716	-208.189125
-13.8938	-200.6044697
-13.9065	-196.4659731
-13.9192	-194.275099
-13.6525	-186.4863746
-13.3731	-179.5775792
-13.1191	-173.3433806
-12.8397	-167.2242655
-12.4841	-161.3262534
-12.192	-155.877719
-11.9126	-149.4680487
-11.6205	-143.3740486
-11.3284	-137.5409077
-11.0236	-131.886334
-10.7569	-126.2261431
-10.4013	-120.6145366
-10.0965	-115.5513959
-10.0965	-114.2427324
-9.4742	-104.164008
-9.144	-98.61439971
-8.8519	-93.59757079
-8.5471	-88.15385747
-8.255	-83.22150881
-7.9375	-78.49948688
-7.5946	-73.52762218
-7.2771	-68.53772732
-6.9596	-63.83429593
-6.6548	-59.10432631
-6.3246	-54.58466117
-5.8547	-48.46951768
-5.6896	-45.8834432
-5.3594	-41.26495861
-5.0419	-36.9158382
-4.6609	-32.60524737
-4.3434	-27.98318033
-4.0132	-23.72952773
-3.7084	-19.00829434
-3.3655	-14.94631431
-2.9845	-10.35770492
-2.7559	-6.696108412
-2.5019	-3.052391967
-2.1971	0.378264972
-1.8542	3.608250612
-1.6256	7.083976666
-1.2954	10.41085877
-0.9652	14.19595034
-0.8763	14.52159496
-0.8763	15.16510418
-0.381	19.05316205
0.1905	27.13404317
1.2192	38.57458892
2.1844	50.12788369
3.2004	62.67179948
3.9116	72.43444447
4.8387	85.10249888
5.7277	98.91367199
6.6929	113.5053858
7.5946	128.1335513
8.4582	142.8598731
9.4107	157.6517422
10.2997	172.9246396
11.2268	188.5669552
12.192	203.7838718
13.0175	217.8098814
14.0335	231.5331986
14.9733	243.7469142
15.9639	253.3546394
16.9672	262.2487366
17.9324	271.9084531
19.0627	270.5652236
20.1168	275.4001942
20.3327	276.9468035
22.3139	285.2406838
23.3807	286.4926506
24.4856	287.8867239
25.6286	289.9350912
26.7716	292.1493814
27.8892	293.0928785
29.0322	292.7226819
30.1498	294.5788505
31.4071	286.1516341
32.5628	285.8511388
33.7566	286.1812189
34.9631	283.3403249
36.1442	281.236057
37.465	274.6068047
38.5699	244.0982133
39.6875	239.5087981
40.8559	237.6379616
42.0624	236.1039388
43.2181	234.4002795
44.4246	233.1921383
45.5803	227.1845221
46.7487	228.9626014
47.9806	228.9050419
49.1236	226.869012
50.3428	225.5186931
51.3588	223.1020106
52.6288	220.8464343
53.7591	219.470062
54.9021	216.2977314
56.1467	214.2539006
57.4167	210.286437
58.6359	206.214773
59.9059	200.9035107
61.0997	196.4416497
62.3951	191.582716
63.5508	189.3906322
64.77	187.1005477
66.6115	139.7762568
67.8815	135.9803022
69.2658	129.553638
70.4723	124.0118707
71.9709	107.3711403
73.2536	103.4626106
74.6379	83.2334459
76.2381	50.05802681
77.9907	40.09958152
79.2988	18.97995531
80.8101	-1.048809094
82.1944	-12.97206061
82.9818	-24.86727384
83.3247	-37.55007483
83.1723	-32.73863146
