"Pujol 2002, No. 10-3-2.25N"	
24380	
0.03	0.485
0.00	0.508
0.00	0.530
0.00	0.463
-0.04	0.463
-0.03	0.485
-0.08	0.463
-0.03	0.485
-0.04	0.441
0.01	0.441
-0.03	0.463
-0.01	0.485
0.00	0.485
0.00	0.485
0.02	0.485
-0.01	0.485
-0.07	0.485
-0.03	0.485
-0.07	0.508
-0.05	0.441
-0.01	0.463
-0.02	0.463
-0.05	0.508
-0.02	0.463
-0.05	0.530
0.05	0.485
0.08	0.485
0.07	0.485
0.07	0.463
0.06	0.485
0.00	0.508
0.02	0.463
0.02	0.485
0.07	0.463
0.09	0.463
0.05	0.463
0.07	0.508
0.09	0.463
0.11	0.508
0.11	0.463
0.05	0.508
0.08	0.441
0.02	0.485
0.08	0.463
0.06	0.508
0.07	0.508
0.02	0.508
0.05	0.485
-0.01	0.485
0.05	0.508
0.09	0.463
0.09	0.485
0.06	0.485
0.06	0.485
0.06	0.485
0.04	0.463
0.07	0.463
0.03	0.485
0.08	0.463
0.07	0.485
0.06	0.485
0.04	0.508
0.04	0.508
0.08	0.508
0.08	0.485
0.09	0.485
0.09	0.485
0.08	0.530
0.08	0.485
0.06	0.485
0.03	0.485
0.05	0.508
0.01	0.463
0.05	0.552
0.01	0.441
0.03	0.463
-0.02	0.485
0.00	0.441
-0.01	0.441
0.04	0.463
0.02	0.441
0.02	0.485
0.04	0.485
0.02	0.485
0.01	0.485
0.02	0.485
0.05	0.441
0.04	0.508
0.01	0.463
0.04	0.485
0.03	0.508
0.04	0.530
0.07	0.508
0.05	0.485
0.04	0.508
0.02	0.508
0.04	0.508
0.03	0.530
0.02	0.463
-0.01	0.463
-0.03	0.530
0.03	0.508
0.00	0.485
0.04	0.485
0.02	0.485
0.00	0.483
0.03	0.527
0.03	0.527
0.05	0.460
0.07	0.527
0.04	0.483
0.04	0.505
0.02	0.527
0.03	0.505
0.07	0.483
-0.02	0.483
0.01	0.460
-0.02	0.505
0.02	0.483
0.00	0.460
0.08	1.329
0.08	1.285
0.03	1.307
0.03	1.307
0.02	1.285
0.03	2.733
-0.01	2.756
0.01	2.778
-0.03	2.778
0.01	2.778
0.09	4.316
0.06	4.338
0.07	4.338
0.03	4.338
0.08	4.338
0.00	4.383
0.07	4.383
0.01	4.383
0.09	4.383
0.05	4.405
0.23	7.213
0.21	7.235
0.24	7.191
0.22	7.191
0.24	7.213
0.17	7.124
0.15	7.146
0.14	7.191
0.13	7.191
0.15	7.146
0.21	7.213
0.21	7.213
0.19	7.213
0.19	7.213
0.20	7.191
0.24	7.191
0.24	7.168
0.23	7.191
0.22	7.124
0.21	7.168
0.26	9.197
0.28	9.219
0.22	9.174
0.24	9.130
0.23	9.174
0.31	11.871
0.28	11.826
0.32	11.871
0.31	11.826
0.33	11.871
0.33	11.893
0.33	11.826
0.35	11.893
0.34	11.871
0.31	11.893
0.34	13.431
0.35	13.409
0.32	13.431
0.36	13.409
0.34	13.453
0.32	13.364
0.35	13.409
0.29	13.386
0.34	13.386
0.31	13.364
0.38	15.838
0.37	15.905
0.38	15.905
0.42	15.883
0.43	15.883
0.43	15.905
0.42	15.905
0.43	15.883
0.43	15.883
0.40	15.905
0.48	17.955
0.49	17.933
0.43	17.977
0.47	17.955
0.42	17.933
0.44	17.911
0.46	17.911
0.45	17.888
0.48	17.911
0.41	17.955
0.52	20.228
0.55	20.184
0.48	20.228
0.48	20.228
0.48	20.228
0.51	20.206
0.51	20.206
0.51	20.184
0.53	20.206
0.55	20.206
0.53	22.011
0.53	22.011
0.56	22.034
0.53	22.034
0.56	22.056
0.60	22.056
0.57	22.056
0.58	22.034
0.56	22.056
0.52	22.034
0.56	22.034
0.61	22.034
0.61	22.034
0.62	22.034
0.61	22.034
0.62	25.087
0.61	25.042
0.64	25.065
0.58	25.065
0.62	25.020
0.66	25.065
0.67	25.042
0.67	25.065
0.69	25.042
0.65	25.065
0.71	25.042
0.68	25.042
0.67	25.020
0.65	25.042
0.65	25.020
0.72	26.914
0.67	26.892
0.69	26.892
0.65	26.892
0.71	26.892
0.73	26.914
0.76	26.937
0.73	26.914
0.77	26.914
0.73	26.914
0.81	29.455
0.80	29.455
0.84	29.477
0.86	29.477
0.81	29.455
0.89	31.795
0.89	31.817
0.91	31.840
0.96	31.817
0.94	31.817
0.97	33.712
1.01	33.734
0.99	33.712
1.02	33.734
0.98	33.756
0.97	33.712
1.02	33.756
1.02	33.756
1.06	33.734
1.02	33.756
1.10	35.673
1.11	35.673
1.13	35.673
1.11	35.673
1.10	35.673
1.12	35.718
1.08	35.695
1.12	35.718
1.11	35.695
1.13	35.740
1.15	35.695
1.15	35.740
1.18	35.740
1.14	35.718
1.20	35.673
1.18	38.481
1.21	38.414
1.20	38.459
1.26	38.459
1.20	38.481
1.33	40.108
1.31	40.153
1.33	40.063
1.29	40.108
1.32	40.130
1.43	40.197
1.41	40.153
1.39	40.153
1.43	40.175
1.40	40.197
1.46	42.426
1.47	42.426
1.50	42.448
1.47	42.426
1.49	42.448
1.43	42.404
1.47	42.426
1.41	42.426
1.47	42.404
1.43	42.426
1.50	42.426
1.54	42.426
1.50	42.426
1.51	42.404
1.47	42.426
1.59	44.499
1.57	44.499
1.56	44.499
1.49	44.543
1.55	44.499
1.59	44.521
1.63	44.565
1.65	44.521
1.66	44.499
1.67	44.543
1.72	47.262
1.77	47.284
1.76	47.262
1.75	47.262
1.71	47.284
1.82	47.262
1.82	47.307
1.85	47.262
1.81	47.284
1.84	47.284
1.84	47.262
1.80	47.240
1.84	47.217
1.83	47.240
1.89	47.284
1.83	47.307
1.85	47.284
1.81	47.240
1.89	47.262
1.84	47.307
1.92	47.262
1.94	47.307
1.97	47.284
1.98	47.307
1.97	47.307
2.02	49.402
2.01	49.379
2.00	49.379
2.02	49.402
1.97	49.402
1.99	49.379
1.94	49.335
1.96	49.379
1.94	49.357
1.95	49.379
2.11	51.898
2.10	51.831
2.15	51.875
2.10	51.831
2.09	51.875
2.09	51.920
2.13	51.898
2.08	51.898
2.11	51.898
2.07	51.898
2.18	51.875
2.25	51.875
2.21	51.875
2.20	51.853
2.20	51.898
2.24	53.837
2.27	53.792
2.21	53.747
2.26	53.703
2.21	53.814
2.39	55.887
2.40	55.932
2.39	55.887
2.35	55.909
2.41	55.887
2.46	55.887
2.44	55.909
2.50	55.865
2.44	55.909
2.49	55.887
2.49	55.887
2.53	55.909
2.51	55.887
2.56	55.954
2.47	55.909
2.60	55.865
2.59	55.887
2.59	55.865
2.58	55.909
2.54	55.887
2.59	55.887
2.60	55.865
2.56	55.909
2.58	55.932
2.54	55.865
2.61	55.932
2.61	55.909
2.61	55.887
2.60	55.909
2.62	55.887
2.65	54.461
2.68	54.483
2.60	54.483
2.63	54.461
2.61	54.505
2.62	54.527
2.67	54.527
2.62	54.527
2.68	54.527
2.63	54.505
2.66	53.905
2.70	53.861
2.67	53.950
2.68	53.905
2.59	53.994
2.68	53.797
2.65	53.775
2.67	53.797
2.65	53.819
2.66	53.797
2.90	61.040
2.83	60.973
2.86	61.018
2.83	60.996
2.88	61.018
2.95	61.998
2.94	62.021
2.90	62.021
2.96	62.021
2.92	61.998
3.16	64.450
3.14	64.472
3.15	64.450
3.17	64.450
3.18	64.405
3.22	63.001
3.23	63.046
3.24	63.001
3.20	63.001
3.17	63.001
3.17	62.689
3.13	62.712
3.20	62.734
3.22	62.712
3.25	62.689
3.39	67.615
3.42	67.570
3.38	67.526
3.44	67.548
3.45	67.548
3.51	64.873
3.54	64.896
3.48	64.896
3.44	64.873
3.44	64.807
3.45	64.784
3.48	64.829
3.44	64.740
3.50	64.784
3.46	64.784
3.50	64.517
3.46	64.495
3.51	64.495
3.49	64.495
3.52	64.539
3.79	72.228
3.80	72.250
3.73	72.295
3.79	72.228
3.78	72.250
3.88	70.245
3.91	70.245
3.86	70.267
3.85	70.289
3.78	70.267
4.22	75.883
4.18	75.883
4.15	75.861
4.09	75.883
4.16	75.861
4.31	78.647
4.32	78.580
4.26	78.624
4.30	78.580
4.34	78.580
4.39	77.755
4.36	77.733
4.35	77.711
4.31	77.755
4.34	77.733
4.36	75.593
4.40	75.571
4.39	75.593
4.43	75.593
4.40	75.593
4.65	80.764
4.64	80.719
4.63	80.742
4.61	80.697
4.60	80.719
4.72	82.502
4.68	82.480
4.71	82.480
4.68	82.502
4.70	82.480
4.70	81.343
4.66	81.299
4.71	81.321
4.68	81.343
4.75	81.321
4.85	85.266
4.90	85.266
4.81	85.243
4.88	85.288
4.84	85.243
5.18	89.054
5.18	89.054
5.16	89.032
5.18	89.054
5.17	89.032
5.27	86.246
5.21	86.246
5.21	86.224
5.20	86.246
5.25	86.291
5.18	85.957
5.22	85.934
5.25	85.957
5.28	85.979
5.27	85.979
5.14	85.867
5.18	85.867
5.16	85.867
5.22	85.867
5.22	85.845
5.16	85.154
5.23	85.221
5.21	85.221
5.25	85.177
5.24	85.199
5.53	92.219
5.54	92.197
5.58	92.241
5.59	92.175
5.54	92.175
5.69	94.893
5.66	94.893
5.67	94.871
5.65	94.871
5.70	94.849
5.71	94.024
5.73	94.047
5.70	94.024
5.71	94.047
5.70	94.024
5.88	97.323
5.93	97.278
5.93	97.300
5.87	97.256
5.87	97.256
5.94	95.072
5.95	94.983
5.89	95.049
5.90	95.049
5.86	95.027
5.92	94.893
5.90	94.827
5.92	94.827
5.87	94.827
5.91	94.827
6.10	98.259
6.06	98.370
6.07	98.615
6.10	98.905
6.09	99.039
6.29	100.019
6.29	100.042
6.29	100.042
6.29	100.042
6.26	100.019
6.20	99.641
6.25	99.618
6.21	99.641
6.26	99.618
6.27	99.641
6.26	99.306
6.21	99.284
6.26	99.306
6.27	99.217
6.29	99.217
6.48	102.828
6.46	102.805
6.49	102.805
6.47	102.805
6.48	102.805
6.51	102.114
6.47	102.070
6.48	102.114
6.44	102.092
6.44	102.070
6.49	101.223
6.46	101.201
6.44	101.178
6.52	101.201
6.49	101.178
6.49	100.309
6.50	100.309
6.50	100.287
6.52	100.331
6.52	100.309
6.49	100.242
6.49	100.242
6.53	100.220
6.54	100.198
6.57	100.220
6.48	100.109
6.49	100.064
6.52	100.042
6.51	100.064
6.52	100.064
6.76	105.101
6.77	105.101
6.71	105.034
6.71	105.078
6.67	105.056
6.77	104.031
6.72	104.053
6.74	104.031
6.70	104.053
6.72	104.031
6.79	102.780
6.78	102.824
6.82	102.802
6.82	102.802
6.78	102.780
6.73	102.668
6.73	102.735
6.76	102.735
6.73	102.713
6.81	102.735
6.79	102.668
6.78	102.713
6.75	102.668
6.81	102.646
6.81	102.668
6.82	101.911
6.82	101.911
6.81	101.888
6.79	101.933
6.79	101.911
6.81	99.749
6.79	99.771
6.86	99.793
6.82	99.771
6.88	99.749
6.87	99.749
6.82	99.726
6.83	99.771
6.77	99.726
6.82	99.793
6.83	99.414
6.79	99.370
6.82	99.392
6.82	99.392
6.86	99.370
6.86	99.080
6.81	99.058
6.86	99.080
6.82	99.058
6.88	99.080
6.82	99.058
6.82	99.080
6.91	99.058
6.90	99.080
6.89	99.058
6.86	98.991
6.87	99.013
6.89	99.013
6.92	98.991
6.89	98.946
7.14	105.568
7.14	105.568
7.17	105.546
7.14	105.546
7.12	105.546
7.49	107.373
7.50	107.395
7.50	107.373
7.45	107.351
7.49	107.306
7.57	103.874
7.64	103.874
7.57	103.874
7.57	103.830
7.53	103.874
7.66	102.738
7.61	102.738
7.66	102.693
7.65	102.715
7.63	102.671
8.08	107.819
8.11	107.774
8.06	107.797
8.09	107.752
8.08	107.752
8.17	106.393
8.15	106.437
8.18	106.393
8.20	106.415
8.23	106.393
8.29	105.412
8.28	105.390
8.28	105.390
8.22	105.456
8.22	105.456
8.25	104.409
8.27	104.454
8.23	104.387
8.23	104.431
8.16	104.409
8.28	104.231
8.24	104.164
8.29	104.208
8.28	104.208
8.29	104.186
8.28	103.362
8.30	103.384
8.32	103.406
8.29	103.339
8.27	103.384
8.74	107.819
8.70	107.841
8.69	107.819
8.69	107.797
8.70	107.797
8.95	108.109
8.96	108.109
8.95	108.109
8.89	108.086
8.93	108.042
9.00	105.100
8.91	105.144
8.98	105.167
8.95	105.167
9.04	105.144
9.04	104.810
9.00	104.788
9.02	104.877
9.03	104.810
9.05	104.810
9.41	109.000
9.40	109.022
9.43	108.978
9.40	108.955
9.44	108.955
9.53	105.947
9.52	105.925
9.56	105.925
9.50	105.947
9.55	105.925
9.64	104.409
9.58	104.454
9.59	104.431
9.53	104.431
9.58	104.387
9.68	103.518
9.67	103.518
9.63	103.473
9.65	103.518
9.61	103.495
9.65	103.228
9.63	103.183
9.66	103.206
9.62	103.250
9.61	103.250
9.96	108.421
9.98	108.443
10.02	108.376
10.03	108.398
10.06	108.376
10.23	109.334
10.28	109.334
10.23	109.290
10.23	109.223
10.18	109.290
10.34	106.682
10.33	106.727
10.35	106.682
10.39	106.682
10.38	106.682
10.71	109.646
10.64	109.646
10.69	109.624
10.67	109.602
10.70	109.646
10.85	106.749
10.77	106.705
10.79	106.727
10.75	106.727
10.80	106.727
10.98	109.869
11.00	109.892
10.95	109.869
10.97	109.892
10.91	109.869
11.08	107.930
11.01	107.953
11.08	107.930
11.11	107.908
11.12	107.930
11.53	110.114
11.55	110.114
11.55	110.070
11.56	110.092
11.53	110.092
11.94	110.984
11.92	110.961
11.97	110.939
11.88	110.917
11.89	110.894
11.92	107.819
11.95	107.774
11.92	107.797
11.97	107.797
11.88	107.774
11.99	107.418
11.94	107.395
11.97	107.395
11.91	107.418
11.96	107.418
12.00	107.106
12.02	107.106
12.01	107.106
12.04	107.128
12.02	107.128
12.02	106.014
12.04	105.991
12.01	105.969
12.02	106.036
11.97	105.969
12.35	110.226
12.38	110.248
12.39	110.270
12.41	110.204
12.40	110.248
12.83	111.273
12.83	111.296
12.79	111.273
12.79	111.251
12.76	111.273
12.83	108.799
12.80	108.777
12.86	108.777
12.82	108.799
12.90	108.777
13.20	110.716
13.16	110.716
13.19	110.716
13.18	110.672
13.19	110.672
13.30	110.738
13.32	110.738
13.33	110.761
13.33	110.738
13.29	110.694
13.32	110.003
13.29	110.025
13.34	110.048
13.34	110.070
13.38	110.025
13.38	109.312
13.37	109.312
13.33	109.334
13.35	109.290
13.36	109.334
13.43	104.855
13.44	104.833
13.41	104.855
13.48	104.855
13.44	104.855
13.48	104.833
13.45	104.810
13.49	104.833
13.49	104.855
13.53	104.833
13.43	103.918
13.46	103.940
13.40	103.895
13.45	103.918
13.41	103.918
13.86	111.339
13.85	111.339
13.88	111.317
13.89	111.294
13.89	111.294
14.35	112.186
14.32	112.164
14.34	112.119
14.28	112.119
14.30	112.141
14.36	108.754
14.29	108.754
14.32	108.754
14.30	108.732
14.36	108.732
14.38	108.397
14.40	108.397
14.35	108.419
14.38	108.397
14.32	108.442
14.78	111.428
14.84	111.406
14.79	111.384
14.81	111.361
14.75	111.339
15.25	112.431
15.29	112.387
15.29	112.387
15.32	112.364
15.33	112.387
15.33	108.665
15.29	108.642
15.32	108.665
15.30	108.620
15.35	108.642
15.41	108.330
15.38	108.330
15.36	108.397
15.34	108.375
15.36	108.375
15.88	112.810
15.87	112.832
15.87	112.810
15.87	112.788
15.87	112.788
15.96	109.734
15.87	109.734
15.93	109.757
15.85	109.757
15.91	109.712
15.94	108.197
15.99	108.219
