"Mo and Wang, 2000 Test C3-3"	
779	
-2.606	-100.59
-13.282	-154.79
-23.399	-211.91
-34.364	-267.58
-44.521	-301.27
-38.775	-234.13
-27.56	-153.56
-17.134	-84.96
-6.419	-16.11
2.428	40.04
8.894	70.07
19.689	130.13
30.474	185.06
41.06	231.45
52.016	266.36
45.191	192.14
34.565	108.15
23.61	32.71
16.084	-14.65
7.999	-57.37
-2.467	-100.1
-13.611	-148.93
-23.868	-202.64
-34.354	-251.46
-45.26	-295.17
-38.595	-229.98
-27.829	-151.86
-17.124	-83.74
-6.399	-16.85
-6.399	-16.85
5.384	41.02
9.102	72.75
21.953	139.65
33.687	196.53
46.269	243.41
58.482	268.07
51.079	186.52
38.766	95.7
30.394	16.36
20.731	-24.9
8.659	-73.49
-3.414	-112.55
-15.836	-163.33
-27.489	-219.73
-39.543	-269.53
-51.417	-301.76
-44.812	-229
-32.49	-143.07
-20.617	-70.8
-10.135	-2.69
-1.733	40.77
9.92	76.66
22.073	134.77
34.266	186.28
46.019	228.03
58.691	257.81
51.079	178.71
38.577	89.84
30.624	12.7
20.542	-31.01
8.579	-75.2
-3.733	-112.06
-15.367	-159.67
-27.829	-211.43
-39.523	-257.57
-52.085	-296.14
-44.792	-225.34
-32.51	-140.38
-20.627	-69.09
-10.185	-2.93
-10.185	-2.93
0.846	41.02
11.138	80.81
23.979	142.09
38.217	194.58
50.879	236.08
65.097	260.25
56.716	173.1
43.166	78.37
29.817	-0.73
22.377	-39.06
8.738	-87.4
-5.22	-123.05
-18.42	-172.85
-31.551	-226.56
-44.392	-272.46
-57.652	-302.73
-50.16	-223.88
-37.369	-132.81
-24.079	-56.64
-10.79	7.81
-0.413	46.39
11.417	84.23
24.937	138.18
38.486	186.04
51.837	224.12
65.347	250.73
56.965	166.02
42.967	73.49
29.827	-1.71
22.208	-39.06
8.768	-87.4
-4.701	-122.31
-18.051	-169.43
-31.541	-218.99
-45.18	-262.7
-57.842	-295.9
-50.339	-219.24
-36.65	-129.15
-23.421	-54.93
-10.121	8.3
-10.121	8.3
1.235	41.75
12.515	87.89
27.421	145.02
41.43	193.12
56.157	230.22
71.283	252.44
62.443	161.13
47.547	62.74
34.24	-14.16
23.864	-53.96
8.818	-97.41
-5.939	-131.59
-20.985	-180.91
-35.602	-230.96
-49.491	-273.93
-63.998	-301.76
-56.037	-218.02
-40.991	-123.54
-26.424	-44.92
-11.768	18.31
-1.89	45.9
11.587	90.58
27.411	141.6
42.338	185.79
56.516	221.68
72.181	245.12
62.433	156.01
47.547	59.57
34.6	-15.14
23.655	-54.2
9.068	-96.92
-6.038	-130.62
-20.536	-177.73
-35.402	-225.34
-50.209	-266.85
-64.587	-296.63
-56.167	-213.87
-42.029	-120.12
-26.434	-42.24
-11.788	18.8
-11.788	18.8
-1.334	41.75
13.153	95.7
29.706	150.15
45.141	195.31
62.333	228.52
78.747	248.05
68.46	149.66
53.847	45.65
42.184	-31.01
25.99	-69.09
9.298	-107.91
-6.427	-140.87
-22.79	-190.92
-39.094	-238.28
-54.869	-277.34
-70.784	-301.76
-63.571	-212.89
-46.2	-110.35
-29.937	-28.08
