"Xiao 1998,Specimen Nr.HC4-8L16-T10-0.2P"	
8.979916	294.41312
8.1972785	249.39936
7.3259315	209.9456
6.5052575	174.45056
5.6877585	139.97856
4.7878365	108.66464
3.678809	72.63584
2.8105735	42.34496
2.069084	17.10256
1.403731	-7.38368
0.7889875	-32.87072
0.0380365	-66.56432
-0.750951	-99.99104
-1.543177	-129.97056
-2.500122	-161.81824
-3.545713	-193.64368
-4.489958	-220.22048
-5.503926	-245.99664
-6.635242	-271.50592
-8.292338	-300.4624
-9.160637	-308.86912
-8.602853	-273.61872
-7.836154	-242.83856
-7.037578	-213.63744
-6.080633	-180.76672
-5.104765	-151.81024
-4.15417	-123.12064
-3.216275	-96.03232
-2.211832	-65.51904
-1.276985	-36.56256
-0.459486	-5.7824
0.240792	23.17408
0.9918065	55.77792
1.707896	85.75744
2.471547	116.5376
3.238373	145.2272
4.13512	175.20672
4.930394	201.272
5.944362	226.80352
7.5794235	266.52416
10.0477955	300.99616
10.2220395	297.03744
9.8988245	277.82208
8.5806915	217.0624
7.351268	166.26624
6.2454155	124.9888
5.0413285	87.09184
3.8942645	53.42048
2.911983	25.7984
1.9898995	0.53376
1.1724005	-28.6896
0.3390265	-60.24816
-0.551434	-93.94176
-1.413256	-124.45504
-2.446274	-156.54736
-3.659759	-189.68496
-4.759325	-216.79552
-5.871591	-241.25952
-7.177024	-267.30256
-8.960993	-297.03744
-10.320274	-302.81984
-9.436227	-264.41136
-8.834247	-240.72576
-8.26389	-217.8408
-7.471664	-188.90656
-6.543294	-160.75072
-5.41528	-129.16992
-4.188968	-97.61136
-2.702941	-63.40624
-1.112266	-22.37344
-0.256667	5.51552
-0.076073	1.06752
0.506984	32.11456
1.1724005	60.24816
1.967738	92.60736
2.8866465	126.5456
3.910076	161.28448
4.9652555	193.64368
6.0711715	219.9536
7.3259315	245.21824
8.8437085	275.19776
11.1885095	302.30832
12.0060085	302.81984
11.8000145	287.5632
11.09345	253.0912
10.2252145	209.67872
8.8943815	158.1264
7.4526775	112.868
5.947537	72.36896
4.44881	34.472
2.642616	-7.36144
1.1851005	-47.63808
-0.095123	-89.71616
-1.258062	-129.16992
-2.439924	-163.64192
-3.865753	-198.91456
-5.228336	-227.8488
-6.67004	-252.84656
-8.330438	-278.62272
-10.881233	-304.39888
-12.113768	-306.77856
-11.75258	-282.04768
-11.166348	-258.0952
-10.532618	-234.16496
-9.778492	-208.12192
-8.726551	-174.42832
-7.658735	-145.76096
-6.3754	-113.91328
-5.038217	-82.86624
-3.266948	-47.10432
-1.682623	-16.85792
-0.316865	16.32416
1.4829155	72.10208
3.029204	122.07536
4.4709715	163.64192
5.820791	198.3808
7.5571985	232.05216
9.3538675	259.16272
11.5117245	288.36384
12.0250585	276.53216
10.6751755	215.99488
9.5946595	174.96208
8.5902165	140.75696
7.173849	101.03632
5.706745	63.1616
3.4538285	10.008
1.4670405	-38.92
-0.199644	-90.24992
-1.777619	-138.37728
-3.022854	-169.95808
-4.432935	-200.73824
-6.201029	-231.00688
-7.953375	-256.24928
-10.022459	-282.31456
-12.063095	-299.39488
-11.236071	-257.58368
-9.873615	-211.01312
-8.625078	-172.07088
-7.294245	-137.59888
-5.554599	-96.03232
-3.843655	-60.00352
-2.208657	-28.42272
-0.779526	3.95872
0.380238	35.00576
1.9835495	86.02432
3.9671625	146.27248
5.694045	191.53088
8.479282	244.68448
10.5706545	271.26128
12.544679	295.4584
11.654282	237.05616
10.0889435	177.07488
8.4096225	124.45504
6.6288285	79.1744
4.5691425	31.31392
2.740914	-9.20736
1.2484735	-47.90496
-0.069723	-87.35872
-1.29921	-125.50032
-2.937383	-166.8
-4.553331	-200.20448
-6.574917	-232.8528
-8.812022	-261.78704
-11.030077	-286.7848
-11.987022	-294.41312
-11.236071	-255.47088
-10.48512	-229.16096
-9.724644	-203.89632
-8.88492	-178.12016
-7.721981	-146.02784
-6.498971	-116.02608
-4.670552	-76.03856
-2.443099	-32.3592
-0.402463	13.16608
1.6762095	73.392
3.4728785	126.27872
5.187061	173.11616
6.7587495	207.32128
8.4127975	235.744
10.833608	268.8816
14.971903	310.71504
17.345152	318.87712
15.786227	248.37632
15.20952	226.26976
13.723493	176.54112
12.490831	142.86976
11.4515265	118.40576
10.260076	92.0736
9.002141	67.6096
7.531862	42.3672
5.3391435	6.58304
2.889758	-32.62608
1.3752195	-66.29744
0.2724785	-94.9648
-0.725678	-121.03008
-1.799844	-147.60688
-2.946908	-173.11616
-4.334764	-195.75648
-6.771386	-228.11568
-9.395079	-258.36208
-12.006072	-283.35984
-15.133447	-298.08272
-17.522571	-300.72928
-16.942816	-261.25328
-16.087217	-233.09744
-15.149322	-201.53888
-13.60932	-158.9048
-11.838051	-118.40576
-9.930638	-84.46752
-7.218172	-45.23616
-4.493133	-14.18912
-1.980438	13.94448
0.117221	48.1496
1.577975	82.33248
3.254248	121.03008
5.0349785	161.0176
6.9425185	197.84704
8.992616	228.6272
11.416665	257.82832
14.198727	284.93888
16.778097	300.19552
16.055467	263.0992
14.952853	221.53264
13.872337	184.16944
12.728448	151.0096
11.210671	115.24768
9.5312865	79.97504
7.8170405	47.3712
5.694045	12.63232
3.8879145	-16.32416
2.1261705	-47.88272
0.65278	-80.77568
-0.573532	-110.51056
-1.631823	-133.39552
-3.282823	-162.32976
-5.279009	-192.33152
-7.94385	-222.31104
-10.896981	-249.68848
-14.056106	-274.41936
-17.741265	-291.52192
-17.773015	-286.51792
-16.892143	-253.35808
-15.754604	-216.52864
-14.623415	-182.32352
-13.438251	-151.54336
-11.936349	-118.13888
-9.917938	-79.44128
-7.531862	-43.94624
-4.949444	-12.36544
-2.164207	20.52752
-0.177419	53.932
1.327658	87.35872
2.959481	127.34624
4.3632755	159.17168
5.7447815	187.83904
7.221347	211.52464
9.049639	236.01088
11.2550575	261.78704
14.85138	284.16048
16.553053	289.14224
15.56766	245.46288
14.493367	207.0544
13.412978	172.84928
11.964797	133.90704
10.450195	101.03632
8.4666455	64.98528
4.6579155	18.94848
1.6287115	-35.2504
-0.003175	-74.99328
-2.157857	-124.18816
-4.553331	-167.60064
-7.706233	-207.85504
-10.729087	-237.05616
-13.824839	-262.58768
-17.408652	-283.62672
-16.419957	-235.744
-15.165197	-196.53488
-13.891387	-161.28448
-12.227814	-122.60912
-10.532618	-88.91552
-8.720201	-58.66912
-6.711188	-31.04704
-4.734052	-7.36144
-0.912622	44.72464
0.316865	70.5008
1.444879	97.61136
2.7028775	128.12464
3.8847395	154.70144
5.285359	183.63568
7.021703	212.32528
8.945118	235.744
11.1694595	261.25328
