"Ohue et al. 1985, Specimen 4D13RS"	
-4.6617	-81.105
-4.5794	-77.373
-4.3327	-72.351
-4.0858	-67.334
-3.9213	-62.054
-3.7843	-57.935
-3.6198	-53.558
-3.318	-47.634
-3.1808	-44.542
-2.9068	-40.425
-2.605	-33.73
-2.4406	-29.997
-2.2212	-24.976
-1.7276	-16.479
-1.4534	-11.201
-1.0694	-5.407
-0.68555	0.51494
-0.35649	4.6348
-0.082266	11.329
0.21937	19.054
0.3839	23.045
0.87749	30.898
1.1243	37.078
1.3985	42.613
1.7276	46.86
2.0841	52.01
2.4954	59.479
2.6599	64.242
2.9891	70.034
3.3454	75.056
3.702	81.492
4.031	89.089
4.3053	93.466
4.5794	96.686
4.8263	100.93
4.9908	102.99
5.21	101.45
5.1826	99.262
4.9634	95.396
4.8263	92.051
4.744	88.831
4.6068	85.486
4.5245	84.196
4.2779	82.395
4.223	81.234
4.223	78.018
4.223	74.54
4.0584	70.421
3.8938	66.044
3.7569	61.925
3.5375	57.935
3.4003	55.489
3.2083	51.494
3.0988	47.892
2.7148	42.227
2.5228	36.82
2.3034	32.314
2.1389	28.709
1.8647	23.688
1.6727	20.47
1.3985	15.835
1.234	11.973
1.042	8.2395
0.79522	3.476
0.54844	-0.38622
0.19195	-5.9221
-0.027422	-10.685
-0.32906	-15.706
-0.65811	-19.698
-0.79522	-23.431
-1.0694	-28.066
-1.4259	-32.443
-1.6453	-35.79
-2.1663	-44.542
-2.5776	-50.596
-2.797	-54.586
-2.9342	-59.221
-2.9891	-60.511
-3.2906	-64.242
-3.4277	-67.334
-3.5375	-70.421
-4.0035	-75.83
-4.2779	-80.335
-4.5794	-85.74
-4.8537	-90.632
-4.9908	-93.466
-5.2923	-95.267
-5.128	-89.734
-5.0731	-84.067
-4.9908	-80.464
-4.8811	-76.728
-4.744	-72.738
-4.5245	-67.458
-4.3602	-64.242
-4.1407	-60.124
-3.8938	-55.489
-3.6746	-50.983
-3.4277	-46.477
-3.2083	-41.326
-3.0165	-36.949
-2.797	-32.7
-2.4954	-27.937
-1.8373	-18.153
-1.563	-12.23
-1.0969	-5.536
-0.68555	1.2874
-0.27422	7.5958
0.082266	11.587
0.68555	22.53
1.2888	32.958
1.5905	39.524
2.1389	47.247
2.5502	53.941
2.8519	59.737
3.0714	64.371
3.2083	67.076
3.4826	70.421
3.7843	75.572
4.0584	80.593
4.3327	85.357
4.5519	91.019
5.0457	95.912
5.1554	99.133
5.3198	100.29
5.2649	102.35
5.1826	103.38
5.7587	106.73
6.2248	109.3
6.3619	109.56
6.5811	110.33
6.7732	109.3
6.8829	109.56
7.0475	107.76
7.0749	106.21
6.9926	105.7
7.1298	104.67
7.0749	102.22
6.9926	99.902
6.8555	98.359
6.828	96.17
6.7732	94.369
6.636	91.793
6.6086	90.374
6.4442	85.615
6.0328	73.383
5.7587	69.264
5.3746	62.183
5.21	57.29
5.0183	53.171
4.5794	47.634
4.3053	42.742
4.0858	38.107
3.7569	32.443
3.4003	26.135
2.8793	20.212
2.1389	11.201
1.8099	7.2093
1.3163	1.0299
0.85009	-4.3772
0.46617	-9.3982
0	-14.29
-0.46617	-20.985
-1.0969	-27.55
-1.4808	-32.057
-1.7824	-36.047
-2.1389	-40.682
-2.3309	-44.416
-2.6873	-48.537
-2.9068	-52.784
-3.0714	-56
-3.3729	-60.124
-3.7843	-64.887
-4.0584	-68.748
-4.4425	-74.54
-4.7714	-78.663
-5.2375	-83.68
-5.649	-87.546
-5.9505	-89.734
-6.3345	-91.277
-6.8006	-91.922
-6.9378	-91.535
-7.2393	-91.535
-7.3764	-89.218
-7.2941	-84.196
-7.2941	-83.422
-7.1298	-81.363
-6.9378	-76.728
-6.8006	-72.867
-6.6909	-69.522
-6.6634	-67.334
-6.3071	-61.925
-5.8956	-54.586
-5.6764	-48.279
-5.4569	-43.772
-5.128	-39.91
-4.8811	-39.009
-4.7165	-34.374
-4.6617	-31.156
-4.3053	-25.234
-3.8664	-19.44
-3.4277	-14.162
-2.9342	-8.497
-2.3857	-3.991
-1.6453	1.1587
-1.042	5.7935
-0.35649	11.716
0	14.419
0.41133	18.667
0.60328	21.371
0.9872	24.203
1.234	25.877
1.563	29.224
1.8921	32.443
2.3034	35.79
2.6599	40.167
2.9891	43.901
3.4003	48.021
3.7295	51.623
4.0858	56.129
4.3876	60.253
4.7165	64.758
5.0457	68.49
5.4021	71.453
5.5392	72.996
5.6764	74.798
