"Sakai et al. 1990, Spec. B7"	
136	
0	0
0.0025	0
-0.0075	0
-0.005	-0.24525
-0.0375	-0.25506
-0.0975	-0.28449
-0.195	-0.64746
-0.4	-1.3636
-0.5375	-1.8933
0.01	97.629
0.3325	146.39
0.745	197.07
1.2125	246.88
1.78	295.93
2.275	329.37
2.5075	342.39
2.435	306.67
1.975	242.15
1.6675	197.84
1.4	148.45
1.175	106.76
0.745	48.206
0.4575	2.9528
0.1025	-52.994
-0.2425	-98.865
-0.6475	-151
-1.0475	-196.5
-1.5525	-248.36
-2.14	-297.45
-2.5075	-322.03
-2.4875	-306.29
-2.2225	-244.89
-1.9625	-201.17
-1.675	-151.75
-1.4125	-95.755
-1.1175	-55.623
-0.8125	-4.699
-0.4475	48.579
-0.115	96.629
0.2675	149.45
0.6425	197.58
1.065	247.06
1.565	297.18
2.0075	334.2
2.63	363.01
3.035	354.82
3.5475	354.69
4.015	355.94
4.515	359.97
5.0125	359.82
5.0575	333.4
4.9225	306.88
4.365	253.92
3.855	208.45
3.465	157.79
2.795	106.09
2.2075	57.496
1.6675	6.0528
1.09	-46.941
0.625	-95.53
0.125	-146.64
-0.3675	-194.3
-0.9175	-245.51
-1.51	-294.86
-2	-329.52
-2.51	-358.58
-3.0075	-380.49
-3.5075	-396.05
-4.06	-405.08
-4.5025	-375.39
-5.2825	-323.64
-5.5025	-306.4
-5.4675	-284.53
-5.275	-257.36
-4.755	-207.91
-4.245	-148.44
-3.9175	-117.1
-2.99	-57.967
-2.155	-7.848
-1.1875	48.932
-0.345	95.883
0.635	148.76
1.6625	197.34
2.4975	229.54
3.0075	245.37
3.5225	259.23
4.025	270.37
4.54	273.95
5.015	277.91
5.0175	255.59
4.5825	200.93
4.11	157.97
3.66	105.52
3.115	59.449
2.1	6.9847
1.46	-15.49
0.7375	-48.932
-0.0075	-75.066
-1.0425	-124.39
-1.99	-168.12
-2.5125	-190.58
-3	-210.02
-3.5125	-229.03
-3.9975	-245.53
-4.5	-257.9
-5.005	-267.34
-4.9475	-242.66
-4.73	-206.42
-4.155	-151.45
-3.7125	-103.67
-3.36	-63.657
-2.675	-28.832
-2.195	-7.9265
-1.495	17.874
-0.77	47.392
0.55	98.797
1.8425	149.65
3.22	199.96
4.1375	226.95
4.9425	233.88
5.56	235.93
6.075	229.18
6.4775	223.93
7.8025	201.12
8.6525	164.46
10.12	123.56
13.17	31.009
14.755	24.603
14.855	23.505
14.642	12.743
14.493	6.8768
14.538	4.0417
14.307	2.8155
14.15	2.168
14.052	1.9228
13.95	1.3243
