"Tanaka 90, Specimen 4"	
845	
0	0
0.21371	15.564
-0.10685	26.717
0.10685	32.683
0.21371	37.871
0.42741	45.134
0.96167	57.846
1.8165	71.853
2.2439	80.153
2.5644	85.339
3.0988	90.526
3.4193	95.717
4.0604	101.94
4.5946	106.09
5.4496	111.54
6.4112	117.24
7.0523	112.32
7.0523	108.69
6.9454	105.57
6.6248	99.866
6.5181	95.717
6.4112	92.603
6.3043	88.195
6.3043	86.638
5.9837	81.189
5.7701	75.225
5.4496	69.776
5.2357	64.847
4.8085	59.141
4.1674	49.026
3.9535	42.021
3.2055	33.202
2.4576	26.458
1.9234	19.714
1.1754	13.488
0.53426	8.5597
0.42741	-0.77818
0.10685	-5.9661
0	-11.932
0	-17.898
0	-25.161
-1.7096	-46.17
-3.2055	-62.512
-3.633	-76.519
-4.1674	-83.783
-4.7015	-90.268
-5.6632	-100.38
-6.8387	-110.24
-7.8003	-116.99
-8.2278	-120.36
-8.014	-114.91
-8.014	-110.24
-7.6934	-102.46
-7.4798	-96.753
-7.3729	-91.825
-7.0523	-84.041
-6.7318	-77.56
-6.3043	-71.075
-5.8771	-64.847
-5.3426	-51.877
-4.381	-43.577
-3.8468	-36.055
-3.2055	-28.274
-2.8849	-22.308
-2.6713	-16.861
-2.2439	-10.375
-1.6028	-3.1127
-1.0685	4.6691
-0.74798	10.635
-0.21371	28.792
0.32055	36.055
0.64112	43.837
0.96167	52.397
1.2822	60.697
1.6028	69.255
2.4576	79.375
2.9919	86.638
3.5263	94.418
4.2741	101.16
5.2357	109.46
6.1976	115.95
6.8387	118.54
8.3345	132.03
9.6167	140.33
10.685	147.34
11.754	154.08
12.502	158.23
13.784	162.12
15.173	166.27
16.669	169.12
18.486	170.42
19.447	166.01
19.34	161.86
19.234	154.86
19.02	144.22
18.379	135.92
17.738	128.66
16.883	120.87
16.242	113.09
14.853	100.9
13.357	88.711
11.861	75.225
10.792	66.404
9.6167	58.104
8.3345	49.542
6.3043	33.202
5.0221	20.751
3.9535	10.375
2.9919	0.77818
2.2439	-5.7068
1.7096	-12.71
1.1754	-19.195
0.10685	-36.315
0	-44.097
-0.96167	-52.918
-1.4959	-58.104
-2.0302	-64.327
-2.6713	-71.591
-3.3124	-78.338
-3.9535	-85.86
-4.7015	-93.897
-5.5563	-100.38
-6.1976	-105.83
-6.7318	-110.76
-7.3729	-115.95
-8.3345	-125.54
-9.1895	-131.51
-10.792	-141.89
-11.967	-147.34
-13.036	-152.78
-14.639	-159.79
-15.494	-162.38
-16.348	-163.94
-17.631	-166.27
-19.02	-167.57
-19.554	-167.57
-19.982	-164.71
-19.875	-161.08
-19.875	-155.37
-19.875	-150.97
-19.768	-145
-19.554	-139.29
-19.234	-133.59
-18.699	-126.58
-18.379	-120.62
-18.058	-115.17
-17.524	-107.91
-17.096	-100.38
-16.135	-91.567
-15.28	-84.561
-14.425	-77.818
-13.464	-70.554
-12.502	-64.589
-11.433	-55.769
-10.365	-45.654
-9.6167	-39.428
-8.1209	-28.014
-7.2659	-21.011
-5.6632	-9.8568
-4.381	0.51877
-2.4576	10.894
-0.96167	20.492
0.10685	32.164
1.0685	41.503
0.85484	52.397
1.2822	63.811
1.9234	75.225
2.7783	87.417
4.0604	97.011
4.9152	107.13
6.9454	123.21
8.4414	133.07
9.6167	141.37
11.006	149.41
12.929	157.97
14.425	163.16
15.921	167.83
17.417	170.16
18.699	169.38
19.127	164.97
19.234	153.3
18.806	148.89
18.486	141.37
18.165	135.14
17.631	128.4
16.99	121.92
16.669	115.95
16.348	112.06
15.921	106.87
14.318	95.196
13.57	85.86
12.929	79.112
11.861	72.369
11.22	66.404
9.9372	59.141
9.1895	53.176
8.2278	45.912
7.3729	39.946
