"Umehara and Jirsa, 1982, Spec. 2CUS"	
-0.71707	-26.131
-1.1748	-33.752
-1.724	-42.462
-2.2885	-51.174
-2.7158	-57.704
-3.0208	-60.973
-4.0889	-83.836
-4.5771	-95.814
-5.111	-108.34
-5.6144	-119.22
-6.2095	-127.39
-6.7434	-136.1
-7.43	-137.73
-8.1623	-135.01
-7.8268	-107.79
-7.491	-78.939
-7.369	-65.87
-7.1402	-48.995
-6.9418	-29.941
-6.7739	-13.61
-6.0721	3.2663
-5.5992	16.876
-5.3551	24.497
-4.9126	25.042
-3.8296	28.853
-2.8834	31.575
-1.9834	30.486
-1.0985	29.397
-0.79334	29.941
1.0985	34.296
1.8766	36.474
2.3648	38.652
3.1887	49.537
4.4854	65.328
4.9431	69.682
5.9959	89.823
6.652	100.71
7.1859	110.51
6.6063	86.015
6.1486	65.328
5.7975	48.452
5.4008	29.941
5.0653	14.154
4.4701	-13.066
3.6464	-15.243
2.7767	-16.332
1.8461	-15.787
1.068	-13.066
0.12205	-11.432
-0.76284	-10.343
-1.4952	-9.7989
-2.3648	-12.521
-3.1735	-16.332
-3.3871	-22.32
-3.7836	-26.131
-4.3482	-34.841
-5.0043	-44.64
-5.8892	-57.704
-6.652	-69.682
-7.2164	-79.481
-7.8572	-90.913
-8.0099	-92.545
-7.3386	-62.606
-6.8504	-37.018
-6.1178	-2.722
-5.7518	15.243
-5.4468	31.575
-4.8974	31.03
-4.0737	33.208
-3.1582	33.208
-2.2122	33.208
-1.4036	32.119
-0.7018	31.575
-0.76284	27.764
1.0375	26.131
1.9681	26.675
2.5631	27.22
3.204	34.296
4.1194	44.096
4.699	49.537
5.3856	57.161
5.9045	63.148
6.5146	69.682
6.8656	74.037
7.0792	77.302
6.4232	53.349
5.9807	38.652
5.5382	22.32
5.2027	8.7101
4.8212	-3.2663
4.6076	-11.432
3.0665	-14.154
2.2275	-17.421
1.5409	-21.231
0.50348	-23.953
-0.4272	-23.409
-1.663	-17.965
-2.4869	-17.421
-2.9903	-17.965
-3.8296	-19.598
-4.4397	-22.864
-4.9891	-27.22
-5.5992	-34.296
-6.6825	-52.26
-7.1097	-60.973
-7.5674	-69.135
-7.903	-75.127
-7.43	-51.174
-6.6977	-15.787
-6.0416	9.2545
-5.523	32.119
-4.333	29.941
-3.2802	29.397
-2.5784	31.575
-1.5257	31.575
-0.36617	31.03
0.44244	30.486
1.1595	29.941
1.9681	28.853
2.5631	28.308
2.9294	28.853
3.57	31.575
4.7907	38.652
6.2248	58.794
7.1097	74.58
7.8725	77.849
8.4371	79.481
8.8336	81.656
9.3218	81.656
9.7795	81.114
9.5659	65.328
9.1694	39.74
8.9253	23.953
8.4981	0
8.3759	-5.9883
7.9946	-13.61
7.5522	-21.231
7.2469	-27.22
6.6672	-29.397
5.6297	-31.03
4.7755	-29.941
4.4854	-29.941
3.7226	-28.853
2.9903	-25.586
2.3953	-23.409
0.51872	-22.32
-0.19834	-20.142
-1.007	-18.509
-2.0139	-17.965
-2.7767	-17.965
-3.2649	-17.965
-4.0277	-19.053
-5.2332	-23.953
-5.6604	-27.22
-6.301	-33.752
-7.1554	-41.374
-7.781	-46.273
-8.4676	-51.717
-9.1542	-56.071
-9.8712	-58.251
-10.42	-57.704
-10.664	-56.619
-10.268	-34.296
-9.7033	-2.722
-9.3525	14.698
-9.032	33.208
-8.5286	41.374
-7.9487	51.717
-6.8961	52.26
-5.9045	51.717
-5.3398	52.807
-4.5314	50.084
-3.5855	46.82
-2.2427	41.374
-1.19	37.018
-0.45771	33.752
0.15257	29.397
0.71707	17.965
