"Tanaka 90, Specimen 8"	
0.6888	156.44
3.936	209.53
7.6751	260.5
12.497	317.84
17.121	361.72
20.369	387.21
24.108	418.36
28.732	452.32
32.669	480.65
35.717	499.07
40.244	521.71
43.688	533.05
47.132	537.27
50.871	540.12
54.414	539.41
56.088	539.41
56.578	524.55
56.284	490.57
55.496	446.67
54.709	417.65
52.741	375.18
50.381	334.12
48.511	305.1
45.951	267.58
43.099	227.94
38.08	163.52
33.848	109.72
30.797	77.867
29.027	62.294
26.863	43.888
24.403	24.776
22.238	5.6632
19.778	-12.742
15.842	-47.429
12.3	-78.574
8.2654	-113.97
3.8374	-155.73
-0.6888	-198.91
-2.3616	-222.28
-5.412	-254.13
-7.38	-283.86
-10.529	-324.21
-14.268	-361.72
-17.909	-390.75
-21.156	-419.06
-24.108	-439.59
-26.863	-455.88
-29.225	-472.16
-31.389	-485.59
-34.145	-501.87
-36.703	-517.48
-39.36	-530.91
-42.017	-540.12
-44.77	-547.9
-48.511	-555.69
-51.559	-560.63
-54.61	-560.63
-56.284	-558.54
-57.071	-512.5
-55.791	-471.44
-54.513	-421.9
-52.25	-376.59
-49.593	-326.33
-45.362	-270.41
-40.836	-211.65
-37.097	-164.23
-33.454	-123.17
-29.027	-76.452
-24.501	-35.394
-19.877	2.8315
-15.449	38.933
-10.922	79.281
-6.5926	119.63
-0.98397	170.6
4.92	227.94
12.989	303.68
18.302	352.52
24.009	395
27.452	414.82
30.701	432.51
34.933	453.74
39.754	475
43.294	490.57
46.838	501.16
50.871	513.21
54.414	519.57
56.185	520.28
56.678	487.72
54.808	429.68
53.332	389.33
50.97	348.27
48.412	301.56
44.674	247.05
40.737	194.67
35.717	134.5
28.339	53.091
24.009	18.405
19.975	-9.9101
16.531	-41.765
12.792	-71.497
7.7734	-117.51
1.476	-179.8
-3.444	-230.06
-8.0686	-278.2
-12.792	-320.67
-17.121	-355.36
-22.73	-389.33
-29.815	-431.1
-35.817	-465.08
-39.555	-484.21
-43.886	-503.29
-48.905	-523.13
-52.25	-538.7
-54.61	-542.92
-55.496	-541.54
-56.383	-533.76
-56.578	-518.15
-56.185	-479.23
-54.709	-433.22
-52.644	-388.63
-48.019	-295.89
-47.724	-289.52
-43.787	-232.89
-39.85	-186.17
-35.817	-136.62
-32.471	-101.93
-29.421	-70.078
-26.469	-42.473
-22.041	-3.5394
-18.401	27.607
-14.465	60.875
-10.332	93.439
-5.7071	130.96
-1.2792	167.77
11.316	293.77
17.318	334.83
22.632	369.51
27.945	402.78
33.652	433.22
38.278	457.3
44.674	478.52
50.183	494.08
55.989	508.98
62.286	516.77
66.812	520.99
73.307	521.71
76.947	520.99
81.671	514.63
85.311	507.56
85.804	481.36
84.917	451.61
84.229	428.27
82.36	386.5
79.507	339.08
77.145	295.19
73.896	248.47
70.061	200.33
66.418	156.44
63.073	122.46
58.153	82.115
54.021	52.384
51.168	33.27
48.214	14.865
44.574	-1.4158
