"Paultre, Legeron, Mongequ, July-August 2001 test 806040"	
4410	
-1.98	2.25
-1.89	3.23
-1.58	6.5
-1.43	9.51
-1.16	12.46
-0.71	15.71
-0.51	18.84
-0.09	22.02
0.02	25.12
0.47	28.27
0.76	31.39
1.09	34.59
1.32	37.74
1.63	40.87
2.05	44.02
2.25	47.2
2.68	50.36
3.01	53.52
3.44	56.71
3.82	59.88
4.13	63.06
4.53	66.24
4.91	69.45
5.27	72.61
5.6	75.81
6.05	79.01
6.47	82.21
6.8	85.41
7.29	88.65
7.63	91.86
8.23	95.09
8.66	98.31
9.06	101.55
9.52	103.35
-1.49	-16.88
-1.56	-19.05
-1.78	-21.15
-2.07	-23.28
-2.18	-25.45
-2.5	-27.56
-2.63	-29.7
-2.88	-31.86
-3.05	-33.99
-3.28	-36.17
-3.63	-38.29
-3.86	-40.46
-4.06	-42.6
-4.19	-44.73
-4.44	-46.91
-4.66	-49.08
-5.02	-51.21
-5.24	-53.38
-6.51	-54.77
-6	-46.48
-5.91	-46.39
-1.96	-2.38
-1.45	2.36
-1.25	5.26
-1.02	6.22
-1.11	7.05
-1.83	-5.75
-1.96	-7.62
-2.12	-9.53
-2.38	-11.42
-2.45	-13.3
-2.67	-15.18
-2.92	-17.09
-3.05	-18.96
-3.23	-20.85
-3.3	-22.73
-3.48	-24.61
-3.63	-26.51
-3.95	-28.38
-4.08	-30.26
-4.3	-32.14
-4.37	-34.04
-4.55	-35.91
-4.82	-37.79
-4.99	-39.69
-5.04	-41.56
-5.31	-43.43
-5.51	-45.31
-5.71	-47.2
-5.77	-49.07
-6.06	-50.95
-6.22	-52.85
-6.4	-54.72
-6.58	-56.6
-6.67	-58.47
-7.02	-60.35
-7.14	-62.23
-7.4	-64.09
-7.49	-65.97
-7.72	-67.81
-7.94	-69.68
-8.07	-71.56
-8.41	-73.39
-8.56	-75.27
-8.85	-77.12
-9.1	-78.97
-9.21	-80.82
-9.41	-82.67
-9.7	-84.51
-9.92	-86.36
-10.3	-88.19
-10.53	-90.04
-10.68	-91.88
-10.9	-93.69
-11.31	-95.53
-11.6	-97.34
-11.8	-99.17
-12.06	-101
-12.42	-102.8
-12.6	-103.16
-13.56	-102.15
-13.29	-100.27
-13.13	-98.38
-13.05	-96.5
-12.8	-94.62
-12.71	-92.75
-12.42	-90.86
-12.22	-89.01
-12.15	-87.11
-11.89	-85.24
-11.77	-83.37
-11.51	-81.5
-11.35	-79.63
-11.15	-77.78
-10.82	-75.92
-10.75	-74.06
-10.55	-72.2
-10.21	-70.33
-10.08	-68.46
-9.77	-66.61
-9.72	-64.74
-9.41	-62.87
-9.28	-61
-9.1	-59.14
-8.79	-57.28
-8.58	-55.41
-8.52	-53.55
-8.32	-51.67
-8.03	-49.79
-7.8	-47.92
-7.58	-46.06
-7.45	-44.19
-7.27	-42.31
-7.09	-40.45
-6.93	-38.58
-6.62	-36.7
-6.53	-34.83
-6.24	-32.96
-6.06	-31.1
-5.82	-29.21
-5.71	-27.35
-5.42	-25.48
-5.37	-23.61
-5.04	-21.74
-4.88	-19.87
-4.7	-17.99
-4.59	-16.12
-4.33	-14.25
-4.08	-12.38
-3.99	-10.5
-3.81	-8.64
