"Wight and Sozen, 1973, Spec. WS25033E"	
1158	
0	0
-0.20239	-1.1565
-0.50597	-2.5798
-0.60716	-3.3804
-0.65776	-4.181
-0.70836	-4.8038
-0.75895	-5.2486
-0.80955	-5.7824
-0.86015	-6.0493
-0.96134	-6.672
-0.96134	-7.2947
-1.0625	-8.1843
-1.2143	-9.0739
-1.2649	-9.8746
-1.4167	-11.387
-1.5179	-12.188
-1.8215	-14.767
-1.9733	-15.657
-2.0239	-16.546
-2.1251	-17.881
-2.1757	-18.414
-2.2263	-19.215
-2.4792	-20.816
-2.5298	-21.884
-2.7323	-24.019
-2.8334	-24.997
-2.9853	-26.421
-3.1369	-27.755
-3.2382	-29.089
-3.4407	-30.513
-3.5923	-31.847
-3.8959	-33.893
-4.0477	-35.139
-4.1996	-36.384
-4.3007	-37.629
-4.4018	-38.964
-4.5537	-40.031
-4.7562	-41.721
-4.8572	-42.789
-5.0597	-44.123
-5.2116	-44.747
-5.2116	-45.014
-5.3632	-45.814
-5.6162	-47.238
-5.8692	-48.394
-6.3246	-49.996
-6.6787	-51.419
-7.0836	-53.109
-7.3871	-54.355
-7.7414	-55.689
-7.8931	-56.401
-8.1966	-57.557
-8.652	-58.892
-9.1074	-60.137
-9.6134	-61.827
-9.9169	-62.717
-10.22	-63.873
-10.473	-65.119
-10.726	-66.097
-10.929	-66.809
-11.283	-67.876
-11.688	-69.389
-11.991	-70.723
-12.244	-71.88
-12.548	-73.036
-12.852	-74.282
-13.105	-75.26
-13.459	-76.328
-13.712	-77.128
-14.066	-78.018
-14.167	-76.684
-14.167	-75.883
-14.167	-74.548
-14.066	-73.392
-14.015	-71.969
-13.864	-70.545
-13.712	-68.677
-13.56	-67.521
-13.459	-66.275
-13.358	-65.03
-13.256	-63.517
-13.206	-62.272
-13.054	-61.293
-12.801	-59.692
-12.649	-59.069
-12.396	-57.468
-12.244	-56.401
-11.991	-54.71
-11.789	-53.465
-11.435	-51.419
-11.131	-49.818
