Bayrak_&_Sheikh_02_RS-17HT	
25	
0	0
11.87655344	113.5201854
17.14581607	149.4369912
22.91217896	185.3462052
24.89229495	191.085606
29.33719967	193.1961264
34.77630489	190.781934
36.09362055	185.6498772
36.25932063	184.442781
39.38690969	184.442781
44.16735708	179.6143962
48.77796189	177.2002038
49.6023198	174.1862592
48.77796189	168.1431864
49.10936205	166.9360902
49.76801988	161.2042812
51.41673571	158.1903366
62.12510356	145.5120306
58.82767191	126.7982436
61.95940348	123.480627
62.78376139	120.1630104
46.63628832	41.6941656
55.36868268	8.4952242
57.18309859	1.556319
59.49047225	-2.9683938
