"Mugaruma et al. 1989, Spec. BL2"	
381	
0	0.050427
0.01	0.074944
-0.01	-0.046947
-0.02	-0.12538
-0.03	-0.1394
-0.06	-0.2522
-0.09	-0.37899
-0.12	-0.5499
-0.1	-0.5317
-0.12	-0.66338
-0.13	-0.74185
0.05	24.76
0.23	49.934
0.51	75.539
0.79	101.15
1.09	126.75
1.38	152.43
1.53	165.01
1.73	178.06
1.96	191.35
2.26	204.59
2.51	215.69
2.52	213.24
2.27	180.21
2.07	154.84
1.81	129.52
1.55	104
1.28	78.497
1.01	52.975
0.75	27.316
0.48	1.8373
0.2	-24.307
-0.07	-49.255
-0.3	-74.577
-0.59	-100.29
-0.9	-126.01
-1.21	-151.83
-1.41	-164.64
-1.54	-177.64
-1.75	-190.52
-2.02	-203.75
-2.5	-229.35
-2.38	-205.1
-2.21	-180.2
-1.91	-154.46
-1.63	-128.84
-1.29	-103.2
-1.03	-77.634
-0.75	-51.999
-0.46	-26.462
-0.16	-0.76344
0.13	25.519
0.39	50.257
0.67	75.868
0.96	101.52
1.24	127
1.57	152.86
1.91	178.72
2.25	204.51
2.47	217.36
2.66	230.45
3	243.93
3.26	257.28
3.71	265.92
4.56	259.91
5.04	265.68
5.04	251.68
4.92	238.55
4.63	213.14
4.09	186.31
3.62	160.43
3.12	134.09
2.67	107.91
2.27	82.041
1.9	56.236
1.52	30.308
1.18	4.2619
0.81	-21.606
0.46	-47.34
0.14	-72.955
-0.17	-98.802
-0.59	-124.92
-0.93	-151.28
-1.3	-176.7
-1.72	-202.74
-1.94	-215.94
-2.17	-229.17
-2.44	-242.51
-2.81	-255.81
-3.06	-267.68
-3.41	-282.57
-3.74	-288.66
-5.39	-271.59
-5.81	-267.76
-5.58	-239.54
-5.08	-212.77
-4.45	-186.56
-3.87	-160.1
-3.27	-133.57
-2.7	-106.87
-2.21	-80.768
-1.73	-54.577
-1.29	-28.532
-0.84	-2.5338
-0.39	23.834
0.05	49.864
0.5	75.515
0.93	101.81
1.44	126.3
1.95	154.74
2.55	181.5
3.16	208.04
3.96	235.09
4.5	249.68
5.04	259.16
4.96	239.5
4.58	213.5
4.04	187.4
3.44	160.62
2.91	134.53
1.92	82.192
1.41	55.384
1	29.263
0.5	2.7018
0.07	-23.293
-0.41	-49.857
-0.87	-75.539
-1.34	-102.13
-1.9	-128.54
-2.47	-155.09
-3.13	-181.81
-3.85	-208.61
-4.86	-238.63
-5	-241.98
-4.75	-211.95
-4.24	-185.34
-3.69	-159.97
-3.08	-131.28
-2.59	-106.83
-2.06	-79.656
-1.57	-54.206
-1.11	-27.868
-0.63	-1.0943
-0.17	24.566
0.3	51.026
0.73	76.876
1.2	103.1
1.76	129.5
2.31	155.8
2.9	182.75
3.58	209.21
4.44	237
5.02	252.23
6.01	267.22
6.75	274.65
7.53	278.09
8.64	282.51
9.62	283.43
10.06	280.61
10.25	262.56
9.93	234.81
9.16	207.8
8.33	180.12
7.43	151.67
6.59	124.57
5.72	96.322
4.84	68.183
4.05	40.787
3.3	12.724
2.54	-15.254
1.89	-41.096
1.24	-68.087
0.47	-96.023
-0.27	-123.53
-1.04	-149.78
-1.88	-176.76
-2.83	-205.43
-3.96	-232.82
-5.15	-257.79
-6.2	-268.6
-7.54	-277.37
-8.82	-280.76
-8.6	-238.09
-7.55	-192.14
-6.96	-166.51
-6.07	-138.83
-5.16	-110.83
-4.25	-82.39
-3.35	-54.027
-2.39	-25.181
-1.6	2.883
-0.72	32.09
0.15	62.032
1.05	90.956
2.05	121.32
3.08	150.85
4.6	187.61
5.97	212.23
7.28	233.55
8.25	244.93
9.35	254.36
10.14	255.67
10.16	230
9.41	200.94
8.63	175.65
7.77	147.82
6.92	120.29
6.01	91.787
5.13	63.6
4.22	35.38
3.17	5.4213
2.29	-23.31
1.36	-52.488
0.33	-82.255
-0.79	-112.1
-1.78	-137.39
-1.71	-117.38
-1.2	-91.05
-0.55	-63.7
0.12	-36.481
0.83	-8.1759
1.49	18.524
2.16	46.35
2.86	74.373
3.67	102.57
4.53	130.69
5.65	160.5
6.92	190.78
8.73	223.21
9.91	236.43
12.21	243.45
13.21	242.09
15.05	235.77
15.42	192.54
14.52	164.23
13.62	136.6
12.63	107.97
11.63	79.998
10.47	50.688
9.18	20.705
7.74	-8.4287
6.19	-39.631
4.56	-70.299
2.9	-101.65
1.21	-132.91
-0.76	-167.66
-1.9	-184.81
-1.62	-149.8
-0.88	-122.42
-0.09	-94.486
0.75	-66.88
1.61	-38.967
2.5	-10.605
3.39	17.695
4.42	46.239
5.58	75.861
6.99	107.12
8.59	137.48
10.07	161.58
10.67	169.81
12.56	194.21
13.85	206.52
15.06	213.72
15.01	187.06
14.26	159.9
13.37	131.68
12.41	103.5
11.5	75.689
10.42	46.558
9.15	15.821
7.98	-11.841
6.52	-41.757
4.96	-72.642
3.33	-103.48
1.48	-136.76
-0.3	-169.31
-0.44	-171.06
-0.25	-145.59
0.47	-118.54
1.35	-90.986
2.06	-63.416
2.96	-35.358
3.91	-6.5571
4.8	21.445
5.8	50.441
6.97	79.939
8.49	110.71
10.07	141.63
12.18	175.01
15.08	206.66
17.74	216.38
20.06	215.48
20.31	174.23
19.41	146.27
