"Aboutaha et al 1999, Test ORC3"	
0.0104253	-0.69064096
0.00945593	-0.7074544
0.02513046	-0.72431232
-0.0021948	-0.65692512
0.00636492	-0.7074544
0.00327391	-0.69064096
-0.0064015	-0.65692512
0.01139467	-0.69064096
0.00821221	-0.79169952
-0.0053041	-0.72431232
0.00724284	-0.79169952
0.00740745	-0.85908672
0.001305906	-0.85908672
0.00674901	-0.82537088
0.00627347	-0.8422288
0.00883407	-0.82537088
0.00724284	-0.79169952
0.01104716	-0.79169952
0.0029264	-0.79169952
-0.003658	-0.82537088
0.000369458	-0.8422288
-0.0087792	-0.8422288
0.00980344	-0.82537088
0.01234575	-0.79169952
0.01344315	-0.80851296
0.00740745	-0.80851296
0.00883407	-0.79169952
0.02028361	-0.7748416
0.00980344	-0.82537088
0.01199824	-0.79169952
-0.0032922	-0.79169952
0.000409696	-0.82537088
-0.00058528	-0.82537088
0.01666219	-0.82537088
0.00945593	-0.75798368
0.000956567	-0.75798368
0.00278008	-0.80851296
0.00641979	-0.79169952
0.00980344	-0.75798368
0.01055333	-0.82537088
0.00980344	-0.7748416
-0.0078647	-0.79169952
0.00285324	-0.79169952
-0.0076818	-0.79169952
-0.00023777	-0.75798368
-0.0051212	-0.75798368
-0.00120714	-0.75798368
-0.00064015	-0.79169952
0.00645637	-0.75798368
0.01468687	-0.79169952
0.001346144	-0.8422288
-0.0053041	-0.82537088
0.001336999	-0.79169952
0.0053041	-0.7748416
-0.00126201	-0.80851296
0.00583451	-0.82537088
-0.0047554	-0.75798368
-0.0038409	-0.75798368
-0.0038409	-0.79169952
0.01360776	-0.80851296
0.00724284	-0.79169952
0.000338365	-0.80851296
0.00883407	-0.82537088
0.01251036	-0.79169952
0.00385919	-0.7748416
0.00545042	-0.79169952
-0.00023777	-0.82537088
-0.0038409	-0.80851296
0.00545042	-0.82537088
0.00038409	-0.82537088
0.00226796	-0.82537088
0.00980344	-0.82537088
0.01649758	-0.80851296
-0.005487	-0.79169952
0.00980344	-0.82537088
0.00834024	-0.82537088
0.00945593	-0.75798368
0.00645637	-0.69064096
0.03484245	-0.15158784
0.10086935	0.926442784
0.88968047	12.65014758
0.99034863	15.22734102
1.15651328	18.12457696
1.48913522	23.8348304
1.56992215	25.97406931
1.86139159	31.60009542
1.89711196	31.60009542
1.89111284	31.54956614
1.8864306	31.43165411
1.89820936	31.36427581
1.89467939	31.31374208
1.88012055	31.28005293
1.89707538	31.24636822
1.8924663	31.17898992
1.89842884	31.14530077
1.87666374	31.1621409
1.88782064	31.07792246
1.8851503	31.02738874
1.88066925	31.01054416
1.85177105	29.34294893
1.65144068	23.54847261
1.42782714	19.55635258
1.26133327	16.76017965
1.14475281	14.63778531
1.07894539	12.8185889
0.49575045	3.789989568
-0.5666242	-12.06057408
-0.711481	-13.40814016
-1.3112101	-22.62203872
-1.3487046	-23.21157664
-1.3710184	-23.32949312
-1.386382	-23.26210592
-1.3940638	-23.26210592
-1.3876623	-23.27896384
-1.4121709	-23.29582176
-1.4246081	-23.29582176
-1.4275345	-23.26210592
-1.4147315	-23.3126352
-1.4322899	-23.29582176
-1.4452758	-23.24529248
-1.3073692	-19.87637728
-1.0233255	-14.58726048
-0.7539138	-11.63948192
-0.6235061	-9.71923584
-0.5289468	-8.38852768
-0.4201213	-7.4283824
-0.3524483	-6.68721216
-0.3352557	-6.16506144
-0.2352094	-5.20491616
-0.0678559	-2.84672
-0.0343852	-2.2571376
0.09935128	-0.23583296
0.88732106	13.17232054
1.26349149	19.30368394
1.45745694	23.75060752
1.51832606	25.7719344
1.51490583	25.82246813
1.52681262	25.8393127
1.5166068	25.82246813
1.50610834	25.82246813
1.53396401	25.80562355
1.52818437	25.80562355
1.5231912	25.73824525
1.5266663	25.73824525
1.54479169	25.65402682
1.52562377	25.68771152
1.5336165	25.7045561
1.42649197	21.24078794
1.21974181	17.65293328
1.12339009	15.07573984
1.0156437	13.22285427
0.87504847	11.84161238
0.81752642	10.76357286
0.75192019	9.938197536
0.69075843	9.281267968
0.66641444	8.607489376
0.65101426	8.270602304
0.62793228	7.90002608
0.60870949	7.17571376
-0.082305	-3.45311584
-1.1530016	-20.06168096
-1.3295001	-22.38620576
-1.3274882	-22.6051808
-1.4218646	-22.75676864
-1.4107077	-22.7399552
-1.4187553	-22.77362656
-1.4079642	-22.79048448
-1.439423	-22.84101376
-1.4134512	-22.77362656
-1.4286319	-22.75676864
-1.4328386	-22.75676864
-1.4319241	-22.72309728
-1.4204014	-22.72309728
-1.155928	-17.01284384
-0.89621	-12.987048
-0.7034334	-10.54460672
-0.5680874	-8.9106784
-0.4698701	-7.78213184
-0.3915889	-6.93990304
-0.3400111	-6.23244864
-0.2050309	-4.80063744
0.24985969	2.071860608
1.3027967	21.69559149
2.05358291	37.41141632
2.05638128	37.59670666
2.05724091	37.52932835
2.75469348	49.80888192
2.78810931	49.87626912
2.76521023	49.75835264
2.76442376	49.64043616
2.75807713	49.50570624
2.77570869	49.43831904
2.75284619	49.3541184
2.79310248	49.2867312
2.78097621	49.219344
2.74536558	49.13509888
2.77080697	49.06775616
