"Zahn et al. 86, Specimen 7"	
-55.121	7.683
-49.136	19.391
-42.923	30.733
-35.903	42.806
-29.69	53.416
-18.757	69.513
-9.7813	82.684
0	96.224
11.737	112.69
18.642	123.66
26.698	138.66
32.337	148.17
40.851	160.25
46.258	166.47
52.014	172.32
58.113	177.81
63.175	180.37
68.928	182.56
74.567	183.3
79.055	182.56
82.621	180.74
82.161	166.1
80.782	147.08
79.169	133.17
77.673	117.44
75.834	105
73.762	95.125
68.468	70.612
64.44	55.244
60.414	42.074
56.385	30.001
52.474	17.927
48.214	5.4879
44.188	-5.4879
36.594	-23.415
27.386	-40.976
20.138	-53.051
15.65	-59.634
11.852	-65.123
6.559	-71.341
0.92057	-77.929
-4.7181	-83.783
-9.0907	-87.439
-14.039	-91.099
-19.332	-97.687
-23.475	-102.44
-32.106	-113.05
-47.064	-131.71
-55.121	-139.76
-67.203	-150.73
-74.452	-156.59
-81.356	-160.61
-89.527	-162.44
-96.662	-163.54
-104.26	-162.81
-103.45	-145.61
-102.42	-127.32
-100.23	-107.2
-97.696	-87.808
-94.821	-71.711
-91.023	-54.515
-87.34	-41.708
-83.543	-28.903
-78.824	-13.903
-74.452	-2.9269
-70.31	6.2196
-65.59	16.098
-60.183	25.976
-51.438	38.781
-46.258	43.904
-40.277	51.219
-33.83	57.806
-28.423	62.196
-22.784	66.587
-16.686	71.341
-10.126	74.637
-4.0277	78.294
2.4165	83.783
8.4003	89.636
17.261	98.781
23.59	106.47
29.919	114.15
35.789	121.1
43.957	129.88
52.128	137.2
59.954	144.15
67.663	147.81
74.567	151.1
81.702	153.3
89.068	152.93
96.777	150.37
97.008	140.13
96.545	126.95
95.74	117.08
94.016	100.98
92.634	89.271
89.296	71.711
85.844	57.441
79.286	33.659
75.372	23.415
70.541	12.074
65.822	1.0976
62.255	-5.8536
51.783	-23.049
43.266	-33.659
31.991	-45
25.547	-50.125
18.412	-55.244
6.7894	-60.733
1.496	-63.295
-7.825	-66.951
-16.11	-70.977
-26.581	-80.122
-35.098	-86.345
-41.887	-92.198
-53.165	-103.17
-59.263	-108.3
-72.38	-118.17
-79.4	-122.56
-85.268	-125.49
-91.369	-127.68
-98.041	-129.88
-105.18	-132.07
-112.08	-132.81
-118.18	-129.15
-117.03	-111.59
-114.96	-93.662
-112.08	-74.268
-109.09	-56.343
-105.87	-40.611
-98.041	-14.269
-92.174	0
-85.385	15
-79.4	24.147
-74.107	30.366
-66.512	36.952
-61.565	40.611
-55.926	43.904
-47.755	47.198
