Bayrak_&Sheikh_02_WRS-23HT	
25	
0	0
12.80739396	71.98528024
15.29542829	80.67559917
20.85327612	101.7456124
26.26671068	108.1053029
30.36392144	103.0854878
32.55900314	99.07529723
33.73081367	97.06548405
32.85195577	91.38516701
36.50767453	91.04548028
44.40914342	89.03566711
50.55289652	84.35553878
50.99438851	81.0152859
50.40848325	79.00547273
51.86912032	77.33534629
70.59745833	69.97546707
69.86713979	65.29533874
69.71860043	62.62502359
88.73989107	51.58520476
85.66595148	42.55519909
84.64268031	39.88488394
88.73989107	35.53500661
88.29839908	32.18531798
74.54612972	5.434987734
67.6720581	-7.274957539
