"Wight and Sozen, 1973, Spec. WS048W"	
1231	
0	0
0.12992	3.0598
-0.064961	7.4793
0	11.446
0	15.072
0	19.152
0	20.512
0.064961	22.552
0.45474	25.951
0.77955	29.351
1.2343	33.317
1.754	36.717
2.0138	39.891
2.5335	42.61
3.1181	47.482
3.3129	50.316
3.5728	53.149
3.8329	55.529
4.0277	58.362
4.5474	60.969
5.3269	63.686
6.0414	66.409
6.5611	68.223
7.0157	70.603
7.5357	72.64
8.0554	74.793
8.575	77.173
9.3546	80.122
9.7442	81.705
10.199	83.293
10.589	85.219
10.784	85.562
10.979	86.015
11.043	85.673
11.173	84.539
11.303	83.182
11.238	80.914
11.238	79.099
10.979	77.173
10.589	73.21
10.264	70.487
10.004	68.223
9.5494	63.686
9.0947	59.381
8.6398	56.321
7.9253	52.242
7.5357	49.07
7.2108	46.348
6.6911	43.404
6.3012	40.684
5.8466	37.171
5.3269	33.771
4.6772	29.351
4.3525	26.858
3.9627	24.251
3.508	20.965
3.1831	17.905
2.9233	15.185
2.4036	11.672
1.754	7.8196
1.2343	4.533
0.8445	0.67997
0.38976	-2.7198
-0.064961	-6.7997
-0.51968	-9.8594
-1.2992	-14.279
-1.8839	-19.039
-2.4036	-23.458
-2.8583	-26.744
-3.3779	-30.484
-3.9627	-34.451
-4.4823	-37.964
-5.5867	-43.404
-5.9116	-46.691
-6.3012	-50.089
-6.7559	-52.922
-7.2108	-55.075
-7.6004	-57.117
-8.2502	-60.177
-8.6398	-61.422
-9.2245	-64.029
-9.8742	-66.52
-10.329	-69.58
-10.654	-71.733
-10.979	-73.436
-11.043	-71.057
-9.3546	-61.307
-8.8349	-56.436
-8.6398	-52.584
-8.445	-51.45
-7.9253	-47.709
-7.4056	-43.743
-7.0157	-40.117
-6.496	-35.131
-5.9116	-30.824
-5.3269	-26.858
-4.937	-22.892
-4.6124	-18.925
-4.3525	-14.166
-4.1575	-10.313
-4.2225	-7.2529
-4.1575	-4.7598
-4.0927	-2.2665
-3.9627	0.56663
-3.7028	3.0598
-3.3129	6.1196
-2.5335	10.992
-1.754	15.639
-0.64961	21.418
-0.064961	24.931
0.51968	28.784
1.1043	32.864
1.8189	39.21
2.4036	44.197
2.8583	48.052
3.7678	54.848
3.7028	55.418
3.8976	57.117
4.1575	58.362
4.8722	61.76
4.6124	60.177
6.1064	66.862
7.8603	74.113
8.8997	78.761
9.4193	81.14
9.6792	82.159
10.134	83.636
10.719	85.562
11.043	85.108
11.368	81.367
11.303	78.534
11.043	76.265
10.264	70.487
9.6144	64.821
9.1595	60.858
8.7699	57.228
8.2502	52.357
