"Saatcioglu and Ozcebe 1989, Spec. U1"	
48.8	30.97
51.5	31.97
54	32.72
56.6	33.97
59	34.82
61.5	35.9
64	37.15
66.6	38.3
66.6	38.3
77.5	42.47
80.3	43.45
82.8	44.12
80.1	33.5
74.4	25.17
71.9	22.3
69.3	19.65
67	17.47
64.4	15
62	12.97
59.6	10.77
57	9.123
54.5	7.65
52	6.183
49.3	5.083
46.8	3.905
44.2	2.718
41.7	1.693
39.3	0.763
36.8	-0.2845
34.3	-1.26
31.9	-2.277
29.4	-3.305
26.9	-4.465
24.5	-5.59
21.9	-6.782
19.4	-7.885
16.9	-9.037
14.4	-10.12
11.8	-11.55
11.8	-11.55
0.96	-16.13
-1.58	-17.15
-4.03	-18
-6.49	-19.1
-8.94	-20.28
-11.5	-21.18
-14	-22.5
-16.5	-23.68
-19	-24.63
-21.8	-25.78
-24.2	-26.8
-26.9	-28.03
-29.4	-29.08
-32	-30.23
-34.5	-32
-37	-33
-39.5	-33.65
-42.2	-35.2
-44.8	-36.23
-47.3	-37.13
-50	-38.25
-52.5	-39.53
-55.1	-40.53
-52.5	-29.83
-49.8	-25.28
-47.4	-21.78
-44.7	-18.45
-42.2	-16
-39.5	-13.5
-37	-11.3
-37	-11.3
-25.8	-3.512
-23	-2.075
-20.5	-1.007
-17.8	0.098
-15.3	1.223
-12.8	2.226
-7.37	4.233
-4.74	5.468
-2.25	6.353
0.15	7.578
2.63	8.653
5.13	9.728
10.8	12.42
13.4	13.35
15.9	14.5
18.5	15.52
21	16.67
23.4	17.6
26	18.87
28.4	19.95
31	20.95
33.4	22.42
35.8	22.95
38.3	24.1
40.8	24.82
43.3	26.05
45.9	27.2
48.4	28.25
51	28.97
53.6	29.97
53.6	29.97
64.3	34.17
66.8	35.05
64.4	27.97
62	25.07
59.5	22.12
57	19.42
54.5	17.17
52	15.22
49.4	12.77
46.9	11.15
44.3	9.223
41.8	7.811
39.3	6.501
36.8	5.215
34.3	3.911
31.9	2.695
29.4	1.768
27	0.738
24.5	-0.357
22	-1.227
19.5	-2.407
16.9	-3.687
14.4	-4.707
11.9	-5.945
9.37	-7.117
6.85	-8.422
4.28	-9.719
1.75	-11.03
-0.675	-11.95
-3.14	-13.28
-3.14	-13.28
-13.8	-18.88
-16.4	-20.18
-19	-21.65
-21.5	-22.88
-24.1	-24.28
-26.8	-25.28
-29.5	-26.55
-32	-28.1
-34.5	-29.5
-37	-30.48
-39.4	-31.38
-37.2	-24.03
-34.7	-20.15
-29	-14.18
-26.3	-11.75
-23.6	-9.877
-21.1	-7.919
-18.4	-6.002
-12.7	-2.534
-7.21	-0.0695
19.5	-2.407
16.9	-3.687
14.4	-4.707
11.9	-5.945
9.37	-7.117
6.85	-8.422
4.28	-9.719
1.75	-11.03
-0.675	-11.95
-3.14	-13.28
