"""Matamoros et. al 1999 Specimen c5-00 North"""	
1955	
-0.027686	0.023753503
-0.0226568	0.032205124
-0.0201422	0.02268593
-0.0226568	0.023753503
0.015113	-0.047151149
0.13081	2.081767709
0.254	3.540784394
0.3683	5.293383704
0.62992	5.916134728
0.81788	7.473012288
1.06426	8.8964432
1.26238	10.18642746
1.47574	12.41053826
1.96088	14.41223798
2.54	18.10426191
3.1242	21.3959459
3.8862	26.24450744
4.4704	29.7586025
5.1816	33.49510865
5.7658	36.56438155
6.4516	39.01090343
7.0612	41.54638974
7.6962	44.92703816
8.3312	47.59597112
8.9916	49.82008192
9.652	52.48901488
10.287	53.82348136
10.3124	53.3786592
10.9474	55.60277
11.6078	56.04759216
12.2936	56.93723648
12.954	57.38205864
12.2174	48.48561544
11.6332	44.34876935
10.9474	39.32227894
10.3632	35.14095064
9.8044	31.31548006
9.017	26.02209636
8.4328	22.37455465
7.747	18.01529748
7.0866	14.36775577
6.3246	10.40883854
5.7912	6.939225696
5.1308	3.647541712
4.8768	1.75259931
4.5466	0.064054391
4.318	-0.369202393
4.0132	-1.232157383
3.7846	-2.219662578
3.5306	-2.869102932
3.2766	-3.656438155
3.2766	-3.736506144
3.2766	-3.86550457
3.048	-4.67063268
2.8194	-5.471312568
2.5654	-6.44992132
1.83134	-8.985407632
1.20904	-11.3874473
0.5715	-13.78948696
0.0100584	-16.32497327
-0.61722	-18.6380485
-1.2827	-21.35146368
-2.0701	-24.86555874
-2.6416	-27.04518733
-3.2512	-29.84756694
-3.8354	-32.33857103
-4.445	-35.05198621
-5.2578	-37.63195474
-5.8928	-40.0339944
-6.4516	-42.61396293
-7.0612	-45.37186032
-7.747	-46.7063268
-8.4074	-48.04079328
-9.0678	-49.82008192
-9.6774	-51.59937056
-10.3124	-52.48901488
-10.9474	-52.93383704
-11.5824	-54.71312568
-12.2936	-55.60277
-12.8524	-56.04759216
-12.1158	-47.59597112
-11.557	-42.08017634
-10.922	-37.98781246
-10.2108	-33.40614422
-9.5758	-29.49170921
-8.9408	-24.86555874
-8.382	-21.44042811
-7.7216	-18.01529748
-6.985	-14.50120242
-6.4262	-11.43192951
-5.7404	-8.629549904
-5.1308	-6.316474672
-5.1308	-6.538885752
-4.5466	-4.36370539
-3.8862	-1.91718351
-3.2258	-0.282462072
-2.4765	1.708117094
-2.10312	2.842413602
-1.28778	4.492703816
-0.71628	5.960616944
-0.183896	7.33956564
0.64516	8.762996552
1.32334	10.89814292
2.06248	13.21121815
2.5654	14.90154236
3.2258	17.08117094
3.8354	19.1718351
4.4704	21.44042811
5.1054	23.97591442
5.7658	26.4224363
6.4262	29.1803337
7.0358	31.67133779
7.747	34.4737174
8.3566	36.9647215
8.9662	39.90054775
9.7536	42.83637401
10.3378	44.92703816
10.9982	48.04079328
11.557	50.26490408
12.192	52.48901488
12.8524	54.26830352
5.1054	8.00679888
4.5212	5.78268808
3.8354	3.496302178
3.5052	2.233007243
3.1242	1.69477243
2.53238	-0.015924633
1.91516	-1.036435633
1.2954	-2.08621593
0.65532	-3.238305325
-0.00251714	-4.537186032
-0.62738	-5.871652512
-1.26492	-7.56197672
-1.94056	-9.296783144
-2.6162	-11.34296508
-3.3528	-13.6115581
-3.8862	-15.52429338
-4.5212	-17.88185083
-5.1308	-20.32837271
-5.6896	-22.46351908
-6.4516	-25.3103809
-7.0866	-28.77999375
-7.6962	-31.22651563
-8.2804	-33.76200194
-9.0932	-36.92023928
-9.6774	-39.94502997
-10.287	-42.43603406
-10.922	-45.37186032
-11.557	-48.9304376
-12.1412	-51.59937056
-12.8524	-53.82348136
-12.2682	-47.15114896
-11.5316	-41.67983639
-10.9728	-37.67643695
-10.2362	-32.5164999
-9.6774	-29.04688705
-9.0932	-25.79968528
-8.5344	-23.0862701
-7.747	-18.23770856
-7.112	-15.47981117
-6.477	-12.58846713
-5.8166	-9.919534168
-5.1562	-7.250601208
-4.572	-5.382348136
-3.8608	-3.149340893
-3.2258	-1.521291787
-2.54	-0.086740321
-1.96596	0.991953417
-1.30048	2.206317914
-0.635	3.220512438
0.015113	4.4482216
0.63754	5.738205864
1.27	7.295083424
1.94056	8.940925416
2.54	10.80917849
3.1496	12.4995027
3.8608	14.90154236
4.5212	17.03668873
5.1308	19.48321061
5.7912	21.84076806
6.4262	24.33177215
7.1374	27.17863398
7.6962	29.58067364
8.3058	32.11615995
8.9916	35.3188795
9.6266	38.34367019
10.2362	40.8791565
10.8458	43.72601833
11.5824	46.7063268
12.2174	49.82008192
12.8524	52.48901488
13.462	54.26830352
14.1224	55.60277
14.732	56.04759216
15.367	56.49241432
16.0528	56.93723648
16.7132	57.8268808
17.3736	58.27170296
18.034	58.71652512
18.6944	59.16134728
19.3802	58.71652512
18.5674	50.26490408
18.0086	46.26150464
17.399	42.43603406
16.6878	37.72091917
16.0528	34.25130632
15.3924	30.0254958
14.7828	26.77829403
14.1478	23.21971675
13.4874	19.92803277
12.8016	16.63634878
12.2428	14.14534469
11.557	11.29848286
10.9982	9.11885428
10.287	6.761296832
9.779	5.293383704
9.017	2.704518733
8.2804	1.245502048
7.6454	-0.175704753
7.0358	-0.983056974
6.4262	-1.961665726
5.715	-2.931378034
5.1054	-3.874401014
4.5212	-4.537186032
3.8862	-6.00509916
3.2512	-7.11715456
2.54	-8.718514336
1.95326	-10.09746303
1.26746	-11.43192951
0.635	-13.47811145
0.050292	-14.90154236
-0.57912	-16.680831
-1.19634	-18.28219078
-2.01168	-19.97251498
-2.6162	-21.92973249
-3.2512	-23.79798556
-3.8354	-25.62175642
-4.5212	-27.44552727
-5.207	-29.44722699
-5.842	-31.27099785
-6.4262	-33.49510865
-7.0612	-35.40784394
-7.6708	-37.00920371
-8.3058	-39.09986786
-9.0424	-41.50190753
-9.7028	-43.99291162
-10.2616	-45.81668248
-10.8458	-48.04079328
-11.5062	-49.82008192
-12.2936	-52.04419272
-12.9286	-53.3786592
-13.6144	-54.26830352
-14.2748	-54.26830352
-14.9606	-55.15794784
-15.621	-55.15794784
-16.2814	-55.60277
-16.9926	-56.04759216
-17.6276	-56.49241432
-18.3134	-56.93723648
-18.9738	-57.38205864
-19.6088	-57.38205864
-18.669	-48.9304376
-17.9832	-44.482216
-17.399	-41.19053202
-16.764	-36.83127485
-16.2052	-33.71751973
-15.5956	-30.78169347
-15.0114	-28.15724273
-14.1478	-23.53109226
-13.5382	-20.81767709
-12.8524	-17.83736862
-12.2428	-15.70222225
-11.5062	-12.72191378
-10.922	-10.31987411
-10.2362	-8.22920996
-9.652	-6.316474672
-9.0678	-4.332567838
-8.4074	-2.682277625
-7.747	-1.258846713
-7.4676	-1.014194525
-7.4676	-1.014194525
-7.4676	-0.983056974
-7.493	-1.018642746
-7.3406	-1.330018258
-7.3406	-1.285536042
-7.3406	-1.312225372
-7.4168	-1.44567202
-7.4168	-1.436775577
-6.223	0.840713882
-5.3848	1.717013538
-5.1562	2.784586722
-4.4704	3.616404161
-3.8608	4.715114896
-3.0734	5.871652512
-2.52222	6.983707912
-1.88722	7.962316664
-1.27762	9.207818712
-0.635	10.2753919
0.035306	11.07607178
0.635	12.81087821
1.30302	14.1898269
1.91516	15.61325782
2.5654	17.21461759
3.2258	18.6380485
3.8862	20.19492606
4.5466	21.84076806
5.1816	23.30868118
5.8166	24.86555874
6.5024	26.64484738
7.1374	28.20172494
7.8232	29.84756694
8.4836	31.35996228
9.1186	33.22821535
9.779	34.91853956
10.414	36.38645269
11.0236	37.8098836
11.6586	39.63365446
12.3444	41.36846088
12.954	42.92533844
13.589	44.482216
14.224	46.26150464
14.8336	48.04079328
15.4686	48.9304376
16.0528	50.70972624
16.7132	52.04419272
17.3482	53.3786592
17.9578	53.82348136
18.6182	55.15794784
19.304	55.60277
18.6436	48.9304376
17.9324	43.72601833
17.3482	40.16744105
16.764	36.87575706
16.1544	33.76200194
15.367	29.66963807
14.7828	26.9562229
14.1732	24.1983255
13.5128	20.95112374
12.8524	17.97081526
12.2428	15.61325782
11.557	12.98880707
10.9728	10.89814292
10.1346	8.45162104
9.5758	6.761296832
8.9916	4.715114896
8.4328	3.273891098
7.7216	1.774840418
7.1374	0.765094115
6.477	-0.081402455
5.715	-0.947471201
5.0292	-1.819322634
4.4196	-2.41983255
3.7846	-3.189374887
3.0988	-3.981158332
2.5273	-4.804079328
1.90754	-5.649241432
1.27508	-6.939225696
0.64262	-7.917834448
0	-8.718514336
-0.66294	-9.919534168
-1.24968	-11.20951843
-1.92786	-12.58846713
-2.5654	-13.96741582
-3.2258	-15.43532895
-3.8354	-16.9477243
-4.4704	-18.37115521
-5.08	-20.06147942
-5.6388	-21.35146368
-6.5278	-23.30868118
-7.1374	-25.08796982
-7.7978	-26.77829403
-8.4328	-28.55758267
-9.0424	-30.15894245
-9.652	-31.89374887
-10.287	-33.85096638
-10.922	-35.5857728
-11.5062	-37.5429903
-12.1412	-39.1888323
-12.7762	-41.19053202
-13.4112	-42.79189179
-14.0462	-44.482216
-14.6812	-46.7063268
-15.3162	-48.04079328
-15.9512	-49.37525976
-16.5608	-51.1545484
-17.2212	-52.48901488
-17.8816	-53.82348136
-18.5166	-54.71312568
-19.1008	-55.60277
-18.3896	-48.48561544
-17.78	-43.72601833
-17.1704	-40.25640548
-16.5862	-36.51989934
-15.9512	-33.49510865
-15.1638	-29.40274478
-14.605	-26.9562229
-13.9954	-23.57557448
-13.3604	-20.72871266
-12.6492	-17.92633305
-12.065	-15.07947122
-11.4554	-12.85536042
-10.7696	-10.2753919
-10.033	-8.00679888
-9.4234	-6.094063592
-8.8392	-4.430428714
-8.2804	-2.851310046
-7.5692	-1.516843566
-6.9596	-0.613854581
-6.3754	0.240203966
-5.7658	1.13874473
-5.08	1.903838845
-4.445	2.637795409
-3.81	3.434027075
-3.2258	3.923331451
-2.52984	4.759597112
-1.8542	5.827170296
-1.28524	6.6723324
-0.5461	7.56197672
0.0251714	8.585067688
0.635	9.78608752
1.36144	10.98710735
1.97612	12.09916275
2.6162	13.65604031
3.2258	14.90154236
3.8862	16.14704441
4.5212	17.74840418
5.2578	19.12735288
5.8166	20.72871266
6.477	22.15214357
7.1628	23.70902113
7.8232	25.39934534
8.4328	26.9562229
8.89	28.29068938
9.5504	30.06997802
10.1854	31.80478444
10.8204	33.27269757
11.4554	35.27439729
12.0904	36.83127485
12.7	38.52159906
13.335	40.16744105
13.97	41.9912119
14.605	43.59257168
15.24	45.37186032
15.8242	46.7063268
16.4846	48.9304376
17.0688	50.26490408
17.7038	51.59937056
18.415	52.93383704
19.1008	54.26830352
20.1676	55.60277
20.3962	55.60277
20.9804	56.04759216
21.6408	56.49241432
22.3266	56.93723648
22.9616	56.93723648
23.6728	57.38205864
24.3586	57.38205864
24.8412	57.8268808
25.654	57.8268808
24.7396	50.26490408
24.1046	46.26150464
23.5204	42.96982066
22.9108	38.96642122
22.3266	35.89714831
21.6154	32.2496066
20.955	29.31378034
20.3962	26.73381182
19.7866	24.1983255
19.1008	21.1290526
18.5166	18.94942402
17.7546	16.23600884
17.1704	13.30018258
16.5608	11.34296508
15.9766	9.519194224
15.2908	7.250601208
14.6812	5.693723648
13.97	3.856608127
13.3858	2.579968528
12.7	1.312225372
12.0904	0.322496066
11.4554	-0.484856154
10.8204	-1.103158957
10.16	-1.970562169
9.5504	-2.553279198
8.9154	-3.180478444
8.2804	-3.896642122
7.62	-4.67063268
6.9596	-5.293383704
6.3246	-6.138545808
5.6642	-6.89474348
5.0546	-7.739905584
4.3942	-8.585067688
3.7592	-9.474712008
3.1242	-10.36435633
2.51968	-11.3874473
1.88214	-12.54398491
1.24714	-13.56707588
0.59944	-14.76809571
0	-15.5687756
-0.61976	-16.9477243
-1.27508	-18.14874413
