"Watson and Park 89, Specimen 9"	
808	
0	0
0.066556	25.633
0.26622	43.988
0.33279	49.053
0.39934	55.698
0.66556	62.659
0.79868	68.988
1.0649	79.117
1.2646	89.56
1.5308	99.053
1.797	108.23
2.1963	119.94
2.6622	128.8
2.9949	137.35
3.1946	140.82
3.1946	131.33
3.1946	123.73
3.1946	116.14
3.1946	110.44
3.3279	100.32
3.0615	78.165
2.9284	67.089
2.7953	58.545
2.6622	51.268
2.4626	41.456
2.3295	31.646
2.1298	23.418
1.9301	14.874
1.6639	5.6961
1.2646	-1.8988
0.93177	-8.5446
0.79868	-22.785
0.46589	-30.697
0.39934	-39.241
0.19967	-50.316
0	-58.86
-0.13311	-68.357
-0.46589	-78.801
-0.7321	-86.709
-1.1314	-95.57
-1.4642	-105.7
-1.5973	-112.66
-1.9301	-119.3
-2.1963	-125.32
-2.4626	-130.38
-2.7953	-124.05
-2.6622	-114.87
-2.4626	-95.89
-2.2629	-82.911
-2.1298	-72.787
-2.0632	-63.927
-1.8635	-53.799
-1.7305	-42.406
-1.5973	-30.697
-1.2646	-16.14
-0.79868	0.94938
-0.46589	12.975
-0.066556	23.735
0.066556	33.228
0.66556	59.176
1.4642	100
1.6639	109.81
1.8635	116.77
2.1298	126.59
2.396	134.49
2.7287	159.5
2.8618	168.04
3.0615	178.8
3.3945	191.46
3.9268	223.11
4.4592	235.45
4.9916	245.57
5.524	256.02
6.0566	264.25
6.4559	271.52
6.6556	275.64
7.6538	265.51
8.0533	258.23
8.1864	249.06
8.1864	240.51
8.253	231.97
8.253	219.62
8.253	209.81
7.4541	177.85
7.3876	170.89
7.1879	161.08
6.9883	153.48
6.7221	144.31
6.3894	134.49
6.1232	123.1
5.857	111.4
5.5908	102.22
5.1913	92.723
4.4592	66.773
4.1265	55.382
3.6606	42.406
3.128	23.418
2.8618	12.342
2.6622	0.94938
2.2629	-10.76
1.9967	-21.519
1.7305	-31.329
1.2646	-42.722
1.1314	-51.899
0.79868	-62.027
0.53243	-73.103
0.26622	-84.81
0	-106.01
-0.066556	-115.51
-0.39934	-126.27
-0.86523	-137.03
-1.3311	-145.89
-2.4626	-173.1
-3.0615	-183.55
-3.2611	-189.88
-3.6606	-197.79
-4.0599	-206.33
-4.7254	-216.46
-5.3909	-224.69
-6.4559	-234.5
-6.9883	-238.3
-7.8537	-242.41
-8.3195	-240.19
-8.3861	-237.03
-9.2512	-198.42
-9.1846	-181.96
-9.1846	-172.16
-9.1846	-162.03
-9.1181	-150.95
-8.985	-138.61
-8.7188	-125.95
-7.9868	-100.95
-7.3876	-85.446
-6.7887	-70.572
-6.3228	-55.066
-5.7904	-42.722
-5.1913	-29.747
-4.5923	-18.671
-3.8603	-4.7469
-3.2611	4.114
-2.4626	18.671
-1.8635	42.089
-1.7305	55.698
-1.4642	64.874
-1.2646	73.419
-1.0649	80.696
-0.79868	90.192
-0.59901	96.522
-0.19967	106.01
0.33279	117.73
0.99835	130.06
1.797	146.21
2.0632	156.65
2.4626	168.36
2.9949	181.33
3.5941	193.04
3.9934	201.27
4.5923	211.08
5.524	224.37
6.1897	239.56
6.589	248.42
6.9218	254.43
7.321	260.13
7.7871	264.25
8.253	260.13
8.253	254.75
8.1864	218.68
8.253	206.97
7.3876	178.17
7.1214	168.99
6.9218	161.4
6.5225	150.64
6.0566	138.29
5.7239	127.53
5.1247	112.03
4.9251	103.17
4.5923	91.455
4.193	76.265
3.6606	62.343
3.0615	48.101
2.9949	38.608
2.7287	28.165
2.396	14.874
1.9301	3.7975
1.5973	-2.8481
1.3311	-12.026
1.0649	-19.937
0.7321	-28.165
0.39934	-49.368
0.13311	-57.913
0	-68.041
0	-79.432
0	-87.661
0	-96.837
0	-106.01
-0.26622	-117.4
-0.53243	-125
-0.86523	-135.45
-1.1314	-143.36
-1.4642	-149.05
-2.0632	-162.66
-2.4626	-171.2
-3.3279	-181.33
-4.9916	-189.56
-6.9218	-199.05
-8.5857	-207.28
-8.5857	-199.37
-8.5857	-188.93
-8.5192	-177.22
-8.5192	-166.77
-8.4526	-156.33
-8.3861	-145.25
-8.1864	-134.49
-7.8537	-119.94
-7.7871	-111.71
-7.4541	-98.105
-7.1214	-87.345
-6.7221	-77.217
-6.3228	-65.826
-5.7904	-53.167
-4.8585	-31.329
-4.3927	-18.355
-2.9949	9.4938
-2.6622	20.57
-1.6639	50.316
-0.53243	85.446
-0.19967	96.522
0.7321	126.59
1.3311	137.66
1.9967	155.7
2.5956	170.89
3.128	185.13
3.6606	194.62
4.1265	204.43
4.5923	213.29
5.0582	220.26
5.5908	227.85
6.1232	235.76
6.589	243.67
6.9883	256.97
8.0533	271.52
8.8519	285.45
9.8501	294.63
10.915	300.96
12.513	306.02
14.043	309.5
15.241	308.86
16.239	300.96
16.506	293.67
16.905	286.4
17.171	276.59
17.238	253.49
17.105	243.36
17.038	236.08
16.839	221.84
16.373	209.5
15.907	197.79
14.309	162.03
13.577	147.79
13.178	137.66
12.579	123.1
12.046	112.66
11.248	95.254
10.516	80.064
9.3843	54.114
8.7188	37.026
7.9202	20.254
7.3876	8.2279
6.7221	-3.7975
5.3909	-31.962
4.4592	-47.785
3.9268	-61.712
3.3945	-76.265
2.9949	-90.192
2.5956	-102.54
2.0632	-115.19
0.33279	-153.8
-0.19967	-161.71
-0.93177	-170.89
-1.6639	-181.33
-2.6622	-193.36
-3.2611	-201.27
