"Watson and Park 89, Specimen 9"	
-3.9268	-208.55
-5.6573	-227.85
-7.0548	-243.99
-7.9202	-252.22
-8.6523	-257.6
-9.5174	-263.29
-10.915	-268.04
-11.847	-269.31
-12.845	-269.62
-13.844	-268.36
-15.042	-265.51
-15.774	-264.56
-16.639	-262.66
-17.038	-256.65
-17.571	-246.84
-18.037	-233.55
-18.303	-216.46
-18.17	-198.42
-17.77	-185.45
-17.371	-164.56
-16.905	-149.05
-16.506	-140.82
-15.707	-122.16
-15.175	-107.6
-14.509	-92.407
-13.644	-76.265
-12.513	-62.027
-11.248	-46.837
-10.383	-31.962
-9.3177	-16.14
-8.5192	-2.2152
-7.321	13.924
-6.7887	25
-5.9901	38.608
-4.5258	66.458
-3.9268	80.064
-3.3279	94.306
-2.4626	110.13
-1.5973	124.69
-0.53243	142.41
0.53243	157.6
1.198	169.31
1.797	183.23
2.5291	192.72
3.1946	200.95
3.9934	207.6
4.9251	216.46
5.9901	230.7
6.6556	241.46
7.6538	258.23
8.5857	272.47
9.3177	282.28
10.05	289.56
11.714	300.32
13.111	306.33
15.175	306.02
16.306	301.27
16.972	287.03
17.171	276.59
17.171	266.15
17.105	255.7
16.772	244.31
16.572	234.5
16.239	225.32
16.173	220.89
15.973	214.56
15.84	207.92
15.574	199.05
15.374	193.36
14.909	181.33
14.709	174.37
13.378	152.85
12.712	142.72
12.046	130.06
9.7836	94.306
6.589	43.672
4.5258	7.9117
3.128	-15.823
2.2629	-34.178
1.3311	-52.215
0.66556	-69.936
0.19967	-80.696
-0.66556	-96.206
-1.5308	-114.56
-2.3295	-127.85
-3.5941	-143.04
-8.4526	-196.84
-9.8501	-211.71
-12.046	-230.07
-14.642	-245.89
-16.439	-253.49
-16.839	-253.8
-17.571	-242.73
-17.837	-224.37
-17.903	-208.55
-17.704	-190.19
-17.305	-173.42
-16.905	-157.91
-16.373	-143.36
-15.84	-129.12
-14.775	-110.76
-13.977	-95.254
-12.978	-78.801
-12.379	-68.357
-11.514	-54.114
-10.649	-37.975
-9.5174	-17.089
-9.0515	-10.76
-8.1864	0.31646
-7.6538	9.8105
-6.3228	43.988
-5.524	61.391
-4.6589	76.901
-3.8603	89.876
-2.7953	105.07
-1.9967	118.99
-1.1314	131.96
-0.46589	143.04
0.86523	167.09
1.4642	180.07
2.1963	191.46
2.9949	201.9
3.7272	210.45
4.5923	219.31
5.6573	229.12
6.8552	237.98
8.0533	246.84
9.5839	257.92
10.849	269.31
12.379	281.34
13.71	290.51
15.441	298.74
17.438	303.8
19.368	306.33
20.433	305.7
22.496	304.43
23.627	303.49
25.025	300
25.89	292.41
26.223	283.23
26.289	272.16
26.157	252.22
25.69	228.48
25.291	213.93
24.759	199.69
22.096	161.4
19.567	128.16
16.905	89.56
15.574	67.089
14.176	49.053
12.712	28.798
11.581	12.975
8.985	-22.469
7.0548	-52.215
5.857	-68.673
4.8585	-85.446
3.461	-103.48
2.3295	-115.51
0.39934	-142.09
-0.59901	-152.54
-1.797	-165.19
-3.7937	-183.86
-5.5908	-199.69
-6.9883	-211.71
-10.25	-236.08
-11.448	-245.26
-12.912	-253.8
-15.108	-262.98
-16.439	-266.15
-18.635	-266.78
-20.233	-265.83
-21.897	-263.29
-23.694	-259.82
-24.892	-256.97
-25.557	-243.99
-25.758	-229.12
-25.758	-214.56
-25.824	-197.16
-25.69	-180.7
-25.425	-161.4
-24.892	-147.15
-24.16	-133.86
-23.228	-118.04
-22.496	-106.33
-20.632	-76.586
-19.501	-58.545
-17.171	-28.798
-15.308	-8.2279
-13.577	10.443
-12.313	28.481
-9.2512	64.874
-7.7203	84.178
-5.2578	114.87
-3.6606	133.23
-1.9967	150
-0.33279	166.14
1.0649	179.43
2.3295	188.61
4.1265	205.07
5.524	216.46
8.6523	241.46
9.7836	249.37
11.714	262.35
13.777	273.11
15.707	282.28
18.037	290.51
20.566	296.53
22.296	299.37
24.958	299.69
25.624	299.06
26.289	281.34
26.556	265.51
26.49	251.59
26.223	243.36
25.824	230.7
25.491	222.47
24.958	213.93
23.095	180.07
21.83	160.44
21.032	148.74
19.767	134.81
18.502	119.62
17.438	106.01
16.373	92.723
15.374	80.064
14.443	67.405
13.378	53.799
10.516	17.405
9.5839	0.94938
8.5192	-10.443
7.1214	-27.216
5.5908	-48.101
4.5923	-61.075
1.9301	-93.355
0.39934	-113.61
-0.59901	-130.06
-1.3311	-142.09
-1.797	-153.48
-2.4626	-165.19
-2.9949	-172.47
-4.0599	-183.23
-5.9901	-202.85
-5.9901	-202.85
-7.9868	-213.93
-10.25	-223.42
-15.641	-237.98
-17.704	-243.67
-20.433	-250
-22.562	-253.49
-24.626	-256.02
-26.022	-231.97
-26.091	-218.99
-26.091	-202.85
-26.022	-188.93
-25.824	-177.85
-24.892	-143.04
-24.093	-126.9
-21.631	-88.293
-20.033	-65.506
-17.571	-34.178
-16.373	-19.304
-14.975	-3.1646
-13.178	14.557
-12.046	29.431
-10.915	44.622
-9.7836	61.391
-8.7188	74.371
-7.2545	90.192
-3.3279	131.65
-1.797	149.37
-0.53243	161.08
1.6639	182.92
2.396	193.04
3.5941	204.43
5.3909	213.29
7.0548	218.68
8.1864	224.05
9.5839	236.08
10.715	243.99
12.246	253.8
13.178	259.18
17.038	278.48
19.102	286.08
20.632	290.2
22.429	294.31
24.293	296.21
26.424	297.79
28.153	295.26
30.282	291.14
32.212	286.08
33.612	281.02
34.143	273.74
34.808	263.29
35.075	251.27
34.874	224.05
34.475	200.95
33.678	175.64
32.08	150.95
30.483	128.8
28.087	100.64
26.622	84.178
25.025	65.826
23.361	49.053
17.571	-8.2279
15.042	-33.228
12.779	-53.483
9.5839	-84.81
7.6538	-103.17
5.4574	-121.52
2.4626	-143.36
-0.13311	-161.71
-4.0599	-184.81
-7.6538	-201.9
-9.9167	-212.03
-11.714	-217.73
-18.369	-231.97
-22.296	-237.03
-24.825	-238.61
-28.351	-240.19
-32.347	-240.19
-34.011	-237.98
-34.409	-220.57
-34.61	-199.69
-34.61	-181.96
-34.475	-164.56
-33.945	-146.21
-33.078	-127.85
-32.014	-113.3
-30.947	-99.368
-29.751	-83.547
-28.552	-67.721
-24.825	-29.431
-22.695	-6.6458
-20.765	13.292
-19.235	29.114
-17.038	50.316
-15.175	68.041
-13.311	84.178
-12.046	96.206
-8.3861	124.69
-7.0548	134.81
-5.1913	147.47
-3.2611	160.76
-1.3311	172.79
-0.066556	181.33
2.2629	193.99
4.1265	206.97
6.0566	219.31
8.985	229.75
10.25	241.14
11.78	251.27
13.844	262.98
17.238	274.05
19.767	281.02
22.496	285.13
25.025	287.03
27.353	286.4
29.284	283.23
30.947	279.12
33.078	271.84
34.143	263.29
34.541	252.54
34.874	237.98
34.61	205.38
33.744	185.13
32.68	163.29
30.881	136.71
29.352	114.24
27.953	96.837
26.157	73.419
24.492	54.43
23.028	39.241
17.77	-12.659
15.574	-32.279
10.449	-69.62
7.7871	-88.924
5.2578	-107.6
2.8618	-124.69
-2.3295	-154.43
-4.5258	-166.46
-9.3177	-188.29
-11.98	-200.95
-14.243	-208.55
-16.04	-214.88
-20.166	-227.22
-24.692	-235.76
-27.287	-239.24
-29.352	-240.19
-33.012	-239.88
-33.81	-232.28
-34.209	-220.89
-34.808	-200.32
-34.874	-176.27
-34.676	-160.13
-33.945	-143.04
-33.345	-122.79
-32.278	-103.8
-30.615	-84.178
-28.819	-63.611
-26.756	-43.672
-25.158	-26.899
-23.028	-6.0128
-20.965	11.076
-17.371	48.416
-14.909	72.787
-12.712	91.14
-7.7871	130.06
-5.6573	146.52
-3.0615	163.29
-0.93177	175.64
2.1963	195.26
5.4574	212.03
8.985	225
12.046	235.76
14.775	244.63
17.371	253.49
20.233	260.45
23.228	266.46
26.091	268.99
29.284	269.94
31.681	266.78
34.209	260.45
36.274	253.8
37.803	246.21
40.599	233.23
41.397	228.8
41.996	221.21
43.061	200.64
42.796	176.9
42.464	168.99
41.996	155.7
41.199	137.35
39.667	112.34
38.468	96.522
35.009	63.291
31.481	27.216
28.153	-3.1646
21.897	-52.215
19.035	-72.151
14.043	-103.48
9.7836	-127.85
5.5908	-150
-0.66556	-178.8
-4.5258	-193.67
-7.7871	-205.07
-9.9167	-212.03
-11.514	-216.78
-19.967	-234.18
-24.226	-237.66
-28.087	-238.93
-31.082	-238.61
-33.612	-237.03
-37.071	-229.75
-39.4	-221.84
-41.664	-213.61
-42.728	-208.55
-43.195	-201.9
-43.528	-182.28
-43.528	-159.81
-43.061	-139.88
-42.062	-118.36
-40.399	-95.57
-38.87	-78.801
-37.137	-59.176
-34.011	-29.114
-32.146	-10.76
-27.887	20.57
-24.426	44.938
-20.699	70.572
-16.905	95.89
-11.514	128.8
-7.1879	155.07
-3.0615	180.38
1.198	200.64
5.5908	218.36
11.78	238.93
14.709	246.21
19.567	254.75
23.561	257.92
28.951	255.7
32.878	246.21
36.34	234.18
40.267	217.09
42.062	202.85
42.796	191.14
43.129	170.26
43.195	151.9
42.862	132.6
42.062	113.61
40.866	94.622
39.667	76.901
38.204	59.176
36.34	39.241
34.475	19.937
32.944	5.6961
26.888	-48.101
23.96	-69.62
21.032	-90.508
17.038	-112.66
13.644	-127.53
10.782	-139.24
7.1879	-153.17
3.128	-170.26
-2.8618	-187.98
-5.524	-194.94
-7.9868	-203.8
-10.449	-213.29
-18.037	-231.02
-20.898	-236.4
-24.16	-238.93
-29.152	-235.76
-32.812	-228.17
-35.806	-220.57
-38.936	-211.08
-41.397	-197.79
-42.596	-184.18
-43.861	-161.08
-44.526	-140.51
-44.592	-117.4
-44.326	-98.421
-43.195	-75.634
-41.796	-56.014
-40.533	-38.608
-39.068	-21.519
-37.671	-7.9117
-36.939	-0.63291
