"Aboutaha, Engelhardt, Jirsa and Kreger, Test SC3"	
833	
0.001840992	0.039458208
-0.27102816	-26.6960064
0.006266688	-3.070232
0.491532672	48.18309344
0.50249328	47.18376128
-0.04437888	-8.7554432
-0.53474112	-47.8578112
-0.1170432	2.61767024
0.449250816	46.80101088
0.089318592	3.082628576
-0.71640192	-55.7031936
-0.2054352	-2.7753296
1.06673904	88.64472576
0.75279504	41.6342897
0.107118912	-6.82247584
-0.6352032	-48.8999776
-1.26467616	-89.5097728
-1.07326176	-51.0256768
-0.22689312	-3.6622608
0.609526848	51.33032032
1.09557312	89.2617968
0.745674912	45.41915072
-0.02791968	-9.10492256
-0.87380064	-55.7885952
-1.38940032	-94.93144
-1.0466832	-48.4106976
-0.25639776	-5.77635072
0.509649984	42.48477398
1.06247184	86.47677056
1.810365696	131.5323862
1.355348064	75.01698784
1.041111456	47.16352288
0.226064064	-4.20033536
-0.83344512	-55.448768
-1.40208	-93.4449184
-2.15932512	-137.7131936
-1.71712128	-77.3066848
-1.20542304	-47.517984
-0.31430976	-5.99314624
0.722546688	52.30879136
1.27735584	88.45577472
1.938857184	135.9345718
1.054608	50.07589536
0.730946976	27.13418778
-0.0816864	-14.41476704
-0.91281504	-51.1328736
-1.57569408	-89.129024
-2.30623872	-140.2650112
-2.2902672	-137.905792
-1.49803104	-63.1246816
-0.89879424	-29.9265888
-0.01962912	4.010610368
0.657368256	44.82512032
1.339193664	88.41285152
1.967325504	135.7221354
2.840272704	180.5226138
2.516904288	132.5133482
1.803696672	78.5914896
1.295741376	43.9334431
0.433937664	-1.36246688
-0.77431392	-48.496544
-1.62104832	-91.3628096
-2.33367072	-139.5875808
-3.09957216	-181.6883456
-3.14565792	-166.742176
-2.46888	-102.1020608
-2.04545184	-74.3745632
-1.27418592	-35.67571776
0.001524	8.161919872
0.9518904	55.26666688
1.51308816	86.79844992
2.282842272	136.1531021
2.965862496	178.6580122
2.959608	164.1349808
2.312968704	115.3791184
1.56417264	60.98746208
1.012338336	29.15629306
