Galeota 1996 Specimen AB2	
1016	
0.07	1.25568
0.14	2.82528
0.21	4.08096
0.28	5.524992
0.35	6.717888
0.43	7.910784
0.49	8.852544
0.57	10.04544
0.64	11.42669
0.7	12.43123
0.78	14.25197
0.86	16.13549
0.96	18.33293
1.04	19.58861
1.12	21.40935
1.19	22.60224
1.26	23.23008
1.35	25.36473
1.43	25.99257
1.51	27.49939
1.57	28.62951
1.66	30.07353
1.72	31.14087
1.82	32.64768
1.89	34.09172
1.97	35.22183
2.07	36.97978
2.15	38.67495
2.23	40.11897
2.31	41.24908
2.4	42.75591
2.47	44.26272
2.55	45.5184
2.63	47.088
2.72	48.34368
2.8	49.78771
2.88	51.29453
2.96	52.48743
3.04	54.11981
3.12	55.56384
3.21	56.75673
3.29	58.26355
3.37	59.70758
3.46	60.96327
3.54	62.72121
3.62	63.78854
3.71	65.23258
3.8	66.55104
3.89	68.05785
3.97	69.31354
4.06	70.69479
4.17	72.32716
4.29	74.1479
4.38	75.46637
4.5	77.16153
4.58	78.41721
4.71	80.0496
4.82	82.24704
4.94	83.37715
5.06	85.07232
5.18	86.64192
5.28	88.08595
5.42	89.8439
5.57	91.66464
5.82	93.17146
5.94	94.5527
6.06	96.24788
6.21	98.13139
6.34	99.38705
6.46	100.7056
6.61	102.4007
6.73	103.9075
6.85	105.2887
6.97	106.3561
7.12	108.114
7.28	109.5581
7.4	110.6255
7.54	112.1323
7.69	113.6391
7.84	115.0831
8.01	116.4016
8.15	117.7201
8.28	119.0385
8.44	120.2941
8.63	121.8638
8.79	123.1194
8.91	124.3123
9.11	125.9447
9.31	127.8283
9.43	129.1467
9.63	130.6535
9.79	131.9091
10.03	133.9811
10.27	135.4879
10.57	137.3086
10.81	138.941
11.06	140.5106
11.3	142.2685
11.5	143.6498
11.79	145.1566
12.01	146.2867
12.25	147.7935
12.49	149.3004
12.78	150.556
12.98	151.9373
13.22	153.3813
13.5	154.5114
13.69	155.9555
13.97	157.2112
14.24	158.5295
14.56	160.0365
14.87	161.4804
15.41	162.1083
15.8	163.2384
16.33	164.6825
16.83	163.8663
16.93	162.7989
16.94	161.606
16.89	159.7853
16.79	156.5833
16.76	154.6997
16.69	153.1929
16.52	150.8699
16.38	148.9236
16.24	146.9774
16.1	145.0311
15.93	143.2731
15.78	141.3267
15.62	139.6316
15.46	137.4969
15.31	135.9274
15.14	134.2321
14.98	132.1603
14.83	130.5907
14.67	128.5189
14.52	126.9492
14.35	125.0657
14.2	123.3077
14.04	121.6126
13.88	119.7919
13.73	118.0967
13.57	116.276
13.42	114.7692
13.25	112.9485
13.09	111.2532
12.92	109.7464
12.77	107.8001
12.62	106.2933
12.47	104.4098
12.3	102.903
12.15	101.2079
12	99.44989
11.83	97.94308
11.68	96.05952
11.52	94.74106
11.36	92.85754
11.22	91.22516
11.06	89.78112
10.89	87.8976
10.74	86.64192
10.58	84.69561
10.43	83.31436
10.26	81.68198
10.13	80.0496
9.97	78.41721
9.81	76.65926
9.66	75.15245
9.5	73.52007
9.36	71.95046
9.2	70.1925
9.05	68.68569
8.89	67.05331
8.74	65.23258
8.58	63.85133
8.43	62.03059
8.28	60.64935
8.13	58.82861
7.98	57.13344
