"Pujol 2002, No. 10-3-3N"	
10400	
-0.04	2.108
0.01	2.108
0.01	2.085
-0.02	2.041
0.00	2.085
0.00	2.019
-0.01	2.041
0.00	1.974
0.01	2.019
-0.01	2.019
0.00	2.019
-0.02	2.019
0.00	1.996
-0.04	1.996
0.01	1.996
-0.02	1.952
0.06	1.885
0.08	1.952
-0.04	1.929
0.06	1.929
0.04	1.929
-0.03	1.885
0.03	1.885
0.08	1.885
0.00	1.885
0.06	1.818
-0.01	1.796
0.03	1.818
0.01	1.818
-0.03	1.796
0.00	1.773
0.06	1.729
0.03	1.773
-0.02	1.773
0.05	1.729
0.04	3.534
-0.01	3.490
0.02	3.490
0.07	3.534
0.00	3.534
0.07	3.490
-0.02	3.556
0.04	3.534
0.04	3.512
-0.06	3.556
0.08	4.827
0.09	4.827
0.05	4.827
0.03	4.804
0.06	4.827
0.10	6.944
0.10	6.877
0.13	6.877
0.11	6.899
0.13	6.877
0.16	6.922
0.08	6.877
0.13	6.899
0.13	6.899
0.05	6.899
0.13	6.858
0.10	6.858
0.09	6.858
0.16	6.881
0.13	6.881
0.07	6.814
0.13	6.903
0.14	6.836
0.07	6.858
0.18	6.858
0.11	6.903
0.11	6.836
0.13	6.881
0.09	6.881
0.12	6.903
0.13	6.858
0.10	6.836
0.11	6.814
0.13	6.814
0.14	6.792
0.15	6.858
0.14	6.881
0.12	6.836
0.13	6.858
0.12	6.836
0.19	8.976
0.17	8.953
0.18	8.976
0.21	8.976
0.18	8.953
0.18	11.605
0.29	11.583
0.28	11.605
0.20	11.561
0.27	11.605
0.26	11.561
0.25	11.561
0.22	11.561
0.24	11.561
0.26	11.561
0.25	13.322
0.31	13.322
0.34	13.344
0.27	13.322
0.28	13.366
0.35	15.862
0.31	15.862
0.34	15.884
0.33	15.862
0.32	15.907
0.31	15.884
0.37	15.884
0.34	15.884
0.29	15.884
0.39	15.884
0.35	15.907
0.34	15.884
0.30	15.907
0.36	15.884
0.37	15.884
0.38	15.907
0.33	15.884
0.36	15.884
0.34	15.907
0.32	15.907
0.39	17.066
0.38	17.043
0.36	17.066
0.34	17.066
0.37	17.043
0.37	18.158
0.39	18.180
0.36	18.135
0.42	18.135
0.41	18.135
0.41	20.097
0.46	20.097
0.42	20.097
0.42	20.141
0.41	20.097
0.46	20.052
0.45	20.074
0.39	20.052
0.51	20.097
0.45	20.052
0.49	22.169
0.46	22.236
0.51	22.214
0.47	22.214
0.42	22.214
0.47	22.214
0.48	22.169
0.49	22.192
0.44	22.214
0.50	22.214
0.50	22.169
0.44	22.169
0.55	22.192
0.54	22.192
0.46	22.169
0.47	22.236
0.57	22.214
0.48	22.214
0.47	22.236
0.53	22.214
0.56	24.888
0.56	24.866
0.50	24.911
0.56	24.888
0.57	24.911
0.53	24.911
0.55	24.866
0.59	24.866
0.52	24.911
0.57	24.888
0.60	26.939
0.61	26.983
0.57	26.961
0.64	26.939
0.64	26.916
0.62	26.916
