Galeota 1996 SpecimenBA4	
1578	
0.18	3.013632
0.4	6.403968
0.57	8.287488
0.62	9.10368
0.72	12.05453
0.91	14.62867
1.08	15.50765
1.13	17.89344
1.31	20.4048
1.57	23.1673
1.65	24.17184
1.79	25.92979
1.97	28.69229
2.17	31.45478
2.25	32.45933
2.4	34.28006
2.6	37.48205
2.76	39.67949
2.85	40.87238
3.15	44.3255
3.26	45.5184
3.46	47.71584
3.79	51.04339
3.78	52.04794
4.08	54.11981
4.28	56.06611
4.29	57.07066
4.73	59.95872
4.83	60.77491
5.04	62.53286
5.38	65.16979
5.41	65.98598
5.69	67.74393
6.03	70.06694
6.12	70.69479
6.52	74.02234
6.79	74.65018
7.05	76.72205
7.35	78.98227
7.56	79.48454
8	82.18426
8.09	82.8121
8.439999	84.82118
8.600001	85.82573
9.04	87.8976
9.140001	88.39987
9.58	90.91123
9.640001	91.66464
9.99	93.48537
10.15	94.05043
10.65	96.43623
10.87	96.87571
11.36	99.38707
11.48	99.63821
12.02	102.024
12.06	102.5891
12.69	103.468
12.99	104.8493
13.19	106.0422
13.65	107.6118
13.79	107.8001
14.4	109.9348
14.47	110.3115
14.62	106.2305
15.03	106.5444
15.56	108.3024
15.99	108.993
16.14	109.1186
16.66	108.993
17.2	108.3652
18.21	95.30611
18.42	94.74106
18.54	92.54362
18.14	89.59277
17.76	86.95584
17.65	85.76295
17.42	84.44448
17.08	82.05869
16.81	80.86579
16.48	78.79392
16.3	77.22432
15.95	76.40813
15.57	73.95955
15.41	72.70387
15.04	70.31808
14.8	69.31354
14.44	66.99052
14.26	65.9232
14.03	64.41638
13.61	62.21894
13.42	61.2144
13.09	58.64025
12.85	57.63571
12.6	55.43827
12.34	54.30816
12.1	52.92691
11.63	50.35277
11.46	48.97152
11.09	47.21357
10.91	45.95789
10.4	43.5721
10.34	42.12806
9.890001	39.99341
9.7	38.98886
9.359999	36.60307
9.020001	34.40563
8.890001	33.3383
8.32	29.94797
8.020001	28.69229
7.63	27.37382
7.4	26.99712
6.86	24.23462
6.77	22.3511
6.49	21.5977
6.27	19.58861
6.03	18.20736
5.61	15.06816
5.47	14.1264
5.12	12.24288
4.9	10.04544
4.65	9.10368
4.24	6.341184
4.09	5.399424
3.83	3.578688
3.55	1.192896
3.62	0.94176
3	-2.762496
2.92	-3.892608
2.77	-5.96448
2.33	-8.16192
2.22	-9.166464
1.76	-12.61958
1.69	-13.87526
1.46	-16.19827
1.16	-17.2656
0.82	-19.77696
0.51	-22.3511
0.41	-23.73235
0.3	-24.92525
-0.18	-28.94342
-0.22	-30.07354
-0.32	-31.45478
-0.74	-33.71501
-0.76	-34.90791
-1.21	-38.0471
-1.38	-39.55392
-1.52	-41.1863
-1.96	-44.70221
-2.06	-44.82778
-2.43	-48.53203
-2.71	-49.72493
-3.04	-51.73402
-3.25	-53.93146
-3.21	-55.24992
-3.78	-57.19622
-3.79	-58.57747
-4.26	-61.84224
-4.4	-62.84678
-4.76	-65.16979
-4.96	-66.2999
-5.05	-67.68115
-5.47	-69.87859
-5.73	-70.75757
-6.12	-72.64109
-6.08	-73.70842
-6.71	-75.65472
-6.78	-76.65926
-7.4	-76.65926
-8.100001	-79.23341
-8.16	-80.23795
-8.79	-82.56096
-9	-82.93766
-9.43	-85.1351
-9.72	-85.57459
-10.16	-87.77203
-10.41	-88.39987
-10.73	-90.53453
-11.08	-90.91123
-11.56	-93.48537
-12.03	-93.73651
-12.66	-95.24332
-12.93	-96.05952
-13.34	-97.25242
-14.08	-98.44531
-13.92	-98.69645
-14.58	-100.0149
-15.13	-101.3962
-15.26	-101.8356
-16.1	-102.7774
-16.84	-103.782
-17.05	-104.347
-17.34	-104.5354
-18.08	-105.1632
-18.77	-104.9121
-19.8	-99.38707
-20.27	-98.06861
-21.02	-96.43623
-21.09	-95.68282
-20.95	-93.67373
-20.54	-90.91123
-20.37	-89.78112
-19.95	-87.39532
-19.73	-86.7047
-19.36	-84.19334
-19.11	-83.37715
-18.75	-81.43085
-18.41	-80.23795
-18.11	-77.78938
-17.7	-76.21977
-17.38	-74.71296
-16.98	-72.70387
-16.76	-72.13882
-16.29	-70.06694
-16.13	-68.56013
-15.75	-66.99052
-15.65	-65.9232
-15.13	-63.53741
-14.99	-62.65843
-14.63	-60.96326
-14.25	-59.83315
-13.92	-57.88685
-13.82	-57.00787
-13.24	-54.62208
-13.2	-53.68032
-12.48	-51.73402
-12.28	-50.91782
-11.95	-49.09709
-11.71	-47.59027
-11.21	-44.76499
-10.89	-44.19994
-10.29	-41.37466
-10.06	-40.74681
-9.479999	-38.61216
-9.38	-37.79597
-8.859999	-35.91245
-8.649999	-34.90791
-8.26	-33.21273
-8.11	-32.08262
-7.76	-30.63859
-7.38	-29.32013
-6.89	-27.8761
-6.6	-25.36474
-6.3	-24.29741
-5.91	-22.3511
-5.52	-20.0281
-5.4	-18.58406
-4.82	-16.26106
-4.81	-15.25651
-4.35	-12.68237
-4.14	-11.42669
-3.99	-10.04544
-3.42	-6.59232
-3.21	-5.33664
-2.89	-3.955392
-2.66	-1.757952
-2.49	-0.251136
-2.08	3.578688
-1.76	5.02272
-1.57	6.969024
-1.32	9.543168
-1.08	10.54771
-0.87	12.43123
-0.58	13.68691
-0.5	15.63322
-0.12	19.27469
0.03	20.21645
0.25	22.03718
0.46	25.1136
0.66	26.36928
1.05	28.75507
1.21	29.69683
1.48	32.27098
1.84	35.22182
2.09	36.41472
2.3	39.42835
2.82	42.25363
3.02	43.44653
3.2	45.20448
3.61	48.2809
3.77	49.72493
3.93	51.04339
4.4	54.05702
4.58	55.68941
4.74	57.00787
5.1	59.83315
5.4	61.15162
5.74	62.34451
5.95	63.22349
6.4	65.9232
6.67	66.7394
6.94	69.18797
7.29	70.06694
7.84	72.13882
7.89	72.95501
8.5	74.5246
8.7	75.46637
9.17	77.22432
9.43	78.10329
9.67	79.23341
10.3	80.36352
10.54	81.6192
10.84	83.00045
11.37	84.44448
11.6	85.19789
12.19	86.7047
12.46	87.01862
12.73	88.14874
13.26	89.4672
13.39	89.96947
13.86	91.09959
14.49	92.04134
14.85	92.73197
15.15	92.92032
15.68	93.92487
16.26	94.74106
16.62	95.49446
17.05	95.80839
17.84	96.49901
18.52	96.24787
19.15	96.05952
19.62	92.35526
19.86	89.34163
20.19	89.96947
20.77	90.28339
21.51	90.09504
22.09	89.4672
22.79	88.96493
23.49	88.14874
24.24	86.95584
24.39	86.328
24.86	86.20243
25.65	83.94221
25.98	83.56551
26.31	83.43993
26.91	82.74931
27.6	80.80301
27.99	80.86579
28.61	80.67744
29.39	78.8567
30.02	78.98227
30.68	78.66835
30.96	76.9104
31.35	77.03596
32.12	76.9104
32.78	74.83853
33.42	74.46182
33.71	73.83398
34.14	72.45274
34.86	72.07603
35.6	70.38087
35.78	70.25529
36.43	69.94138
37.17	68.56013
37.76	68.56013
38.4	67.1161
38.89	67.1161
39.62	66.99052
40.57	65.54649
40.97	64.54195
40.6	61.40275
40.07	58.57747
39.94	57.44736
39.4	54.81043
39.19	53.24083
38.97	52.11072
38.62	51.16896
38.24	48.72038
38.07	47.40192
37.79	46.20902
