"Atalay and Penzien, 1975, Spec. 5"	
17.976	63.94
18.621	65.394
19.217	66.72
19.763	67.912
19.366	64.469
18.82	61.027
17.628	56.921
16.933	54.141
15.89	50.04
15.046	46.597
14.401	44.742
13.109	40.507
11.073	34.418
9.5341	28.991
7.3988	22.504
6.1575	18.4
5.3132	14.827
4.1214	10.458
2.8801	5.8247
1.9863	2.118
0.79451	-3.1771
-0.89383	-10.59
-2.7808	-18.136
-4.618	-24.49
-6.1575	-30.05
-7.4485	-34.948
-9.7328	-42.493
-11.272	-47.26
-12.762	-52.024
-14.003	-55.071
-15.99	-60.23
-17.777	-64.865
-18.82	-67.645
-19.366	-69.367
-18.82	-65.261
-18.522	-62.748
-17.678	-58.642
-16.486	-54.274
-15.493	-50.832
-14.152	-46.731
-13.109	-43.817
-12.116	-40.64
-10.527	-35.213
-9.0376	-29.255
-7.6472	-24.225
-6.4056	-19.062
-5.6111	-16.018
-4.2207	-10.326
-3.178	-6.2219
-1.9863	-1.3238
-0.54623	4.3685
0.19863	7.413
1.2911	11.649
2.2842	15.753
3.5753	21.18
6.7534	30.712
10.428	41.699
12.464	48.981
14.251	53.612
16.883	60.101
17.827	62.352
18.025	62.881
18.572	64.069
19.316	65.261
20.21	66.587
18.572	59.834
16.585	52.82
16.039	50.703
14.549	46.068
13.258	41.831
11.52	36.139
8.8885	26.079
7.2995	21.18
5.9588	16.547
4.1712	10.326
2.9296	6.0893
1.0925	-0.66191
-0.049657	-5.8247
-1.4401	-11.914
-2.9794	-18.533
-4.0719	-22.769
-5.8595	-28.461
-7.4485	-33.889
-8.1437	-36.272
-10.378	-44.082
-11.371	-46.597
-14.251	-54.141
-15.195	-56.659
-16.883	-61.422
-18.323	-65.661
-19.614	-69.896
-19.962	-70.954
-20.161	-71.484
-19.316	-64.202
-18.472	-60.76
-17.429	-56.921
-16.138	-52.82
-13.953	-45.934
-12.514	-40.905
-11.57	-37.331
-10.08	-32.83
-8.9383	-28.858
-7.796	-24.754
-6.7534	-20.386
-5.4125	-16.282
-4.4193	-12.84
-3.6746	-10.326
