"Atalay and Penzien, 1975, Spec. 10"	
20.33	75.251
20.233	72.013
19.945	69.42
19.801	68.513
19.368	66.311
18.743	63.464
18.167	60.484
17.59	58.153
16.869	55.435
15.812	51.548
14.851	48.31
14.13	45.33
13.457	43
11.054	34.84
10.814	34.322
8.5067	27.717
6.7285	21.888
5.6231	17.744
3.9891	12.433
2.9317	6.3464
2.0185	2.4608
0.96121	-2.2018
0.28837	-5.1806
-0.48059	-9.0664
-0.91316	-11.398
-1.3937	-13.47
-3.22	-21.241
-3.6525	-24.22
-4.3254	-27.328
-5.0462	-29.919
-5.9113	-32.768
-6.6805	-35.487
-7.7859	-38.855
-8.6027	-41.575
-9.1796	-43.906
-9.7561	-46.108
-10.333	-48.31
-10.814	-49.862
-11.342	-51.548
-11.823	-52.971
-12.592	-55.044
-13.12	-56.601
-13.793	-58.54
-14.418	-60.097
-15.187	-61.907
-16.196	-64.5
-16.485	-65.274
-17.302	-67.476
-18.263	-70.327
-18.695	-71.622
-19.224	-73.178
-18.84	-67.476
-17.734	-61.778
-17.109	-58.669
-16.485	-55.435
-14.514	-48.181
-13.601	-44.295
-12.592	-40.28
-11.486	-36.265
-10.573	-32.638
-9.5159	-28.753
-8.747	-25.903
-7.3533	-20.723
-6.1999	-16.449
-4.0851	-8.6776
-3.172	-4.6624
-2.3069	-0.77711
-1.4418	3.6265
-0.62479	7.2529
0.19224	11.138
1.0093	15.153
2.0185	19.686
2.7394	23.183
3.6045	26.292
4.3734	28.494
6.6805	35.487
8.5067	40.927
9.7561	45.072
10.333	47.015
11.246	49.217
12.4	52.326
12.784	53.363
13.649	55.693
14.61	57.637
14.899	58.411
15.475	59.706
18.167	67.347
18.84	68.646
19.609	70.714
20.089	71.884
20.474	73.05
20.762	73.823
20.33	71.106
19.705	67.476
19.32	65.666
18.695	62.944
17.782	59.19
17.109	56.209
16.437	53.621
15.571	50.511
14.562	47.402
13.985	45.072
13.265	42.611
12.352	38.984
11.102	35.229
10.477	33.545
9.7561	31.473
8.3144	26.939
7.6416	24.479
6.8727	21.37
5.8153	17.485
4.9982	14.506
4.0851	10.62
3.3642	7.7711
2.6914	4.7923
2.3069	3.3674
1.0093	-1.9428
0.2403	-4.6624
-0.62479	-8.4187
-1.8743	-13.599
-2.9797	-18.262
-3.6525	-21.37
-4.5656	-25.515
-6.1036	-31.473
-7.209	-35.617
-7.7859	-37.819
-8.8913	-41.834
-10.093	-46.108
-11.342	-49.862
-12.736	-53.1
-13.793	-55.822
-14.562	-57.895
-15.475	-60.355
-16.485	-63.464
-16.965	-65.537
-17.927	-68.904
-18.311	-70.714
-18.888	-72.4
-18.936	-72.529
-19.224	-72.658
-18.695	-68.126
-18.215	-65.795
-17.686	-62.428
-16.581	-56.601
-16.052	-54.008
-15.091	-49.996
-13.985	-46.108
-12.304	-39.632
-10.525	-34.452
-9.8044	-32.12
-9.0353	-29.4
-8.3144	-26.422
-7.7859	-23.96
-6.8727	-20.723
-5.8633	-16.449
-4.7579	-11.527
-3.6045	-6.217
-2.5471	-1.9428
-1.2496	3.6265
-0.2403	8.03
0.76896	12.822
2.355	20.463
3.22	23.443
4.4216	27.328
5.4788	30.566
6.3919	33.027
7.3533	35.876
9.9004	41.963
10.766	44.424
11.486	47.273
12.063	49.217
12.736	51.419
13.697	54.528
14.61	56.859
15.235	58.282
16.148	61.004
17.302	64.242
17.927	66.053
18.551	67.997
19.945	72.916
20.185	73.823
20.33	73.952
19.753	69.678
19.08	65.408
18.551	62.944
17.83	59.706
17.254	57.117
16.581	54.137
15.475	50.382
14.706	48.31
13.937	45.33
12.736	41.057
11.583	37.301
10.67	33.933
9.9004	31.343
8.699	27.458
7.7859	24.867
7.161	22.536
5.6231	16.578
4.9982	14.118
4.1331	10.879
2.6434	5.9577
1.2976	0.25903
0.81702	-1.8132
-0.19224	-6.4758
-1.2976	-11.527
-2.1147	-15.801
-2.9797	-20.205
-3.4122	-22.536
-3.7488	-24.22
-4.9022	-28.494
-6.1516	-32.509
-7.113	-35.747
-7.7376	-37.819
-8.5067	-40.669
-8.9873	-42.223
-10.093	-46.108
-12.4	-52.842
-13.409	-56.08
-14.755	-60.097
-16.437	-65.145
-16.965	-66.96
-17.302	-68.646
-17.686	-70.456
-18.071	-71.622
-18.888	-73.05
-18.743	-70.848
-18.551	-68.775
-18.359	-66.573
-18.167	-64.5
-17.686	-60.355
-16.917	-56.859
-16.341	-54.657
-15.427	-50.511
-14.803	-47.402
-14.274	-44.685
-13.072	-40.409
-12.207	-37.689
-10.621	-33.156
-9.4679	-29.919
-8.6027	-27.199
-7.4013	-22.666
-5.6231	-15.412
-4.7579	-12.045
-3.8928	-8.5482
-2.5954	-3.1084
-1.3457	2.4608
0.67285	11.656
1.3937	14.765
3.3642	22.666
5.575	29.53
7.9781	37.042
8.3624	38.467
9.1316	41.186
10.285	45.201
11.294	48.439
13.313	54.915
14.226	57.504
16.1	62.17
18.215	67.347
19.224	69.94
19.657	70.585
20.041	71.364
20.426	72.271
20.81	73.178
21.243	74.086
21.723	74.731
22.012	75.38
22.444	76.288
22.636	76.675
23.213	77.453
23.886	77.969
24.126	77.969
24.607	77.969
25.039	77.969
25.471	77.969
25.761	77.84
26.817	77.32
27.203	77.191
27.683	76.933
28.212	76.417
28.499	76.025
28.981	75.118
29.461	74.215
29.51	73.178
29.51	72.4
29.51	69.811
29.461	68.904
29.268	67.218
29.075	65.795
28.788	63.722
28.837	64.5
28.26	61.133
27.874	58.932
26.914	55.435
26.434	53.363
25.905	51.161
25.568	49.604
24.607	45.721
23.79	42.611
23.309	40.927
22.396	38.078
21.723	36.912
20.522	34.063
19.561	31.861
18.263	29.4
16.437	25.903
15.427	23.96
12.832	18.132
11.823	15.801
10.189	11.786
8.747	8.4187
7.209	5.0511
6.0556	2.4608
4.4696	-1.5542
3.3162	-4.4036
1.9224	-8.5482
0.57673	-12.433
-0.14418	-14.376
-2.355	-21.629
-3.7488	-26.68
-4.9502	-30.696
-6.2479	-35.099
-7.257	-38.207
-8.3144	-41.834
-9.3718	-45.072
-10.766	-49.733
-11.967	-53.879
-13.457	-58.024
-14.61	-61.004
-15.812	-63.851
-16.725	-65.795
-18.023	-68.384
-19.705	-71.106
-20.714	-72.529
-21.531	-73.436
-21.819	-73.823
-22.684	-74.086
-23.886	-74.086
-24.847	-74.086
-25.664	-74.215
-26.579	-74.602
-27.539	-74.86
-28.547	-75.38
-29.558	-75.638
-30.373	-75.638
-30.518	-75.638
-30.518	-74.344
-29.655	-70.714
-28.499	-66.96
-27.922	-64.5
-26.386	-57.504
-25.664	-54.528
-24.847	-51.419
-23.982	-48.439
-23.309	-46.366
-22.252	-42.87
-20.762	-38.596
-19.897	-36.265
-18.792	-33.674
-18.215	-32.379
-17.061	-29.789
-16.052	-27.199
-15.139	-24.867
-13.793	-21.5
-12.832	-19.039
-12.255	-17.355
-11.583	-15.412
-11.006	-13.988
-9.3238	-10.879
-8.3624	-8.807
-7.9299	-7.7711
-7.0648	-6.0871
-6.1516	-3.8855
-5.2868	-2.0723
-4.2774	0.12952
-3.22	2.5903
-1.5379	6.7347
-0.62479	9.0664
0.096121	11.786
1.7782	17.615
2.0666	18.65
3.1239	23.831
3.6045	25.515
4.3734	27.717
