Galeota 1996 Specimen BB4	
-18.89	-134.283
-18.72	-132.859
-18.55	-131.111
-18.38	-130.01
-18.16	-128.068
-17.99	-126.708
-17.76	-124.766
-17.54	-123.406
-17.37	-121.787
-17.19	-120.492
-17	-119.327
-16.8	-117.32
-16.61	-115.831
-16.42	-114.341
-16.22	-113.176
-16.02	-111.234
-15.84	-110.133
-15.64	-108.579
-15.45	-106.831
-15.26	-105.666
-15.07	-104.112
-14.88	-102.169
-14.69	-101.263
-14.49	-99.515
-14.3	-97.831
-14.11	-96.536
-13.85	-94.853
-13.66	-93.299
-13.47	-91.421
-13.29	-90.191
-13.09	-88.767
-12.88	-87.019
-12.66	-85.076
-12.45	-83.522
-12.25	-81.968
-12.03	-80.544
-11.89	-79.314
-11.68	-77.501
-11.47	-76.141
-11.27	-74.199
-11.05	-72.839
-10.92	-71.35
-10.71	-69.731
-10.49	-68.242
-10.29	-66.688
-10.06	-65.264
-9.84	-63.84
-9.63	-62.221
-9.42	-60.861
-9.21	-59.178
-9	-57.559
-8.78	-56.07
-8.5	-53.998
-8.29	-52.768
-8.08	-51.408
-7.95	-50.113
-7.74	-48.495
-7.54	-46.876
-7.35	-44.934
-7.15	-43.25
-6.97	-41.437
-6.77	-39.56
-6.59	-37.876
-6.46	-36.517
-6.27	-34.704
-6.15	-33.409
-5.95	-31.596
-5.82	-30.172
-5.63	-28.294
-5.5	-26.934
-5.31	-24.992
-5.18	-23.438
-5	-21.496
-4.87	-20.33
-4.74	-18.776
-4.55	-16.834
-4.37	-14.892
-4.19	-13.208
-4.07	-11.719
-3.89	-9.906
-3.72	-8.029
-3.55	-6.41
-3.38	-4.597
-3.27	-3.302
-3.08	-2.007
-2.91	-0.388
-2.82	1.295
-2.67	2.849
-2.51	4.726
-2.36	6.475
-2.18	8.158
-2.06	9.712
-1.84	11.331
-1.71	12.625
-1.58	13.985
-1.45	15.345
-1.3	17.093
-1.16	19.035
-1	20.913
-0.89	22.143
-0.73	23.956
-0.57	25.575
-0.41	27.711
-0.25	29.459
-0.13	30.754
0.04	32.438
0.16	33.733
0.28	35.222
0.4	36.517
0.6	38.394
0.73	40.078
0.87	41.243
1.01	42.991
1.15	44.286
1.3	45.84
1.45	47.394
1.6	48.948
1.76	50.696
1.92	52.121
2.08	54.128
2.25	55.552
2.41	57.43
2.57	58.919
2.74	60.538
2.9	62.35
3.08	63.581
3.25	65.588
3.41	67.206
3.57	68.76
3.74	70.508
3.91	71.609
4.09	73.616
4.26	75.105
4.42	76.4
4.6	77.954
4.76	79.184
4.94	80.868
5.16	82.616
5.34	84.17
5.52	85.335
5.7	86.889
5.88	88.443
6.07	89.932
6.34	91.81
6.52	93.299
6.7	94.594
6.97	96.666
7.17	97.896
7.34	99.644
7.54	100.68
7.82	102.817
8	103.917
8.21	105.277
8.47	107.414
8.75	109.227
9.03	110.78
9.31	112.593
9.59	114.6
9.77	115.831
10.05	117.903
10.34	119.586
10.64	121.269
10.94	123.341
11.24	124.895
11.43	126.32
11.63	127.226
11.93	129.427
12.23	131.175
12.53	132.924
12.82	134.866
13.13	136.096
13.32	137.65
13.62	139.398
13.92	141.211
14.22	142.7
14.51	144.448
14.82	146.197
15.12	147.815
15.33	149.045
15.63	150.47
15.93	152.283
16.23	153.966
16.54	155.455
16.84	156.815
17.16	158.563
17.89	158.822
18.21	160.376
18.64	162.254
19.07	163.743
19.65	165.102
20.2	166.851
20.65	166.203
20.74	163.484
20.86	157.916
21.33	159.275
21.72	161.023
22.21	162.642
22.71	164.131
23.25	165.556
23.77	166.591
24.31	167.563
24.87	168.534
25.44	169.052
26.01	169.635
26.57	170.217
27.12	170.8
27.7	171.059
28.28	171.188
28.86	171.447
29.46	171.512
30.05	171.188
30.66	170.088
31.45	168.534
32.07	167.563
32.72	166.656
33.38	165.426
34.05	164.39
34.92	163.289
35.79	162.124
36.39	160.7
37.28	159.146
38.03	157.721
38.94	156.426
39.45	155.067
39.54	153.966
39.68	152.606
40.15	152.412
40.01	151.052
39.85	149.175
39.68	147.945
39.51	146.391
39.34	144.902
39.16	143.283
39	141.794
38.81	140.499
38.63	139.074
38.45	137.391
38.3	135.772
38.13	134.672
37.95	133.118
37.79	131.629
37.61	130.075
37.44	128.456
37.26	127.161
37.09	125.866
36.92	124.312
36.75	123.017
36.57	121.464
36.41	120.039
36.22	118.615
36.06	117.255
35.89	115.701
35.71	114.406
35.52	113.176
35.37	111.816
35.19	110.327
35.01	108.773
34.85	107.737
34.66	105.989
34.5	104.63
34.22	102.622
34.07	101.069
33.8	99.191
33.61	97.702
33.46	96.213
33.19	94.594
33.02	93.04
32.85	91.551
32.58	89.738
32.42	88.443
32.14	86.177
31.97	85.076
31.72	82.875
31.53	81.386
31.34	80.026
31.15	78.602
30.87	76.465
30.68	75.041
30.41	72.969
30.23	71.803
30.03	70.055
29.85	68.76
29.57	66.883
29.39	65.199
29.12	63.192
28.93	61.897
28.65	59.825
28.36	58.271
28.18	56.782
27.91	54.775
27.72	53.415
27.45	51.667
27.26	50.372
26.98	48.495
26.8	47.394
26.53	45.193
26.26	43.445
25.99	41.437
25.72	39.689
25.54	38.394
25.29	36.646
25.1	35.287
24.85	33.668
24.59	32.179
24.32	30.431
24.07	28.618
23.82	27.258
23.57	25.51
23.33	24.15
23.11	22.661
22.87	20.913
22.57	19.23
22.29	17.805
22.06	16.251
21.83	14.697
21.55	13.273
21.35	11.784
21.1	10.618
20.83	8.935
20.56	7.511
20.32	6.021
19.91	3.95
19.61	2.655
19.32	1.36
18.97	-0.583
18.67	-1.813
18.37	-3.237
18.09	-5.05
17.76	-6.604
17.45	-8.611
16.9	-10.554
16.56	-11.913
16.3	-13.532
15.96	-15.086
15.73	-16.445
15.38	-18.582
15.14	-20.136
14.76	-22.208
14.44	-23.438
14.23	-24.992
13.94	-26.157
13.62	-27.841
13.33	-29.654
