Galeota 1996 Specimen BB4	
36.71	114.147
36.37	111.622
36.21	109.939
36.03	108.968
35.71	106.378
35.37	104.047
35.2	102.428
34.88	99.968
34.71	98.349
34.56	97.313
34.23	95.112
33.88	92.457
33.71	90.839
33.39	88.378
33.05	85.918
32.73	83.717
32.55	82.227
32.23	79.573
31.89	77.112
31.58	74.846
31.42	73.551
31.08	71.156
30.75	68.437
30.42	66.17
30.1	63.84
29.95	62.739
29.62	60.279
29.28	57.753
28.96	55.682
28.64	53.221
28.3	51.02
27.96	48.818
27.64	46.552
27.34	44.61
27.04	42.15
26.74	40.337
26.43	37.876
26.13	36.064
25.84	34.51
25.54	32.373
25.25	30.949
24.97	28.618
24.69	27.452
24.42	25.445
24.03	22.985
23.75	21.107
23.49	19.553
23.3	18.194
22.98	16.769
22.72	14.568
22.48	13.143
22.12	11.59
21.78	10.165
21.53	8.611
21.19	6.669
20.84	5.18
20.49	4.144
20.11	2.849
19.8	1.36
19.48	-0.259
19.04	-2.201
18.75	-3.95
18.14	-5.244
17.74	-6.669
17.34	-8.676
16.92	-10.359
16.5	-11.913
16.23	-13.338
15.81	-14.892
15.53	-16.769
15.25	-18.129
14.84	-19.877
14.42	-21.884
14.13	-23.438
13.7	-25.704
13.18	-26.352
12.89	-27.906
12.59	-29.459
12.3	-31.272
12.01	-32.761
11.71	-33.927
11.41	-35.869
10.96	-36.905
10.3	-38.718
10.01	-40.272
9.71	-41.567
9.41	-42.927
9.11	-44.351
8.66	-46.034
8.2	-47.783
7.68	-48.754
7.24	-50.761
6.79	-52.703
6.34	-54.192
5.88	-56.653
5.34	-56.847
4.89	-58.984
4.58	-60.279
4.13	-61.832
3.66	-63.581
3.35	-65.07
2.82	-65.329
2.51	-66.624
2.05	-68.437
1.74	-69.796
1.27	-71.609
0.8	-72.71
0.32	-75.105
-0.21	-75.235
-0.68	-77.566
-1.31	-79.961
-1.94	-82.357
-2.64	-82.875
-2.95	-83.976
-3.42	-85.788
-3.9	-87.083
-4.2	-88.767
-4.73	-89.285
-5.2	-91.616
-5.68	-92.975
-6.15	-94.4
-6.7	-95.5
-7.32	-97.961
-7.96	-99.385
-8.44	-101.069
-8.91	-102.622
-9.46	-102.817
-9.61	-104.306
-10.08	-105.148
-10.56	-106.831
-11.06	-108.579
-11.62	-108.385
-11.95	-109.874
-12.44	-112.075
-12.92	-113.435
-13.42	-114.924
-13.9	-116.025
-14.45	-116.737
-14.94	-118.032
-15.42	-119.456
-15.92	-121.399
-16.47	-120.492
-16.79	-122.629
-17.44	-123.989
-18.11	-125.737
-18.66	-125.866
-19.16	-127.096
-19.65	-129.104
-20.15	-130.204
-20.72	-130.01
-21.36	-131.629
-21.85	-132.924
-22.37	-134.478
-22.93	-133.506
-23.44	-134.931
-24.11	-136.938
-24.61	-137.844
-25.16	-137.974
-25.67	-139.139
-26.18	-140.434
-26.75	-139.916
-27.24	-141.017
-27.76	-141.6
-28.27	-142.894
-28.82	-142.636
-29.35	-143.801
-29.86	-144.707
-30.45	-144.578
-30.94	-145.031
-31.47	-146.197
-32	-146.585
-32.53	-147.815
-33.1	-147.362
-33.63	-148.333
-34.15	-149.045
-34.75	-147.75
-35.26	-148.592
-35.79	-149.304
-36.33	-150.793
-36.56	-149.11
-37.09	-149.758
-37.61	-150.146
-38.15	-151.57
-38.74	-150.664
-39.25	-151.052
-39.79	-150.858
-40.43	-150.017
-40.94	-150.599
-41.48	-151.959
-42.01	-151.57
-42.58	-150.793
-43.14	-150.988
-43.65	-151.311
-44.2	-151.959
-44.64	-149.887
-45.05	-148.786
-45.02	-145.679
-44.76	-143.801
-44.39	-141.276
-44.09	-138.686
-43.84	-137.067
-43.67	-135.708
-43.51	-134.283
-43.17	-131.952
-42.99	-130.722
-42.81	-129.427
-42.46	-126.967
-42.11	-124.636
-41.77	-122.435
-41.41	-119.845
-41.24	-118.226
-40.9	-116.543
-40.54	-113.888
-40.19	-111.363
-39.85	-109.227
-39.66	-107.932
-39.33	-105.795
-38.99	-103.27
-38.63	-101.004
-38.29	-98.997
-37.94	-96.407
-37.63	-94.982
-37.36	-93.04
-37.1	-91.227
-36.82	-89.414
-36.58	-87.86
-36.32	-86.371
-36.04	-84.235
-35.79	-82.81
-35.54	-80.997
-35.27	-79.443
-35.02	-77.76
-34.76	-76.206
-34.35	-74.134
-34.09	-72.451
-33.84	-71.026
-33.58	-69.343
-33.3	-67.724
-33.04	-66.235
-32.63	-64.228
-32.37	-62.739
-32.1	-61.573
-31.84	-60.084
-31.57	-58.725
-31.15	-56.653
-30.75	-54.646
-30.47	-53.156
-30.17	-51.797
-29.89	-50.502
-29.62	-48.301
-29.34	-46.941
-29.05	-45.322
-28.77	-43.898
-28.48	-42.279
-28.2	-40.337
-27.92	-38.718
-27.63	-36.905
-27.34	-35.222
-27.06	-33.862
-26.77	-32.308
-26.48	-30.56
-26.18	-29.006
-25.89	-27.193
-25.61	-25.898
-25.32	-24.409
-25.02	-22.402
-24.6	-20.524
-24.3	-19.035
-23.88	-16.64
-23.58	-15.215
-23.14	-13.014
-22.87	-11.784
-22.57	-10.359
-22.3	-8.87
-21.86	-6.928
-21.42	-4.597
-21.03	-3.043
-20.59	-1.554
-20.3	0
-19.84	-0.129
-19.55	1.619
-19.28	3.173
-19	4.403
-18.58	6.669
-18.18	8.417
-17.6	9.259
-17.37	10.813
-16.93	12.366
-16.41	14.179
-16.04	15.539
-15.77	16.64
-15.53	18.388
-15.27	19.877
-14.86	21.56
-14.38	22.337
-14.1	24.15
-13.83	25.51
-13.42	27.647
-13.01	29.654
-12.6	31.272
-12.1	32.114
-11.83	33.279
-11.55	35.028
-11.1	36.711
-10.8	38.394
-10.3	39.236
-10.01	40.725
-9.7	42.085
-9.22	44.545
-8.75	45.711
-8.23	46.941
-7.92	48.301
-7.6	50.049
-7.12	51.473
-6.6	52.574
-6.12	54.905
-5.63	56.782
-5.09	57.883
-4.62	59.761
-4.3	60.926
-3.97	62.48
-3.43	63.645
-2.96	65.134
-2.63	66.688
-2.13	68.696
-1.62	70.249
-1.1	71.091
-0.77	72.904
-0.43	74.264
0.08	75.947
0.6	76.659
1.1	78.925
1.61	80.674
1.95	82.357
2.47	82.94
2.81	84.17
3.31	86.242
3.83	87.796
4.36	88.249
4.7	90.191
5.2	91.875
5.71	93.428
6.24	94.205
6.58	96.148
7.07	97.119
7.55	98.22
8.08	99.191
8.42	100.81
8.94	102.558
9.47	103.982
10.01	104.565
10.53	106.119
10.88	107.608
11.41	109.032
11.95	109.68
12.48	111.816
13.02	112.982
13.56	113.435
14.08	114.989
14.62	116.478
15.15	117.838
15.71	117.903
16.07	119.456
16.6	120.751
17.18	120.816
17.71	122.37
18.24	123.665
18.79	124.895
19.35	125.025
19.72	126.449
20.26	127.873
21.02	128.197
21.38	129.298
21.93	130.528
22.48	130.981
23.06	131.37
23.61	132.729
24.16	133.571
24.74	134.736
25.28	134.024
25.86	135.384
26.44	136.485
27.02	135.967
27.58	137.326
28.14	138.233
28.72	137.521
29.29	138.815
29.86	139.851
30.44	140.175
31.01	140.499
31.59	141.405
32.16	141.082
32.73	141.988
33.32	142.506
33.92	141.729
34.47	142.247
35.16	142.7
35.83	142.376
36.4	142.636
37	142.894
37.58	143.283
38.21	142.441
38.86	142.506
39.51	142.441
39.79	140.952
39.84	139.722
40.37	140.952
40.5	139.787
40.33	138.621
40.19	137.067
40.02	135.319
39.86	134.413
39.53	131.564
39.39	130.01
39.23	128.456
38.89	126.449
38.58	123.6
38.43	122.241
38.11	120.298
37.95	118.679
37.78	117.255
37.62	115.701
37.3	113.888
37.14	112.334
36.82	109.421
36.5	107.478
36.34	106.119
36.18	104.63
35.87	102.558
35.54	99.709
35.22	97.313
34.9	95.241
34.72	93.299
34.4	91.292
34.08	89.026
33.93	87.342
33.61	85.141
33.28	83.004
33.12	81.127
32.81	79.12
32.48	76.853
32.32	75.494
32.01	73.163
31.69	70.897
31.54	69.408
31.22	67.336
30.9	65.329
30.75	63.775
30.43	61.509
30.12	59.372
29.82	57.106
29.5	54.516
29.19	52.703
28.86	50.243
28.71	48.883
28.4	47.265
28.08	45.128
27.95	43.704
27.65	42.02
27.34	40.078
27.03	37.876
26.72	36.064
26.45	33.862
26.15	32.373
25.87	30.431
25.58	28.553
25.31	26.74
25.03	24.798
24.76	23.309
24.49	21.949
24.23	20.007
24.03	18.776
23.8	17.481
23.58	16.122
23.22	13.985
22.98	12.561
22.65	10.683
22.39	9.582
22.05	7.575
21.7	6.021
21.34	4.662
20.96	3.302
20.59	1.942
20.34	0.388
19.96	-1.36
19.57	-2.849
18.94	-4.403
18.53	-6.41
18.12	-7.899
17.7	-9.582
17.28	-11.719
16.87	-13.532
16.45	-15.28
16.16	-16.834
15.75	-18.971
15.31	-20.848
15.01	-22.402
14.5	-23.179
14.2	-24.539
13.9	-25.963
13.6	-27.452
13.31	-28.941
12.86	-31.208
12.4	-33.15
11.87	-33.927
11.58	-35.869
11.27	-37.164
10.81	-38.977
10.36	-40.984
9.84	-42.085
9.54	-43.25
9.08	-45.646
8.62	-47.394
8.15	-49.142
7.68	-50.955
7.14	-51.667
6.83	-53.156
6.51	-54.257
6.19	-55.746
5.7	-57.753
5.22	-59.502
4.66	-60.279
4.34	-61.573
3.84	-63.386
3.36	-64.94
2.81	-65.717
2.48	-67.142
1.98	-68.954
1.5	-70.703
1.16	-72.192
0.6	-72.58
0.28	-73.94
-0.22	-75.818
-0.72	-77.048
-1.06	-78.796
-1.6	-79.508
-2.1	-81.127
-2.6	-82.81
-3.1	-84.429
-3.66	-85.335
-4.16	-87.019
-4.49	-88.119
-4.99	-89.997
-5.5	-91.68
-6.07	-92.393
-6.56	-94.141
-7.07	-95.695
-7.58	-97.184
-8.15	-97.637
-8.48	-98.997
-8.99	-100.356
-9.5	-102.169
-10.07	-102.558
-10.57	-103.917
-10.91	-105.601
-11.41	-107.025
-11.97	-107.608
-12.48	-109.227
-13	-110.586
-13.56	-111.169
-14.07	-112.982
-14.58	-114.082
-15.09	-116.025
-15.65	-116.284
-16.16	-117.903
-16.68	-119.392
-17.25	-119.456
-17.58	-120.881
-18.1	-122.046
-18.62	-123.212
-19.2	-123.6
-19.72	-125.089
-20.23	-126.514
-20.79	-126.514
-21.32	-127.42
-21.84	-128.909
-22.37	-130.399
-22.93	-130.204
-23.46	-131.629
-24	-132.859
-24.57	-132.665
-25.09	-134.283
-25.62	-135.384
-26.21	-134.866
-26.74	-136.226
-27.27	-137.262
-27.8	-138.168
-28.37	-138.168
-28.93	-138.88
-29.63	-140.628
-30.21	-140.628
-30.74	-141.47
-31.29	-142.376
-31.88	-141.923
-32.42	-142.83
-32.96	-143.607
-33.51	-144.384
-34.1	-143.542
-34.65	-144.643
-35.2	-145.29
-35.81	-144.707
-36.34	-145.808
-36.91	-146.261
-37.49	-145.938
-38.04	-146.779
-38.59	-147.297
-39.2	-146.844
-39.72	-147.491
-40.3	-147.686
-40.85	-147.103
-41.37	-147.75
-41.87	-148.204
-42.42	-147.103
-42.86	-145.743
-42.9	-144.578
-43.39	-145.743
-43.93	-146.65
-44.11	-144.578
-43.83	-141.923
-43.53	-139.592
-43.22	-137.391
-42.92	-135.06
-42.6	-132.665
-42.3	-130.852
-42	-128.197
-41.71	-126.255
-41.41	-124.248
-41.1	-121.982
-40.81	-120.104
-40.66	-118.744
-40.35	-116.802
-40.05	-114.795
-39.74	-112.788
-39.46	-110.975
-39.3	-109.615
-39.01	-107.478
-38.7	-105.795
-38.41	-103.594
-38.1	-101.91
-37.8	-99.45
-37.49	-97.831
-37.2	-95.824
-36.89	-93.752
-36.6	-92.069
-36.29	-89.867
-36	-88.184
-35.7	-85.918
-35.39	-84.17
-35.09	-82.227
-34.79	-80.22
-34.5	-78.666
-34.2	-76.595
-33.9	-74.911
-33.6	-72.904
-33.3	-71.285
-32.98	-69.343
-32.68	-67.336
-32.37	-65.847
-32.07	-63.84
-31.75	-62.48
-31.43	-60.732
-31.12	-59.372
-30.82	-57.818
-30.51	-55.811
-30.19	-54.516
-29.9	-52.897
-29.58	-51.538
-29.27	-49.984
-28.96	-47.847
-28.66	-46.552
-28.35	-44.351
-28.04	-42.732
-27.73	-40.466
-27.44	-38.912
-27.13	-37.229
-26.82	-35.157
-26.5	-33.474
-26.19	-31.596
-25.89	-30.042
-25.58	-28.1
-25.28	-26.352
-24.97	-24.733
-24.67	-22.855
-24.35	-21.625
-24.03	-19.748
-23.72	-18.129
-23.42	-16.381
-23.1	-14.827
-22.79	-13.532
-22.48	-11.654
-22.16	-10.1
-21.83	-8.223
-21.51	-6.863
-21.18	-5.244
-20.87	-3.691
-20.57	-2.137
-20.16	-0.712
-19.82	0.842
-19.25	2.007
-18.93	3.626
-18.61	5.309
-18.29	6.734
-17.98	8.287
-17.44	9.259
-17.18	10.424
-16.75	11.784
-16.25	13.726
-15.93	14.892
-15.59	16.704
-15.29	18.388
-14.93	20.395
-14.3	22.337
-13.91	23.956
-13.55	25.963
-13.19	27.711
-12.82	29.33
-12.21	31.208
-11.86	32.761
-11.49	34.769
-11.1	36.323
-10.49	38.265
-10.09	39.689
-9.69	41.826
-9.29	43.445
-8.64	44.998
-8.23	47.006
-7.77	48.56
-7.16	50.372
-6.73	52.121
-6.3	53.869
-5.65	55.617
-5.23	57.235
-4.76	58.789
-4.35	60.02
-3.93	61.832
-3.47	62.674
-3.04	64.228
-2.62	66.106
-2.15	66.883
-1.64	69.343
-1.1	71.285
-0.55	72.839
0.02	74.264
0.57	76.271
1.11	78.602
1.67	79.314
2.23	81.709
2.78	83.587
3.35	84.494
3.91	86.889
4.49	87.666
5.04	89.997
5.59	91.875
6.17	92.846
6.73	95.047
7.3	96.342
7.86	98.09
8.44	99.515
9	101.457
9.58	102.169
10.15	104.112
10.75	104.824
11.28	106.572
11.82	108.061
12.39	108.968
12.96	110.521
13.6	112.075
14.24	113.694
14.9	115.054
15.55	116.284
16.19	117.838
16.85	118.55
17.5	120.363
18.15	121.14
18.85	122.305
19.48	123.665
20.17	124.442
20.83	125.996
21.5	126.449
22.17	128.132
22.84	128.974
23.5	130.204
24.19	130.722
24.86	131.629
25.53	132.341
26.23	132.729
26.9	133.83
27.6	134.736
28.29	134.866
28.97	136.031
29.67	136.485
30.35	137.326
31.04	137.585
31.74	138.427
32.45	138.492
33.14	139.074
33.85	139.398
34.55	139.592
35.25	140.175
35.95	140.499
36.68	140.693
37.36	140.887
38.04	140.499
38.64	140.434
39.49	140.628
40.28	140.499
41.06	140.434
41.82	140.046
42.62	139.722
43.53	140.046
44.39	138.686
45.24	138.945
46.16	138.039
47.14	137.844
48.12	136.744
49.13	135.837
50.14	134.866
51.13	134.931
51.98	133.636
52.82	133.118
53.63	132.47
54.66	131.758
55.44	130.528
56.27	130.528
57.08	129.816
57.59	128.715
57.68	127.614
57.75	126.125
57.84	124.96
58.52	126.708
59.31	126.449
60.23	126.125
61.07	124.766
61.62	123.471
62.41	123.924
63.22	122.888
63.63	121.464
63.5	120.363
63.34	118.744
63.17	117.385
63.01	116.025
62.85	114.471
62.68	112.917
62.35	110.327
62.18	108.514
62.01	107.284
61.69	105.083
61.53	103.27
61.19	101.328
60.87	98.414
60.55	96.213
60.22	93.752
60.05	92.328
59.88	91.098
59.73	89.932
59.37	87.537
59.21	85.983
58.9	83.976
58.56	81.127
58.23	78.861
57.88	76.595
57.58	74.005
57.24	71.544
56.88	69.149
56.65	67.206
56.32	64.876
55.99	62.091
55.61	59.761
55.27	57.106
55.08	55.552
54.73	53.156
54.55	51.797
54.2	49.272
53.85	47.2
53.68	45.646
53.35	42.991
52.99	40.919
52.64	38.33
52.3	36.323
51.97	34.056
51.65	31.855
51.34	29.33
51	27.258
50.7	25.316
50.42	23.309
50.12	21.301
49.84	19.23
49.57	18.129
49.26	15.539
48.99	13.597
48.7	11.719
48.38	9.971
48.14	8.158
47.79	6.151
47.57	4.856
47.28	3.82
47.03	2.007
46.7	0.388
46.35	-1.101
46.03	-2.719
45.79	-4.144
45.38	-6.216
45.07	-7.77
44.77	-9.259
44.46	-10.877
44.17	-12.431
43.88	-13.985
43.57	-15.474
43.26	-17.481
42.77	-19.294
42.44	-21.172
41.91	-23.503
41.59	-24.992
41.09	-27.517
40.56	-29.459
40.19	-31.208
39.86	-32.567
39.5	-34.38
39.16	-35.61
38.83	-33.862
38.5	-35.934
37.89	-38.977
37.44	-40.725
36.86	-41.632
36.51	-43.38
36.15	-44.739
35.63	-46.941
35.1	-48.754
34.52	-49.79
34.16	-51.149
33.82	-52.509
33.29	-54.71
32.74	-56.523
32.13	-57.171
31.76	-58.725
31.4	-60.214
30.86	-61.638
30.49	-62.868
29.87	-63.71
29.5	-65.134
28.95	-66.818
28.37	-68.372
27.74	-68.825
27.16	-70.638
26.59	-72.386
26.02	-74.199
25.37	-74.393
24.98	-75.753
24.39	-77.112
23.82	-78.796
23.16	-79.12
22.36	-81.127
21.77	-82.616
21.17	-83.652
20.49	-84.105
19.89	-85.335
19.3	-86.76
18.63	-87.019
18.02	-88.314
17.41	-89.285
16.81	-90.839
16.14	-90.839
15.52	-92.328
14.91	-93.299
14.3	-94.594
13.63	-94.723
13.02	-95.824
12.4	-97.443
11.73	-97.054
11.12	-98.543
10.51	-100.033
9.89	-100.615
9.22	-101.392
8.42	-103.011
7.8	-103.658
7.13	-103.723
6.53	-105.212
5.93	-106.378
5.25	-106.248
4.65	-107.608
4.05	-108.709
3.38	-108.773
2.79	-110.521
2.19	-111.363
1.58	-112.723
0.92	-112.529
0.33	-113.888
-0.28	-115.248
-0.93	-115.183
-1.53	-116.543
-2.13	-117.579
-2.73	-118.744
-3.37	-118.679
-3.97	-120.233
-4.56	-121.593
-5.21	-121.205
-5.85	-123.212
-6.53	-124.053
-7.04	-124.248
-7.73	-125.802
-8.43	-127.161
-8.94	-126.514
-9.63	-128.262
-10.33	-129.427
-10.84	-129.427
-11.52	-131.046
-12.22	-131.823
-12.73	-131.823
-13.42	-132.924
-14.11	-134.154
-14.63	-134.218
-15.32	-135.384
-16.02	-136.485
-16.53	-136.161
-17.23	-137.521
-18.01	-137.78
-18.73	-139.139
-19.54	-139.592
-20.28	-140.823
-20.82	-141.341
-21.39	-140.887
-21.91	-141.6
-22.44	-142.376
-23	-142.441
-23.52	-143.153
-24.34	-143.736
-24.87	-144.254
-25.39	-144.902
-25.96	-145.096
-26.48	-145.031
-27.09	-145.29
-27.85	-145.938
-28.38	-146.65
-28.96	-145.938
-29.5	-147.297
-30.09	-146.197
-30.61	-147.491
-31.15	-147.297
-31.73	-147.491
-32.25	-147.362
-32.8	-148.139
-33.38	-147.491
-33.91	-148.851
-34.47	-148.139
-35.05	-148.592
-35.58	-148.398
-36.19	-148.204
-36.71	-148.139
-37.26	-148.916
-37.85	-148.139
-38.39	-148.851
-38.99	-149.045
-39.52	-147.945
-40.07	-149.045
-40.65	-147.686
-41.2	-148.592
-41.75	-148.139
-42.34	-147.686
-42.87	-147.945
-43.5	-147.686
-44	-147.297
-44.62	-146.909
-45.1	-146.779
-45.65	-146.585
-46.22	-146.002
-46.73	-146.132
-47.27	-145.225
-47.74	-144.902
-48.38	-143.736
-48.85	-143.801
-49.43	-142.571
-49.87	-142.441
-50.39	-142.7
-50.81	-141.47
-51.28	-141.6
-51.77	-141.729
-52.14	-140.369
-52.63	-140.499
-53.09	-140.369
-53.5	-139.398
-53.96	-139.592
-54.4	-138.492
-54.84	-138.686
-55.32	-138.815
-55.73	-137.585
-56.22	-137.326
-56.63	-136.808
-57.08	-137.326
-57.44	-137.326
-57.65	-135.708
-58.08	-136.29
-58.52	-136.614
-58.79	-135.125
-59.17	-134.736
-59.55	-134.931
-59.96	-133.83
-60.39	-134.283
-60.83	-133.377
-61.14	-133.377
-61.54	-133.053
-61.9	-132.47
-62.29	-132.017
-62.62	-131.823
-63.06	-131.823
-63.52	-130.463
-63.88	-130.075
-64.25	-130.075
-64.25	-128.715
-64.17	-126.06
-64.05	-123.794
-63.81	-122.046
-63.51	-119.456
-63.33	-118.097
-63.15	-116.349
-62.76	-113.435
-62.56	-112.27
-62.34	-110.068
-61.97	-107.608
-61.76	-105.86
-61.54	-104.5
-61.35	-103.14
-61.16	-101.263
-60.94	-100.162
-60.73	-98.414
-60.52	-96.601
-60.12	-93.946
-59.71	-91.098
-59.48	-89.414
-59.27	-88.119
-58.89	-85.011
-58.68	-83.781
-58.24	-80.803
-57.82	-77.501
-57.4	-74.911
-57.17	-73.357
-56.72	-71.026
-56.5	-69.084
-56.09	-66.818
-55.86	-65.329
-55.41	-62.156
-54.97	-59.631
-54.51	-56.912
-54.04	-54.516
-53.57	-51.991
-53.14	-49.984
-52.68	-47.783
-52.46	-46.099
-52	-43.639
-51.57	-40.984
-51.14	-38.265
-50.71	-35.869
-50.28	-33.474
-50.07	-31.726
-49.64	-29.071
-49.45	-27.452
-49.15	-25.834
-48.9	-24.344
-48.64	-22.791
-48.36	-21.042
-48.11	-19.424
-47.86	-17.87
-47.59	-16.187
-47.33	-14.568
-47.05	-12.884
-46.81	-11.072
-46.57	-9.777
-46.28	-8.029
-45.79	-5.05
-45.53	-3.691
-45.29	-2.137
-44.92	-0.647
-44.47	1.554
-43.99	4.403
-43.74	5.827
-43.24	8.482
-42.8	10.165
-42.39	12.043
-42.01	14.179
-41.67	15.151
-41.33	17.222
-40.92	19.1
-40.41	21.755
-39.88	24.215
-39.35	26.611
-38.82	29.265
-38.3	31.661
-37.74	34.38
-37.16	36.387
-36.58	38.848
-35.93	39.43
-35.34	42.15
-34.75	44.61
-34.14	46.552
-33.53	48.56
-32.9	50.696
-32.29	52.897
-31.66	54.516
-31.03	56.588
-30.4	58.53
-29.78	60.667
-29.14	61.832
-28.51	63.969
-27.83	65.199
-27.24	67.142
-26.61	69.084
-25.96	70.508
-25.36	72.192
-24.7	73.292
-24.07	75.3
-23.43	76.724
-22.79	77.954
-22.14	79.314
-21.51	80.415
-20.89	81.515
-20.24	82.875
-19.6	84.364
-18.97	85.335
-18.32	86.889
-17.68	87.731
-17.02	88.637
-16.37	89.932
-15.75	91.098
-15.07	91.68
-14.46	93.234
-13.81	93.687
-13.17	95.112
-12.51	96.148
-11.87	96.407
-11.23	97.766
-10.58	98.608
-9.92	99.32
-9.27	100.81
-8.64	101.522
-7.96	102.363
-7.32	103.464
-6.67	104.306
-5.98	104.824
-5.36	106.119
-4.71	106.766
-4.05	108.191
-3.4	108.773
-2.72	109.421
-2.07	110.586
-1.4	111.169
-0.73	111.946
-0.08	113.176
0.6	113.824
1.27	114.082
1.93	115.377
2.6	116.349
3.3	116.737
3.95	117.903
4.62	118.356
5.29	119.456
5.97	120.039
6.66	120.298
7.33	121.464
8.02	122.046
8.7	122.111
9.39	123.212
10.08	123.924
10.78	124.312
11.46	124.895
12.14	125.478
12.84	126.449
13.53	126.708
14.24	127.161
14.93	128.068
15.65	128.327
16.35	128.456
17.06	129.363
17.76	129.816
18.49	129.622
19.19	130.916
19.93	130.722
20.66	132.017
21.42	131.888
22.2	132.211
22.95	132.794
23.72	132.924
24.49	132.924
25.26	133.571
26.04	133.636
26.81	133.442
27.59	134.024
28.34	134.089
29.13	133.636
29.9	134.542
30.67	134.089
31.46	134.542
32.21	134.413
32.99	133.83
33.73	134.413
34.44	133.636
35.12	133.895
35.81	133.571
36.51	133.636
37.2	132.988
37.93	132.341
38.66	132.924
39.4	132.211
40.12	132.47
40.85	131.758
41.57	131.758
42.31	130.657
43.03	130.787
43.78	130.01
44.78	129.168
45.7	128.327
46.61	128.003
47.51	126.578
48.36	126.578
49.24	125.802
50.15	124.96
51.11	123.406
52.07	121.14
53.01	120.492
53.68	119.003
54.59	118.291
55.51	117.644
56.49	116.284
57.33	115.701
57.83	113.953
58.75	114.082
59.6	113.435
60.43	112.593
61.31	112.529
62.17	111.428
63.04	110.521
63.92	109.421
64.83	107.608
65.81	105.471
66.51	103.853
67.34	101.263
68.49	98.997
69.4	97.119
70.26	96.99
71.22	95.954
71.37	94.4
71.5	92.911
71.61	91.551
71.7	89.738
71.8	87.99
71.81	88.573
71.56	86.565
71.3	84.235
71.04	82.227
70.76	79.508
70.49	77.954
70.21	75.3
69.98	73.616
69.55	70.638
69.16	67.789
68.77	64.746
68.49	62.739
68.34	61.573
68.07	59.631
67.68	56.976
67.24	53.998
66.84	51.149
66.46	48.689
66.18	46.552
65.85	44.092
65.48	41.373
65.08	38.589
64.69	36.128
64.31	33.409
63.94	30.754
63.56	28.165
63.15	25.769
62.8	23.244
62.46	20.783
62.18	19.23
61.93	17.999
61.66	15.992
61.37	13.985
61.08	11.525
60.84	9.777
60.44	7.057
60.16	5.762
59.91	4.403
59.69	2.914
59.37	1.748
58.98	-0.129
58.7	-1.295
58.27	-4.662
57.96	-6.863
57.64	-9.064
57.31	-11.007
56.97	-13.208
56.6	-15.021
56.22	-17.093
55.87	-19.23
55.52	-21.301
55.13	-23.891
54.77	-25.963
54.4	-28.359
54.04	-30.56
53.65	-32.761
53.29	-34.769
52.92	-37.164
52.53	-39.236
52.15	-41.373
51.77	-43.38
51.4	-45.775
51.01	-47.783
50.63	-49.66
50.26	-51.408
49.86	-53.415
49.47	-55.358
49.1	-57.3
48.71	-58.854
48.31	-60.602
47.92	-62.609
47.53	-64.422
47.14	-65.782
46.74	-67.595
46.31	-69.278
45.92	-70.832
45.51	-72.645
45.1	-74.199
44.58	-73.681
44.09	-75.559
43.53	-77.112
43.18	-78.602
42.7	-80.35
42.12	-80.868
41.7	-82.551
41.34	-84.17
40.84	-85.659
40.33	-87.407
39.77	-87.666
39.35	-89.091
38.94	-90.515
38.55	-91.939
38.06	-93.299
37.23	-95.436
36.48	-98.09
35.73	-99.061
35.04	-101.198
34.23	-103.594
33.37	-104.5
32.6	-106.766
31.43	-108.126
30.64	-109.874
29.92	-111.622
29.12	-113.176
28.32	-113.629
27.54	-115.118
26.71	-116.025
25.95	-117.449
25.11	-119.003
24.37	-119.327
23.62	-120.881
22.46	-121.982
21.67	-123.341
20.87	-123.082
20.1	-124.895
19.27	-125.154
18.52	-126.255
17.7	-127.614
16.95	-127.809
16.06	-128.456
15.15	-130.01
14.17	-131.046
13.35	-131.499
12.55	-131.629
11.86	-132.729
11.14	-133.506
10.38	-133.83
9.5	-134.413
8.63	-136.031
7.77	-136.031
6.96	-136.938
6.1	-137.521
5.19	-137.132
4.38	-138.815
3.52	-138.492
2.66	-139.787
1.81	-139.398
0.98	-140.823
0.1	-140.823
-0.78	-141.146
-1.61	-142.182
-2.55	-141.794
-3.38	-142.636
-3.9	-142.182
-4.75	-143.153
-5.69	-142.83
-6.6	-144.254
-7.52	-143.801
-7.95	-142.182
-8.69	-142.571
-9.42	-144.125
-10.23	-143.995
-11.07	-143.801
-11.9	-144.837
-12.96	-143.153
-13.39	-141.794
-13.96	-143.348
-14.63	-143.477
-15.37	-143.542
-16.09	-143.93
-16.83	-143.024
-17.73	-142.894
-18.57	-143.93
-19.2	-143.089
-19.81	-143.283
-20.39	-142.441
-21.14	-142.441
-21.72	-141.988
-22.44	-142.053
-23.21	-140.823
-23.92	-141.47
-24.48	-140.24
-25.16	-140.175
-25.95	-139.916
-26.66	-139.592
-27.22	-138.88
-27.94	-138.686
-28.76	-137.715
-29.51	-137.391
-30.31	-136.226
-31.12	-136.226
-31.71	-134.672
-32.51	-134.218
-33.4	-132.859
-34.27	-131.758
-35.19	-130.269
-36.1	-129.168
-36.79	-126.449
-37.63	-124.442
-38.02	-122.759
-38.53	-119.651
-38.85	-117.903
-39.19	-115.831
-39.57	-112.982
-39.89	-110.716
-40.2	-108.773
-40.49	-107.478
-41.37	-100.615
-41.71	-97.184
-41.86	-95.824
-41.99	-94.529
-42.15	-92.975
-42.31	-91.616
-42.55	-89.932
