"Kanda et al. 1988, Spec. STC2"	
652	
-16.499	-75.212
-17.299	-75.252
-17	-66.527
-16.502	-60.837
-14.502	-41.809
-12.502	-27.677
-10.502	-16.459
-8.502	-5.7706
-7.5005	-1.6975
-6.501	1.8906
-4.5015	7.7107
-2.5015	12.04
-0.0005	17.397
1.499	21.596
5.498	40.009
9.4995	57.172
13.498	69.805
17.299	76.999
17.002	68.601
14.502	43.417
10.501	16.656
6.502	-2.5912
2.501	-13.014
0.0005	-17.851
-1.498	-21.197
-5.4995	-37.804
-9.4985	-54.631
-13.498	-66.167
-17.299	-73.555
-17.001	-65.759
-14.502	-41.414
-10.501	-16.697
-6.502	1.7334
-2.5005	11.905
-0.002	16.867
1.499	20.909
5.498	38.679
9.4985	55.129
13.499	67.483
17.299	75.85
17.002	67.973
14.501	43.013
10.502	16.778
6.5015	-2.2948
2.501	-12.938
0.0015	-17.842
-1.499	-21.188
-5.498	-37.197
-9.499	-53.355
-13.498	-64.398
-17.298	-72.621
-17.001	-64.187
-14.5	-40.278
-10.502	-16.409
-6.501	1.7425
-2.5005	11.986
-0.0005	16.823
1.4985	20.824
6.4995	42.73
11.5	60.208
16.498	73.384
18.499	75.526
20.5	75.288
22.499	74.269
24.499	73.411
25.949	72.109
25.002	55.771
22.5	35.1
17.501	8.6897
15	-0.52994
10.001	-12.008
5.002	-18.394
0.0015	-25.4
-1.4995	-28.768
-6.4985	-45.164
-11.5	-58.838
-16.499	-68.332
-18.5	-70.07
-20.499	-70.914
-22.499	-71.202
-24.499	-70.95
-25.949	-71.085
-25.001	-56.018
-22.501	-35.751
-17.5	-10.423
-15.001	-1.4864
-10.002	9.4801
-5.0005	16.122
-0.0015	23.155
3.998	33.205
8.9995	47.629
13.998	57.105
18.998	64.906
23.999	68.444
25.949	69.32
25.001	55.125
20.001	20.42
15	0.2425
10.002	-11.6
5.0015	-18.646
0.0005	-25.845
-3.9985	-35.437
-8.999	-48.411
-14	-56.849
-18.998	-63.706
-24	-67.973
-25.949	-69.055
-25.001	-54.837
-20	-21.421
-15.001	-1.6077
-10	9.4306
-5.002	16.333
-0.0015	23.303
3.9985	32.671
8.9995	45.474
13.999	54.029
19	61.12
23.998	66.149
25.949	67.227
25.001	53.189
20.002	19.701
15.002	0.29636
10	-11.591
5.001	-18.736
0.0005	-26.114
-3.9995	-35.459
-8.998	-47.171
-13.999	-55.012
-19	-61.326
-23.998	-66.167
-25.949	-67.515
-25.001	-53.162
-20.001	-20.869
-15	-1.7334
-10.002	9.3993
-5.002	16.333
-0.0015	23.455
3.999	32.45
8.9985	44.212
13.998	52.044
18.998	58.973
23.998	63.783
26	65.301
27.999	66.096
29.999	66.432
31.999	66.657
33.999	66.378
34.598	66.814
34	56.265
29.001	21.857
24.001	2.4205
19	-9.2646
14	-16.064
9.0015	-20.914
4.0005	-26.222
0.002	-32.365
-3.999	-39.753
-8.998	-48.541
-13.998	-54.828
-18.998	-59.683
-23.999	-63.671
-25.999	-64.843
-27.999	-65.507
-30	-65.997
-31.998	-66.208
-34	-65.947
-34.598	-66.648
-34.001	-54.581
-29.001	-21.502
-24.002	-3.3277
-19.001	7.9038
-14.002	14.398
-9.0015	19.216
-4.0005	24.169
-0.0015	29.626
3.999	36.101
8.998	43.83
14	49.502
18.998	54.065
23.998	57.954
28.999	60.446
33.999	60.756
34.598	61.847
34.001	51.105
29.001	19.324
24.001	1.3293
19	-10.306
14.002	-17.254
9.0015	-22.337
4.002	-27.776
0.001	-33.425
-3.9995	-39.447
-8.998	-45.914
-13.999	-50.724
-18.999	-54.5
-23.998	-57.81
-28.999	-59.952
-33.998	-60.28
-34.599	-61.47
-34.002	-49.92
-29.002	-19.328
-24.001	-2.3667
-19	8.7391
-14.001	15.107
-9.002	19.885
-4.001	24.704
-0.0005	29.222
4.002	34.382
8.9985	40.112
14	44.787
19	48.878
23.999	52.497
28.999	55.021
33.998	55.928
34.599	57.038
34.001	46.682
29.001	17.02
24	0.53886
19.001	-10.257
14.002	-16.76
9.002	-21.753
4.002	-27.205
0.0015	-32.248
-3.9985	-36.703
-8.998	-41.499
-13.998	-45.77
-19	-49.345
-24	-52.893
-29	-55.556
-33.999	-56.746
-34.599	-57.85
-34.001	-46.345
-29.001	-17.564
-24.001	-1.913
-19.001	9.6867
-14.002	14.963
-9.0015	19.364
-4.001	24.331
-0.0015	28.642
3.9985	32.747
8.998	37.292
13.998	41.145
18.999	44.877
23.998	48.317
28.999	51.384
33.999	53.238
34.998	54.325
36	54.671
37	54.824
38	54.914
38.998	55.044
39.999	54.81
40.998	54.985
42	55.003
43.249	54.734
43.001	47.908
42.502	43.713
37.5	15.085
