"Bett, Klingner and Jirsa, 1985, Spec. 1-1"	
-1.5278	-48.932
-0.82558	-19.046
-0.26571	3.5162
0.33213	25.786
0.94894	49.813
1.4993	71.791
1.9738	91.126
2.4767	109.59
3.2454	140.36
3.7198	158.52
4.2608	177.86
4.6403	184.31
5.3045	195.44
5.9403	205.7
6.3673	212.14
6.0543	198.37
5.5608	176.39
5.2192	160.87
4.8966	146.21
4.6119	132.74
4.3271	118.97
3.9855	102.26
3.6535	87.906
3.1504	64.465
2.733	51.277
2.1541	33.697
1.6322	17.874
1.1672	2.9302
0.75916	-9.0837
0.41753	-21.097
-0.047447	-35.748
-0.55039	-50.4
-1.0818	-64.465
-1.5847	-80.286
-2.2015	-99.333
-2.9228	-121.6
-3.3876	-134.79
-4.033	-148.56
-4.4696	-158.23
-5.257	-161.75
-5.8265	-164.38
-6.3485	-166.44
-6.8039	-168.49
-6.4432	-154.71
-6.0068	-136.84
-5.4089	-115.74
-4.811	-91.713
-4.1849	-67.103
-3.6535	-46.882
-3.3498	-35.455
-2.8659	-26.079
-2.0118	-10.842
-1.0154	8.4975
-0.3511	20.218
0.24673	31.353
1.1292	49.226
1.9169	65.928
2.5717	79.699
3.4163	98.452
3.9477	109.3
5.0198	133.91
5.9403	153.83
6.6236	168.49
7.269	182.84
7.9235	197.2
8.5405	198.37
9.1763	199.84
8.7683	186.94
8.1229	167.31
7.6106	152.08
7.079	134.2
6.5382	116.92
6.1775	104.31
5.7887	91.713
5.3711	77.942
4.8585	60.653
4.4315	46.588
4.014	33.111
3.6629	21.39
3.2738	9.3764
2.543	2.9302
1.7366	-3.8092
1.1957	-7.9117
0.75916	-11.72
0.17081	-16.995
-0.59784	-23.148
-1.3	-27.836
-1.8315	-32.525
-2.4483	-36.92
-2.8753	-45.125
-3.4541	-56.845
-3.938	-66.809
-4.479	-77.355
-5.0389	-88.782
-5.5227	-99.039
-6.5288	-118.67
-6.8417	-124.82
-6.1587	-103.73
-5.5039	-81.75
-4.9251	-62.703
-4.3937	-45.712
-3.8433	-27.836
-3.3782	-12.6
-2.638	-8.2043
-2.0023	-3.8092
-1.357	0
-0.69273	3.2232
-0.018979	8.7906
