"Kanda et al. 1988, Spec. PDC3"	
6.757	33.214
6.755	32.114
6.4465	28.687
5.854	23.738
5.124	18.978
4.2545	14.627
3.229	9.2465
2.0865	1.9266
0.978	-5.2677
-0.031	-11.407
-0.9205	-16.333
-1.68	-19.903
-2.318	-22.8
-2.837	-25.126
-3.1345	-26.37
-3.179	-26.496
-3.154	-25.342
-2.8755	-23.132
-2.354	-19.948
-1.65	-16.055
-0.799	-10.491
0.159	-4.0552
1.15	2.6181
2.519	11.55
2.905	13.751
3.542	16.796
4.013	18.933
4.3615	20.478
4.607	21.789
4.701	22.229
4.6385	20.46
4.403	18.803
4.005	16.427
3.442	13.383
2.708	8.8693
1.923	3.386
1.1445	-2.2948
0.4215	-7.1
-0.185	-11.097
-0.63	-13.948
-0.8995	-15.583
-1.0055	-16.239
-0.9715	-15.031
-0.8325	-13.616
-0.657	-12.184
-0.5395	-11.209
-0.4985	-10.773
-0.3905	-9.9651
-0.117	-7.8814
0.2775	-4.868
0.7275	-1.455
1.154	1.5313
1.5525	4.5671
1.964	7.5535
2.4145	10.558
2.869	13.27
3.2405	15.219
3.465	16.302
3.482	15.498
3.2385	13.674
2.744	10.302
2.114	5.7168
1.4785	0.8622
0.8965	-3.395
0.3945	-6.8709
0.022	-9.5654
-0.205	-11.074
-0.3065	-11.734
-0.3045	-11.011
-0.212	-9.8752
-0.078	-8.6089
0.089	-7.2033
0.3125	-5.371
0.5875	-3.2154
0.8385	-1.2709
0.9875	-0.18865
1.022	-0.40417
0.988	-0.95206
0.9285	-1.6526
0.8795	-2.0613
0.848	-2.3801
0.817	-2.6451
0.773	-3.0133
0.6825	-3.8441
0.5155	-5.2273
0.255	-7.311
-0.0815	-9.9921
-0.4315	-12.713
-0.771	-14.981
-1.114	-17.272
-1.4705	-19.059
-1.745	-20.5
-1.911	-21.237
-1.892	-20.024
-1.605	-17.828
-1.056	-14.034
-0.2585	-8.299
0.7255	-1.1362
1.8305	6.7587
2.9625	13.908
4.036	19.117
4.9045	23.716
5.4775	26.684
5.8205	28.53
5.9945	29.482
6.0265	29.536
6.017	28.53
5.843	26.446
5.501	23.675
5.0045	20.28
4.394	17.007
3.697	13.8
2.9475	9.5071
2.1965	4.4729
1.512	-0.29636
0.932	-4.401
0.468	-7.365
0.11	-9.8034
-0.1685	-11.645
-0.402	-13.118
-0.591	-14.353
-0.7335	-15.219
-0.8215	-15.745
-0.847	-15.763
-0.797	-14.348
-0.665	-13.127
-0.433	-11.205
-0.1325	-8.8334
0.2065	-6.1344
0.5535	-3.4849
0.8145	-1.6304
1.1555	0.8622
2.107	7.9667
3.3375	15.143
4.7595	21.947
6.2505	30.699
7.6755	38.024
8.9035	43.125
9.836	46.323
10.386	48.343
10.499	48.541
10.5	46.417
10.142	42.672
9.3695	35.765
8.291	27.812
6.984	20.137
5.485	14.24
3.843	4.7602
2.1765	-5.3037
0.533	-13.387
-1.084	-20.078
-2.692	-26.581
-4.323	-33.923
