"""Matamoros et. al 1999 Specimen c5-40 North"""	
708	
-0.00503	-0.337
-0.00252	-0.331
-0.0227	-0.353
-0.00252	-0.399
-0.0176	-0.315
-0.00252	-0.373
0.00754	-0.222
0.0754	-0.171
0.0805	-0.216
0.106	-0.227
0.681	13.6
1.27	24.2
1.98	34.8
2.54	41.2
2.57	39.4
3.23	49.4
3.71	54.7
4.5	61.4
5.08	65.4
5.13	62.3
5.66	67.6
6.38	73
7.01	73.4
7.59	76.5
7.65	73.8
8.28	77.4
8.94	78.7
9.58	79.2
10.2	80.1
10.3	76.5
10.9	80.5
11.5	82.7
12.1	83.2
12.8	84.5
12.2	74.3
11.3	68.1
10.7	63.6
10.1	59.6
9.58	56
8.94	47.2
8.41	43.4
7.65	40.1
7.06	37.5
6.48	33
5.72	28.2
5.18	23.8
4.67	19.8
3.89	11.2
3.23	6.18
3.02	1.08
1.83	-6.01
1.34	-12.1
0.625	-21.1
-0.0958	-28.4
-0.597	-35
-1.46	-42.3
-2.02	-47.6
-2.54	-52
-3.12	-55.2
-4.01	-60.9
-4.62	-63.6
-5.18	-67.2
-5.82	-68.9
-6.4	-72.5
-7.06	-73
-7.62	-75.2
-8.26	-76.5
-8.94	-77
-9.58	-77.4
-10.2	-77
-10.9	-76.5
-11.5	-78.7
-12.1	-79.6
-12.7	-79.6
-11.9	-68.1
-11.3	-63.6
-10.7	-59.6
-10.1	-54.3
-9.55	-49.4
-8.76	-44.9
-8.2	-41.6
-7.65	-36.2
-7.11	-32.7
-6.15	-27.4
-5.64	-23.8
-5.05	-19.3
-4.47	-15.4
-3.56	-11.3
-3.02	-6.36
-2.49	-1.12
-1.97	2
-1.28	7.03
-0.892	10.1
0.108	15
0.113	14.8
0.668	18.6
1.37	23.6
2.02	27.4
2.72	32.2
3.33	35.2
3.91	39.4
4.5	43.1
5.08	45.8
5.69	48.5
6.58	52.9
7.19	56
7.82	58.7
8.43	60.9
9.04	63.6
9.65	66.7
10.3	69.4
10.9	71.6
11.5	73.8
12.1	76.1
12.8	77.8
12.1	69.4
11	63.2
10.7	60.5
10.1	56.9
9.55	52.9
8.92	48.9
8.33	45.4
6.68	38.8
6.53	36.4
6.2	33.4
5.82	30.6
5.13	26.6
4.57	23.4
3.89	18.7
3.3	14.9
2.64	10.8
1.98	6.76
1.21	2.69
0.721	-0.952
0.724	-0.743
-0.0706	-3.98
-0.655	-8.72
-1.15	-12.1
-1.88	-17.8
-2.57	-22
-3.1	-25.5
-3.84	-30.6
-4.37	-33.6
-5.21	-38.1
-5.79	-40.5
-6.4	-44.4
-6.96	-47.2
-7.7	-51.2
-8.31	-53.4
-8.92	-57.4
-9.5	-60.1
-10.2	-63.2
-10.8	-64.9
-11.5	-68.5
-12.1	-71.2
-12.8	-73
-11.4	-59.2
-10.8	-55.2
-10.1	-49.8
-9.5	-46.3
-8.92	-41.8
-8.2	-37.8
-7.59	-34.1
-7.09	-31.4
-6.4	-26.7
-5.79	-23.1
-5.77	-24.1
-5	-18.9
-5	-18.9
-4.5	-15
-3.91	-11.4
-3	-5.03
-2.48	-1.85
-2.46	-2.1
-1.92	1.54
-1.92	1.47
-1.91	1.41
-1.36	2.68
-0.589	8.76
0.0958	12.5
0.658	16.2
1.33	20.9
1.9	24.2
2.62	28.7
3.18	31.4
3.76	34.5
4.55	38.6
5.18	42
5.79	44.5
6.35	47.6
6.96	51.2
7.59	53.8
8.23	56
8.89	59.6
9.53	62.7
10.1	64.9
10.9	67.6
11.5	70.3
12.1	72.5
12.7	74.7
13.3	75.6
14	77.4
14.7	78.7
15.2	80.1
16	78.7
16.6	80.5
17.2	81
17.9	80.1
18.6	77.8
18.7	70.3
17.7	65.4
17.7	65.4
17.1	61.8
16.4	57.4
15.8	53.8
15.2	50.7
14.7	47.6
14.7	47.6
12.8	38.6
12.8	38.7
12.1	35.7
11.4	32
10.7	28.8
10.3	27.9
9.7	25
8.94	21.5
8.28	18.5
7.44	14.9
6.71	11.9
6.12	9.34
5.61	6.85
4.88	3.59
4.5	1.49
3.73	-1.53
3.2	-3.73
2.62	-6.14
1.78	-10.1
1.21	-12.6
0.663	-15.4
-0.00503	-18.7
-0.559	-21
-1.14	-24.4
-1.92	-28
-2.82	-31.9
-3.45	-34.7
-4.01	-37.8
-4.6	-41
-5.18	-43.5
-5.77	-45.8
-6.43	-49.8
-6.99	-52.5
-8.31	-57.4
-8.92	-60.5
-9.5	-63.6
-10.1	-65.8
-10.7	-67.2
-11.4	-69.4
-12.1	-71.2
-12.8	-73
-12.8	-72.1
-13.4	-73.4
-14.1	-74.3
-14.7	-75.6
-15.4	-77
-16.1	-76.1
-16.8	-77.4
-17.4	-77.8
-18.1	-77.4
