"""Thompson and Wallace, 1994, C2"""	
-3.5179	-26.34948192
-3.0861	-19.99608786
-2.54254	-14.48474204
-1.82372	-8.077079692
-0.98044	-1.126734379
-0.21082	6.176799681
0.53848	12.99147425
1.39446	19.20875274
2.21996	24.82907998
2.83464	29.82443216
3.22326	32.45822381
3.50774	34.57557701
3.25882	29.77016386
2.91338	23.851361
2.43332	17.57981421
1.97612	11.95948698
1.48082	7.860006507
0.96012	3.841928478
0.27178	-2.32152654
-0.32258	-8.294597699
-0.38862	-8.945817253
-0.42672	-8.538805032
-1.3589	-18.28574689
-2.56032	-26.97356732
-3.7465	-37.04656378
-4.953	-44.62143932
-5.85216	-47.06484711
-6.40588	-48.06925541
-6.6294	-46.63025592
-6.39572	-42.34083641
-6.19506	-38.89257549
-6.00964	-35.74323502
-5.7404	-31.6166204
-5.20446	-24.77436686
-4.51612	-19.45296008
-3.82016	-13.96874841
-2.9845	-7.995677248
-1.92278	-1.099600231
-0.90678	5.362330416
0.15748	12.77395625
1.4224	20.37641076
2.64922	28.52110341
3.61696	35.33577798
4.37642	39.32716668
4.9403	41.28171499
5.2578	42.17803152
5.43306	42.36797056
5.53974	42.5579096
5.62864	42.96536664
5.77342	42.72071448
5.78866	42.09618426
5.68452	40.1145018
5.58546	38.67550231
5.46862	36.91089304
5.18922	33.08230922
4.44754	23.52575122
3.71602	17.66121666
2.98196	12.50261476
2.0447	6.01354997
1.08458	-0.23086267
0.14986	-7.235476279
-0.35052	-10.92794453
-0.3683	-10.90081038
-0.36322	-10.76513964
-1.26238	-17.7426191
-2.49174	-25.75208584
-3.70586	-33.78824189
-4.95808	-40.60291647
-6.13664	-47.11911541
-6.7056	-47.47230416
-6.57352	-44.43150028
-6.39572	-41.85197692
-6.00202	-35.28150968
-5.39242	-26.67509169
-4.74218	-20.89195957
-3.80492	-13.69740693
-2.76606	-6.774195761
-1.57988	0.312265114
-0.41148	7.588665026
0.84582	15.10927227
2.10312	22.14102003
3.33502	29.66162727
4.39166	35.66183258
5.22986	40.46724573
5.67944	40.1145018
5.16636	31.94223018
4.87934	29.17276778
4.4577	24.2316839
3.95732	19.61620979
3.30962	15.21780886
2.43332	9.054798668
1.48336	2.918477798
0.52832	-3.705812915
-0.2921	-9.869267933
-0.46228	-11.47107231
-1.79324	-20.70202053
-3.12928	-29.44455409
-4.47294	-37.23650281
-5.81406	-44.05117739
-7.04342	-48.63951735
-8.1026	-51.2190407
-8.96874	-49.39971832
-8.8265	-46.63025592
-8.81634	-45.92476807
-8.79094	-45.70725006
-8.81126	-45.40877443
-8.75792	-44.8385125
-8.74268	-44.54003687
-8.56488	-41.71630618
-8.16864	-35.52616184
-7.6962	-28.9556946
-7.1755	-24.63869612
-6.25602	-18.39428348
-4.65582	-8.810146513
-2.8194	-0.122326078
-1.10998	6.909866501
0.58674	15.027425
2.31902	23.71569026
4.00812	32.94663848
5.72262	41.47209885
6.99008	44.59430517
7.90194	45.81578666
8.19912	44.8385125
8.04926	42.80211693
8.04926	42.04191596
8.02132	42.01478181
8.01624	41.20031255
7.98576	41.499233
7.94258	41.28171499
7.60476	35.98744236
7.1755	30.88355358
6.2611	22.43949566
5.24764	16.11368057
4.25704	10.60233475
2.86258	3.163129953
1.15824	-4.493148032
-0.24638	-11.66101135
-0.39116	-12.14987084
-1.3716	-18.63849081
-3.04292	-27.67949999
-4.77012	-35.85177162
-6.42874	-42.66644619
-8.11022	-48.09638956
-8.63854	-43.01963494
-7.48284	-27.48956096
-6.5405	-20.48494735
-5.1816	-11.76954794
-3.3655	-2.430063132
-1.61036	4.656397743
0.12954	11.76954794
1.87198	19.77901468
3.58648	27.6252317
5.3467	35.55329599
6.81736	40.98323936
7.8867	44.54003687
7.78256	39.08251453
7.04342	29.52595653
6.23316	22.30382492
5.18922	16.14081472
3.89382	8.728744068
2.46634	1.615593867
0.76454	-6.01354997
-0.32004	-12.17700499
-0.36068	-11.49820646
-1.9304	-21.05476446
-4.05892	-31.69802285
-6.19506	-40.82043447
-8.36168	-47.90645053
-10.5918	-51.2190407
-10.58418	-36.80191162
-9.22528	-24.12314731
-8.39978	-18.63849081
-6.74116	-9.407542593
-4.48818	-0.420801707
-2.2225	6.231067977
0.03302	12.7468221
2.27076	21.35368491
4.4577	30.74743802
6.70052	39.86984965
8.62076	45.05558569
10.14222	46.98344467
10.43432	42.01478181
10.02284	36.74764333
9.6139	31.88796188
8.88746	24.85621413
7.99846	20.10462445
7.16788	16.00514398
6.30936	11.44393817
4.56946	3.651544619
2.39268	-3.624410471
0.13462	-10.73800549
-0.34798	-12.44834647
-1.60528	-18.96454541
-3.7846	-28.79288971
-5.93598	-37.07369792
-7.9629	-42.88396419
-9.49198	-46.54885348
-10.58164	-48.96557195
-11.08202	-49.69863877
-11.36142	-49.91571195
-11.65606	-50.15991928
-11.4173	-45.27310369
-11.0236	-39.7341789
-10.34542	-31.15489506
-9.32688	-23.76995856
-8.128	-15.51628449
-6.83514	-9.190469408
-4.9784	-1.507057275
-2.6797	5.280927971
-0.45466	10.95507868
1.84404	18.69275911
4.04622	27.65236585
6.3246	35.66183258
8.26516	41.22744669
9.64692	44.70284176
10.5918	46.60312177
10.52322	41.96051352
10.1346	36.96516133
9.66978	31.56190728
8.60806	22.71128196
7.2009	15.13640642
5.6642	8.049945544
3.90144	0.882527046
1.6891	-6.068263088
-0.23368	-11.98662113
-0.3556	-12.04133425
-0.3429	-11.52534061
-0.37846	-11.82381624
-2.11074	-20.81055713
-4.74472	-31.88796188
-7.36854	-40.54864817
-10.02792	-47.03771296
-12.8651	-51.08292514
-13.16228	-36.04171065
-11.17092	-20.48494735
-9.68756	-12.36694402
-7.05104	-2.45719728
-4.17576	5.009141668
-1.29032	10.43908504
1.56972	17.82402155
4.04114	27.16395118
5.8547	33.62543701
7.49554	38.40416083
9.17702	42.80211693
10.66292	45.46304273
12.13104	46.92917637
13.1953	46.57598762
12.77366	37.86103304
12.00658	29.30843852
10.86104	21.35368491
9.15924	12.99147425
7.01548	4.411745588
4.80568	-1.696996312
2.13106	-7.914274803
-0.1905	-13.72454107
-0.3556	-14.15868744
-1.88214	-20.05035616
-4.53644	-29.90583461
-7.0231	-37.69822815
-9.07796	-42.85638522
-10.60958	-45.54444517
