"""Matamoros et. al 1999 Specimen c10-05 South"""	
1817	
-0.203962	0.765094115
-0.14986	0.747301229
-0.14986	0.69392257
-0.237236	0.75174945
-0.237236	0.685026126
-0.241554	0.404343343
0.10414	5.604759216
0.51562	9.830569736
2.6416	31.71582001
3.1496	36.20852382
3.6576	39.94502997
3.683	38.34367019
4.191	42.08017634
4.7244	45.37186032
5.1054	44.92703816
5.6388	48.9304376
5.6388	48.04079328
5.6388	47.59597112
6.1722	50.26490408
6.731	53.82348136
7.2644	55.15794784
7.2644	54.71312568
7.2898	54.26830352
7.8232	58.27170296
8.3566	60.49581376
8.9154	62.71992456
10.2108	67.16814616
10.2108	66.723324
10.2108	66.27850184
10.7442	68.05779048
11.303	67.16814616
11.8618	68.05779048
12.4206	67.16814616
12.0396	60.49581376
11.4554	56.04759216
10.9728	52.48901488
10.4394	48.48561544
10.4394	48.48561544
9.8806	44.92703816
9.3726	41.01260315
8.8138	37.40954366
7.5438	27.75690278
7.0104	24.15384329
6.477	20.72871266
5.9182	17.30358202
5.0038	13.52259366
4.4958	9.964016384
3.9624	7.56197672
3.4544	4.715114896
2.44856	-2.246351908
2.03708	-4.492703816
1.59512	-8.585067688
1.19126	-11.78778724
0.0166624	-18.72701294
-0.41656	-21.84076806
-0.84074	-24.82107653
-1.31572	-27.93483165
-2.6162	-34.4737174
-3.175	-37.8098836
-3.683	-39.72261889
-4.1656	-42.74740958
-5.0038	-46.26150464
-5.4864	-48.04079328
-6.0198	-51.1545484
-6.5278	-52.93383704
-7.5438	-58.27170296
-7.5438	-56.93723648
-7.5438	-55.15794784
-8.0772	-59.60616944
-8.5598	-62.2751024
-9.0424	-64.4992132
-10.3886	-64.94403536
-10.922	-65.38885752
-11.4808	-65.83367968
-12.065	-65.83367968
-12.4968	-66.27850184
-12.1158	-60.94063592
-11.5824	-56.93723648
-11.0998	-52.93383704
-10.1854	-46.26150464
-9.6266	-41.85776526
-9.144	-38.38815241
-8.6614	-35.00750399
-7.62	-30.0254958
-7.112	-26.15554301
-6.604	-22.59696573
-6.096	-19.43872839
-5.2578	-15.79118668
-4.7752	-11.120554
-4.2672	-7.917834448
-3.7592	-5.026490408
-2.5273	0.010453321
-2.0574	2.215214357
-1.64846	4.043433434
-1.27	5.649241432
-0.12065	8.985407632
0.29972	10.80917849
0.72136	11.43192951
1.17348	13.6115581
2.54	18.0597797
3.0988	20.72871266
3.6576	23.21971675
4.1656	25.53279198
5.0546	28.60206489
5.6134	31.27099785
6.1722	33.80648416
6.7056	36.60886377
7.3406	39.36676116
7.366	38.87745678
7.366	36.87575706
7.9502	40.96812094
8.4836	44.30428714
9.0424	47.59597112
9.5758	49.82008192
10.3886	52.93383704
10.922	55.15794784
11.4554	57.38205864
11.938	59.60616944
12.827	61.83028024
12.319	56.49241432
11.7856	52.93383704
11.2268	48.9304376
10.6426	45.37186032
10.16	42.92533844
9.6012	39.14435008
9.0932	35.8526661
8.5598	32.42753546
7.5946	28.15724273
7.0358	24.55418323
6.477	21.57387476
5.9436	18.41563742
5.1308	14.54568463
5.1308	14.63464906
4.6228	12.05468054
4.064	9.430229792
3.5306	6.983707912
2.6416	4.061226321
2.03708	2.015044385
2.16408	2.749000949
1.64846	0.858506769
1.14554	-0.295361914
0.59436	-1.365604031
0.050038	-5.293383704
-0.4699	-8.362656608
-1.02362	-10.72021406
-1.43764	-12.67743156
-2.52222	-16.36945549
-3.048	-19.30528174
-3.4798	-21.52939254
-3.9624	-24.28728994
-5.1054	-28.0682783
-5.6388	-30.78169347
-6.1722	-34.02889524
-6.7056	-36.60886377
-7.747	-42.2581052
-8.2804	-44.92703816
-8.8138	-48.04079328
-9.2964	-50.26490408
-10.1346	-53.82348136
-10.1092	-53.3786592
-10.668	-56.49241432
-11.176	-58.71652512
-11.7348	-60.94063592
-12.6492	-63.60956888
-12.2174	-58.71652512
-11.7094	-54.71312568
-11.2014	-51.1545484
-10.1854	-44.34876935
-9.7028	-40.65674542
-9.1948	-37.14265036
-8.6868	-33.93993081
-7.5946	-28.11276051
-7.0866	-24.86555874
-6.5532	-21.70732141
-6.0452	-18.59356629
-5.1054	-14.4567202
-4.5974	-11.74330502
-4.064	-8.762996552
-3.5814	-6.316474672
-2.53492	-2.971412029
-2.5019	-3.594163053
-1.99898	-0.338509664
-1.56972	1.410086247
-1.17348	3.282787541
0.033274	6.761296832
0.45466	8.496103256
0.91694	9.919534168
1.3335	11.60985838
2.5654	15.12395344
2.921	16.680831
3.3528	18.14874413
3.7592	20.19492606
5.0546	24.50970102
5.6134	27.44552727
6.1468	30.0254958
6.731	33.05028649
7.2644	35.80818388
7.6454	36.20852382
8.2042	39.09986786
8.7122	41.85776526
9.2202	44.92703816
10.1854	49.37525976
10.7442	52.04419272
11.2776	54.71312568
11.811	57.38205864
12.7254	60.0509916
13.3096	61.38545808
13.7922	62.2751024
14.4272	62.71992456
15.0114	63.60956888
15.5702	63.60956888
16.1798	64.05439104
16.7386	64.4992132
17.8816	64.4992132
18.4404	65.38885752
18.9484	64.94403536
18.5166	59.16134728
18.0086	55.60277
18.0086	55.60277
17.4498	52.04419272
16.9164	48.48561544
16.383	44.92703816
15.1892	38.52159906
14.6304	35.27439729
14.0716	32.02719552
13.5382	29.09136926
12.6746	25.13245204
12.1412	22.37455465
11.6078	19.66113947
11.0744	16.99220651
10.16	13.92293361
9.6266	11.34296508
9.0932	8.851960984
8.509	6.627850184
7.62	3.522991507
7.0866	1.801529748
6.5532	0.747301229
5.9944	-0.600509916
5.4356	-1.908287066
4.9276	-3.091514012
4.9276	-2.090664152
3.81	-7.606458936
3.2766	-9.029889848
2.7178	-10.05298082
2.19456	-11.29848286
1.63322	-12.36605605
1.09474	-13.56707588
0.137414	-14.27879134
-0.37592	-16.32497327
-0.39116	-16.63634878
-0.84074	-18.41563742
-2.5654	-21.66283919
-3.1242	-23.75350334
-3.683	-25.75520306
-4.2164	-27.44552727
-5.08	-30.24790688
-5.6388	-32.47201768
-6.1468	-34.65164626
-6.6802	-36.92023928
-7.6708	-40.61226321
-8.2296	-43.23671395
-8.7376	-45.81668248
-9.2456	-48.04079328
-10.2616	-52.93383704
-10.795	-55.15794784
-10.7442	-54.71312568
-11.2522	-56.93723648
-11.7856	-58.71652512
-12.7508	-60.49581376
-13.2842	-61.38545808
-13.843	-61.83028024
-14.4526	-62.2751024
-15.1892	-62.71992456
-15.8242	-63.60956888
-16.383	-63.60956888
-16.9418	-63.60956888
-17.78	-63.60956888
-18.3642	-64.05439104
-19.0754	-64.05439104
-18.6436	-59.16134728
-17.7546	-54.26830352
-17.272	-49.82008192
-16.7132	-46.26150464
-16.2306	-43.28119617
-15.1892	-38.16574133
-14.6558	-34.82957513
-14.1478	-31.93823109
-13.6652	-28.86895818
-12.5984	-24.24280772
-12.1158	-21.1290526
-11.6078	-18.54908407
-11.0998	-15.88015111
-10.1346	-12.36605605
-10.1346	-12.4995027
-9.6266	-10.18642746
-9.1186	-8.095763312
-8.5852	-6.138545808
-7.62	-3.589714831
-7.0866	-2.041733714
-6.5532	-0.631647467
-6.096	0.765094115
-5.08	2.620002522
-5.08	2.58441675
-5.08	2.277489459
-5.0546	1.792633305
-4.6736	3.625300604
-4.2418	5.293383704
-3.9878	5.78268808
-3.556	6.627850184
-2.53238	7.56197672
-2.00152	8.807478768
-1.55194	9.652640872
-1.03632	10.54228519
-0.0166624	11.78778724
0.47498	12.72191378
1.04394	13.78948696
1.51892	14.54568463
2.5019	15.79118668
2.9972	17.08117094
3.7846	18.19322634
4.2418	19.7501039
4.8006	20.95112374
5.2832	21.84076806
5.8674	23.3531634
6.3754	24.68762988
7.6962	27.04518733
8.255	28.95792262
8.7884	30.60376461
9.3726	32.47201768
9.906	34.42923518
10.4902	36.20852382
11.557	38.74401014
12.1158	40.65674542
12.6492	42.61396293
13.2334	44.482216
13.7922	46.26150464
14.3764	48.04079328
15.2654	50.26490408
15.8496	52.04419272
16.4084	53.82348136
16.9672	55.15794784
17.5514	56.49241432
18.1356	57.8268808
19.1008	58.71652512
18.5928	53.82348136
18.0594	50.26490408
17.5006	46.7063268
16.9418	43.41464282
16.3322	40.12295883
15.875	37.00920371
15.2654	34.38475297
14.7066	31.27099785
14.1732	28.33517159
13.6144	25.62175642
13.081	22.95282346
12.446	20.10596163
11.3792	16.45841992
10.8204	14.10086247
10.2616	12.05468054
9.7028	10.14194525
9.144	8.318174392
8.5598	6.627850184
7.3406	4.715114896
6.8072	3.149340893
6.2484	1.783736862
5.6896	0.782887002
5.1816	-0.02188525
4.6482	-1.036435633
3.81	-4.221362298
3.302	-5.204419272
2.7686	-6.316474672
2.29362	-7.250601208
1.7526	-8.22920996
1.21666	-9.296783144
0.062484	-11.56537616
-0.4826	-12.72191378
-0.9652	-14.01189804
-0.3048	-12.89984264
-0.48006	-14.23430912
-0.91694	-16.01359776
-4.0894	-20.0169972
-4.6482	-22.01869692
-5.1816	-23.57557448
-5.7404	-25.17693426
-6.35	-27.04518733
-6.9088	-28.6465471
-7.7216	-31.04858677
-8.382	-33.22821535
-8.8138	-34.96302178
-9.3726	-36.51989934
-9.906	-38.6550457
-10.4394	-40.3008877
-11.7094	-43.3701606
-12.319	-45.37186032
-12.7762	-47.15114896
-13.3858	-48.9304376
-13.8684	-50.26490408
-14.4018	-52.04419272
-15.2654	-53.82348136
-15.7734	-55.15794784
-16.3322	-56.49241432
-16.891	-57.38205864
-17.4752	-58.27170296
-18.034	-59.60616944
-19.05	-60.94063592
-18.6436	-56.93723648
-18.0848	-52.93383704
-17.6784	-50.26490408
-17.1704	-47.15114896
-16.637	-43.81498276
-16.129	-40.83467429
-15.5956	-37.67643695
-15.4178	-37.09816814
-15.4178	-36.87575706
-14.9352	-33.31717978
-14.3764	-30.24790688
-13.8938	-27.26759841
-13.3604	-24.33177215
-12.8524	-21.84076806
-11.303	-16.32497327
-10.795	-13.83396918
-10.287	-11.83226946
-9.7282	-9.652640872
-9.1948	-7.695423368
-8.6868	-6.00509916
-8.1788	-4.537186032
-8.1788	-4.759597112
-8.2296	-5.827170296
-7.6962	-4.065674542
-7.2644	-2.157387476
-6.8326	-0.371871326
-6.2738	1.33446648
-5.8674	2.228559022
-5.4102	3.3361662
-3.81	5.159937056
-3.302	6.22751024
-2.8194	7.11715456
-2.39522	7.295083424
-1.95326	7.7843878
-1.46558	8.629549904
-0.083312	11.34296508
0.46228	12.32157383
0.94996	13.30018258
1.47828	14.14534469
1.9939	14.99050679
2.49936	16.10256219
2.9718	16.99220651
3.8354	17.70392197
4.4196	19.39424618
4.9784	20.50630158
5.5626	21.92973249
6.1214	23.26419897
6.6802	24.7321121
7.7216	26.4224363
8.2804	28.15724273
8.8138	29.80308472
9.3726	31.76030222
9.9822	33.18373314
10.5156	35.14095064
11.4808	37.27609701
11.4808	36.4309349
12.0142	39.01090343
12.6238	41.01260315
13.1826	42.88085622
13.7414	44.92703816
14.3002	46.7063268
15.2654	48.9304376
15.875	50.70972624
16.4592	52.04419272
17.018	53.82348136
17.8308	55.15794784
18.415	56.49241432
19.05	57.38205864
19.6088	58.27170296
20.193	59.16134728
20.8026	59.60616944
21.4122	59.60616944
22.0218	60.0509916
23.0886	60.0509916
23.6982	60.49581376
24.2824	61.38545808
24.892	61.38545808
25.0444	56.49241432
25.0444	56.04759216
24.4856	52.48901488
23.8506	49.37525976
22.7076	43.45912503
22.1742	40.34536991
21.6154	37.14265036
21.0312	33.98441302
20.4216	31.27099785
19.9136	28.46861824
18.9738	24.42073658
18.415	21.79628584
17.907	19.34976396
17.3228	16.99220651
16.7894	14.7236135
16.2052	12.63294934
15.2908	9.697123088
14.732	7.7843878
14.1478	6.183028024
13.6144	4.759597112
13.0048	3.545232615
12.446	2.326419897
11.3792	-0.244652188
11.3792	0.129888071
11.3792	0.720611899
10.8458	-1.539084674
10.287	-2.962515586
9.7536	-4.016744105
9.1948	-4.626150464
8.9916	-5.159937056
8.4328	-6.00509916
7.6962	-6.805779048
7.2898	-7.56197672
6.7056	-8.318174392
6.1468	-8.985407632
5.588	-9.741605304
5.0038	-10.40883854
3.81	-11.60985838
3.2766	-13.03328929
3.302	-13.3446648
3.048	-13.96741582
2.5654	-15.21291787
2.0574	-16.05807998
-0.0124968	-17.34806424
-0.5588	-18.46011964
-1.10236	-19.83906834
-1.71196	-20.68423044
-2.21488	-22.19662578
-2.7686	-22.99730567
-3.8608	-24.4652188
-4.4196	-25.97761414
-4.9784	-27.40104506
-5.5118	-28.46861824
-6.4008	-30.24790688
-6.9088	-31.71582001
-7.4422	-33.13925092
-8.001	-34.65164626
-8.5598	-35.94163053
-9.0932	-37.36506144
-10.1854	-39.45572559
-10.7442	-41.10156758
-11.4554	-42.61396293
-11.9634	-44.17084049
-12.4968	-44.92703816
-13.0556	-46.7063268
-13.589	-48.04079328
-14.1478	-49.37525976
-15.24	-51.1545484
-15.7988	-52.48901488
-16.3576	-53.82348136
-16.9164	-54.71312568
-17.5006	-56.04759216
-18.034	-56.49241432
-19.05	-57.38205864
-19.6342	-58.27170296
-20.193	-58.71652512
-20.7772	-59.16134728
-21.336	-59.60616944
-21.9202	-60.0509916
-22.9108	-60.0509916
-23.4696	-60.49581376
-24.0538	-60.94063592
-24.638	-60.49581376
-25.3746	-60.94063592
-24.9428	-56.49241432
-24.4094	-52.93383704
-23.9014	-49.82008192
-22.8092	-43.85946498
-22.8346	-43.90394719
-22.3012	-40.3008877
-21.7932	-37.32057922
-21.2598	-34.38475297
-20.7264	-31.80478444
-20.193	-29.00240483
-19.0754	-25.04348761
-18.542	-22.55248351
-17.9832	-19.92803277
-17.4498	-17.70392197
-16.9164	-15.43532895
-16.383	-13.38914702
-15.1892	-10.98710735
-14.6558	-8.985407632
-14.097	-7.250601208
-13.589	-5.649241432
-13.081	-4.265844514
-12.5476	-2.731208062
-11.3538	-1.378948696
-10.8204	0.402564055
-10.3378	1.485706014
-9.906	2.357557448
-9.4488	3.416234189
-8.9916	4.012295883
-7.6454	5.293383704
-7.1628	6.183028024
-6.7564	6.805779048
-6.223	7.517494504
-5.7912	7.962316664
-5.4102	7.695423368
-3.7338	9.830569736
-3.2766	11.120554
-2.7178	11.87675167
-2.7178	11.47641173
-2.20218	12.41053826
-1.74752	12.94432486
-1.2319	13.52259366
-0.041656	14.67913128
0.41148	15.65774003
0.80772	16.36945549
1.2954	16.85875986
1.74498	18.01529748
2.08534	18.50460186
3.9878	19.57217504
4.5212	20.77319487
5.08	21.52939254
5.6896	22.73041238
6.1722	23.79798556
6.7818	25.04348761
7.747	25.75520306
8.3058	27.22311619
8.8646	28.24620716
9.4488	29.40274478
9.9822	30.42583574
10.5156	31.76030222
11.5062	33.0947687
12.0904	35.14095064
12.6492	36.20852382
13.208	37.5429903
13.8176	38.921939
14.3002	40.25640548
15.3162	41.59087196
15.9004	43.14774952
16.4846	44.30428714
17.0688	45.37186032
17.6784	46.7063268
18.2372	48.04079328
19.177	48.48561544
19.7358	49.82008192
20.32	51.1545484
20.8788	52.04419272
21.5138	52.93383704
22.1488	53.82348136
22.86	54.26830352
23.4696	55.15794784
24.0792	55.60277
24.6634	56.49241432
25.273	56.93723648
24.7904	52.04419272
24.2316	48.48561544
23.622	44.92703816
22.8092	40.96812094
22.225	37.94333025
21.6662	35.00750399
21.082	32.2496066
20.4978	29.53619142
19.9136	26.9562229
19.0246	23.48661005
18.4404	20.95112374
17.8816	18.81597737
17.3228	16.59186657
16.764	14.41223798
16.2052	12.81087821
15.2654	10.2753919
15.2146	11.120554
14.6558	8.67403212
14.1224	6.89474348
13.589	5.33786592
12.9794	4.248051628
12.3952	3.104858677
11.4554	1.214364497
10.8712	0.229083412
10.3124	-0.366088638
9.8298	-1.22326094
