"Sakai et al. 1990, Spec. B6"	
143	
0	0.24525
-0.0025	0.24525
-0.0375	-1.2263
-0.0375	-1.2263
-0.055	-1.2361
-0.0775	-1.2557
-0.0825	-1.5402
-0.185	-1.5206
-0.3175	-1.9129
0.395	95.275
0.7525	151.23
1.1725	199.96
1.6875	249.13
2.3125	299.77
2.5075	310.26
2.405	276.44
2.2375	248.61
1.9325	203.07
1.6175	152.36
1.395	101.11
1.125	57.359
0.745	3.8161
0.3475	-47.323
-0.005	-96.393
-0.42	-146.35
-0.905	-197.66
-1.4225	-245.13
-2.06	-295.8
-2.38	-314.89
-2.2725	-279.32
-2.085	-243.56
-1.82	-201.24
-1.4525	-147.1
-1.2425	-99.307
-0.99	-57.555
-0.6125	-4.5028
-0.1775	51.365
0.1675	98.218
0.5525	148.84
0.975	198.31
1.4225	247.09
1.9675	299.04
2.5025	340.41
3.015	370.95
3.5175	393.85
4.015	407.18
4.5275	420.07
5.0925	411
5.4	375.62
5.2075	342.09
4.8525	308.45
4.2725	249.58
3.925	206.86
3.315	163.37
2.65	107.25
2.09	60.92
1.56	5.3268
1.405	4.0123
1.025	-47.578
0.59	-94.372
0.095	-147.43
-0.4025	-196.57
-0.915	-246.49
-1.4575	-294.26
-2.005	-335.17
-2.5075	-366.67
-2.9875	-389.28
-3.5525	-404.97
-4.005	-413.31
-4.5275	-408.31
-5.01	-403.94
-5.02	-380.9
-4.8225	-346.42
-4.36	-301.5
-3.8575	-249.89
-3.55	-205.82
-2.89	-151.18
-2.3325	-104.11
-1.715	-53.484
-1.1725	-5.7192
-0.4875	52.905
0.05	100.66
0.64	148.53
1.2875	197.26
2.0625	248.96
2.9075	299.1
3.5	327.1
4.005	348.8
4.52	365.61
5.0175	379.44
4.8675	344.78
4.485	303.49
3.905	251.23
3.5025	192.49
2.9125	153.67
2.2625	104.7
1.625	52.071
1.03	4.1791
0.4425	-46.872
-0.2025	-100.5
-0.8175	-150.88
-1.445	-198.82
-2.1275	-248.12
-2.9475	-299.92
-3.5025	-330.3
-4.0225	-354
-4.5075	-372.44
-5.0075	-384.81
-4.91	-352.71
-4.4525	-299.25
-3.925	-250.53
-3.5625	-198.24
-3.15	-161.81
-2.48	-108.84
-1.7925	-52.179
-1.215	-6.0626
-0.4975	51.169
0.0925	100.01
0.745	149.99
1.42	196.56
2.27	250.39
3.1925	300.93
4.35	350.77
5.005	372.29
6.02	382.84
7.02	385.49
8.0675	380.69
9.365	353.66
10.065	323.75
10.648	300.37
12.655	216.16
13.193	187.85
12.955	167.56
12.422	114.84
11.203	70.485
9.5875	14.597
9.3175	8.986
9.165	5.0423
8.9675	3.4433
8.8025	2.3348
8.59	1.9326
8.43	1.393
8.2825	1.1772
