"Tanaka 90, Specimen 5"	
-19.252	-212.92
-18.154	-193.4
-16.297	-165.6
-14.861	-146.68
-13.426	-128.93
-11.821	-110.01
-10.301	-90.49
-8.7815	-69.198
-6.924	-43.767
-5.2352	-23.066
-3.2931	0.59145
-1.351	28.389
0	44.358
1.5199	57.962
3.2085	70.972
4.813	81.621
6.6705	94.631
8.2748	105.28
9.8793	114.74
11.568	126.57
12.666	137.81
14.017	153.78
15.283	171.52
16.55	186.9
18.492	208.78
20.603	231.26
22.967	255.5
25.247	278.57
27.612	298.09
30.061	317.6
32.847	341.26
35.209	356.64
38.334	369.06
41.206	377.34
44.414	380.3
46.863	382.67
48.298	381.48
48.89	374.98
48.974	366.69
48.806	350.72
47.876	325.3
47.285	309.32
46.695	294.54
45.933	279.16
45.258	263.19
44.498	249
43.655	234.8
42.979	220.02
41.966	201.68
41.374	190.45
40.447	176.25
39.517	163.24
38.504	149.64
36.139	117.7
33.861	88.124
30.737	49.68
28.793	26.615
27.442	11.237
25.331	-5.9145
22.629	-27.206
19.927	-46.722
16.297	-63.286
14.186	-73.339
11.821	-79.846
9.0348	-95.223
7.1773	-101.73
4.3909	-116.52
2.0265	-128.93
-0.25331	-144.31
-2.7021	-166.79
-4.5596	-179.21
-6.5016	-196.36
-7.9372	-209.96
-9.9637	-227.71
-11.653	-243.67
-15.368	-276.79
-17.732	-293.95
-19.758	-308.73
-21.194	-319.97
-22.883	-332.98
-24.487	-345.4
-27.021	-355.46
-28.372	-360.19
-31.242	-364.92
-35.634	-369.06
-39.601	-374.98
-42.304	-378.52
-45.428	-380.89
-47.285	-382.67
-48.468	-383.84
-49.649	-380.89
-50.325	-372.02
-49.82	-347.77
-48.044	-312.87
-46.947	-290.99
-45.766	-266.74
-44.414	-243.67
-43.063	-220.02
-41.29	-195.77
-39.009	-162.05
-35.296	-123.02
-33.691	-105.87
-31.834	-87.532
-29.975	-68.606
-27.696	-46.135
-25.753	-27.798
-23.22	-5.9145
-21.109	10.646
-17.901	33.121
-15.621	46.135
-13.341	57.962
-11.399	66.24
-6.5016	83.396
-2.871	99.364
0.25331	112.97
4.7285	127.75
8.9505	144.9
11.99	157.33
14.777	172.7
18.914	197.54
22.123	222.97
24.403	240.72
27.442	260.83
30.904	283.89
33.523	300.45
35.885	312.87
38.42	325.89
40.447	336.53
42.22	344.81
44.582	354.87
46.525	360.19
47.96	361.96
48.806	361.96
49.144	354.27
48.298	321.75
47.539	299.86
46.609	280.94
45.85	267.33
44.668	246.04
43.317	227.11
42.388	212.33
41.458	196.95
40.615	183.35
39.855	168.56
38.588	152
36.393	124.2
33.861	86.349
30.229	41.401
28.118	18.926
26.345	2.9572
23.98	-15.969
22.123	-29.572
18.239	-44.358
15.959	-56.779
14.186	-67.423
11.399	-78.663
8.6972	-89.307
5.7417	-101.14
2.4487	-114.15
-0.50663	-127.16
-3.0399	-141.94
-5.4041	-155.55
-8.0216	-171.52
-10.977	-188.67
-13.257	-204.05
-15.874	-223.57
-21.447	-254.91
-23.727	-264.38
-25.415	-276.79
-27.526	-289.22
-29.723	-302.23
-32.085	-312.87
-34.366	-322.34
-36.647	-331.21
-38.672	-338.9
-40.952	-347.77
-44.247	-353.68
-47.285	-359.6
-48.974	-362.56
-50.241	-364.33
-50.325	-356.05
-50.071	-333.57
-49.733	-318.79
-48.72	-297.5
-47.876	-282.12
-46.695	-262.01
-45.428	-243.67
-43.909	-223.57
-42.388	-204.64
-40.698	-187.49
-38.925	-164.42
-37.153	-140.76
-35.042	-117.7
-32.847	-96.998
-30.737	-78.071
-29.047	-60.328
-26.513	-35.487
-24.909	-18.926
-22.376	0
-19.758	20.109
-17.31	36.669
-15.115	49.68
-12.581	63.286
-10.386	71.564
-4.813	92.856
-1.7732	104.68
1.0977	115.92
4.3909	124.79
7.5994	137.81
13.088	162.05
15.874	181.57
18.914	202.27
22.46	224.16
26.091	246.04
28.623	260.23
31.242	274.43
34.62	295.72
37.069	308.14
39.433	319.38
43.655	338.31
46.104	350.72
48.72	357.82
51.338	363.15
53.619	369.06
56.319	373.2
58.684	376.75
61.303	380.3
63.33	380.89
66.2	382.67
68.816	385.62
71.773	384.44
74.051	383.25
74.305	374.98
74.138	362.56
73.967	351.32
73.63	341.26
71.94	304
70	270.29
67.719	235.39
66.2	212.33
64.511	188.67
62.992	167.38
61.303	149.04
50.83	31.346
46.358	-4.7313
43.317	-21.292
40.361	-35.487
37.407	-47.905
32.339	-66.24
28.623	-76.297
24.656	-88.715
21.447	-99.364
17.985	-108.82
12.497	-123.02
7.7683	-135.44
1.7732	-151.41
-3.3774	-173.29
-7.7683	-194.59
-11.399	-209.37
-14.523	-221.79
-17.816	-234.21
-21.447	-250.18
-24.656	-263.78
-28.118	-278.57
-31.158	-294.54
-33.945	-306.96
-37.236	-318.79
-41.966	-332.98
-47.117	-343.04
-50.325	-349.54
-54.209	-352.5
-58.179	-359.01
-62.484	-363.74
-65.862	-367.88
-69.154	-373.79
-71.773	-375.57
-73.884	-377.34
-75.151	-377.34
-75.994	-372.61
-76.416	-366.1
-75.827	-341.86
-74.559	-317.6
-73.292	-294.54
-72.194	-274.43
-70.422	-247.82
-69.07	-228.89
-67.297	-207.01
-65.692	-189.26
-63.665	-169.74
-61.554	-149.64
-59.614	-128.93
-58.009	-113.56
-56.406	-98.181
-54.547	-79.846
-53.028	-64.469
-50.83	-46.722
-48.974	-30.755
-47.285	-17.152
-44.498	0
-37.661	39.627
-33.523	54.412
-29.637	66.831
-23.474	87.532
-20.603	98.772
-17.225	107.05
-13.426	115.92
-7.5994	128.93
-3.5463	138.99
0.33774	148.45
4.8974	160.28
9.0348	172.11
13.341	185.71
17.057	197.54
22.376	217.06
26.429	236.58
30.988	254.91
34.958	272.06
39.096	288.63
43.571	304.59
48.214	321.75
52.182	332.98
56.657	342.45
60.965	350.72
65.103	357.23
67.889	360.19
71.351	361.96
73.713	361.96
73.713	348.95
73.546	324.11
72.278	306.96
70.927	287.44
69.83	267.93
68.565	248.41
66.876	220.02
65.016	193.4
50.241	26.615
45.174	-8.2804
42.471	-23.066
40.023	-35.487
36.985	-49.088
34.704	-57.37
32.172	-65.061
29.469	-74.522
25.837	-86.349
10.977	-129.53
6.5016	-140.76
3.0399	-149.64
-0.84437	-159.69
-4.6441	-171.52
-10.133	-186.9
-14.692	-204.64
-18.492	-218.83
-22.545	-232.44
-27.188	-248.41
-33.607	-275.02
-37.828	-288.03
-42.22	-302.23
-46.779	-315.24
-51.001	-324.7
-55.644	-334.16
-60.457	-343.63
-66.454	-354.27
-70.589	-358.42
-73.208	-362.56
-75.319	-363.15
-76.332	-363.15
-76.586	-357.82
-76.416	-348.95
-76.162	-339.49
-74.643	-303.41
-73.884	-285.08
-72.027	-257.87
-70	-231.26
-67.889	-205.23
-63.751	-167.97
-62.146	-149.04
-60.119	-127.75
-57.503	-105.87
-55.56	-87.532
-53.195	-65.648
-48.214	-24.249
-45.766	-7.0972
-44.414	2.3658
