"Tanaka 90, Specimen 5"	
589	
0	0
0	20.109
0.4222	40.218
0.92883	63.286
1.0133	76.297
1.4355	90.49
1.8576	104.09
2.1109	116.52
2.5331	127.75
3.0399	141.35
3.2085	152
3.5463	164.42
3.8842	175.66
4.982	202.27
5.8263	220.02
6.5862	235.39
7.5994	251.37
8.5283	266.15
8.5283	251.37
8.1905	230.07
8.0216	214.1
7.7683	197.54
7.3462	180.98
6.8395	164.42
5.4041	124.2
4.222	92.856
2.871	63.878
1.6888	39.627
0.92883	21.883
-0.084437	1.1829
-1.2666	-18.926
-2.1954	-40.81
-2.9553	-60.328
-4.3909	-86.349
-5.9106	-113.56
-6.7551	-127.16
-8.1905	-152
-8.7815	-165.01
-9.7947	-182.75
-11.821	-216.47
-12.835	-229.48
-13.51	-238.94
-14.523	-251.37
-14.692	-256.09
-15.03	-260.23
-15.283	-261.42
-15.621	-256.69
-15.452	-247.82
-15.199	-241.31
-14.946	-233.62
-14.861	-227.11
-14.692	-220.02
-13.763	-198.72
-13.004	-172.7
-11.821	-146.09
-10.808	-125.38
-9.3726	-101.14
-6.7551	-53.229
-5.4041	-28.98
-3.7998	-4.7313
-1.8576	21.883
-0.75994	31.938
0.67551	53.821
1.0133	73.93
1.6043	90.49
2.0265	110.01
2.6175	127.75
3.7998	154.96
5.4884	184.53
6.0795	209.37
6.8395	232.44
8.0216	254.32
9.2883	279.16
10.386	301.05
11.653	321.15
12.75	334.76
14.186	347.18
15.368	354.27
17.901	366.1
21.447	373.79
23.727	378.52
26.599	385.03
28.202	385.62
29.385	382.67
30.145	373.79
30.566	361.37
30.483	348.95
29.807	317.01
29.299	272.65
28.793	256.69
28.288	238.35
27.526	216.47
27.021	197.54
26.429	181.57
25.669	160.87
24.74	140.76
23.643	119.47
22.376	92.856
20.687	68.606
18.999	44.358
16.55	13.603
15.874	0
14.777	-13.603
13.679	-26.615
12.412	-40.218
10.301	-60.328
8.7815	-75.113
7.5151	-88.715
5.6573	-115.33
4.3063	-133.67
3.1242	-153.78
1.1821	-183.35
-0.75994	-211.74
-2.2798	-231.26
-3.462	-248.41
-4.5596	-263.78
-5.9106	-286.26
-6.8395	-301.64
-7.7683	-315.24
-8.9505	-327.07
-10.048	-336.53
-10.977	-342.45
-12.75	-347.77
-13.848	-352.5
-17.141	-359.6
-20.096	-364.92
-21.869	-368.47
-23.811	-371.43
-24.656	-370.83
-25.078	-367.88
-25.078	-361.96
-24.994	-344.81
-24.487	-325.3
-23.474	-299.86
-22.123	-270.29
-20.941	-245.45
-19.674	-222.97
-17.225	-182.16
-15.537	-159.69
-14.101	-138.4
-12.581	-118.88
-10.808	-98.181
-8.9505	-72.747
-6.8395	-44.951
-5.0663	-19.518
-2.9553	5.9145
-1.0133	30.755
2.0265	62.103
4.1374	76.297
5.7417	87.532
7.9372	101.14
10.133	115.92
12.328	133.08
13.595	150.23
15.03	169.15
16.466	187.49
18.154	204.05
19.927	221.79
21.785	241.9
23.474	258.46
25.078	275.02
28.034	304
28.456	306.37
28.539	290.4
28.372	276.79
27.696	246.04
26.85	225.34
26.007	207.01
25.163	186.3
23.305	156.14
21.954	137.22
20.941	121.84
20.012	104.68
16.212	50.271
14.692	26.023
13.595	11.237
11.906	-6.5061
10.808	-20.701
8.6126	-40.81
7.0927	-53.229
5.1506	-72.155
3.2085	-90.49
1.7732	-108.23
-1.4355	-137.81
-2.9553	-161.46
-5.1506	-183.94
-7.1773	-204.64
-9.0348	-222.38
-10.639	-237.17
-12.328	-255.5
-14.355	-275.61
-16.128	-292.76
-17.816	-309.91
-19.758	-326.48
-20.941	-337.12
-21.869	-345.4
-23.136	-351.91
-23.811	-356.05
-24.909	-359.6
-24.825	-345.4
-24.656	-328.84
-23.98	-310.51
-23.305	-293.95
-22.376	-274.43
-21.7	-255.5
-20.603	-234.21
