"Zhou et al. 1987, Specimen 21408"	
495	
0	0
0.055804	8.896
0.15625	13.171
0.17857	17.215
0.27902	21.605
0.40179	26.458
0.65848	31.772
0.99331	38.819
1.1719	42.055
1.3839	44.711
1.529	46.099
1.6406	46.215
1.7299	46.215
1.7746	45.752
1.7969	43.672
1.7299	41.939
1.6741	37.895
1.529	32.696
1.3839	28.537
1.1942	22.529
1.0937	16.637
0.84821	9.9359
0.70312	5.7766
0.52455	0.57766
0.35714	-4.3903
0.16741	-9.5894
0	-13.633
-0.25669	-20.103
-0.3683	-24.956
-0.45759	-30.039
-0.55804	-35.584
-0.69196	-40.437
-0.82589	-43.441
-0.95982	-46.677
-1.0379	-48.523
-1.0714	-49.564
-1.1496	-50.027
-1.1719	-48.523
-1.0826	-44.48
-0.99331	-39.166
-0.90401	-33.389
-0.75893	-27.382
-0.65848	-22.76
-0.52455	-18.37
-0.40179	-12.015
-0.26786	-6.8166
-0.21205	-1.733
-0.12277	2.4262
0.055804	6.7009
0.10045	11.322
0.13393	14.673
0.22322	18.717
0.54687	28.537
0.80357	34.545
1.0045	39.744
1.3282	45.29
1.9196	52.104
2.366	56.725
2.6228	58.344
2.779	59.617
2.9799	61.809
3.1697	63.197
3.3594	63.775
3.4375	63.197
3.4599	60.195
3.3594	55.92
3.192	49.333
3.0692	44.019
2.8795	38.126
2.6562	32.35
2.3772	25.418
2.1874	20.681
1.8974	14.557
1.6853	9.8203
1.4063	4.3903
1.1384	-0.11553
0.63616	-8.203
-0.14508	-24.031
-0.46874	-30.963
-0.59152	-36.74
-0.7366	-40.899
-0.8817	-45.29
-1.0156	-50.721
-1.1719	-55.92
-1.5179	-62.272
-1.7746	-66.084
-2.087	-68.859
-2.4553	-71.052
-2.7678	-72.093
-2.8683	-72.209
-2.913	-72.209
-3.0023	-71.515
-3.058	-70.59
-3.1026	-67.819
-3.1138	-64.122
-3.0916	-59.732
-3.058	-56.036
-2.9576	-50.489
-2.8125	-45.983
-2.645	-41.824
-2.4776	-37.318
-2.2991	-32.119
-2.0759	-27.382
-1.8191	-23.453
-1.5625	-20.681
-1.317	-15.02
-1.0937	-9.5894
-0.87053	-4.0437
-0.61384	2.0796
-0.35714	9.0116
-0.10045	15.482
0.078125	18.485
0.41294	24.493
0.9375	36.047
1.1496	40.437
1.5513	46.099
1.9196	49.795
2.3214	52.798
2.645	55.111
2.913	57.997
3.2254	59.848
3.3259	59.848
3.3371	56.841
3.2813	51.646
3.1026	45.521
2.9352	40.668
2.779	35.7
2.5669	30.27
2.2545	22.414
1.9196	15.02
1.4956	6.5853
1.0826	-0.57766
0.7366	-6.2388
0.34599	-12.94
0	-19.756
-0.34599	-28.653
-0.64732	-35.122
-0.9375	-39.744
-1.2612	-44.827
-1.6741	-51.414
-1.9867	-56.036
-2.1874	-59.154
-2.3326	-61.347
-2.4331	-62.503
-2.5669	-64.238
-2.6897	-65.394
-2.8348	-66.315
-2.9464	-66.893
-3.0692	-67.703
-3.1697	-68.166
-3.2366	-68.397
-3.2923	-68.744
-3.3147	-67.587
-3.3147	-64.469
-3.2589	-62.272
-3.2254	-61.12
-3.1361	-56.957
-3.0357	-53.26
-2.8683	-50.027
-2.7567	-48.176
-2.5335	-42.401
-2.2767	-36.624
-2.1429	-33.159
-1.9755	-29.346
-1.8303	-26.573
-1.741	-23.685
-1.5737	-21.027
-1.3282	-15.25
-1.1384	-10.398
-0.8817	-4.0437
-0.66965	1.0398
-0.45759	6.2388
-0.24553	11.785
-0.12277	16.522
0.15625	20.218
0.45759	23.685
0.61384	25.764
0.7924	28.884
1.0045	32.581
1.1719	36.162
1.3504	38.819
1.6072	41.246
1.9643	45.983
2.1429	48.176
2.3214	49.68
2.5557	51.646
2.7902	53.839
2.9911	55.689
3.192	56.841
3.2701	57.188
3.3259	56.957
3.3259	55.92
3.1808	48.87
3.058	44.827
2.913	39.051
2.5781	29.923
2.3884	24.724
2.1652	19.988
1.7522	11.9
1.3727	4.2748
1.0379	-1.1553
0.61384	-8.896
0.18974	-15.366
-0.33482	-25.88
-0.83706	-31.772
-1.2612	-37.549
-1.6184	-42.401
-2.1093	-48.408
-2.4888	-53.376
-2.9018	-58.576
-3.2923	-62.966
-3.817	-65.968
-4.3862	-66.662
-4.6652	-66.315
-5	-65.968
-5.3125	-64.932
-5.6138	-63.66
-5.8035	-62.966
-5.9933	-62.735
-6.1384	-62.735
-6.2277	-62.735
-6.3393	-61.462
-6.4286	-59.154
-6.5179	-57.882
-6.5289	-57.188
-6.3393	-50.721
-5.9933	-42.748
-5.6808	-35.584
-5.3348	-30.386
-4.8326	-24.84
-4.308	-17.792
-4.1294	-15.366
-3.7835	-9.7051
-3.5268	-5.1993
-3.2589	-1.3864
-3.0023	1.502
-2.7678	4.1592
-2.5335	7.6252
-2.1763	11.322
-1.8191	15.02
-1.4732	17.446
-1.0826	20.218
-0.55804	23.8
-0.10045	27.844
0.13393	30.154
0.87053	35.7
2.0982	45.174
2.6116	48.755
3.0692	51.183
3.538	52.798
3.9844	55.342
4.5312	56.957
5.2233	57.419
5.5804	57.419
5.9933	57.651
6.2499	58.344
6.5401	54.995
6.6518	51.414
6.5513	44.596
6.4174	40.437
6.2499	36.162
5.9933	31.656
5.8259	27.613
5.6026	23.8
5.3125	19.988
5.0669	16.753
4.8772	14.557
4.6986	11.9
4.4084	8.0874
4.0625	3.466
3.5714	-1.733
3.1361	-5.5458
2.6897	-8.6651
2.1205	-12.015
1.6741	-14.788
1.3058	-17.215
0.61384	-21.952
0.18974	-24.493
-1.3951	-32.812
-2.0648	-36.047
-2.2657	-36.624
-2.4331	-36.856
-2.6897	-36.971
-3.0469	-38.011
-3.6161	-40.899
-4.1184	-42.979
-4.6874	-44.827
-5.2902	-46.099
-5.7589	-46.33
-6.1049	-46.099
-6.3282	-45.868
-6.4397	-44.25
-6.4508	-41.939
-6.317	-38.011
-6.2499	-34.198
-6.038	-30.27
-5.8816	-27.266
-5.6808	-23.685
-5.4352	-19.988
-5.2009	-15.828
-4.0289	-2.0796
-3.6272	0.23107
-3.2031	3.235
-2.779	6.0079
-2.5781	7.6252
-2.2545	9.3581
-1.8639	10.745
-1.462	12.131
-1.1272	13.287
-0.6808	14.673
-0.23438	16.637
0.16741	18.717
0.66965	21.374
1.0491	23.107
1.4844	24.956
1.9084	26.92
2.2657	28.421
2.6116	30.386
2.9464	31.772
3.3035	33.389
3.7499	35.816
4.2076	37.895
4.5201	39.166
5.0447	40.784
5.3459	42.055
5.692	43.325
5.9821	44.134
6.4174	44.25
6.5848	44.596
6.7187	42.17
6.808	41.13
6.7522	38.589
6.6965	35.354
6.6184	31.772
6.4732	27.844
6.2946	24.147
6.1049	21.143
6.0268	18.717
5.8816	15.713
5.6026	12.131
5.3795	8.896
5.0893	5.5458
4.7321	1.502
4.442	-1.3864
4.1184	-4.968
3.7835	-7.8565
3.3259	-10.976
