Saatcioglu and Grira 1999 Column BG-4	
5371	
4.486279	-3.667528267
3.986683	-5.2015769
3.487088	-14.69475988
2.987493	-15.22961094
2.487897	-21.27728267
1.988302	-27.73841337
1.488707	-32.20114894
0.9891119	-41.28087538
0.4895167	-42.47037082
-0.01007843	-50.13742857
-0.5096736	-58.01122796
-1.009269	-58.33934954
-1.508864	-63.45671733
-2.008459	-69.60778116
-2.508054	-72.96796353
-0.09216668	-70.49155015
-0.5056247	-81.06042553
-1.00522	-84.04158055
-1.504815	-84.54200608
-2.00441	-91.20984802
-2.504005	-95.77598784
-3.003601	-100.2042553
-3.503196	-107.0099088
-4.002791	-113.6433435
-4.502386	-114.2815198
-5.001981	-119.50231
-5.501576	-123.4826748
-6.001172	-126.6016413
-6.500767	-130.9610334
-7.000362	-135.9406079
-7.517184	-140.5809726
-8.034006	-140.7766565
-8.516374	-148.0248632
-9.015969	-151.1094225
-9.515564	-154.9174468
-10.01516	-158.3465653
-10.51475	-162.1201824
-11.01435	-164.9979939
-11.51394	-168.1858359
-12.01354	-168.4450456
-12.51313	-172.2186626
-13.01273	-174.786383
-13.51233	-177.0095441
-14.02915	-179.7203647
-14.51152	-181.0079027
-15.01111	-181.0258967
-15.51071	-184.2482067
-16.0103	-186.3680243
-16.5099	-188.763465
-15.99307	-134.8522188
-15.49348	-124.9455927
-14.97666	-119.8917325
-14.49429	-113.2637082
-13.99469	-108.5598176
-13.4951	-101.3751368
-12.9955	-99.25537994
-12.49591	-92.17404255
-11.99631	-87.29781155
-11.49672	-84.42006079
-10.99712	-79.85392097
-10.49753	-74.46091185
-9.997932	-68.41325228
-9.498337	-63.26145897
-8.998742	-58.24742249
-8.499146	-53.88804863
-7.999552	-53.4221155
-7.499957	-47.47781763
-6.983134	-42.38951976
-6.483539	-37.65113678
-5.983944	-33.18840729
-5.484349	-26.86509422
-4.984754	-20.43841945
-4.485158	-18.35308815
-3.985563	-9.686826748
-3.485968	-8.393963526
-2.986373	-0.726903343
-2.486778	0.497048632
-1.987183	6.544723404
-1.487588	13.07476596
-0.9879924	17.744231
-0.4883973	21.86241337
0.01119782	25.42931915
0.510793	30.40888146
1.010388	36.69773252
1.509983	41.02264438
2.009578	45.96775684
2.509173	50.87840729
3.008769	56.27143465
3.508364	60.28624924
4.007959	65.88601824
4.507554	71.41683891
5.007149	76.98212766
5.506744	77.86151976
6.00634	83.9781155
6.505935	87.54504559
7.00553	92.31787234
7.505125	97.22851064
8.004721	102.5181763
8.504315	105.8783587
9.003911	108.652766
9.503506	111.9095441
10.0031	116.751307
10.5027	121.3518541
11.01952	124.4417629
11.50189	129.140304
12.00148	129.4339818
12.50108	134.9303343
13.00067	138.1182371
13.50027	142.3397568
14.01709	147.3246809
14.51668	148.9620669
15.01628	152.9079635
15.51587	157.0606079
16.01547	160.6964134
16.51506	162.264924
15.99824	111.2479635
15.49865	99.82528875
14.99905	98.25677812
14.49946	96.72273556
13.99986	86.74717325
13.46581	84.51331307
12.98344	75.54231003
12.48385	65.94577508
11.96703	64.37191489
11.48466	55.50429179
10.98506	54.34925836
10.48547	45.26953799
9.985873	36.7411003
9.486279	35.27596353
8.986683	30.05522188
8.469861	23.4508997
7.987493	14.82446809
7.487897	8.914620061
6.988302	5.037624924
6.488707	-1.457961094
5.989112	-2.819731307
5.489517	-10.55570213
4.989922	-15.87981763
4.490326	-21.61738602
3.990731	-26.97595745
3.491136	-37.74398176
2.974314	-38.59430395
2.491946	-45.25679635
1.992351	-48.54806079
1.492756	-54.94027356
0.9931607	-57.26679027
0.4935656	-59.24875988
-0.006029591	-63.33246201
-0.5056247	-68.79440729
-1.00522	-75.49677812
-1.504815	-80.40741641
-2.00441	-82.9406079
-2.504005	-88.47148936
-3.003601	-91.03920973
-3.503196	-93.98589666
-4.002791	-98.99987842
-4.502386	-101.6020669
-5.001981	-106.9606079
-5.501576	-110.6998176
-6.001172	-112.2338602
-6.517994	-117.3910638
-7.000362	-118.6441337
-7.517184	-121.3550152
-8.016779	-127.0236474
-8.533602	-128.5286322
-9.015969	-133.1927052
-9.515564	-136.6562918
-10.01516	-144.1854711
-10.51475	-145.9607295
-11.01435	-151.9050456
-11.51394	-152.3364742
-12.01354	-152.7334954
-12.51313	-159.6770213
-13.01273	-160.2118541
-13.51233	-162.917386
-14.02915	-169.246079
-14.51152	-170.430152
-15.01111	-171.6541033
-15.51071	-177.4606079
-16.02753	-179.8958055
-16.5099	-183.0438906
-15.99307	-134.7488754
-15.49348	-128.1843769
-14.99388	-125.72
-14.49429	-120.8782979
-13.99469	-114.7272948
-13.4951	-108.4384195
-12.9955	-105.8018237
-12.49591	-101.8559271
-11.97908	-95.38942249
-11.49672	-92.31027356
-10.99712	-86.71051672
-10.49753	-79.52583587
-9.980704	-78.12425532
-9.498337	-71.2550152
-8.998742	-67.03349544
-8.499146	-61.05471125
-7.999552	-56.41971429
-7.482729	-51.43477812
-6.983134	-46.14512462
-6.483539	-41.37229787
-5.983944	-36.77174468
-5.484349	-31.72326444
-4.984754	-28.12191489
-4.485158	-27.24251064
-3.985563	-18.54179939
-3.485968	-14.59589058
-2.986373	-8.513762918
-2.486778	-4.085483891
-1.987183	3.099207295
-1.487588	4.460980547
-0.9879924	8.131246201
-0.4883973	15.69494225
0.01119782	20.9501459
0.510793	24.13804255
1.010388	30.32353191
1.509983	36.9224924
2.009578	40.73057143
2.526401	45.23314286
3.008769	48.82911854
3.508364	52.87838906
4.007959	58.85714894
4.507554	64.38802432
5.007149	68.40279635
5.506744	73.45130699
6.00634	76.43246201
6.505935	80.79179331
7.00553	84.9100304
7.505125	90.6131307
8.004721	94.90358663
8.504315	98.60826748
9.003911	103.7601216
9.503506	108.3951368
10.0031	112.5477812
10.5027	113.6683891
11.00229	119.3370213
11.50189	123.317386
12.01871	128.8191489
12.50108	132.4495441
13.00067	135.396231
13.50027	141.1337994
14.01709	142.0874772
14.51668	145.551003
15.01628	148.5666261
15.51587	151.2032219
16.01547	157.5609726
16.51506	160.5077204
15.99824	107.2855927
15.48142	106.9520973
14.99905	94.50115502
14.49946	85.66261398
13.99986	83.50838906
13.48304	74.31993921
12.98344	72.30352584
12.48385	64.15410334
11.98425	62.89568389
11.48466	50.50829787
10.98506	49.69781763
10.48547	41.92738602
9.985873	36.08644985
9.486279	32.89856535
8.986683	26.78198176
8.487088	21.38896049
7.987493	14.85892401
7.487897	7.812054711
6.971075	-1.03185228
6.488707	-2.491615198
5.989112	-10.60658967
5.47229	-13.35194529
4.972694	-19.57189058
4.490326	-26.19992097
3.990731	-26.63141033
3.491136	-33.91946505
2.991541	-38.89902736
2.491946	-45.29125228
1.992351	-46.23956231
1.492756	-51.01238906
0.9931607	-59.5063769
0.4935656	-60.45469301
-0.006029591	-65.39975684
-0.5056247	-70.62054711
-1.00522	-74.32528875
-1.504815	-78.61568389
-2.00441	-82.97507599
-2.504005	-84.78480243
-3.003601	-90.79799392
-3.503196	-95.77756839
-4.002791	-100.8260182
-4.502386	-102.428997
-5.001981	-106.6505167
-5.501576	-106.9441945
-6.001172	-107.1689362
-6.500767	-116.1108207
-7.000362	-120.1256535
-7.517184	-124.3181155
-8.016779	-126.4724012
-8.516374	-132.0721581
-9.015969	-133.2960486
-9.515564	-138.1378116
-10.03239	-138.4368389
-10.51475	-146.5119757
-11.01435	-146.943465
-11.51394	-152.1297264
-12.01354	-153.0091793
-12.51313	-156.7483283
-13.01273	-161.8657143
-13.51233	-165.8116109
-14.01192	-170.136535
-14.51152	-174.702614
-15.01111	-175.0651672
-15.51071	-181.3195745
-16.0103	-181.3720365
-16.5099	-184.5599392
-17.00949	-187.6099696
-16.49267	-145.0345289
-15.99307	-134.369848
-15.49348	-127.4263222
-14.99388	-121.5509422
-14.49429	-116.674772
-13.99469	-112.3843161
-13.4951	-108.6451672
-12.9955	-102.7008511
-12.49591	-97.9624924
-11.99631	-94.29221884
-11.49672	-88.89920973
-10.99712	-83.47173252
-10.49753	-79.80145897
-9.997932	-74.13282675
-9.498337	-71.11720365
-8.998742	-66.10322188
-8.499146	-60.67571429
-7.999552	-55.62725228
-7.499957	-51.23342249
-6.983134	-47.3166079
-6.483539	-41.06220669
-5.983944	-38.01212766
-5.484349	-33.1014772
-4.984754	-28.50091793
-4.485158	-23.96927052
-3.968336	-20.81046201
-3.485968	-11.80502128
-2.986373	-10.40879635
-2.486778	-6.841896657
-1.969955	-1.822503343
-1.487588	2.772678419
-0.9879924	8.406887538
-0.4883973	13.24863222
0.01119782	18.33155623
0.5280204	22.42066261
1.010388	27.39485106
1.509983	31.44412158
2.009578	37.45733739
2.509173	41.67888754
3.008769	47.34755015
3.508364	51.84473556
4.007959	55.51500304
4.507554	60.73575684
5.007149	64.68164134
5.506744	69.66121581
6.00634	74.67525836
6.505935	80.68844985
7.00553	84.39319149
7.505125	86.65075988
8.004721	90.80340426
8.504315	93.09550152
9.003911	99.21203647
9.503506	103.9159878
10.0031	107.3450456
10.5027	111.8766565
11.00229	115.3747112
11.50189	120.4231611
12.00148	124.9892401
12.5183	130.3187234
13.00067	131.1927052
13.50027	134.6218237
14.01709	138.0906991
14.51668	143.0702736
15.01628	147.498541
15.51587	151.23769
16.01547	155.2525228
16.51506	157.9579939
17.01466	161.8005471
17.51426	164.2303951
18.01385	169.1410334
18.51344	171.3986626
19.01304	175.3789666
19.51264	177.6021277
20.01223	179.859696
20.51183	182.3929483
21.01142	184.8227964
21.52824	188.1193921
22.01061	189.4068693
22.51021	191.8367781
23.0098	193.6119757
23.5094	195.3182371
24.00899	197.7825532
24.50859	197.3871125
25.00818	198.611003
25.50778	198.8357447
26.0246	201.6844377
26.50697	199.9742857
27.00656	202.3696657
27.50616	199.9413982
28.00575	200.4417021
28.50535	203.9396353
29.00494	199.5474164
29.50454	201.2536778
30.00413	197.9984195
30.50373	194.1918541
31.00332	197.7243161
31.50292	194.5035258
32.00251	194.7971429
32.50211	193.8848024
33.00171	194.6952584
32.48488	127.7944681
31.98529	126.6050456
31.48569	118.8001824
30.96887	116.6062006
30.4865	114.0438906
29.98691	109.0987842
29.48731	105.4975076
28.97049	101.0983587
28.48812	96.7443769
27.98853	93.86662614
27.48893	89.12826748
26.97211	84.24674772
26.48974	81.23653495
25.99014	76.36036474
25.49055	71.5531307
24.99095	70.12243161
24.49136	65.2462614
23.97454	61.22613982
23.49217	57.63015805
22.99257	54.16665046
22.49298	51.53006079
21.99338	49.0657386
21.49379	42.88027964
20.99419	42.68999392
20.4946	34.05821277
19.995	29.1820304
19.49541	24.96050456
18.99581	21.32471125
18.49622	20.85878419
17.99662	14.53548936
17.49703	10.72741641
16.99743	6.36806079
16.49784	5.557582371
15.99824	-2.316199392
15.49865	-3.126681459
14.98182	-3.597981763
14.49946	-4.23081459
13.99986	-12.38023708
13.48304	-16.2281459
12.98344	-22.44808511
12.48385	-26.80744073
11.96703	-27.24430395
11.48466	-32.1840304
10.98506	-37.50813982
10.46824	-38.46181155
9.985873	-43.50490578
9.486279	-44.69440122
8.986683	-48.77812766
8.487088	-53.10303343
7.987493	-56.5321155
7.487897	-60.92595745
6.988302	-65.21641337
6.488707	-68.7143465
5.989112	-70.55854103
5.489517	-72.40267477
4.989922	-77.14103343
4.490326	-80.98358663
3.990731	-79.89902736
3.491136	-86.18790274
2.991541	-88.89343465
2.491946	-90.59975684
1.992351	-94.58012158
1.492756	-100.4555015
0.9931607	-101.4727052
0.4935656	-105.4186626
-0.006029591	-107.9863222
-0.5056247	-109.3136778
-1.00522	-114.3621277
-1.504815	-115.2415198
-2.00441	-119.359696
-2.504005	-121.8584802
-3.020828	-125.2240729
-3.503196	-126.9249848
-4.002791	-130.4574468
-4.502386	-134.7823708
-5.001981	-135.5928875
-5.501576	-136.2655319
-6.001172	-141.3139818
-6.500767	-145.948997
-7.000362	-148.0688146
-7.534412	-150.8884498
-8.016779	-155.862614
-8.516374	-157.258845
-9.015969	-159.5508815
-9.532792	-162.5719149
-10.01516	-163.032462
-10.51475	-167.9775684
-11.01435	-170.4763526
-11.51394	-173.7331307
-12.01354	-175.6117325
-12.51313	-178.6618237
-13.01273	-181.7118541
-13.51233	-183.4181763
-14.01192	-187.8464438
-14.51152	-189.0359271
-15.01111	-189.7430395
-15.51071	-193.378845
-16.0103	-194.9818237
-16.5099	-197.8940426
-17.00949	-200.8063222
-17.50909	-198.2746505
-18.00868	-201.600304
-18.50828	-202.3763526
-19.00787	-203.1178723
-19.50747	-204.135076
-20.00706	-204.4631611
-20.50666	-204.6534954
-21.00625	-206.6354407
-21.50585	-206.4122796
-22.00544	-206.6714286
-22.53949	-206.6312462
-23.00463	-204.8468693
-23.50423	-206.7254103
-24.00382	-202.6432827
-24.50342	-204.5218237
-25.00302	-200.5085714
-25.50261	-200.4232219
-26.0022	-201.1302736
-26.5018	-196.1867477
-27.0014	-194.1374468
-27.50099	-194.6378116
-28.00059	-193.1742249
-28.50018	-195.2939818
-29.017	-195.8685714
-29.5166	-192.8201216
-30.01619	-194.4229787
-30.51579	-190.547538
-31.01538	-191.2891185
-31.51498	-191.3759878
-32.01458	-192.9099696
-32.51417	-192.3077812
-33.01376	-190.155076
-32.49694	-137.4842553
-31.99734	-130.3340426
-31.49775	-125.8024924
-30.98093	-122.6781763
-30.49856	-118.5654103
-29.99897	-116.6179331
-29.49937	-111.3972036
-28.99977	-109.1741033
-28.48295	-107.6002432
-27.98336	-103.7577508
-27.48376	-100.1908815
-26.98417	-96.07276596
-26.48457	-93.81519757
-25.98498	-89.62808511
-25.48538	-86.92261398
-24.96856	-84.65969605
-24.48619	-80.2712462
-23.9866	-77.08334347
-23.487	-74.03331307
-22.98741	-70.9143465
-22.48781	-67.51975684
-21.98822	-64.60753799
-21.48862	-63.00462006
-20.98903	-58.98979939
-20.48943	-56.14647416
-19.97261	-53.9179696
-19.49024	-51.11447416
-18.97342	-48.50696049
-18.49105	-45.56563526
-17.99146	-43.27359271
-17.49186	-40.22353191
-16.99227	-37.69030395
-16.49267	-35.60497872
-15.99307	-33.00283283
-15.49348	-30.09058967
-14.99388	-27.66071733
-14.49429	-25.19638906
-13.99469	-22.38751368
-13.4951	-20.50892401
-12.9955	-17.70004255
-12.49591	-14.06423708
-11.99631	-11.59990881
-11.49672	-8.37756231
-10.99712	-8.704097264
-10.49753	-5.102745897
-9.997932	-1.673669301
-9.498337	2.065503951
-8.998742	5.804678419
-8.499146	7.579908815
-7.999552	8.976133739
-7.499957	11.19928267
-6.983134	15.94302736
-6.483539	16.6846079
-5.983944	18.39093009
-5.484349	21.02754407
-4.984754	23.56079027
-4.467931	26.61623708
-3.985563	29.66094225
-3.485968	31.60844377
-2.986373	35.51989666
-2.486778	37.63967781
-1.987183	39.41491793
-1.47036	42.26362918
-0.9879924	46.27308207
-0.4883973	48.18612766
0.01119782	50.23700912
0.510793	52.04669909
1.010388	55.9926079
1.509983	59.14604255
2.009578	60.81793313
2.509173	61.69732523
3.008769	65.19531915
3.508364	67.79744681
4.007959	72.26018237
4.507554	74.13878419
5.007149	76.18966565
5.506744	78.89519757
6.00634	81.63519757
6.505935	83.92723404
7.00553	86.63276596
7.505125	87.85671733
8.004721	89.76978723
8.504315	91.23489362
9.003911	95.80103343
9.503506	97.36948328
10.0031	99.31702128
10.5027	102.5393313
11.00229	104.2112462
11.50189	105.4696049
12.00148	109.2432219
12.50108	110.2948936
13.00067	112.4491185
13.50027	115.6025532
14.01709	115.7293617
14.51668	119.7096657
15.01628	122.1395745
15.51587	122.7432827
16.01547	123.8983587
16.51506	127.3962918
17.03189	128.7978723
17.51426	131.3946505
18.01385	134.6858967
18.51344	134.2559878
19.01304	138.098541
19.51264	140.493921
20.01223	141.9590881
20.51183	143.0106991
21.01142	145.4406079
21.51101	147.0090578
22.01061	148.5086322
22.51021	150.9729483
23.0098	150.2329483
23.5094	154.5233435
24.00899	156.5397568
24.50859	159.1763526
25.00818	160.1246201
25.50778	160.2459574
26.0246	163.0602432
26.50697	163.8652888
27.00656	164.5379331
27.50616	167.8981155
28.00575	168.5706991
28.50535	167.7273556
29.00494	171.569848
29.50454	173.3105775
30.00413	172.4327052
30.50373	173.9322796
31.00332	175.7074772
31.50292	175.2085714
32.00251	177.0871733
32.50211	177.2085106
33.00171	177.9500304
33.5013	175.8662614
32.98448	135.4959271
32.48488	134.6165957
31.98529	127.4319149
31.48569	125.3122188
30.9861	121.8831611
30.4865	114.905228
29.96968	113.2280851
29.48731	112.0094833
28.98771	109.3040122
28.47089	103.80231
27.98853	101.7568389
27.48893	97.46638298
26.97211	92.48151976
26.48974	89.29902736
25.99014	83.63039514
25.49055	81.88966565
24.99095	77.11683891
24.49136	74.23908815
23.99176	71.63696049
23.49217	66.00273556
22.99257	63.98638298
22.49298	60.17829787
21.99338	55.16430395
21.49379	54.28493009
20.99419	53.50891185
20.4946	52.87071733
19.995	44.99694225
19.49541	39.9140304
18.99581	37.48417021
18.49622	34.22737386
17.99662	31.65968997
17.4798	26.33021884
16.99743	25.73184195
16.49784	25.43819453
15.99824	19.59726444
15.48142	16.61074164
14.99905	14.32406079
14.49946	11.23954407
13.99986	8.60293617
13.48304	5.306311854
12.98344	3.703361094
12.46662	-0.144546687
11.98425	-3.981710638
11.48466	-5.515749544
10.98506	-9.254924012
10.48547	-12.47727052
9.985873	-13.28775076
9.469051	-17.72140426
8.986683	-18.35424316
8.487088	-22.47241945
7.987493	-23.52409726
7.487897	-26.26407295
6.988302	-30.41671125
6.488707	-33.81133739
5.971885	-38.00379939
5.489517	-37.46516717
4.989922	-42.37581155
4.490326	-45.08134347
3.990731	-47.16666261
3.491136	-49.3553617
2.991541	-53.508
2.491946	-54.35295441
1.992351	-57.02401824
1.492756	-58.14460182
0.9931607	-62.81404255
0.4935656	-63.03884498
-0.006029591	-66.95027356
-0.5056247	-67.416231
-1.00522	-72.15458967
-1.504815	-72.58607903
-2.00441	-75.84285714
-2.504005	-76.30881459
-3.003601	-80.49592705
-3.503196	-81.82322188
-4.002791	-83.97744681
-4.502386	-86.99306991
-5.001981	-87.80358663
-5.501576	-90.54358663
-6.001172	-91.73306991
-6.500767	-95.23106383
-7.000362	-99.31477204
-7.517184	-100.2684498
-8.016779	-101.18231
-8.516374	-103.6121581
-9.015969	-104.8361094
-9.515564	-108.9198784
-10.03239	-109.5978723
-10.51475	-112.6770821
-11.01435	-114.3489362
-11.51394	-116.1930699
-12.01354	-117.0035258
-12.51313	-117.3316109
-13.01273	-120.0027356
-13.51233	-122.2258359
-14.01192	-124.5179331
-14.51152	-126.4309422
-15.01111	-128.7919149
-15.51071	-130.8772036
-16.0103	-131.5154407
-16.5099	-134.8066869
-17.00949	-135.4793313
-17.50909	-136.1864438
-18.00868	-137.7894225
-18.50828	-141.2529483
-19.00787	-142.4768997
-19.50747	-144.1831611
-20.00706	-144.4767781
-20.50666	-144.5637082
-21.00625	-147.4070517
-21.50585	-149.8368997
-22.00544	-150.9575076
-22.50504	-154.5243769
-23.00463	-154.8179939
-23.50423	-156.3520365
-24.00382	-158.6440729
-24.50342	-158.9032219
-25.02024	-161.1662006
-25.50261	-161.7645593
-26.0022	-164.4700304
-26.5018	-164.0056535
-27.0014	-166.5044377
-27.50099	-169.1754407
-28.00059	-169.9858967
-28.51741	-170.6639514
-29.017	-174.506383
-29.53382	-174.7709422
-30.01619	-175.2659574
-30.51579	-176.3175684
-31.01538	-174.8195137
-31.51498	-176.9392705
-32.01458	-178.68
-32.51417	-179.8694225
-33.01376	-179.5428571
-33.51336	-177.700304
-32.99654	-135.5382979
-32.49694	-132.6950152
-31.99734	-128.1634043
-31.49775	-125.0789058
-30.99816	-122.1322796
-30.49856	-120.1158663
-29.99897	-117.5826748
-29.49937	-112.7409726
-28.99977	-109.7598176
-28.48295	-107.9792705
-27.96613	-103.9591489
-27.48376	-100.5354407
-26.98417	-96.21057751
-26.48457	-92.67817629
-25.98498	-91.83325228
-25.48538	-87.16382979
-24.98579	-83.52802432
-24.46897	-81.54072948
-23.9866	-77.70358663
-23.487	-75.79051672
-22.98741	-71.56899696
-22.48781	-70.44844985
-21.98822	-66.743769
-21.48862	-63.79708207
-20.98903	-59.88564134
-20.48943	-58.45496657
-19.97261	-56.15755015
-19.49024	-52.14812766
-18.99065	-49.51153191
-18.47382	-48.73013374
-17.99146	-46.16782979
-17.49186	-42.6698541
-16.99227	-42.96193921
-16.49267	-38.08575076
-15.99307	-37.48200608
-15.49348	-33.12264438
-14.99388	-31.45078419
-14.49429	-28.19399392
-13.99469	-25.90193921
-13.4951	-24.60908815
-12.9955	-20.69764134
-12.49591	-17.71648024
-11.99631	-16.21689362
-11.49672	-11.78862006
-10.99712	-9.668838906
-10.49753	-8.238164134
-9.997932	-4.326714286
-9.498337	-1.759017021
-8.998742	0.636406687
-8.499146	4.616767173
-7.999552	5.565074772
-7.499957	7.168030395
-6.983134	9.947835866
-6.483539	13.23909422
-5.983944	14.29076596
-5.484349	17.78875988
-4.984754	19.7707234
-4.485158	22.2006079
-3.985563	25.56077204
-3.485968	28.54193921
-2.986373	32.0054772
-2.486778	31.7478541
-1.987183	36.14167781
-1.47036	38.19792705
-0.9879924	42.75865046
-0.4539425	43.26979331
0.01119782	45.06874164
0.510793	47.73980547
1.010388	50.6865228
1.509983	53.63322188
2.009578	54.92609119
2.509173	58.63081459
3.008769	60.54387234
3.508364	63.83513678
4.007959	66.29945289
4.507554	68.41927052
5.007149	70.57349544
5.506744	74.72613982
