"Sakai et al. 1990, Spec. B3"	
209	
0.0025	-0.24525
0.0075	-0.24525
0.015	-0.24525
0.025	-0.24525
-0.0075	-0.24525
-0.0075	-0.4905
0.02	-0.71613
-0.0525	-0.56898
-0.1025	-0.96138
0.63	99.944
0.9675	148.01
1.4625	200.83
1.9325	247.21
2.4875	289.86
2.395	258.26
2.0925	205.63
1.755	153.39
1.4875	101.07
1.31	53.592
0.9625	4.5322
0.73	-27.615
0.5375	-51.326
0.185	-97.943
-0.265	-145.51
-0.6825	-194.97
-1.2625	-248.22
-1.88	-297.87
-2.105	-311.6
-2.085	-287.27
-1.8975	-247.39
-1.6	-201.12
-1.2775	-150.89
-1.0075	-97.335
-0.7075	-55.721
-0.49	-23.132
-0.3425	-2.943
-0.1475	22.004
0.0625	52.621
0.4125	99.974
0.7925	148.12
1.235	199.85
1.6775	247.15
2.2025	297.33
2.505	319.81
3.005	354.24
3.5	383.03
4.01	409.15
4.51	422.49
5.06	428.33
5.6625	385.23
5.4725	350.01
5.05	305.94
4.52	257.72
4.125	203.13
3.6775	161.95
2.9875	105.77
2.48	61.038
2.11	28.096
1.89	7.5145
1.5625	-22.867
1.315	-45.97
0.8625	-95.255
0.355	-146.88
-0.13	-195.26
-0.695	-247.73
-1.2625	-294.82
-1.5225	-313.04
-2	-347.42
-2.5025	-376.7
-3.0025	-399.37
-3.505	-419.09
-4.04	-426.13
-4.515	-411.95
-5.005	-384.09
-4.935	-352.03
-4.5425	-305.59
-3.95	-251.09
-3.5775	-201.97
-2.925	-151.51
-2.315	-108.01
-1.7375	-60.655
-1.33	-25.428
-1.085	-4.7971
-0.435	47.382
0.125	97.874
0.715	146.73
1.39	198.21
2.0725	246.04
2.9925	299.03
3.5125	323.46
4.0175	346.61
4.525	364.62
5.0175	377.23
4.945	348.86
4.53	302.37
3.9575	249.63
3.5975	202.74
3.0625	146.4
2.4025	91.763
1.73	38.808
1.3125	6.0233
0.6375	-49.884
-0.0175	-100.1
-0.6225	-147.02
-1.3175	-197.82
-2.11	-249.31
-2.9725	-300.23
-3.5025	-325.89
-4.025	-347.37
-4.535	-365.14
-5.03	-372.59
-5.0125	-351.73
-4.6225	-297.6
-4.0925	-250.17
-3.1725	-156.93
-2.235	-88.692
-1.445	-29.116
-1.13	-4.1594
-0.935	-2.7468
-0.495	47
0.1075	98.335
0.7325	148.48
1.4125	197.3
2.25	248.39
3.0225	290.78
4.0125	335.33
5.02	366.19
6.045	369.89
7.0475	366.64
8.05	358.78
9.1075	343.69
10.073	320.99
10.222	294.29
10.15	266.45
9.6225	220.13
8.905	163.4
8.4025	117.68
7.39	69.631
6.4475	40.908
5.5075	15.068
4.49	-9.2116
3.355	-42.065
1.98	-77.882
-0.075	-129.41
-1.0125	-149.34
-2.0125	-168.16
-3.0225	-186.29
-4.03	-198.77
-5.085	-207.44
-6.01	-212.6
-7.1325	-213.31
-8.0225	-211.8
-9.035	-206.85
-10.047	-200.01
-10.083	-170.13
-9.735	-119.59
-9.195	-74.742
-8.8225	-37.7
-8.6975	-20.464
-8.2275	3.8455
-7.295	33.325
-5.975	61.675
-4.895	80.177
-3.9725	94.196
-2.985	106.87
-1.9925	120.54
-1.01	132.71
0.0225	144.99
1.11	159.35
2.06	169.74
3.0075	178.66
4.1	188.13
5.0975	189.8
6.0925	191.22
7.0425	189.6
8.045	189.54
9.0575	189.52
10.01	189.16
10.052	167.6
9.3575	110
8.7875	70.004
8.4575	34.698
8.09	20.64
7.0875	-7.5046
5.91	-27.958
4.0125	-46.029
1.9325	-60.577
-0.0025	-76.773
-1.0975	-81.825
-2.0225	-89.958
-3.035	-96.324
-4.13	-99.424
-5.13	-103.54
-6.0475	-108.22
-7.0275	-108.17
-8.08	-107.48
-9.1225	-103.34
-10.39	-74.281
-10.62	-45.057
-10.115	-23.838
-10.165	-15.412
-9.9375	-7.848
-9.8025	-3.4041
-9.645	-1.7952
-9.605	-1.1576
-9.5125	-0.47088
-9.4375	-0.21582
-9.425	0.26487
-9.415	0.27468
