Saatcioglu et al. Column BG-9	
-14.02915	-188.4375684
-14.51152	-190.2074164
-15.01111	-194.2566565
-15.51071	-193.6544681
-16.0103	-197.9793921
-16.5099	-200.4437082
-17.02672	-200.4327052
-16.47544	-135.8296049
-15.99307	-135.5757447
-15.49348	-135.0409119
-14.99388	-126.5813982
-14.49429	-119.603465
-13.99469	-118.7240729
-13.4951	-109.4720973
-12.9955	-106.7320973
-12.49591	-98.96170213
-11.99631	-96.25617021
-11.49672	-88.14121581
-10.99712	-86.88279635
-10.49753	-79.38802432
-9.980704	-71.54328267
-9.498337	-67.91288754
-8.998742	-61.93410334
-8.499146	-55.57635258
-7.999552	-47.35801824
-7.499957	-46.51307599
-6.983134	-38.77172644
-6.483539	-33.48207295
-5.983944	-29.22606687
-5.484349	-22.28255927
-4.984754	-18.6467538
-4.485158	-9.291386018
-3.985563	-1.831057143
-3.485968	-0.193643708
-2.986373	4.854829179
-2.469551	10.04649848
-1.987183	15.08959271
-1.487588	18.96659574
-0.9879924	24.46297872
-0.4883973	30.26946505
0.01119782	35.73139818
0.510793	44.84557447
1.010388	46.55190274
1.509983	50.77345289
2.009578	56.75221277
2.509173	62.00741641
3.008769	67.36601824
3.508364	72.82790274
4.007959	78.8756231
4.507554	80.75422492
5.007149	85.90601824
5.506744	90.40322188
6.00634	96.58869301
6.505935	102.3263222
7.00553	104.8250456
7.505125	110.5282067
8.004721	112.0622492
8.504315	117.386383
9.003911	122.0558055
9.503506	123.0386018
10.0031	129.499696
10.5027	134.3758663
11.00229	135.3241945
11.50189	139.7869301
12.00148	144.1807295
12.50108	148.2989058
13.00067	152.5548936
13.50027	153.9855927
14.01709	157.7990274
14.51668	162.055076
15.03351	165.5239514
15.51587	169.2922188
16.01547	172.790152
16.51506	176.8049848
17.01466	179.8894833
16.49784	133.3172036
15.99824	133.092462
15.48142	118.2533739
14.99905	117.1381763
14.49946	107.8862006
13.99986	107.2479635
13.48304	98.81756839
12.98344	91.04717325
12.48385	89.92656535
11.96703	82.3575076
11.48466	77.00431611
10.98506	75.3668693
10.48547	69.9049848
9.985873	63.82285714
9.486279	56.32804863
8.986683	53.10570821
8.487088	46.64457751
7.987493	40.45909422
7.487897	29.10533131
6.988302	29.01839514
6.488707	12.42745897
5.989112	12.23716109
5.489517	7.498784195
4.972694	0.618820061
4.490326	-5.216745897
3.990731	-13.29727052
3.491136	-13.59093617
2.991541	-20.46552584
2.491946	-28.68387234
1.992351	-28.80525836
1.492756	-38.81527052
0.9931607	-44.86294833
0.4935656	-50.7038845
-0.006029591	-51.03200608
-0.5056247	-58.38897264
-1.00522	-58.51035258
-1.504815	-70.79440729
-2.00441	-70.95027356
-2.504005	-79.5131307
-3.003601	-80.04802432
-3.503196	-85.88893617
-4.002791	-91.38534954
-4.519613	-96.40474164
-5.001981	-99.69057751
-5.501576	-103.7054103
-6.001172	-111.8548328
-6.500767	-112.1829787
-7.000362	-120.6080243
-7.517184	-120.734772
-8.016779	-130.8137386
-8.516374	-130.9351368
-9.015969	-136.5693009
-9.515564	-136.9663222
-10.01516	-141.7047416
-10.51475	-146.7531915
-11.01435	-150.8368997
-11.51394	-153.7147112
-12.01354	-158.5908815
-12.51313	-163.846079
-13.01273	-164.5187234
-13.52955	-171.536535
-14.01192	-172.7895441
-14.51152	-176.0807903
-15.01111	-181.3704559
-15.51071	-186.3500304
-16.0103	-186.4713678
-16.5099	-191.6232219
-15.99307	-144.0173252
-15.49348	-134.4896657
-14.99388	-129.9579939
-14.49429	-124.5649848
-13.99469	-119.75769
-13.4951	-114.5714286
-12.9955	-109.1439514
-12.49591	-104.9224316
-11.99631	-98.77142857
-11.49672	-94.3431003
-10.99712	-90.43167173
-10.49753	-86.10674772
-9.997932	-77.47495441
-9.498337	-72.42650456
-8.998742	-67.30911854
-8.499146	-62.63963526
-7.999552	-55.69615805
-7.499957	-54.57557447
-6.983134	-47.00651064
-6.483539	-41.51012158
-5.966717	-35.66379939
-5.467122	-28.44465653
-4.984754	-23.05700912
-4.485158	-17.52616413
-3.985563	-14.61391489
-3.485968	-5.534189666
-2.986373	-4.72369848
-2.486778	1.289517325
-1.987183	6.71699696
-1.487588	12.73021277
-0.970765	16.75040122
-0.4883973	26.82395137
0.01119782	27.08316109
0.510793	32.64846201
1.010388	38.04148328
1.527211	45.47273556
2.009578	49.89564742
2.509173	58.21735562
3.008769	62.88680851
3.508364	67.62516717
4.007959	71.77781155
4.507554	76.5506383
5.007149	81.15118541
5.506744	83.47775076
6.00634	92.48857143
6.523162	92.92541033
7.00553	98.55422492
7.505125	102.3278419
8.004721	106.7217021
8.504315	110.3575076
9.003911	117.1287538
9.503506	120.109848
10.0031	125.4339818
10.5027	128.3117933
11.00229	131.9131307
11.50189	135.2043769
12.00148	139.9427356
12.50108	143.9920365
13.00067	147.903465
13.50027	151.1947112
14.03432	157.3220669
14.51668	158.6440122
15.01628	163.8302736
15.51587	168.7064438
16.01547	173.4792705
16.51506	175.1855927
15.99824	126.8561094
15.49865	126.8036474
14.99905	113.5204255
14.49946	112.9855319
13.99986	107.0412766
13.48304	102.9866261
12.98344	94.11361702
12.48385	89.54753799
11.98425	84.70577508
11.48466	79.00267477
10.98506	74.22984802
10.48547	68.90577508
9.985873	60.2395076
9.486279	60.22148328
8.986683	49.59128875
8.487088	45.02518541
7.987493	39.9422614
7.487897	27.86494833
6.988302	25.46951976
6.488707	15.4595076
5.989112	14.30446809
5.489517	6.292857143
4.989922	0.727558663
4.490326	-3.838541033
3.990731	-9.300474164
3.491136	-15.10696049
2.991541	-20.94790274
2.491946	-28.58050456
1.992351	-32.93987842
1.492756	-38.40181155
0.9931607	-43.31246201
0.4935656	-49.11894833
-0.006029591	-49.44706991
-0.5056247	-56.52839514
-1.00522	-62.85173252
-1.504815	-70.20863222
-2.00441	-71.39817629
-2.521233	-76.48644377
-3.003601	-83.08006079
-3.503196	-89.67902736
-4.002791	-90.21386018
-4.502386	-96.67495441
-5.001981	-102.6192705
-5.501576	-102.9818845
-6.001172	-110.2699088
-6.500767	-111.5627964
-7.000362	-118.1961702
-7.517184	-118.908693
-8.016779	-123.8193313
-8.516374	-128.6266261
-9.015969	-134.5364742
-9.515564	-135.1747112
-10.01516	-137.8457143
-10.51475	-143.4454711
-11.01435	-150.9747112
-11.51394	-152.0264438
-12.01354	-152.5956839
-12.51313	-158.1265653
-13.01273	-161.1077204
-13.51233	-168.3957447
-14.01192	-172.2038298
