"Zhou et al. 1987, Specimen 20408"	
365	
0	0
-0.050136	4.5917
-0.06446	7.2155
-0.050136	10.423
-0.06446	13.63
-0.042973	15.889
0	18.003
0.042973	19.606
0.13608	22.667
0.20771	26.239
0.31514	30.831
0.32946	33.819
0.3796	36.225
0.42258	38.192
0.51568	40.16
0.58015	41.545
0.63744	38.848
0.6446	36.225
0.61595	33.09
0.58731	30.54
0.53001	27.988
0.47271	23.834
0.36528	16.035
0.29365	8.4548
0.20055	4.2274
0.078784	-0.14577
-0.028649	-3.6443
-0.17906	-7.0701
-0.31514	-10.714
-0.36528	-15.671
-0.3796	-19.242
-0.40825	-24.271
-0.42973	-27.843
-0.47987	-32.143
-0.48703	-35.568
-0.50852	-39.504
-0.56582	-43.367
-0.65176	-47.594
-0.69474	-50.801
-0.69474	-53.136
-0.8165	-56.708
-0.95258	-59.55
-1.103	-62.899
-1.2677	-65.523
-1.4324	-67.054
-1.59	-67.712
-1.676	-67.636
-1.7548	-66.689
-1.8264	-64.87
-1.8693	-63.046
-1.8837	-60.275
-1.8335	-56.485
-1.7118	-50.147
-1.5399	-42.347
-1.4253	-33.163
-1.2176	-25.656
-0.95258	-15.379
-0.74488	-7.6532
-0.63744	1.8222
-0.45122	9.0379
-0.20055	16.545
0	27.843
0.078784	31.341
0.20055	34.767
0.37244	38.775
0.54433	42.639
0.68042	46.94
0.83082	52.042
1.0314	57.873
1.2606	62.463
1.3322	63.847
1.4397	65.523
1.4682	65.964
1.5113	66.547
1.5255	66.4
1.5613	65.741
1.5686	64.723
1.547	62.975
1.59	60.786
1.6044	57.579
1.5255	53.861
1.4755	50.876
1.1173	34.184
0.88096	23.98
0.65176	15.16
0.40825	6.414
0.39393	1.8222
0.33663	-0.87465
0.23636	-3.7901
0.1146	-11.006
0.035811	-16.618
-0.22203	-32.143
-0.37244	-38.265
-0.40825	-42.493
-0.50852	-48.252
-0.63744	-52.771
-0.83798	-58.162
-1.0027	-61.08
-1.1746	-63.847
-1.2606	-65.306
-1.3537	-66.329
-1.4324	-66.911
-1.5041	-67.347
-1.633	-67.712
-1.7118	-67.418
-1.7835	-66.035
-1.8193	-64.429
-1.8335	-62.757
-1.8407	-59.256
-1.7835	-54.083
-1.6259	-48.034
-1.4969	-39.213
-0.98123	-15.379
-0.8738	-11.006
-0.71623	-5.3207
-0.65893	-2.1137
-0.66609	0
-0.57299	3.6443
-0.43689	8.819
-0.28649	13.265
-0.035811	20.773
0.15041	32.945
0.40825	38.848
0.63744	45.334
