"Bayrak and Sheikh 1996, AS4-HT"	
3008	
0	0
0.907858289	24.10042017
1.051769652	27.75596639
1.30577094	31.3012605
1.442221396	35.14285714
1.636206742	38.73466387
1.776977174	42.37815126
1.948253573	46.03886555
2.039699958	48.93298319
2.209823299	52.04243697
2.339633268	55.17773109
2.57057145	58.94180672
2.640847005	61.62058824
2.85512086	65.04012605
2.985732446	67.11596639
3.096912322	69.74306723
3.194533008	71.68970588
3.276737943	72.85252101
3.320974876	73.29180672
3.381948674	73.69663866
3.560149087	75.62605042
3.574491801	76.28928571
3.568550428	76.65105042
3.712773633	79.54516807
3.875508713	82.60294118
3.998410549	84.62710084
4.011821147	84.32563025
4.310391985	87.82268908
4.492781155	90.42394958
4.270369885	86.87521008
4.158317897	83.2144958
3.915044142	80.12226891
3.846101104	77.38319328
3.719051404	74.13592437
3.550757574	70.55273109
3.483828158	66.96092437
3.402590561	63.48970588
3.393797295	61.51722689
3.337402376	58.35609244
3.28377558	56.61617647
3.216135701	53.2052521
3.054850833	49.78571429
2.983021385	47.12415966
2.922512921	45.09138655
2.849699218	41.50819328
2.774347789	38.83802521
2.639534612	35.74579832
2.574100342	32.0592437
2.463300389	28.85504202
2.352500581	25.28735294
2.18618664	21.76186975
2.125180056	18.64035714
1.979465047	15.09936975
1.910919784	12.33445378
1.747785451	8.923529412
1.636569863	6.046638655
1.436186654	2.980252101
1.377789999	1.438445378
1.380467592	1.154201681
1.399143209	1.214495798
1.379458612	1.016386555
1.2313156	-2.472058824
1.059100204	-5.951890756
0.864575329	-9.405882353
0.731353869	-12.99768908
0.599450248	-15.61617647
0.409322985	-19.13046218
0.201846019	-22.41218487
0.031201667	-24.84117647
-0.018502128	-27.09789916
-0.150276133	-29.23403361
-0.292720369	-31.51659664
-0.454945046	-33.95420168
-0.592574342	-37.39957983
-0.815779596	-40.11281513
-0.984048659	-43.59264706
-1.009916969	-46.16806723
-1.250433072	-49.09663866
-1.554050325	-51.93907563
-1.61857942	-54.26470588
-1.805348939	-57.79621849
-2.052963714	-61.24159664
-2.173459026	-64.17016807
-2.460657308	-67.0987395
-2.248635766	-63.56722689
-2.158996048	-59.94957983
-1.985172158	-56.50420168
-1.831825505	-53.05882353
-1.655477235	-49.61344538
-1.564796831	-46.08193277
-1.366371138	-42.55042017
-1.195872031	-38.95861345
-1.165148335	-35.36680672
-1.045256877	-32.48130252
