"Paultre, Legeron, Mongequ, July-August 2001 test 1008040"	
2551	
1.38	-0.08
1.76	4.57
2.3	9.35
2.7	14.15
3.08	18.92
3.5	23.69
3.82	28.45
4.24	33.21
4.66	37.98
5.13	42.74
5.56	47.49
6.02	52.25
6.47	57
6.96	61.74
7.41	66.49
7.92	71.25
8.37	75.98
8.88	80.73
9.35	85.46
9.86	90.19
10.46	94.92
11	99.65
11.47	104.34
12	109.04
12.69	113.73
13.16	118.4
13.58	121.27
13.25	113.5
12.87	108.73
12.45	103.96
11.96	99.23
11.38	94.49
10.93	89.74
10.6	84.99
10.13	80.24
9.57	75.46
9.21	70.72
8.7	65.96
8.28	61.21
7.81	56.44
7.45	51.68
7.03	46.93
6.54	42.18
6	37.42
5.69	32.66
5.2	27.91
4.75	23.14
4.33	18.38
3.9	13.62
3.44	8.85
3.01	4.1
2.54	-0.54
2.05	-5.29
1.63	-10.05
1.27	-14.8
0.83	-19.56
0.27	-24.32
-0.15	-29.06
-0.62	-33.82
-1	-38.56
-1.51	-43.31
-1.94	-48.05
-2.43	-52.79
-2.96	-57.55
-3.41	-62.29
-3.9	-67.01
-4.41	-71.75
-4.99	-76.49
-5.4	-81.2
-6.02	-85.93
-6.53	-90.66
-7	-95.36
-7.51	-100.09
-8.03	-104.79
-8.72	-109.5
-9.23	-114.19
-9.83	-118.91
-10.08	-120.59
-9.57	-114.03
-9.12	-109.25
-8.79	-104.48
-8.36	-99.69
-7.94	-94.96
-7.43	-90.2
-6.93	-85.46
-6.62	-80.7
-6.15	-75.95
-5.57	-71.21
-5.22	-66.43
-4.68	-61.7
-4.28	-56.96
-3.77	-52.21
-3.32	-47.44
-2.92	-42.69
-2.52	-37.93
-2.05	-33.19
-1.6	-28.44
-1.02	-23.69
-0.56	-18.94
-0.18	-14.18
0.29	-9.44
0.74	-4.7
1.21	0.04
1.72	4.63
2.17	9.4
2.7	14.18
3.06	18.94
3.57	23.69
3.95	28.46
4.48	33.2
4.84	37.96
5.29	42.71
5.82	47.46
6.31	52.21
6.76	56.97
7.14	61.7
7.74	66.44
8.14	71.18
8.68	75.92
9.21	80.69
9.68	85.39
10.19	90.13
10.64	94.85
11.22	99.57
11.8	104.27
12.31	109
12.87	113.7
13.43	118.39
13.9	123.07
14.61	127.74
15.28	132.4
15.95	137.03
16.71	141.65
17.4	146.22
18.29	150.8
19.12	155.34
20.12	159.83
21.21	164.32
22.22	168.76
23.46	173.18
24.62	177.55
26.12	181.87
28.06	185.99
28.46	185.84
28.64	180.68
28.73	175.7
29.02	170.52
29.2	165.66
32.39	169.2
32.9	169.64
33.59	163.69
33.63	160.13
33.68	158.71
33.7	157.75
33.7	156.78
33.43	153.88
33.12	144.23
32.25	139.6
31.34	135.05
30.53	130.49
29.62	125.93
28.68	121.37
27.88	116.81
26.99	112.24
26.21	107.64
25.4	103.07
24.58	98.48
23.73	93.89
23	89.29
22.24	84.69
21.55	80.05
20.77	75.46
20.14	70.84
19.36	66.2
18.65	61.56
18.04	56.92
17.38	52.27
16.75	47.61
16.06	42.98
15.52	38.33
14.86	33.67
14.21	29.01
13.49	24.33
12.91	19.65
12.36	14.98
11.76	10.31
11.18	5.68
10.55	1.05
9.93	-3.64
9.41	-8.33
8.79	-13.02
8.19	-17.71
7.54	-22.41
7.03	-27.11
6.45	-31.78
5.76	-36.47
5.22	-41.17
4.66	-45.85
4.04	-50.54
3.37	-55.24
2.92	-58.93
2.43	-59.83
2.03	-64.54
1.41	-69.28
0.83	-73.98
0.34	-78.67
-0.33	-83.36
-0.87	-88.04
-1.6	-92.74
-2.21	-97.41
-2.83	-102.08
-3.41	-106.76
-4.17	-111.42
-4.84	-116.07
-5.44	-120.76
-6.2	-125.41
-6.89	-130.03
-7.63	-134.68
-8.25	-139.31
-9.08	-143.94
-9.79	-148.53
-10.64	-153.12
-11.46	-157.7
-12.33	-162.26
-13.36	-166.81
-14.36	-171.31
-15.21	-175.81
-16.44	-180.25
-17.44	-184.69
-18.69	-189.07
-20.09	-193.38
-21.52	-197.63
-23.55	-201.59
-23.73	-201.67
-24.02	-196.58
-24.24	-191.42
-24.33	-186.47
-24.51	-181.52
-24.62	-176.43
-28.66	-179.64
-32.02	-181.93
-31.94	-168.25
-31.31	-163.66
-30.35	-159.08
-29.42	-154.57
-28.41	-150.06
-27.45	-145.53
-26.34	-141.03
-25.31	-136.53
-24.49	-132.01
-23.42	-127.48
-22.59	-122.95
-21.61	-118.41
-20.67	-113.85
-19.8	-109.3
-18.98	-104.76
-18.13	-100.2
-17.33	-95.63
-16.46	-91.07
-15.54	-86.5
-14.87	-81.93
-14.03	-77.31
-13.18	-72.76
-12.35	-68.17
-11.6	-63.58
-10.84	-58.97
-9.95	-54.38
-9.19	-49.76
-8.34	-45.15
-7.6	-40.55
-6.93	-35.95
-6.06	-31.34
-5.26	-26.72
-4.53	-22.12
-3.72	-17.52
-3.01	-12.91
-2.14	-8.3
-1.45	-3.7
-0.65	0.81
0.09	5.4
1.14	7.93
1.36	9.81
1.7	11.7
1.85	13.58
2.1	15.44
2.48	17.31
2.7	19.16
2.95	21.03
3.24	22.88
3.55	24.74
3.9	26.59
4.22	28.44
4.51	30.29
4.75	32.15
5.13	34.01
5.47	35.83
5.76	37.68
5.96	39.53
6.36	41.37
6.67	43.24
6.89	45.06
7.27	46.91
7.63	48.76
7.85	50.59
8.16	52.45
8.48	54.27
8.81	56.13
9.19	57.95
9.46	59.78
9.86	61.62
10.22	63.46
10.44	65.31
10.86	67.13
11.09	68.96
11.44	70.78
11.78	72.62
12.22	74.44
12.45	76.3
12.83	78.11
13.18	79.94
13.61	81.75
13.92	83.6
14.3	85.41
14.68	87.22
14.94	89.03
15.28	90.87
15.7	92.66
16.08	94.48
16.48	96.28
16.8	98.1
17.22	99.91
17.55	101.7
17.91	103.5
18.45	105.29
18.74	107.1
19.09	108.89
19.58	110.68
20.01	112.47
20.41	114.25
20.83	116.06
21.26	117.82
21.75	119.61
22.08	121.38
22.64	123.14
23	124.91
23.53	126.69
24.07	128.45
24.45	130.21
24.96	131.97
25.52	133.72
25.98	135.48
26.56	137.22
27.1	138.97
27.61	140.71
28.17	142.43
28.77	144.15
29.4	145.88
30.02	147.58
30.67	149.29
31.31	151
31.96	152.7
32.59	154.36
33.32	156.04
34.1	157.69
34.19	157.95
34.19	155.7
33.9	153.84
33.57	151.99
33.3	150.13
33.03	148.29
32.65	146.44
32.27	144.67
31.81	142.86
31.4	141.04
31.16	139.22
30.69	137.41
30.36	135.61
